dt,high
2010-01-04,15.86
2010-01-05,15.89
2010-01-06,15.84
2010-01-07,15.72
2010-01-08,15.58
2010-01-11,15.79
2010-01-12,15.77
2010-01-13,15.86
2010-01-14,15.95
2010-01-15,15.79
2010-01-19,15.91
2010-01-20,15.88
2010-01-21,16.02
2010-01-22,15.6
2010-01-25,15.465
2010-01-26,15.65
2010-01-27,15.52
2010-01-28,15.48
2010-01-29,15.48
2010-02-01,15.28
2010-02-02,15.52
2010-02-03,15.53
2010-02-04,15.21
2010-02-05,14.91
2010-02-08,14.85
2010-02-09,14.86
2010-02-10,14.64
2010-02-11,14.94
2010-02-12,14.88
2010-02-16,15.13
2010-02-17,15.22
2010-02-18,15.27
2010-02-19,15.61
2010-02-22,15.59
2010-02-23,15.51
2010-02-24,15.42
2010-02-25,15.34
2010-02-26,15.46
2010-03-01,15.45
2010-03-02,15.68
2010-03-03,15.75
2010-03-04,15.53
2010-03-05,15.69
2010-03-08,15.7415
2010-03-09,15.79
2010-03-10,15.76
2010-03-11,15.76
2010-03-12,15.8
2010-03-15,15.75
2010-03-16,15.76
2010-03-17,15.83
2010-03-18,15.93
2010-03-19,16.0
2010-03-22,15.75
2010-03-23,15.74
2010-03-24,15.71
2010-03-25,15.73
2010-03-26,15.63
2010-03-29,15.67
2010-03-30,15.75
2010-03-31,15.54
2010-04-01,15.65
2010-04-05,15.85
2010-04-06,16.0
2010-04-07,16.04
2010-04-08,15.94
2010-04-09,15.91
2010-04-12,16.07
2010-04-13,16.09
2010-04-14,15.98
2010-04-15,15.95
2010-04-16,15.92
2010-04-19,15.79
2010-04-20,15.94
2010-04-21,15.85
2010-04-22,15.86
2010-04-23,16.48
2010-04-26,16.67
2010-04-27,16.62
2010-04-28,16.39
2010-04-29,16.48
2010-04-30,16.49
2010-05-03,16.52
2010-05-04,16.41
2010-05-05,15.94
2010-05-06,15.76
2010-05-07,15.48
2010-05-10,15.72
2010-05-11,15.65
2010-05-12,15.77
2010-05-13,15.895
2010-05-14,15.74
2010-05-17,15.67
2010-05-18,15.79
2010-05-19,15.48
2010-05-20,15.0582
2010-05-21,14.84
2010-05-24,14.87
2010-05-25,14.39
2010-05-26,14.69
2010-05-27,14.87
2010-05-28,14.86
2010-06-01,14.73
2010-06-02,14.62
2010-06-03,14.8
2010-06-04,14.67
2010-06-07,14.59
2010-06-08,14.45
2010-06-09,14.81
2010-06-10,14.84
2010-06-11,14.93
2010-06-14,15.1
2010-06-15,15.3
2010-06-16,15.47
2010-06-17,15.55
2010-06-18,15.62
2010-06-21,15.71
2010-06-22,15.55
2010-06-23,15.17
2010-06-24,15.335
2010-06-25,15.25
2010-06-28,15.34
2010-06-29,15.14
2010-06-30,15.02
2010-07-01,14.74
2010-07-02,14.78
2010-07-06,14.96
2010-07-07,15.23
2010-07-08,15.44
2010-07-09,15.7
2010-07-12,15.83
2010-07-13,15.97
2010-07-14,15.84
2010-07-15,16.02
2010-07-16,15.95
2010-07-19,15.89
2010-07-20,16.02
2010-07-21,16.06
2010-07-22,15.97
2010-07-23,16.07
2010-07-26,16.28
2010-07-27,16.58
2010-07-28,16.47
2010-07-29,16.46
2010-07-30,16.06
2010-08-02,16.23
2010-08-03,16.4
2010-08-04,16.09
2010-08-05,16.2
2010-08-06,16.89
2010-08-09,17.37
2010-08-10,17.21
2010-08-11,17.12
2010-08-12,17.17
2010-08-13,17.47
2010-08-16,17.54
2010-08-17,17.61
2010-08-18,17.43
2010-08-19,17.13
2010-08-20,17.13
2010-08-23,17.49
2010-08-24,17.56
2010-08-25,17.5
2010-08-26,17.77
2010-08-27,17.835
2010-08-30,17.77
2010-08-31,17.57
2010-09-01,17.88
2010-09-02,17.99
2010-09-03,17.91
2010-09-07,17.92
2010-09-08,17.83
2010-09-09,17.72
