dt,high
2015-11-16,32.9
2015-11-17,33.44
2015-11-18,33.28
2015-11-19,33.19
2015-11-20,32.99
2015-11-23,32.59
2015-11-24,32.79
2015-11-25,32.01
2015-11-27,30.99
2015-11-30,32.6
2015-12-01,31.52
2015-12-02,31.17
2015-12-03,30.8
2015-12-04,30.04
2015-12-07,29.21
2015-12-08,28.75
2015-12-09,28.75
2015-12-10,28.78
2015-12-11,29.21
2015-12-14,29.23
2015-12-15,28.94
2015-12-16,28.06
2015-12-17,27.84
2015-12-18,27.75
2015-12-21,28.13
2015-12-22,27.76
2015-12-23,27.43
2015-12-24,28.43
2015-12-28,29.53
2015-12-29,30.15
2015-12-30,30.17
2015-12-31,30.34
2016-01-04,29.748
2016-01-05,29.48
2016-01-06,28.36
2016-01-07,28.11
2016-01-08,28.06
2016-01-11,28.2099
2016-01-12,29.11
2016-01-13,29.31
2016-01-14,29.3
2016-01-15,28.64
2016-01-19,29.15
2016-01-20,28.63
2016-01-21,28.25
2016-01-22,27.95
2016-01-25,27.65
2016-01-26,27.32
2016-01-27,26.81
2016-01-28,26.48
2016-01-29,26.92
2016-02-01,27.06
2016-02-02,26.62
2016-02-03,26.62
2016-02-04,26.65
2016-02-05,25.88
2016-02-08,24.28
2016-02-09,23.21
2016-02-10,23.85
2016-02-11,25.38
2016-02-12,26.03
2016-02-16,26.54
2016-02-17,26.39
2016-02-18,25.94
2016-02-19,26.36
2016-02-22,27.45
2016-02-23,26.93
2016-02-24,26.66
2016-02-25,26.56
2016-02-26,27.49
2016-02-29,27.16
2016-03-01,26.5
2016-03-02,26.33
2016-03-03,26.26
2016-03-04,26.34
2016-03-07,26.4
2016-03-08,26.2
2016-03-09,26.0
2016-03-10,25.5
2016-03-11,25.23
2016-03-14,25.36
2016-03-15,25.3
2016-03-16,25.08
2016-03-17,25.27
2016-03-18,25.19
2016-03-21,24.98
2016-03-22,24.74
2016-03-23,24.26
2016-03-24,24.735
2016-03-28,26.11
2016-03-29,26.68
2016-03-30,27.7
2016-03-31,27.436
2016-04-01,27.36
2016-04-04,27.32
2016-04-05,26.86
2016-04-06,26.72
2016-04-07,26.34
2016-04-08,26.1
2016-04-11,26.27
2016-04-12,26.42
2016-04-13,26.51
2016-04-14,26.98
2016-04-15,27.21
2016-04-18,27.28
2016-04-19,27.29
2016-04-20,27.24
2016-04-21,26.84
2016-04-22,26.7
2016-04-25,27.11
2016-04-26,27.25
2016-04-27,26.8
2016-04-28,26.94
2016-04-29,26.49
2016-05-02,26.28
2016-05-03,25.89
2016-05-04,25.65
2016-05-05,25.53
2016-05-06,25.81
2016-05-09,26.26
2016-05-10,26.32
2016-05-11,26.09
2016-05-12,25.07
2016-05-13,24.49
2016-05-16,24.73
2016-05-17,24.51
2016-05-18,24.565
2016-05-19,24.72
2016-05-20,25.24
2016-05-23,25.29
2016-05-24,25.535
2016-05-25,25.775
2016-05-26,25.9
2016-05-27,25.13
2016-05-31,24.97
2016-06-01,25.13
2016-06-02,25.675
2016-06-03,25.6199
2016-06-06,25.26
2016-06-07,25.04
2016-06-08,24.86
2016-06-09,24.56
2016-06-10,24.33
2016-06-13,24.55
2016-06-14,23.995
2016-06-15,23.68
2016-06-16,23.2
2016-06-17,23.19
2016-06-20,23.05
2016-06-21,23.8
2016-06-22,24.7
2016-06-23,24.7599
2016-06-24,24.25
2016-06-27,23.2799
2016-06-28,22.56
2016-06-29,22.68
2016-06-30,23.44
2016-07-01,23.65
2016-07-05,23.43
2016-07-06,23.82
2016-07-07,23.84
2016-07-08,24.07
2016-07-11,24.42
2016-07-12,25.31
2016-07-13,25.39
2016-07-14,25.35
2016-07-15,24.89
2016-07-18,25.13
2016-07-19,25.16
2016-07-20,25.31
2016-07-21,25.32
2016-07-22,25.61
2016-07-25,26.15
2016-07-26,26.665
2016-07-27,26.96
2016-07-28,27.09
2016-07-29,27.23
2016-08-01,27.03
2016-08-02,26.662
2016-08-03,26.3
2016-08-04,26.2099
2016-08-05,26.48
2016-08-08,26.49
2016-08-09,26.19
2016-08-10,26.45
2016-08-11,27.49
2016-08-12,26.278000000000002
2016-08-15,26.375
2016-08-16,26.13
2016-08-17,25.48
2016-08-18,25.255
2016-08-19,25.56
2016-08-22,25.66
2016-08-23,26.14
2016-08-24,26.1
2016-08-25,25.97
2016-08-26,26.045
2016-08-29,25.97
2016-08-30,25.67
2016-08-31,25.66
2016-09-01,26.53
2016-09-02,26.48
2016-09-06,26.56
2016-09-07,26.67
2016-09-08,26.8
2016-09-09,26.7
2016-09-12,26.8
2016-09-13,26.87
2016-09-14,26.56
2016-09-15,26.37
2016-09-16,26.13
2016-09-19,26.5225
2016-09-20,26.46
2016-09-21,26.96
2016-09-22,27.21
2016-09-23,27.28
2016-09-26,27.09
2016-09-27,26.95
2016-09-28,27.11
2016-09-29,27.315
2016-09-30,27.3
2016-10-03,27.055
2016-10-04,27.18
2016-10-05,27.21
2016-10-06,26.89
2016-10-07,26.77
2016-10-10,26.53
2016-10-11,26.36
2016-10-12,26.19
2016-10-13,26.07
2016-10-14,26.36
2016-10-17,26.36
2016-10-18,26.32
2016-10-19,26.425
2016-10-20,26.36
2016-10-21,26.29
2016-10-24,26.51
2016-10-25,26.16
2016-10-26,25.72
2016-10-27,25.475
2016-10-28,25.1
2016-10-31,25.21
2016-11-01,25.45
2016-11-02,25.65
2016-11-03,25.89
2016-11-04,26.1
2016-11-07,26.4
2016-11-08,26.78
2016-11-09,27.86
2016-11-10,30.23
2016-11-11,30.485
2016-11-14,32.02
2016-11-15,32.49
2016-11-16,31.5
2016-11-17,32.195
2016-11-18,32.47
2016-11-21,31.46
2016-11-22,32.02
2016-11-23,32.01
2016-11-25,32.01
2016-11-28,32.055
2016-11-29,32.825
2016-11-30,32.48
2016-12-01,32.13
2016-12-02,32.14
2016-12-05,32.38
2016-12-06,32.38
2016-12-07,32.29
2016-12-08,32.78
2016-12-09,32.84
2016-12-12,32.78
2016-12-13,31.98
2016-12-14,32.04
2016-12-15,31.83
2016-12-16,31.92
2016-12-19,32.52
2016-12-20,32.39
2016-12-21,32.16
2016-12-22,32.09
2016-12-23,31.93
2016-12-27,32.11
2016-12-28,32.22
2016-12-29,31.98
2016-12-30,32.04
2017-01-03,32.5
2017-01-04,32.56
2017-01-05,32.44
2017-01-06,32.33
2017-01-09,32.2
2017-01-10,32.04
2017-01-11,32.65
2017-01-12,33.54
2017-01-13,33.3
2017-01-17,32.9
2017-01-18,33.0
2017-01-19,32.83
2017-01-20,32.67
2017-01-23,32.6
2017-01-24,32.295
2017-01-25,32.61
2017-01-26,32.38
2017-01-27,32.14
2017-01-30,31.53
2017-01-31,31.17
2017-02-01,31.59
2017-02-02,32.08
2017-02-03,32.4299
2017-02-06,32.49
2017-02-07,32.59
2017-02-08,31.21
2017-02-09,31.22
2017-02-10,31.255
2017-02-13,31.3
2017-02-14,30.78
2017-02-15,30.45
2017-02-16,30.88
2017-02-17,30.53
2017-02-21,30.745
2017-02-22,30.95
2017-02-23,30.97
2017-02-24,30.32
2017-02-27,30.68
2017-02-28,30.47
2017-03-01,30.5
2017-03-02,30.26
2017-03-03,30.1
2017-03-06,29.61
2017-03-07,28.73
2017-03-08,28.725
2017-03-09,28.61
2017-03-10,28.65
2017-03-13,28.82
2017-03-14,28.93
2017-03-15,29.2
2017-03-16,29.3
2017-03-17,29.32
2017-03-20,29.365
2017-03-21,29.58
2017-03-22,29.07
2017-03-23,29.34
2017-03-24,29.53
2017-03-27,29.17
2017-03-28,29.55
2017-03-29,29.62
2017-03-30,29.93
2017-03-31,29.83
2017-04-03,29.22
2017-04-04,28.22
2017-04-05,28.46
2017-04-06,28.1
2017-04-07,28.27
2017-04-10,28.43
2017-04-11,28.19
2017-04-12,28.22
2017-04-13,28.0699
2017-04-17,28.52
2017-04-18,28.68
2017-04-19,28.87
2017-04-20,29.07
2017-04-21,28.95
2017-04-24,29.35
2017-04-25,29.34
2017-04-26,29.34
2017-04-27,29.555
2017-04-28,29.12
2017-05-01,29.32
2017-05-02,29.32
2017-05-03,29.15
2017-05-04,29.51
2017-05-05,29.7199
2017-05-08,29.74
2017-05-09,29.71
2017-05-10,29.48
2017-05-11,29.32
2017-05-12,29.24
2017-05-15,29.51
2017-05-16,29.79
2017-05-17,29.48
2017-05-18,28.9
2017-05-19,29.2
2017-05-22,29.08
2017-05-23,29.33
2017-05-24,29.87
2017-05-25,31.85
2017-05-26,30.97
2017-05-30,30.45
2017-05-31,30.45
2017-06-01,30.77
2017-06-02,30.75
2017-06-05,31.18
2017-06-06,31.125
2017-06-07,31.21
2017-06-08,31.74
2017-06-09,31.82
2017-06-12,32.06
2017-06-13,32.31
2017-06-14,32.51
2017-06-15,32.55
2017-06-16,32.495
2017-06-19,32.78
2017-06-20,32.35
2017-06-21,32.37
2017-06-22,31.953000000000003
2017-06-23,32.11
2017-06-26,32.23
2017-06-27,31.9
2017-06-28,31.91
2017-06-29,32.03
2017-06-30,31.94
2017-07-03,32.19
2017-07-05,32.11
2017-07-06,31.82
2017-07-07,31.97
2017-07-10,32.17
2017-07-11,32.24
2017-07-12,32.91
2017-07-13,32.9215
2017-07-14,32.91
2017-07-17,32.94
2017-07-18,32.99
2017-07-19,33.18
2017-07-20,33.61
2017-07-21,33.67
2017-07-24,33.67
2017-07-25,33.66
2017-07-26,33.47
2017-07-27,33.25
2017-07-28,32.8
2017-07-31,32.94
2017-08-01,33.01
2017-08-02,32.93
2017-08-03,32.82
2017-08-04,33.04
2017-08-07,32.76
2017-08-08,32.84
2017-08-09,32.45
2017-08-10,33.0
2017-08-11,32.59
2017-08-14,32.92
2017-08-15,32.8
2017-08-16,32.49
2017-08-17,32.47
2017-08-18,31.92
2017-08-21,31.81
2017-08-22,31.85
2017-08-23,31.66
2017-08-24,31.43
2017-08-25,31.405
2017-08-28,31.54
2017-08-29,31.5
2017-08-30,31.41
2017-08-31,31.59
2017-09-01,32.15
2017-09-05,32.32
2017-09-06,32.99
2017-09-07,32.760999999999996
2017-09-08,32.5
2017-09-11,32.86
2017-09-12,32.7221
2017-09-13,32.6
2017-09-14,32.15
2017-09-15,32.41
2017-09-18,32.13
2017-09-19,31.89
2017-09-20,32.08
2017-09-21,32.325
2017-09-22,32.32
2017-09-25,32.04
2017-09-26,32.06
2017-09-27,32.29
2017-09-28,32.1
2017-09-29,32.31
2017-10-02,32.77
2017-10-03,32.16
2017-10-04,32.11
2017-10-05,31.899
2017-10-06,31.57
2017-10-09,31.71
2017-10-10,31.88
2017-10-11,31.85
2017-10-12,31.41
2017-10-13,31.49
2017-10-16,31.41
2017-10-17,31.32
2017-10-18,31.35
2017-10-19,31.3
2017-10-20,31.76
2017-10-23,31.8
2017-10-24,31.74
2017-10-25,32.16
2017-10-26,32.18
2017-10-27,31.83
2017-10-30,32.12
2017-10-31,32.2
2017-11-01,32.34
2017-11-02,32.16
2017-11-03,31.835
2017-11-06,31.99
2017-11-07,31.99
2017-11-08,31.62
2017-11-09,29.75
2017-11-10,29.075
2017-11-13,28.8
2017-11-14,28.55
2017-11-15,27.9
2017-11-16,28.04
2017-11-17,27.87
2017-11-20,27.7
2017-11-21,28.65
2017-11-22,28.91
2017-11-24,28.62
2017-11-27,28.51
2017-11-28,28.63
2017-11-29,28.68
2017-11-30,29.21
2017-12-01,29.02
2017-12-04,29.56
2017-12-05,29.27
2017-12-06,29.18
2017-12-07,29.44
2017-12-08,29.54
2017-12-11,29.49
2017-12-12,29.45
2017-12-13,30.14
2017-12-14,30.03
2017-12-15,30.31
2017-12-18,30.69
2017-12-19,30.62
2017-12-20,30.575
2017-12-21,30.58
2017-12-22,30.4
2017-12-26,30.41
2017-12-27,30.61
2017-12-28,30.51
2017-12-29,30.23
2018-01-02,30.47
2018-01-03,30.65
2018-01-04,30.97
2018-01-05,31.19
2018-01-08,31.31
2018-01-09,31.19
2018-01-10,31.63
2018-01-11,32.145
2018-01-12,32.26
2018-01-16,32.33
2018-01-17,32.11
2018-01-18,32.02
2018-01-19,32.2
2018-01-22,32.22
2018-01-23,32.58
2018-01-24,32.86
2018-01-25,32.96
2018-01-26,33.07
2018-01-29,33.41
2018-01-30,33.23
2018-01-31,33.39
2018-02-01,33.79
2018-02-02,33.44
2018-02-05,32.24
