dt,high
2010-01-04,33.055
2010-01-05,33.03
2010-01-06,32.98
2010-01-07,33.87
2010-01-08,34.41
2010-01-11,34.18
2010-01-12,33.97
2010-01-13,34.1
2010-01-14,34.05
2010-01-15,34.14
2010-01-19,34.06
2010-01-20,34.035
2010-01-21,33.97
2010-01-22,33.82
2010-01-25,33.45
2010-01-26,33.19
2010-01-27,33.04
2010-01-28,33.26
2010-01-29,33.0
2010-02-01,32.95
2010-02-02,33.61
2010-02-03,33.03
2010-02-04,32.6
2010-02-05,31.5
2010-02-08,33.92
2010-02-09,33.25
2010-02-10,32.85
2010-02-11,33.29
2010-02-12,33.32
2010-02-16,33.63
2010-02-17,34.15
2010-02-18,34.25
2010-02-19,34.42
2010-02-22,34.49
2010-02-23,34.24
2010-02-24,34.53
2010-02-25,34.53
2010-02-26,34.07
2010-03-01,34.48
2010-03-02,34.75
2010-03-03,34.98
2010-03-04,35.09
2010-03-05,35.16
2010-03-08,35.16
2010-03-09,35.0
2010-03-10,35.01
2010-03-11,34.9
2010-03-12,34.82
2010-03-15,34.87
2010-03-16,35.0984
2010-03-17,35.4
2010-03-18,35.31
2010-03-19,35.26
2010-03-22,35.28
2010-03-23,36.0
2010-03-24,36.1
2010-03-25,36.55
2010-03-26,37.0
2010-03-29,37.14
2010-03-30,37.32
2010-03-31,36.97
2010-04-01,36.51
2010-04-05,36.3
2010-04-06,36.01
2010-04-07,35.83
2010-04-08,36.72
2010-04-09,37.26
2010-04-12,37.2
2010-04-13,37.25
2010-04-14,37.32
2010-04-15,37.69
2010-04-16,37.72
2010-04-19,37.21
2010-04-20,37.43
2010-04-21,37.4
2010-04-22,37.08
2010-04-23,37.1
2010-04-26,37.12
2010-04-27,37.0125
2010-04-28,37.47
2010-04-29,37.62
2010-04-30,37.82
2010-05-03,37.43
2010-05-04,37.39
2010-05-05,36.885
2010-05-06,36.3
2010-05-07,35.5
2010-05-10,36.24
2010-05-11,36.41
2010-05-12,36.38
2010-05-13,36.83
2010-05-14,36.45
2010-05-17,35.99
2010-05-18,36.07
2010-05-19,35.07
2010-05-20,34.455
2010-05-21,34.31
2010-05-24,34.34
2010-05-25,34.11
2010-05-26,34.365
2010-05-27,34.61
2010-05-28,34.98
2010-06-01,34.93
2010-06-02,35.21
2010-06-03,35.31
2010-06-04,34.57
2010-06-07,32.04
2010-06-08,31.35
2010-06-09,31.45
2010-06-10,31.98
2010-06-11,32.12
2010-06-14,32.75
2010-06-15,32.255
2010-06-16,32.26
2010-06-17,32.08
2010-06-18,33.5
2010-06-21,33.04
2010-06-22,31.84
2010-06-23,31.64
2010-06-24,31.28
2010-06-25,30.87
2010-06-28,31.08
2010-06-29,30.65
2010-06-30,29.94
2010-07-01,29.3
2010-07-02,29.54
2010-07-06,29.57
2010-07-07,29.14
2010-07-08,29.52
2010-07-09,29.87
2010-07-12,30.04
2010-07-13,30.68
2010-07-14,30.7775
2010-07-15,30.84
2010-07-16,30.77
2010-07-19,30.31
2010-07-20,30.54
2010-07-21,30.66
2010-07-22,30.8
2010-07-23,31.12
2010-07-26,31.24
2010-07-27,31.19
2010-07-28,32.09
2010-07-29,31.94
2010-07-30,30.89
2010-08-02,31.23
2010-08-03,31.25
2010-08-04,31.1
2010-08-05,30.48
2010-08-06,30.01
2010-08-09,30.09
2010-08-10,29.97
2010-08-11,29.42
2010-08-12,29.2
2010-08-13,29.01
2010-08-16,28.8
2010-08-17,29.15
2010-08-18,29.21
2010-08-19,29.05
2010-08-20,28.69
2010-08-23,28.65
2010-08-24,28.28
2010-08-25,28.18
2010-08-26,28.31
2010-08-27,27.92
2010-08-30,27.88
2010-08-31,27.35
2010-09-01,27.99
2010-09-02,28.38
2010-09-03,29.02
2010-09-07,28.73
2010-09-08,28.63
2010-09-09,28.85
2010-09-10,29.149
2010-09-13,29.35
2010-09-14,29.47
2010-09-15,29.46
2010-09-16,29.57
2010-09-17,29.93
2010-09-20,30.4
2010-09-21,30.4
2010-09-22,30.27
2010-09-23,30.35
2010-09-24,31.18
2010-09-27,31.14
2010-09-28,31.7
2010-09-29,31.6
2010-09-30,31.75
2010-10-01,32.02
2010-10-04,32.11
2010-10-05,32.48
2010-10-06,32.41
2010-10-07,32.5
2010-10-08,31.44
2010-10-11,31.31
2010-10-12,31.1
2010-10-13,31.97
2010-10-14,31.74
2010-10-15,31.56
2010-10-18,31.35
2010-10-19,31.19
2010-10-20,31.17
2010-10-21,31.53
2010-10-22,31.66
2010-10-25,31.76
2010-10-26,31.25
2010-10-27,30.88
2010-10-28,30.92
2010-10-29,30.575
2010-11-01,30.41
2010-11-02,30.89
2010-11-03,31.1
2010-11-04,31.53
2010-11-05,31.58
2010-11-08,31.31
2010-11-09,31.4
2010-11-10,31.15
2010-11-11,31.07
2010-11-12,30.75
2010-11-15,30.42
2010-11-16,30.19
2010-11-17,30.08
2010-11-18,30.98
2010-11-19,31.04
2010-11-22,31.23
2010-11-23,31.01
2010-11-24,31.69
2010-11-26,31.38
2010-11-29,31.535
2010-11-30,31.3
2010-12-01,31.99
2010-12-02,32.4
2010-12-03,32.5
2010-12-06,32.54
2010-12-07,33.25
2010-12-08,33.43
2010-12-09,33.62
2010-12-10,33.755
2010-12-13,33.98
2010-12-14,34.18
2010-12-15,34.04
2010-12-16,34.56
2010-12-17,34.54
2010-12-20,34.6
2010-12-21,34.67
2010-12-22,35.46
2010-12-23,34.93
2010-12-27,34.76
2010-12-28,34.94
2010-12-29,34.98
2010-12-30,35.22
2010-12-31,35.19
2011-01-03,35.17
2011-01-04,35.08
2011-01-05,35.43
2011-01-06,35.31
2011-01-07,35.34
2011-01-10,35.33
2011-01-11,35.74
2011-01-12,35.95
2011-01-13,34.88
2011-01-14,35.15
2011-01-18,35.21
2011-01-19,35.02
2011-01-20,35.5
2011-01-21,35.81
2011-01-24,35.47
2011-01-25,35.18
2011-01-26,35.9
2011-01-27,35.76
2011-01-28,35.8
2011-01-31,34.66
2011-02-01,35.24
2011-02-02,35.3
2011-02-03,33.54
2011-02-04,33.06
2011-02-07,33.26
2011-02-08,33.4
2011-02-09,33.76
2011-02-10,33.42
2011-02-11,33.06
2011-02-14,33.0
2011-02-15,33.15
2011-02-16,33.12
2011-02-17,32.91
2011-02-18,33.1
2011-02-22,33.03
2011-02-23,32.81
2011-02-24,32.63
2011-02-25,33.05
2011-02-28,33.31
2011-03-01,33.61
2011-03-02,33.34
2011-03-03,33.76
2011-03-04,33.74
2011-03-07,33.32
2011-03-08,33.54
2011-03-09,34.25
2011-03-10,34.24
2011-03-11,34.1
2011-03-14,33.96
2011-03-15,33.28
2011-03-16,33.16
2011-03-17,33.47
2011-03-18,33.86
2011-03-21,34.06
2011-03-22,33.65
2011-03-23,33.69
2011-03-24,34.18
2011-03-25,34.12
2011-03-28,34.17
2011-03-29,33.82
2011-03-30,34.06
2011-03-31,34.32
2011-04-01,34.96
2011-04-04,34.99
2011-04-05,35.2
2011-04-06,36.14
