dt,high
2010-01-04,29.14
2010-01-05,29.17
2010-01-06,29.44
2010-01-07,29.16
2010-01-08,29.55
2010-01-11,28.99
2010-01-12,28.76
2010-01-13,28.59
2010-01-14,28.6375
2010-01-15,28.59
2010-01-19,28.52
2010-01-20,28.43
2010-01-21,28.47
2010-01-22,27.69
2010-01-25,27.59
2010-01-26,27.555
2010-01-27,27.54
2010-01-28,27.9
2010-01-29,28.0
2010-02-01,27.91
2010-02-02,28.13
2010-02-03,28.25
2010-02-04,27.93
2010-02-05,27.14
2010-02-08,27.27
2010-02-09,27.125
2010-02-10,26.9098
2010-02-11,27.295
2010-02-12,27.14
2010-02-16,27.54
2010-02-17,28.71
2010-02-18,29.18
2010-02-19,29.225
2010-02-22,29.05
2010-02-23,28.69
2010-02-24,28.69
2010-02-25,32.02
2010-02-26,32.03
2010-03-01,32.18
2010-03-02,31.73
2010-03-03,32.0
2010-03-04,32.14
2010-03-05,32.45
2010-03-08,33.05
2010-03-09,33.93
2010-03-10,33.85
2010-03-11,35.24
2010-03-12,35.33
2010-03-15,35.7
2010-03-16,36.58
2010-03-17,36.8
2010-03-18,37.06
2010-03-19,36.85
2010-03-22,36.93
2010-03-23,36.97
2010-03-24,36.62
2010-03-25,36.75
2010-03-26,36.39
2010-03-29,35.99
2010-03-30,36.01
2010-03-31,35.68
2010-04-01,35.54
2010-04-05,35.93
2010-04-06,35.59
2010-04-07,35.52
2010-04-08,35.48
2010-04-09,35.23
2010-04-12,35.28
2010-04-13,35.109
2010-04-14,35.12
2010-04-15,34.685
2010-04-16,34.4
2010-04-19,34.2
2010-04-20,34.29
2010-04-21,34.36
2010-04-22,33.72
2010-04-23,33.77
2010-04-26,34.2
2010-04-27,33.9
2010-04-28,33.58
2010-04-29,34.35
2010-04-30,34.44
2010-05-03,34.54
2010-05-04,34.1
2010-05-05,34.55
2010-05-06,36.0
2010-05-07,36.4
2010-05-10,36.77
2010-05-11,37.45
2010-05-12,38.14
2010-05-13,38.9
2010-05-14,37.79
2010-05-17,38.2
2010-05-18,38.93
2010-05-19,38.19
2010-05-20,37.64
2010-05-21,36.93
2010-05-24,37.15
2010-05-25,37.145
2010-05-26,37.84
2010-05-27,38.34
2010-05-28,38.4296
2010-06-01,38.31
2010-06-02,38.0
2010-06-03,38.42
2010-06-04,37.22
2010-06-07,36.31
2010-06-08,37.04
2010-06-09,36.78
2010-06-10,37.13
2010-06-11,37.37
2010-06-14,37.91
2010-06-15,37.9099
2010-06-16,38.25
2010-06-17,38.25
2010-06-18,38.37
2010-06-21,38.5
2010-06-22,38.38
2010-06-23,37.69
2010-06-24,37.54
2010-06-25,37.22
2010-06-28,38.2
2010-06-29,38.06
2010-06-30,38.08
2010-07-01,37.55
2010-07-02,38.03
2010-07-06,38.09
2010-07-07,38.06
2010-07-08,38.25
2010-07-09,38.74
2010-07-12,38.69
2010-07-13,39.31
2010-07-14,39.54
2010-07-15,39.49
2010-07-16,39.03
2010-07-19,38.98
2010-07-20,39.66
2010-07-21,39.89
2010-07-22,39.8
2010-07-23,39.82
2010-07-26,40.24
2010-07-27,40.01
2010-07-28,39.88
2010-07-29,38.28
2010-07-30,37.84
2010-08-02,38.3
2010-08-03,37.85
2010-08-04,37.83
2010-08-05,37.62
2010-08-06,37.28
2010-08-09,37.46
2010-08-10,37.59
2010-08-11,37.16
2010-08-12,37.03
2010-08-13,37.07
2010-08-16,36.89
2010-08-17,37.04
2010-08-18,37.05
2010-08-19,37.02
2010-08-20,36.85
2010-08-23,37.0
2010-08-24,37.15
2010-08-25,37.43
2010-08-26,37.61
2010-08-27,37.45
2010-08-30,37.54
2010-08-31,37.1
2010-09-01,37.74
2010-09-02,38.05
2010-09-03,38.38
2010-09-07,38.48
2010-09-08,38.77
2010-09-09,38.52
2010-09-10,35.27
2010-09-13,35.23
2010-09-14,34.91
2010-09-15,35.69
2010-09-16,35.26
2010-09-17,35.4
2010-09-20,35.54
2010-09-21,35.326
2010-09-22,34.97
2010-09-23,34.24
2010-09-24,35.3
2010-09-27,35.08
2010-09-28,35.74
2010-09-29,35.7
2010-09-30,35.86
2010-10-01,36.03
2010-10-04,35.02
2010-10-05,35.6
2010-10-06,35.49
2010-10-07,35.01
2010-10-08,34.99
2010-10-11,34.94
2010-10-12,34.94
2010-10-13,35.5
2010-10-14,35.56
2010-10-15,35.37
2010-10-18,35.04
2010-10-19,34.17
2010-10-20,35.12
2010-10-21,35.86
2010-10-22,35.98
2010-10-25,36.22
2010-10-26,36.06
2010-10-27,36.79
2010-10-28,37.01
2010-10-29,36.6
2010-11-01,36.86
2010-11-02,37.31
2010-11-03,37.48
2010-11-04,37.54
2010-11-05,37.45
2010-11-08,37.22
2010-11-09,36.8
2010-11-10,36.6799
2010-11-11,36.51
2010-11-12,36.42
2010-11-15,36.77
2010-11-16,37.08
2010-11-17,36.55
2010-11-18,37.33
2010-11-19,38.15
2010-11-22,38.23
2010-11-23,37.73
2010-11-24,37.77
2010-11-26,37.51
2010-11-29,37.02
2010-11-30,36.76
2010-12-01,37.24
2010-12-02,37.86
2010-12-03,37.9
2010-12-06,37.51
2010-12-07,37.3
2010-12-08,36.89
2010-12-09,37.64
2010-12-10,37.6
2010-12-13,37.64
2010-12-14,37.28
2010-12-15,37.36
2010-12-16,37.2
2010-12-17,38.03
2010-12-20,38.04
2010-12-21,37.22
2010-12-22,36.9
2010-12-23,36.42
2010-12-27,36.35
2010-12-28,36.129
2010-12-29,36.07
2010-12-30,35.84
2010-12-31,35.67
2011-01-03,35.55
2011-01-04,35.56
2011-01-05,36.44
2011-01-06,36.72
2011-01-07,36.53
2011-01-10,35.54
2011-01-11,35.75
2011-01-12,36.2
2011-01-13,36.1
2011-01-14,35.73
2011-01-18,35.6705
2011-01-19,35.55
2011-01-20,35.46
2011-01-21,35.37
