dt,high
2016-09-07,49.38
2016-09-08,50.89
2016-09-09,50.17
2016-09-12,49.7
2016-09-13,49.64
2016-09-14,48.62
2016-09-15,49.03
2016-09-16,48.99
2016-09-19,48.89
2016-09-20,48.94
2016-09-21,49.0
2016-09-22,48.75
2016-09-23,48.4699
2016-09-26,48.06
2016-09-27,47.978
2016-09-28,48.11
2016-09-29,47.93
2016-09-30,48.1
2016-10-03,48.05
2016-10-04,48.0
2016-10-05,48.86
2016-10-06,48.57
2016-10-07,48.47
2016-10-10,48.4
2016-10-11,47.73
2016-10-12,47.45
2016-10-13,47.45
2016-10-14,47.61
2016-10-17,47.66
2016-10-18,47.8
2016-10-19,48.04
2016-10-20,47.84
2016-10-21,47.62
2016-10-24,48.1
2016-10-25,47.94
2016-10-26,47.35
2016-10-27,49.75
2016-10-28,49.165
2016-10-31,49.49
2016-11-01,49.48
2016-11-02,49.1
2016-11-03,49.43
2016-11-04,49.22
2016-11-07,50.0
2016-11-08,49.94
2016-11-09,49.88
2016-11-10,50.05
2016-11-11,49.45
2016-11-14,49.55
2016-11-15,50.33
2016-11-16,50.83
2016-11-17,52.1513
2016-11-18,52.34
2016-11-21,52.71
2016-11-22,52.85
2016-11-23,52.34
2016-11-25,52.42
2016-11-28,52.4
2016-11-29,53.48
2016-11-30,53.7
2016-12-01,53.65
2016-12-02,52.99
2016-12-05,53.43
2016-12-06,53.5
2016-12-07,54.16
2016-12-08,54.9
2016-12-09,54.5
2016-12-12,54.23
2016-12-13,54.5
2016-12-14,54.46
2016-12-15,57.0
2016-12-16,56.84
2016-12-19,56.71
2016-12-20,57.24
2016-12-21,57.65
2016-12-22,57.05
2016-12-23,56.2
2016-12-27,56.44
2016-12-28,56.21
2016-12-29,55.578
2016-12-30,55.3
2017-01-03,55.26
2017-01-04,55.42
2017-01-05,55.57
2017-01-06,56.96
2017-01-09,56.64
2017-01-10,57.67
2017-01-11,57.65
2017-01-12,57.76
2017-01-13,58.27
2017-01-17,58.98
2017-01-18,58.6
2017-01-19,59.39
2017-01-20,59.47
2017-01-23,59.24
2017-01-24,59.92
2017-01-25,60.33
2017-01-26,60.24
2017-01-27,63.0
2017-01-30,62.56
2017-01-31,63.0
2017-02-01,63.3
2017-02-02,64.1
2017-02-03,64.64
2017-02-06,64.92
2017-02-07,65.14
2017-02-08,65.095
2017-02-09,65.78
2017-02-10,65.469
2017-02-13,65.62
2017-02-14,65.29
2017-02-15,65.31
2017-02-16,65.78
2017-02-17,65.27
2017-02-21,65.29
2017-02-22,65.27
2017-02-23,65.0
2017-02-24,64.32
2017-02-27,64.18
2017-02-28,63.96
2017-03-01,64.49
2017-03-02,64.49
2017-03-03,63.425
2017-03-06,63.33
2017-03-07,63.46
2017-03-08,63.96
2017-03-09,63.45
2017-03-10,63.83
2017-03-13,63.8445
2017-03-14,63.65
2017-03-15,64.11
2017-03-16,64.23
2017-03-17,64.75
2017-03-20,64.28
2017-03-21,64.39
2017-03-22,63.2
2017-03-23,63.65
2017-03-24,64.1
2017-03-27,63.67
2017-03-28,64.11
2017-03-29,64.01
2017-03-30,65.28
2017-03-31,64.4
2017-04-03,64.92
2017-04-04,64.6
2017-04-05,64.93
2017-04-06,64.49
2017-04-07,64.96
2017-04-10,65.26
2017-04-11,65.2
2017-04-12,64.92
2017-04-13,64.47
2017-04-17,64.34
2017-04-18,64.65
2017-04-19,64.7
2017-04-20,65.03
2017-04-21,65.03
2017-04-24,66.24
2017-04-25,66.9457
2017-04-26,67.54
2017-04-27,67.59
2017-04-28,67.75
2017-05-01,67.71
2017-05-02,67.8
2017-05-03,66.83
2017-05-04,66.53
2017-05-05,67.38
2017-05-08,67.98899999999999
2017-05-09,68.25
2017-05-10,67.42
2017-05-11,66.62
2017-05-12,66.38
2017-05-15,66.56
2017-05-16,66.9599
2017-05-17,66.14
2017-05-18,64.85
2017-05-19,65.65
2017-05-22,67.5
2017-05-23,67.98
2017-05-24,68.12
2017-05-25,69.08
2017-05-26,69.08
2017-05-30,69.34
2017-05-31,69.39
2017-06-01,69.725
2017-06-02,69.04
2017-06-05,68.2
2017-06-06,67.31
2017-06-07,67.87
2017-06-08,67.48
2017-06-09,65.2
2017-06-12,62.63
2017-06-13,63.18
2017-06-14,63.31
2017-06-15,61.92
2017-06-16,62.32
2017-06-19,63.174
2017-06-20,62.87
2017-06-21,63.55
2017-06-22,64.11
2017-06-23,64.34
2017-06-26,64.35
2017-06-27,63.4
2017-06-28,62.9
2017-06-29,62.45
2017-06-30,61.42
2017-07-03,61.97
2017-07-05,61.0
2017-07-06,60.91
2017-07-07,61.74
2017-07-10,61.71
2017-07-11,61.99
2017-07-12,61.93
2017-07-13,61.73
2017-07-14,61.5
2017-07-17,63.01
2017-07-18,62.91
2017-07-19,63.69
2017-07-20,64.025
2017-07-21,64.04
2017-07-24,63.85
2017-07-25,64.19
2017-07-26,64.2
2017-07-27,64.2
2017-07-28,63.84
2017-07-31,64.54
2017-08-01,64.63
2017-08-02,64.49
2017-08-03,64.12
2017-08-04,64.54
2017-08-07,64.69
2017-08-08,64.79
2017-08-09,64.33
2017-08-10,64.0
2017-08-11,63.33
2017-08-14,68.15
2017-08-15,67.92
2017-08-16,67.58
2017-08-17,67.64
2017-08-18,66.99
2017-08-21,67.2
2017-08-22,68.97
2017-08-23,69.23
2017-08-24,70.11
2017-08-25,72.6
2017-08-28,73.16
2017-08-29,73.275
2017-08-30,74.3
2017-08-31,75.0
2017-09-01,75.07
2017-09-05,75.1
2017-09-06,75.14
2017-09-07,75.34
2017-09-08,75.263
2017-09-11,75.61
2017-09-12,76.265
2017-09-13,76.93
2017-09-14,77.69
2017-09-15,77.42
2017-09-18,77.43
2017-09-19,77.24
2017-09-20,77.15
2017-09-21,77.12
2017-09-22,77.01
2017-09-25,76.95
2017-09-26,76.58
2017-09-27,77.54
2017-09-28,77.34
2017-09-29,77.6
2017-10-02,78.43
2017-10-03,78.68
2017-10-04,78.44
2017-10-05,79.18
2017-10-06,79.06
2017-10-09,79.52
2017-10-10,79.81
2017-10-11,79.5
2017-10-12,80.32
2017-10-13,80.96
2017-10-16,81.49
2017-10-17,81.45
2017-10-18,81.7
2017-10-19,81.75
2017-10-20,82.5
2017-10-23,83.171
2017-10-24,83.25
2017-10-25,83.35
2017-10-26,83.2
2017-10-27,83.98
2017-10-30,83.88
2017-10-31,83.32
2017-11-01,83.32
2017-11-02,82.23
2017-11-03,81.85
2017-11-06,82.23
2017-11-07,82.68
2017-11-08,82.825
2017-11-09,82.19
2017-11-10,82.6
2017-11-13,82.41
2017-11-14,81.93
2017-11-15,81.13
2017-11-16,82.0
2017-11-17,81.89
2017-11-20,82.23
2017-11-21,82.88
2017-11-22,82.4
2017-11-24,81.39
2017-11-27,82.15
2017-11-28,82.88
2017-11-29,82.45
2017-11-30,78.86
2017-12-01,81.93
2017-12-04,80.25
2017-12-05,75.82
2017-12-06,75.48
2017-12-07,76.97
2017-12-08,77.69
2017-12-11,79.34
2017-12-12,80.0
2017-12-13,80.77
2017-12-14,81.16
