dt,high
2010-01-04,31.52
2010-01-05,31.4895
2010-01-06,31.88
2010-01-07,31.94
2010-01-08,31.97
2010-01-11,32.1
2010-01-12,31.67
2010-01-13,31.79
2010-01-14,31.98
2010-01-15,31.93
2010-01-19,31.96
2010-01-20,31.8595
2010-01-21,32.25
2010-01-22,31.69
2010-01-25,31.92
2010-01-26,31.91
2010-01-27,32.15
2010-01-28,32.21
2010-01-29,32.18
2010-02-01,33.4
2010-02-02,33.59
2010-02-03,33.39
2010-02-04,32.74
2010-02-05,32.19
2010-02-08,31.72
2010-02-09,31.81
2010-02-10,31.605
2010-02-11,31.67
2010-02-12,31.69
2010-02-16,31.98
2010-02-17,32.58
2010-02-18,32.54
2010-02-19,32.19
2010-02-22,32.08
2010-02-23,32.12
2010-02-24,32.31
2010-02-25,32.33
2010-02-26,32.4
2010-03-01,32.69
2010-03-02,32.98
2010-03-03,32.94
2010-03-04,32.81
2010-03-05,33.33
2010-03-08,33.34
2010-03-09,33.3
2010-03-10,33.35
2010-03-11,33.28
2010-03-12,33.5
2010-03-15,33.79
2010-03-16,34.7
2010-03-17,35.18
2010-03-18,36.07
2010-03-19,35.93
2010-03-22,35.95
2010-03-23,35.94
2010-03-24,36.03
2010-03-25,36.19
2010-03-26,36.11
2010-03-29,36.63
2010-03-30,36.55
2010-03-31,36.08
2010-04-01,36.16
2010-04-05,36.05
2010-04-06,35.98
2010-04-07,35.9
2010-04-08,35.625
2010-04-09,35.64
2010-04-12,35.62
2010-04-13,35.69
2010-04-14,35.81
2010-04-15,35.76
2010-04-16,35.62
2010-04-19,35.04
2010-04-20,35.24
2010-04-21,35.34
2010-04-22,35.94
2010-04-23,35.97
2010-04-26,36.22
2010-04-27,36.19
2010-04-28,35.705
2010-04-29,33.9
2010-04-30,33.9
2010-05-03,34.04
2010-05-04,33.51
2010-05-05,33.42
2010-05-06,33.54
2010-05-07,32.07
2010-05-10,33.2
2010-05-11,33.02
2010-05-12,33.25
2010-05-13,33.36
2010-05-14,32.7039
2010-05-17,32.53
2010-05-18,32.7588
2010-05-19,31.91
2010-05-20,31.17
2010-05-21,29.94
2010-05-24,30.05
2010-05-25,29.62
2010-05-26,30.57
2010-05-27,30.61
2010-05-28,30.62
2010-06-01,30.2
2010-06-02,29.82
2010-06-03,30.01
2010-06-04,29.51
2010-06-07,28.96
2010-06-08,28.79
2010-06-09,29.18
2010-06-10,29.58
2010-06-11,29.68
2010-06-14,30.0
2010-06-15,30.42
2010-06-16,30.57
2010-06-17,30.52
2010-06-18,30.36
2010-06-21,30.74
2010-06-22,30.125
2010-06-23,29.63
2010-06-24,29.54
2010-06-25,29.3
2010-06-28,29.62
2010-06-29,28.98
2010-06-30,28.59
2010-07-01,28.27
2010-07-02,28.44
2010-07-06,28.47
2010-07-07,28.61
2010-07-08,28.98
2010-07-09,28.95
2010-07-12,28.99
2010-07-13,29.71
2010-07-14,30.11
2010-07-15,29.93
2010-07-16,29.73
2010-07-19,29.36
2010-07-20,29.82
2010-07-21,29.99
2010-07-22,30.18
2010-07-23,30.52
2010-07-26,31.24
2010-07-27,31.51
2010-07-28,30.82
2010-07-29,31.62
2010-07-30,31.4
2010-08-02,31.92
2010-08-03,31.85
2010-08-04,31.73
2010-08-05,31.95
2010-08-06,31.83
2010-08-09,32.29
2010-08-10,32.03
2010-08-11,31.2
2010-08-12,30.32
2010-08-13,30.38
2010-08-16,30.43
2010-08-17,30.99
2010-08-18,31.03
2010-08-19,30.85
2010-08-20,30.56
2010-08-23,30.23
2010-08-24,29.53
2010-08-25,29.63
2010-08-26,29.68
2010-08-27,29.89
2010-08-30,29.94
2010-08-31,29.67
2010-09-01,30.22
2010-09-02,30.5
2010-09-03,30.67
2010-09-07,30.29
2010-09-08,30.05
2010-09-09,30.33
2010-09-10,30.035
2010-09-13,30.27
2010-09-14,30.17
2010-09-15,29.92
2010-09-16,29.83
2010-09-17,30.14
2010-09-20,30.555
2010-09-21,30.72
2010-09-22,30.63
2010-09-23,30.27
2010-09-24,30.84
2010-09-27,30.91
2010-09-28,31.08
2010-09-29,31.19
2010-09-30,31.69
2010-10-01,31.52
2010-10-04,31.21
2010-10-05,31.46
2010-10-06,31.62
2010-10-07,31.8
2010-10-08,31.6
2010-10-11,31.63
2010-10-12,31.54
2010-10-13,32.04
2010-10-14,32.26
2010-10-15,32.32
2010-10-18,32.38
2010-10-19,32.48
2010-10-20,32.47
2010-10-21,32.7
2010-10-22,32.79
2010-10-25,33.13
2010-10-26,33.06
2010-10-27,32.79
2010-10-28,33.25
2010-10-29,33.18
2010-11-01,33.93
2010-11-02,34.23
2010-11-03,34.3618
2010-11-04,34.96
2010-11-05,34.9
2010-11-08,34.85
2010-11-09,34.87
2010-11-10,34.91
2010-11-11,34.9
2010-11-12,34.8
2010-11-15,34.52
2010-11-16,34.22
2010-11-17,34.54
2010-11-18,34.86
2010-11-19,34.82
2010-11-22,34.6
2010-11-23,34.28
2010-11-24,35.08
2010-11-26,35.06
2010-11-29,35.12
2010-11-30,34.76
2010-12-01,35.35
2010-12-02,35.99
2010-12-03,35.78
2010-12-06,35.55
2010-12-07,35.84
2010-12-08,35.68
2010-12-09,35.5
2010-12-10,35.45
2010-12-13,35.55
2010-12-14,35.25
2010-12-15,35.21
2010-12-16,35.68
2010-12-17,35.87
2010-12-20,35.91
2010-12-21,35.89
2010-12-22,35.93
2010-12-23,35.65
2010-12-27,35.97
2010-12-28,35.95
2010-12-29,36.13
2010-12-30,36.0
2010-12-31,35.94
2011-01-03,36.2995
2011-01-04,36.24
2011-01-05,36.18
2011-01-06,36.25
2011-01-07,36.38
2011-01-10,36.04
2011-01-11,36.13
2011-01-12,36.25
2011-01-13,36.4
2011-01-14,37.11
2011-01-18,37.13
2011-01-19,36.94
2011-01-20,36.49
2011-01-21,36.3
2011-01-24,36.25
2011-01-25,36.23
2011-01-26,36.65
2011-01-27,36.4
2011-01-28,36.44
2011-01-31,35.93
2011-02-01,36.16
2011-02-02,36.37
2011-02-03,36.185
2011-02-04,36.27
2011-02-07,36.89
2011-02-08,37.0
2011-02-09,36.94
2011-02-10,36.17
2011-02-11,36.42
2011-02-14,36.45
2011-02-15,36.36
2011-02-16,36.54
2011-02-17,36.19
2011-02-18,36.32
2011-02-22,36.14
2011-02-23,35.68
2011-02-24,34.98
2011-02-25,35.38
2011-02-28,35.75
2011-03-01,35.98
2011-03-02,35.97
2011-03-03,36.58
2011-03-04,36.67
2011-03-07,36.19
2011-03-08,36.52
2011-03-09,36.89
2011-03-10,36.51
2011-03-11,36.9
2011-03-14,36.92
2011-03-15,36.0
2011-03-16,35.85
2011-03-17,35.93
2011-03-18,36.03
2011-03-21,37.12
2011-03-22,36.84
2011-03-23,36.99
2011-03-24,37.36
2011-03-25,37.72
2011-03-28,37.79
2011-03-29,38.04
2011-03-30,38.56
2011-03-31,38.88
2011-04-01,39.69
2011-04-04,39.9
2011-04-05,39.84
2011-04-06,39.69
2011-04-07,39.43
2011-04-08,38.97
2011-04-11,38.43
2011-04-12,38.11
2011-04-13,37.81
2011-04-14,37.37
2011-04-15,37.49
2011-04-18,36.96
2011-04-19,37.21
2011-04-20,37.83
2011-04-21,38.04
2011-04-25,37.96
2011-04-26,38.16
2011-04-27,38.05
2011-04-28,37.79
2011-04-29,37.84
2011-05-02,38.39
2011-05-03,38.46
2011-05-04,38.52
2011-05-05,39.15
2011-05-06,39.36
2011-05-09,38.47
2011-05-10,38.8
2011-05-11,38.66
2011-05-12,38.08
2011-05-13,38.06
2011-05-16,37.74
2011-05-17,37.33
2011-05-18,37.56
2011-05-19,37.81
2011-05-20,37.6
2011-05-23,37.15
2011-05-24,37.14
2011-05-25,37.06
2011-05-26,37.22
2011-05-27,37.3061
2011-05-31,37.82
2011-06-01,37.8
2011-06-02,37.22
2011-06-03,36.72
2011-06-06,36.46
2011-06-07,36.4
2011-06-08,36.09
2011-06-09,35.67
2011-06-10,35.6
2011-06-13,35.03
2011-06-14,35.24
2011-06-15,34.9
2011-06-16,34.54
2011-06-17,34.62
2011-06-20,34.29
2011-06-21,34.53
2011-06-22,34.42
2011-06-23,33.87
2011-06-24,33.86
2011-06-27,33.96
2011-06-28,34.14
2011-06-29,34.3
2011-06-30,34.85
2011-07-01,35.17
2011-07-05,35.09
2011-07-06,35.43
2011-07-07,35.75
2011-07-08,35.35
2011-07-11,34.59
2011-07-12,34.38
2011-07-13,34.65
2011-07-14,34.6
2011-07-15,34.36
2011-07-18,34.25
2011-07-19,34.29
2011-07-20,34.4
2011-07-21,34.89
2011-07-22,34.81
2011-07-25,34.375
2011-07-26,34.14
2011-07-27,33.89
2011-07-28,35.37
2011-07-29,34.72
2011-08-01,34.83
2011-08-02,34.13
2011-08-03,33.58
2011-08-04,32.93
2011-08-05,32.28
2011-08-08,31.26
2011-08-09,30.85
2011-08-10,30.47
2011-08-11,30.99
2011-08-12,31.1
2011-08-15,31.19
2011-08-16,30.86
2011-08-17,30.9
2011-08-18,29.91
2011-08-19,29.56
2011-08-22,29.48
2011-08-23,30.06
2011-08-24,30.86
2011-08-25,31.04
2011-08-26,31.21
2011-08-29,31.86
2011-08-30,32.26
2011-08-31,32.65
2011-09-01,32.74
2011-09-02,31.71
