dt,high
2010-01-04,49.21
2010-01-05,48.94
2010-01-06,48.38
2010-01-07,48.62
2010-01-08,48.49
2010-01-11,49.08
2010-01-12,49.39
2010-01-13,49.88
2010-01-14,49.65
2010-01-15,49.01
2010-01-19,49.28
2010-01-20,49.07
2010-01-21,48.96
2010-01-22,48.03
2010-01-25,47.19
2010-01-26,46.8
2010-01-27,46.6
2010-01-28,47.0
2010-01-29,47.2
2010-02-01,46.45
2010-02-02,46.35
2010-02-03,46.03
2010-02-04,45.69
2010-02-05,44.65
2010-02-08,44.74
2010-02-09,44.59
2010-02-10,44.41
2010-02-11,43.83
2010-02-12,43.6
2010-02-16,44.27
2010-02-17,44.54
2010-02-18,44.56
2010-02-19,45.09
2010-02-22,45.18
2010-02-23,44.69
2010-02-24,44.38
2010-02-25,43.87
2010-02-26,43.96
2010-03-01,44.7
2010-03-02,44.79
2010-03-03,44.85
2010-03-04,44.79
2010-03-05,45.57
2010-03-08,45.75
2010-03-09,45.47
2010-03-10,45.29
2010-03-11,45.4
2010-03-12,45.0
2010-03-15,44.42
2010-03-16,45.42
2010-03-17,45.56
2010-03-18,45.24
2010-03-19,44.9
2010-03-22,44.97
2010-03-23,44.51
2010-03-24,44.44
2010-03-25,43.84
2010-03-26,43.38
2010-03-29,43.93
2010-03-30,44.19
2010-03-31,44.0
2010-04-01,44.78
2010-04-05,44.62
2010-04-06,45.1
2010-04-07,45.04
2010-04-08,44.84
2010-04-09,44.41
2010-04-12,45.0
2010-04-13,44.645
2010-04-14,44.53
2010-04-15,44.52
2010-04-16,43.99
2010-04-19,43.81
2010-04-20,44.15
2010-04-21,44.14
2010-04-22,43.85
2010-04-23,43.9896
2010-04-26,44.47
2010-04-27,43.67
2010-04-28,43.55
2010-04-29,43.75
2010-04-30,43.89
2010-05-03,44.21
2010-05-04,44.0
2010-05-05,43.78
2010-05-06,43.35
2010-05-07,42.07
2010-05-10,43.0
2010-05-11,43.19
2010-05-12,42.56
2010-05-13,42.7
2010-05-14,42.43
2010-05-17,41.91
2010-05-18,41.53
2010-05-19,40.79
2010-05-20,40.12
2010-05-21,39.58
2010-05-24,39.67
2010-05-25,38.4
2010-05-26,39.54
2010-05-27,38.89
2010-05-28,39.06
2010-06-01,38.54
2010-06-02,37.94
2010-06-03,38.51
2010-06-04,38.31
2010-06-07,38.416
2010-06-08,38.59
2010-06-09,38.97
2010-06-10,40.05
2010-06-11,40.37
2010-06-14,40.43
2010-06-15,40.93
2010-06-16,41.28
2010-06-17,41.06
2010-06-18,41.33
2010-06-21,41.62
2010-06-22,40.97
2010-06-23,39.75
2010-06-24,39.445
2010-06-25,38.87
2010-06-28,38.99
2010-06-29,38.53
2010-06-30,38.4
2010-07-01,38.18
2010-07-02,38.22
2010-07-06,38.75
2010-07-07,39.82
2010-07-08,40.5
2010-07-09,40.65
2010-07-12,40.91
2010-07-13,41.39
2010-07-14,41.42
2010-07-15,41.89
2010-07-16,41.98
2010-07-19,41.909
2010-07-20,42.59
2010-07-21,42.72
2010-07-22,42.48
2010-07-23,41.74
2010-07-26,41.3
2010-07-27,41.92
2010-07-28,42.42
2010-07-29,42.74
2010-07-30,42.02
2010-08-02,42.47
2010-08-03,42.68
2010-08-04,42.63
2010-08-05,42.37
2010-08-06,42.2695
2010-08-09,42.5
2010-08-10,42.94
2010-08-11,42.32
2010-08-12,41.59
2010-08-13,41.72
2010-08-16,41.36
2010-08-17,41.82
2010-08-18,41.45
2010-08-19,41.01
2010-08-20,40.52
2010-08-23,41.12
2010-08-24,40.47
2010-08-25,40.16
2010-08-26,40.39
2010-08-27,40.9
2010-08-30,40.92
2010-08-31,40.86
2010-09-01,41.72
2010-09-02,41.9
2010-09-03,42.29
2010-09-07,42.265
2010-09-08,42.25
2010-09-09,42.6
2010-09-10,42.96
2010-09-13,43.13
2010-09-14,42.72
2010-09-15,42.44
2010-09-16,42.27
2010-09-17,42.41
2010-09-20,42.78
2010-09-21,42.72
2010-09-22,43.15
2010-09-23,42.75
2010-09-24,43.2
2010-09-27,43.32
2010-09-28,43.3
2010-09-29,42.95
2010-09-30,43.09
2010-10-01,43.07
2010-10-04,43.23
2010-10-05,43.0
2010-10-06,42.955
2010-10-07,43.08
2010-10-08,43.2201
2010-10-11,43.38
2010-10-12,43.22
2010-10-13,43.38
2010-10-14,43.38
2010-10-15,43.32
2010-10-18,44.08
2010-10-19,44.23
2010-10-20,44.49
2010-10-21,44.49
2010-10-22,43.52
2010-10-25,42.32
2010-10-26,41.46
2010-10-27,40.96
2010-10-28,41.25
2010-10-29,40.98
2010-11-01,41.5
2010-11-02,41.36
2010-11-03,41.16
2010-11-04,41.17
2010-11-05,41.28
2010-11-08,41.41
2010-11-09,41.82
2010-11-10,41.17
2010-11-11,40.72
2010-11-12,40.38
2010-11-15,40.43
2010-11-16,40.15
2010-11-17,40.19
2010-11-18,40.4
2010-11-19,40.09
2010-11-22,40.0
2010-11-23,39.74
2010-11-24,39.82
2010-11-26,39.74
2010-11-29,39.49
2010-11-30,39.485
2010-12-01,39.73
2010-12-02,39.69
2010-12-03,40.14
2010-12-06,40.1
2010-12-07,40.2
2010-12-08,39.78
2010-12-09,39.7
2010-12-10,40.18
2010-12-13,41.22
2010-12-14,41.25
2010-12-15,41.26
2010-12-16,41.01
2010-12-17,41.11
2010-12-20,41.49
2010-12-21,41.68
2010-12-22,41.98
2010-12-23,42.3
2010-12-27,42.15
2010-12-28,41.988
2010-12-29,42.0
2010-12-30,41.68
2010-12-31,41.79
2011-01-03,42.01
2011-01-04,42.54
2011-01-05,42.73
2011-01-06,42.89
2011-01-07,42.78
2011-01-10,42.53
2011-01-11,42.37
2011-01-12,43.02
2011-01-13,42.64
2011-01-14,42.87
2011-01-18,43.09
2011-01-19,43.04
2011-01-20,43.46
2011-01-21,43.5
2011-01-24,43.525
2011-01-25,43.53
2011-01-26,43.46
2011-01-27,43.13
2011-01-28,42.8197
2011-01-31,42.68
2011-02-01,42.8
2011-02-02,42.99
2011-02-03,43.22
2011-02-04,43.25
2011-02-07,43.26
2011-02-08,43.18
2011-02-09,43.16
2011-02-10,43.3
