dt,high
2010-01-04,46.92
2010-01-05,46.84
2010-01-06,46.849
2010-01-07,46.74
2010-01-08,46.09
2010-01-11,46.8
2010-01-12,46.96
2010-01-13,47.09
2010-01-14,46.95
2010-01-15,46.84
2010-01-19,47.06
2010-01-20,46.88
2010-01-21,46.51
2010-01-22,45.13
2010-01-25,44.78
2010-01-26,44.87
2010-01-27,44.44
2010-01-28,44.46
2010-01-29,44.16
2010-02-01,43.94
2010-02-02,44.14
2010-02-03,43.57
2010-02-04,42.99
2010-02-05,42.13
2010-02-08,41.8
2010-02-09,42.3
2010-02-10,41.72
2010-02-11,39.86
2010-02-12,39.72
2010-02-16,39.89
2010-02-17,39.5
2010-02-18,38.88
2010-02-19,39.87
2010-02-22,40.0
2010-02-23,39.71
2010-02-24,39.41
2010-02-25,39.16
2010-02-26,39.1795
2010-03-01,39.26
2010-03-02,39.38
2010-03-03,39.45
2010-03-04,39.05
2010-03-05,39.61
2010-03-08,39.69
2010-03-09,39.55
2010-03-10,39.86
2010-03-11,39.85
2010-03-12,39.945
2010-03-15,39.8
2010-03-16,39.93
2010-03-17,40.12
2010-03-18,40.17
2010-03-19,40.21
2010-03-22,40.09
2010-03-23,40.59
2010-03-24,40.72
2010-03-25,40.31
2010-03-26,39.11
2010-03-29,39.05
2010-03-30,39.08
2010-03-31,39.26
2010-04-01,39.57
2010-04-05,39.61
2010-04-06,39.91
2010-04-07,39.895
2010-04-08,39.55
2010-04-09,39.58
2010-04-12,39.96
2010-04-13,39.72
2010-04-14,39.38
2010-04-15,38.85
2010-04-16,38.605
2010-04-19,37.92
2010-04-20,37.87
2010-04-21,38.02
2010-04-22,37.5
2010-04-23,37.528
2010-04-26,37.65
2010-04-27,37.8
2010-04-28,37.75
2010-04-29,38.16
2010-04-30,37.93
2010-05-03,38.06
2010-05-04,38.2
2010-05-05,36.73
2010-05-06,35.86
2010-05-07,35.41
2010-05-10,36.37
2010-05-11,36.3
2010-05-12,36.57
2010-05-13,37.46
2010-05-14,37.19
2010-05-17,36.79
2010-05-18,36.69
2010-05-19,36.1
2010-05-20,35.48
2010-05-21,34.86
2010-05-24,35.29
2010-05-25,34.42
2010-05-26,34.87
2010-05-27,35.23
2010-05-28,35.62
2010-06-01,35.01
2010-06-02,34.82
2010-06-03,35.65
2010-06-04,35.89
2010-06-07,36.53
2010-06-08,36.59
2010-06-09,36.62
2010-06-10,37.07
2010-06-11,36.97
2010-06-14,37.42
2010-06-15,37.88
2010-06-16,38.14
2010-06-17,38.59
2010-06-18,38.56
2010-06-21,38.68
2010-06-22,37.88
2010-06-23,36.73
2010-06-24,36.79
2010-06-25,36.14
2010-06-28,36.45
2010-06-29,36.0
2010-06-30,35.88
2010-07-01,35.28
2010-07-02,35.1
2010-07-06,35.38
2010-07-07,36.11
2010-07-08,36.52
2010-07-09,37.09
2010-07-12,37.27
2010-07-13,37.77
2010-07-14,37.66
2010-07-15,37.7
2010-07-16,37.55
2010-07-19,37.82
2010-07-20,38.0
2010-07-21,38.38
2010-07-22,38.75
2010-07-23,38.41
2010-07-26,38.14
2010-07-27,38.8407
2010-07-28,39.0
2010-07-29,38.96
2010-07-30,37.96
2010-08-02,38.55
2010-08-03,39.06
2010-08-04,38.038000000000004
2010-08-05,37.83
2010-08-06,37.64
2010-08-09,37.73
2010-08-10,37.62
2010-08-11,36.97
2010-08-12,36.13
2010-08-13,36.57
2010-08-16,36.51
2010-08-17,37.33
2010-08-18,37.13
2010-08-19,36.72
2010-08-20,36.08
2010-08-23,36.37
2010-08-24,36.19
2010-08-25,36.01
2010-08-26,36.34
2010-08-27,36.74
2010-08-30,36.92
2010-08-31,36.7
2010-09-01,37.51
2010-09-02,37.63
2010-09-03,37.8
2010-09-07,38.12
2010-09-08,37.71
2010-09-09,37.84
2010-09-10,37.66
2010-09-13,37.71
2010-09-14,37.11
2010-09-15,36.76
2010-09-16,36.51
2010-09-17,36.61
2010-09-20,36.85
2010-09-21,36.78
2010-09-22,37.28
2010-09-23,37.85
2010-09-24,38.19
2010-09-27,38.75
2010-09-28,38.57
2010-09-29,38.64
2010-09-30,38.89
2010-10-01,38.97
2010-10-04,39.02
2010-10-05,39.12
2010-10-06,38.97
2010-10-07,38.78
2010-10-08,38.58
2010-10-11,38.59
2010-10-12,38.84
2010-10-13,38.915
2010-10-14,38.99
2010-10-15,39.0
2010-10-18,39.48
2010-10-19,39.75
2010-10-20,40.12
2010-10-21,40.01
2010-10-22,39.55
2010-10-25,37.91
2010-10-26,37.1
2010-10-27,36.33
2010-10-28,36.58
2010-10-29,36.39
2010-11-01,36.59
2010-11-02,36.93
2010-11-03,36.45
2010-11-04,36.25
2010-11-05,36.1
2010-11-08,36.09
2010-11-09,36.68
2010-11-10,36.27
2010-11-11,35.82
2010-11-12,35.66
2010-11-15,35.82
2010-11-16,35.46
2010-11-17,35.77
2010-11-18,36.117
2010-11-19,36.24
2010-11-22,36.07
2010-11-23,35.82
2010-11-24,35.74
2010-11-26,35.61
2010-11-29,35.44
2010-11-30,35.53
2010-12-01,35.63
2010-12-02,35.71
2010-12-03,35.84
2010-12-06,35.72
2010-12-07,36.159
2010-12-08,35.81
2010-12-09,35.82
2010-12-10,35.77
2010-12-13,35.88
2010-12-14,36.18
2010-12-15,36.1
2010-12-16,36.02
2010-12-17,36.31
2010-12-20,36.7015
2010-12-21,36.78
2010-12-22,36.91
2010-12-23,37.19
2010-12-27,37.32
2010-12-28,37.48
2010-12-29,37.49
2010-12-30,37.35
2010-12-31,37.28
2011-01-03,37.82
2011-01-04,37.98
2011-01-05,38.12
2011-01-06,38.16
2011-01-07,38.44
2011-01-10,38.26
2011-01-11,38.34
2011-01-12,38.52
2011-01-13,38.47
2011-01-14,38.62
2011-01-18,38.89
2011-01-19,38.9
2011-01-20,39.45
2011-01-21,39.64
2011-01-24,39.81
2011-01-25,39.435
2011-01-26,39.28
2011-01-27,39.6
2011-01-28,39.93
2011-01-31,39.25
2011-02-01,39.825
2011-02-02,40.8
2011-02-03,40.45
2011-02-04,40.2
2011-02-07,40.0
2011-02-08,39.98
2011-02-09,39.95
2011-02-10,40.32
2011-02-11,40.26
2011-02-14,39.88
2011-02-15,39.47
2011-02-16,39.2
2011-02-17,38.48
2011-02-18,38.31
2011-02-22,38.635
2011-02-23,38.51
2011-02-24,38.54
2011-02-25,38.4299
2011-02-28,38.6292
2011-03-01,38.39
2011-03-02,37.53
2011-03-03,37.74
2011-03-04,37.12
2011-03-07,37.57
2011-03-08,37.707
2011-03-09,38.79
2011-03-10,39.1
2011-03-11,38.68
2011-03-14,38.54
2011-03-15,37.91
2011-03-16,37.37
2011-03-17,37.02
2011-03-18,37.02
