dt,high
2010-01-04,629.51
2010-01-05,627.84
2010-01-06,625.86
2010-01-07,610.0
2010-01-08,603.25
2010-01-11,604.46
2010-01-12,598.16
2010-01-13,588.38
2010-01-14,594.2
2010-01-15,593.56
2010-01-19,590.42
2010-01-20,585.98
2010-01-21,586.8185
2010-01-22,570.6
2010-01-25,549.8775
2010-01-26,549.41
2010-01-27,547.65
2010-01-28,546.9999
2010-01-29,540.99
2010-02-01,535.81
2010-02-02,534.96
2010-02-03,542.1
2010-02-04,538.0
2010-02-05,533.4985
2010-02-08,542.0
2010-02-09,541.53
2010-02-10,537.79
2010-02-11,540.49
2010-02-12,537.15
2010-02-16,544.13
2010-02-17,543.4
2010-02-18,545.01
2010-02-19,544.03
2010-02-22,547.5
2010-02-23,543.63
2010-02-24,538.44
2010-02-25,528.4899
2010-02-26,531.75
2010-03-01,533.29
2010-03-02,545.66
2010-03-03,548.12
2010-03-04,556.13
2010-03-05,567.67
2010-03-08,565.18
2010-03-09,564.66
2010-03-10,578.5
2010-03-11,586.21
2010-03-12,588.65
2010-03-15,569.45
2010-03-16,568.42
2010-03-17,571.4499
2010-03-18,568.44
2010-03-19,568.0
2010-03-22,566.85
2010-03-23,558.312
2010-03-24,559.8495
2010-03-25,572.0
2010-03-26,567.39
2010-03-29,564.72
2010-03-30,567.63
2010-03-31,569.74
2010-04-01,573.45
2010-04-05,574.88
2010-04-06,570.89
2010-04-07,568.75
2010-04-08,569.8515
2010-04-09,568.77
2010-04-12,574.0
2010-04-13,588.88
2010-04-14,592.34
2010-04-15,597.84
2010-04-16,568.81
2010-04-19,553.99
2010-04-20,559.6565
2010-04-21,560.25
2010-04-22,552.74
2010-04-23,549.32
2010-04-26,544.99
2010-04-27,538.33
2010-04-28,534.83
2010-04-29,536.5
2010-04-30,537.68
2010-05-03,532.92
2010-05-04,526.74
2010-05-05,515.72
2010-05-06,517.52
2010-05-07,505.32
2010-05-10,522.82
2010-05-11,519.88
2010-05-12,512.14
2010-05-13,522.0
2010-05-14,510.99
2010-05-17,508.3608
2010-05-18,510.97
2010-05-19,499.44
2010-05-20,485.58
2010-05-21,485.0
2010-05-24,489.79
2010-05-25,477.45
2010-05-26,489.76
2010-05-27,492.31
2010-05-28,493.45
2010-06-01,491.06
2010-06-02,493.8699
2010-06-03,508.0
2010-06-04,509.25
2010-06-07,500.9099
2010-06-08,488.84
2010-06-09,488.88
2010-06-10,488.5
2010-06-11,488.71
2010-06-14,494.5
2010-06-15,500.4
2010-06-16,504.0
2010-06-17,505.87
2010-06-18,503.47
2010-06-21,500.967
2010-06-22,496.6
2010-06-23,486.89
2010-06-24,482.75
2010-06-25,477.64599999999996
2010-06-28,477.55
2010-06-29,464.55
2010-06-30,457.83
2010-07-01,448.4
2010-07-02,442.2842
2010-07-06,447.6699
2010-07-07,451.29
2010-07-08,457.33
2010-07-09,473.26
2010-07-12,479.44
2010-07-13,492.99
