dt,high
2010-01-04,54.5
2010-01-05,52.77
2010-01-06,52.75
2010-01-07,52.4
2010-01-08,49.74
2010-01-11,48.97
2010-01-12,47.85
2010-01-13,47.99
2010-01-14,47.92
2010-01-15,47.2
2010-01-19,46.82
2010-01-20,46.75
2010-01-21,47.02
2010-01-22,46.1
2010-01-25,45.81
2010-01-26,45.59
2010-01-27,45.55
2010-01-28,46.89
2010-01-29,45.31
2010-02-01,45.0
2010-02-02,45.5
2010-02-03,45.55
2010-02-04,46.39
2010-02-05,45.55
2010-02-08,45.36
2010-02-09,45.7
2010-02-10,45.49
2010-02-11,45.71
2010-02-12,45.33
2010-02-16,44.82
2010-02-17,44.79
2010-02-18,44.09
2010-02-19,43.84
2010-02-22,43.74
2010-02-23,43.13
2010-02-24,43.19
2010-02-25,43.1
2010-02-26,43.04
2010-03-01,43.82
2010-03-02,43.89
2010-03-03,43.45
2010-03-04,43.0
2010-03-05,43.78
2010-03-08,44.07
2010-03-09,45.42
2010-03-10,46.15
2010-03-11,45.36
2010-03-12,45.47
2010-03-15,45.18
2010-03-16,45.01
2010-03-17,46.31
2010-03-18,46.61
2010-03-19,46.93
2010-03-22,46.76
2010-03-23,46.83
2010-03-24,46.17
2010-03-25,45.69
2010-03-26,45.65
2010-03-29,45.89
2010-03-30,46.62
2010-03-31,46.67
2010-04-01,48.96
2010-04-05,45.77
2010-04-06,45.44
2010-04-07,45.14
2010-04-08,44.1
2010-04-09,43.61
2010-04-12,43.97
2010-04-13,43.88
2010-04-14,44.29
2010-04-15,45.69
2010-04-16,46.45
2010-04-19,45.88
2010-04-20,46.04
2010-04-21,45.63
2010-04-22,45.41
2010-04-23,45.94
2010-04-26,46.02
2010-04-27,45.4993
2010-04-28,44.99
2010-04-29,44.58
2010-04-30,44.66
2010-05-03,43.51
2010-05-04,42.96
2010-05-05,43.1264
2010-05-06,44.49
2010-05-07,43.01
2010-05-10,42.07
2010-05-11,41.56
2010-05-12,42.02
2010-05-13,43.15
2010-05-14,42.63
2010-05-17,42.41
2010-05-18,43.07
2010-05-19,42.94
2010-05-20,42.06
2010-05-21,42.05
2010-05-24,42.04
2010-05-25,41.24
2010-05-26,41.92
2010-05-27,42.29
2010-05-28,42.62
2010-06-01,42.17
2010-06-02,41.66
2010-06-03,42.37
2010-06-04,41.89
2010-06-07,41.08
2010-06-08,40.32
2010-06-09,40.83
2010-06-10,41.54
2010-06-11,41.66
2010-06-14,42.11
2010-06-15,42.69
2010-06-16,42.88
2010-06-17,42.765
2010-06-18,42.74
2010-06-21,42.85
2010-06-22,39.92
2010-06-23,39.49
2010-06-24,38.96
2010-06-25,38.84
2010-06-28,38.81
2010-06-29,38.16
2010-06-30,37.22
2010-07-01,36.66
2010-07-02,36.44
2010-07-06,36.92
2010-07-07,37.45
2010-07-08,37.67
2010-07-09,37.66
2010-07-12,37.71
2010-07-13,38.35
2010-07-14,38.44
2010-07-15,38.36
2010-07-16,38.04
2010-07-19,37.38
2010-07-20,37.43
2010-07-21,37.65
2010-07-22,38.87
2010-07-23,39.71
2010-07-26,40.09
2010-07-27,40.56
2010-07-28,36.57
2010-07-29,37.55
2010-07-30,37.79
2010-08-02,38.6
2010-08-03,38.5
2010-08-04,38.49
2010-08-05,38.36
2010-08-06,38.68
2010-08-09,39.21
2010-08-10,38.99
2010-08-11,38.42
2010-08-12,37.82
2010-08-13,37.5
2010-08-16,37.55
2010-08-17,38.03
2010-08-18,38.15
2010-08-19,37.83
2010-08-20,37.96
2010-08-23,38.13
2010-08-24,37.61
2010-08-25,37.8
2010-08-26,37.9399
2010-08-27,38.35
2010-08-30,38.59
2010-08-31,38.1
2010-09-01,38.76
2010-09-02,39.11
2010-09-03,39.75
2010-09-07,39.38
2010-09-08,39.3
2010-09-09,39.7799
2010-09-10,39.99
2010-09-13,40.66
2010-09-14,40.7
2010-09-15,40.74
2010-09-16,41.0
2010-09-17,41.3
2010-09-20,41.37
2010-09-21,41.35
2010-09-22,41.2
2010-09-23,41.0
2010-09-24,41.5
2010-09-27,42.02
2010-09-28,42.1
2010-09-29,42.56
2010-09-30,43.18
2010-10-01,43.52
2010-10-04,42.23
2010-10-05,42.07
2010-10-06,42.05
2010-10-07,42.0
2010-10-08,42.19
2010-10-11,42.75
2010-10-12,39.3
2010-10-13,39.05
2010-10-14,39.16
2010-10-15,39.01
2010-10-18,39.13
2010-10-19,38.81
2010-10-20,39.09
2010-10-21,38.93
2010-10-22,39.35
2010-10-25,40.0
2010-10-26,40.07
2010-10-27,39.69
2010-10-28,39.5
2010-10-29,39.16
2010-11-01,39.37
2010-11-02,39.81
2010-11-03,39.84
2010-11-04,40.32
2010-11-05,40.4
2010-11-08,41.08
2010-11-09,41.26
2010-11-10,41.45
2010-11-11,41.42
2010-11-12,41.46
2010-11-15,41.39
2010-11-16,40.82
2010-11-17,40.66
2010-11-18,41.39
2010-11-19,41.28
2010-11-22,41.11
2010-11-23,40.94
2010-11-24,41.46
2010-11-26,41.71
2010-11-29,41.48
2010-11-30,41.59
2010-12-01,42.69
2010-12-02,42.585
2010-12-03,42.88
2010-12-06,42.66
2010-12-07,43.13
2010-12-08,43.76
2010-12-09,44.13
2010-12-10,44.28
2010-12-13,44.36
2010-12-14,44.54
2010-12-15,44.8
2010-12-16,44.83
2010-12-17,44.91
2010-12-20,45.14
2010-12-21,45.22
2010-12-22,45.9
2010-12-23,46.09
2010-12-27,46.17
2010-12-28,46.61
2010-12-29,46.68
2010-12-30,46.78
2010-12-31,46.83
2011-01-03,47.42
2011-01-04,46.91
2011-01-05,46.5
2011-01-06,46.79
2011-01-07,47.8
2011-01-10,48.0
2011-01-11,48.0
2011-01-12,47.85
2011-01-13,47.61
2011-01-14,47.39
2011-01-18,47.85
2011-01-19,48.75
2011-01-20,47.75
2011-01-21,47.332
2011-01-24,47.46
2011-01-25,47.52
2011-01-26,47.91
2011-01-27,47.77
2011-01-28,47.88
2011-01-31,47.71
2011-02-01,48.2
2011-02-02,48.6
2011-02-03,48.48
2011-02-04,48.79
2011-02-07,48.86
2011-02-08,49.51
2011-02-09,49.47
2011-02-10,48.93
2011-02-11,49.4
2011-02-14,49.7
2011-02-15,49.8
2011-02-16,49.95
2011-02-17,49.63
2011-02-18,49.66
2011-02-22,49.57
2011-02-23,48.77
2011-02-24,47.65
2011-02-25,47.95
2011-02-28,48.33
2011-03-01,48.35
2011-03-02,48.43
2011-03-03,48.81
2011-03-04,48.52
2011-03-07,48.63
2011-03-08,48.73
2011-03-09,48.55
2011-03-10,47.87
2011-03-11,47.51
2011-03-14,47.13
2011-03-15,47.08
2011-03-16,46.78
2011-03-17,46.57
2011-03-18,46.42
2011-03-21,47.25
2011-03-22,47.39
2011-03-23,47.24
2011-03-24,47.55
2011-03-25,48.0
2011-03-28,48.25
2011-03-29,48.45
2011-03-30,48.695
2011-03-31,49.09
2011-04-01,50.9
2011-04-04,50.53
2011-04-05,52.36
2011-04-06,52.01
2011-04-07,52.46
2011-04-08,52.43
2011-04-11,52.72
2011-04-12,52.6
2011-04-13,52.72
2011-04-14,52.33
2011-04-15,52.3
2011-04-18,51.61
2011-04-19,52.08
2011-04-20,52.28
2011-04-21,52.06
2011-04-25,52.365
2011-04-26,52.57
2011-04-27,52.72
2011-04-28,53.29
2011-04-29,53.67
2011-05-02,53.56
2011-05-03,53.45
2011-05-04,53.25
2011-05-05,52.98
2011-05-06,53.0
2011-05-09,52.41
2011-05-10,53.25
2011-05-11,53.48
2011-05-12,53.36
2011-05-13,53.4
2011-05-16,52.65
2011-05-17,52.12
2011-05-18,53.26
2011-05-19,53.65
2011-05-20,53.35
2011-05-23,52.15
2011-05-24,52.0
2011-05-25,51.49
2011-05-26,51.96
2011-05-27,52.22
2011-05-31,52.43
2011-06-01,52.0
2011-06-02,51.64
2011-06-03,50.91
2011-06-06,50.79
2011-06-07,50.83
2011-06-08,50.69
2011-06-09,50.99
2011-06-10,50.67
2011-06-13,49.47
2011-06-14,49.94
2011-06-15,49.67
2011-06-16,49.07
2011-06-17,49.37
2011-06-20,49.76
2011-06-21,50.61
2011-06-22,50.52
2011-06-23,50.23
2011-06-24,50.25
2011-06-27,49.75
2011-06-28,50.01
2011-06-29,50.94
2011-06-30,51.23
2011-07-01,51.425
2011-07-05,51.46
2011-07-06,51.68
2011-07-07,52.2799
2011-07-08,52.3
2011-07-11,51.77
2011-07-12,51.48
2011-07-13,51.4
2011-07-14,51.87
2011-07-15,51.45
2011-07-18,51.08
2011-07-19,51.93
2011-07-20,52.42
2011-07-21,52.75
2011-07-22,51.53
2011-07-25,49.1
2011-07-26,48.75
2011-07-27,48.19
2011-07-28,48.46
2011-07-29,47.88
2011-08-01,48.07
2011-08-02,47.71
2011-08-03,47.37
2011-08-04,47.23
2011-08-05,45.65
2011-08-08,44.0
2011-08-09,43.49
2011-08-10,43.25
2011-08-11,44.495
2011-08-12,45.35
2011-08-15,45.49
2011-08-16,45.16
2011-08-17,45.31
2011-08-18,43.41
2011-08-19,42.15
2011-08-22,42.36
2011-08-23,43.14
2011-08-24,44.26
2011-08-25,44.26
2011-08-26,44.22
2011-08-29,45.31
2011-08-30,45.84
2011-08-31,46.23
2011-09-01,46.38
2011-09-02,44.56
2011-09-06,43.07
2011-09-07,44.35
2011-09-08,44.75
2011-09-09,44.03
2011-09-12,42.86
2011-09-13,43.4
2011-09-14,44.24
2011-09-15,44.32
2011-09-16,44.29
2011-09-19,43.69
2011-09-20,44.32
2011-09-21,43.43
2011-09-22,41.13
2011-09-23,40.38
2011-09-26,40.46
2011-09-27,42.065
2011-09-28,41.42
2011-09-29,41.0
2011-09-30,41.09
2011-10-03,40.96
2011-10-04,40.85
2011-10-05,44.78
2011-10-06,42.09
2011-10-07,42.8
2011-10-10,43.17
2011-10-11,43.88
2011-10-12,44.72
2011-10-13,44.43
2011-10-14,44.86
2011-10-17,44.47
2011-10-18,44.12
2011-10-19,43.94
2011-10-20,43.82
2011-10-21,44.8
2011-10-24,45.69
2011-10-25,44.95
2011-10-26,44.49
2011-10-27,47.7
2011-10-28,47.45
2011-10-31,46.88
2011-11-01,45.55
2011-11-02,46.23
2011-11-03,47.18
2011-11-04,46.86
2011-11-07,47.0
2011-11-08,47.13
2011-11-09,46.22
2011-11-10,46.24
2011-11-11,47.13
2011-11-14,46.48
2011-11-15,46.02
2011-11-16,45.79
2011-11-17,44.94
2011-11-18,44.3
2011-11-21,43.04
2011-11-22,42.88
2011-11-23,41.94
2011-11-25,41.65
2011-11-28,42.45
2011-11-29,42.14
2011-11-30,44.27
2011-12-01,44.67
2011-12-02,45.17
2011-12-05,45.8571
2011-12-06,45.42
2011-12-07,45.0286
2011-12-08,44.82
2011-12-09,45.0
2011-12-12,44.56
2011-12-13,45.18
2011-12-14,44.2789
2011-12-15,44.57
2011-12-16,45.17
2011-12-19,45.01
2011-12-20,46.56
2011-12-21,46.42
2011-12-22,46.77
2011-12-23,47.0
2011-12-27,47.48
2011-12-28,47.31
2011-12-29,47.6
2011-12-30,47.59
2012-01-03,48.63
2012-01-04,48.33
2012-01-05,48.24
2012-01-06,47.07
2012-01-09,47.45
2012-01-10,48.21
2012-01-11,48.52
2012-01-12,48.89
2012-01-13,47.41
2012-01-17,47.95
2012-01-18,48.62
2012-01-19,49.16
2012-01-20,48.71
2012-01-23,48.32
2012-01-24,48.715
2012-01-25,50.24
2012-01-26,50.6
2012-01-27,50.69
2012-01-30,50.19
2012-01-31,50.4
2012-02-01,50.54
2012-02-02,50.7022
2012-02-03,50.84
2012-02-06,50.72
2012-02-07,50.68
2012-02-08,51.53
2012-02-09,51.99
2012-02-10,51.66
2012-02-13,52.0
2012-02-14,51.9
2012-02-15,52.3
2012-02-16,52.27
2012-02-17,52.47
2012-02-21,52.22
2012-02-22,52.04
