dt,high
2010-01-04,24.88
2010-01-05,25.07
2010-01-06,24.92
2010-01-07,25.1
2010-01-08,24.81
2010-01-11,25.46
2010-01-12,24.45
2010-01-13,24.19
2010-01-14,24.44
2010-01-15,24.54
2010-01-19,24.14
2010-01-20,23.77
2010-01-21,23.79
2010-01-22,23.57
2010-01-25,23.2
2010-01-26,23.28
2010-01-27,23.36
2010-01-28,24.21
2010-01-29,24.09
2010-02-01,23.31
2010-02-02,23.3
2010-02-03,23.1
2010-02-04,22.43
2010-02-05,21.82
2010-02-08,22.28
2010-02-09,22.6
2010-02-10,22.9
2010-02-11,23.11
2010-02-12,23.52
2010-02-16,23.91
2010-02-17,24.23
2010-02-18,24.25
2010-02-19,24.505
2010-02-22,24.68
2010-02-23,25.08
2010-02-24,24.9
2010-02-25,25.12
2010-02-26,26.22
2010-03-01,26.31
2010-03-02,26.51
2010-03-03,26.64
2010-03-04,26.67
2010-03-05,26.73
2010-03-08,27.07
2010-03-09,27.21
2010-03-10,27.35
2010-03-11,27.27
2010-03-12,27.225
2010-03-15,27.11
2010-03-16,27.17
2010-03-17,27.41
2010-03-18,27.5
2010-03-19,27.33
2010-03-22,28.08
2010-03-23,28.05
2010-03-24,27.95
2010-03-25,28.38
2010-03-26,28.31
2010-03-29,28.4
2010-03-30,28.32
2010-03-31,28.21
2010-04-01,28.3
2010-04-05,29.225
2010-04-06,29.55
2010-04-07,29.41
2010-04-08,29.51
2010-04-09,29.54
2010-04-12,29.57
2010-04-13,29.3
2010-04-14,29.93
2010-04-15,29.87
2010-04-16,29.71
2010-04-19,29.78
2010-04-20,29.66
2010-04-21,30.32
2010-04-22,31.45
2010-04-23,31.12
2010-04-26,30.94
2010-04-27,30.14
2010-04-28,29.5
2010-04-29,29.54
2010-04-30,29.8
2010-05-03,29.41
2010-05-04,28.74
2010-05-05,28.74
2010-05-06,28.01
2010-05-07,27.21
2010-05-10,28.14
2010-05-11,28.43
2010-05-12,28.98
2010-05-13,29.12
2010-05-14,28.38
2010-05-17,28.36
2010-05-18,28.5
2010-05-19,27.62
2010-05-20,26.73
2010-05-21,26.73
2010-05-24,26.79
2010-05-25,26.65
2010-05-26,27.15
2010-05-27,27.8
2010-05-28,27.77
2010-06-01,27.53
2010-06-02,27.36
2010-06-03,27.99
2010-06-04,27.6
2010-06-07,26.95
2010-06-08,26.89
2010-06-09,27.92
2010-06-10,28.36
2010-06-11,28.69
2010-06-14,29.31
2010-06-15,29.29
2010-06-16,28.94
2010-06-17,29.04
2010-06-18,28.84
2010-06-21,28.9
2010-06-22,27.71
2010-06-23,26.4
2010-06-24,25.97
2010-06-25,25.29
2010-06-28,26.07
2010-06-29,24.95
2010-06-30,24.46
2010-07-01,24.72
2010-07-02,24.8
2010-07-06,25.03
2010-07-07,24.46
2010-07-08,24.89
2010-07-09,25.04
2010-07-12,25.18
2010-07-13,25.95
2010-07-14,25.98
2010-07-15,26.04
2010-07-16,25.76
2010-07-19,24.74
2010-07-20,25.09
2010-07-21,25.4
2010-07-22,25.3
2010-07-23,24.67
2010-07-26,26.12
2010-07-27,26.15
2010-07-28,25.55
2010-07-29,25.67
2010-07-30,25.14
2010-08-02,25.71
2010-08-03,25.6
2010-08-04,25.48
2010-08-05,25.71
2010-08-06,25.61
2010-08-09,25.7
2010-08-10,27.88
2010-08-11,27.46
2010-08-12,27.19
2010-08-13,27.08
2010-08-16,26.61
2010-08-17,27.53
2010-08-18,27.74
2010-08-19,27.21
2010-08-20,26.49
2010-08-23,26.52
2010-08-24,25.59
2010-08-25,25.3
2010-08-26,25.42
2010-08-27,24.79
2010-08-30,24.77
2010-08-31,24.158
2010-09-01,24.925
2010-09-02,25.85
2010-09-03,26.13
2010-09-07,26.07
2010-09-08,25.73
2010-09-09,26.0
2010-09-10,25.9
2010-09-13,25.9
2010-09-14,25.81
2010-09-15,26.2
2010-09-16,25.88
2010-09-17,25.92
2010-09-20,25.91
2010-09-21,25.86
2010-09-22,25.34
2010-09-23,24.06
2010-09-24,24.49
2010-09-27,24.77
2010-09-28,24.75
2010-09-29,25.1
2010-09-30,26.08
2010-10-01,26.19
2010-10-04,26.22
2010-10-05,26.76
2010-10-06,26.655
2010-10-07,26.515
2010-10-08,27.09
2010-10-11,27.47
2010-10-12,27.26
2010-10-13,27.76
