dt,high
2010-01-04,23.96
2010-01-05,25.75
2010-01-06,26.38
2010-01-07,26.72
2010-01-08,26.57
2010-01-11,26.6
2010-01-12,28.59
2010-01-13,28.06
2010-01-14,27.7
2010-01-15,27.3
2010-01-19,27.5
2010-01-20,27.45
2010-01-21,27.14
2010-01-22,25.8
2010-01-25,25.31
2010-01-26,25.3
2010-01-27,24.99
2010-01-28,25.28
2010-01-29,24.95
2010-02-01,24.49
2010-02-02,25.49
2010-02-03,25.25
2010-02-04,24.45
2010-02-05,23.8
2010-02-08,24.3
2010-02-09,23.82
2010-02-10,23.28
2010-02-11,23.18
2010-02-12,23.5
2010-02-16,24.0
2010-02-17,24.3
2010-02-18,24.35
2010-02-19,24.43
2010-02-22,24.85
2010-02-23,24.71
2010-02-24,24.34
2010-02-25,24.38
2010-02-26,24.49
2010-03-01,24.81
2010-03-02,25.95
2010-03-03,25.9
2010-03-04,26.42
2010-03-05,27.06
2010-03-08,27.38
2010-03-09,27.17
2010-03-10,27.45
2010-03-11,27.52
2010-03-12,27.59
2010-03-15,26.86
2010-03-16,27.29
2010-03-17,29.12
2010-03-18,28.75
2010-03-19,27.98
2010-03-22,27.81
2010-03-23,27.9
2010-03-24,28.4
2010-03-25,28.61
2010-03-26,28.49
2010-03-29,28.226
2010-03-30,28.18
2010-03-31,28.68
2010-04-01,29.25
2010-04-05,29.48
2010-04-06,29.42
2010-04-07,29.03
2010-04-08,28.65
2010-04-09,28.83
2010-04-12,28.25
2010-04-13,28.02
2010-04-14,28.18
2010-04-15,28.15
2010-04-16,27.98
2010-04-19,27.64
2010-04-20,28.78
2010-04-21,28.79
2010-04-22,28.9
2010-04-23,29.6
2010-04-26,30.46
2010-04-27,29.59
2010-04-28,29.32
2010-04-29,29.85
2010-04-30,29.48
2010-05-03,29.21
2010-05-04,28.56
2010-05-05,28.435
2010-05-06,28.06
2010-05-07,26.59
2010-05-10,27.57
2010-05-11,27.43
2010-05-12,27.4
2010-05-13,27.4
2010-05-14,26.63
2010-05-17,26.55
2010-05-18,26.63
2010-05-19,26.2
2010-05-20,24.9
2010-05-21,24.47
2010-05-24,24.74
2010-05-25,24.32
2010-05-26,25.09
2010-05-27,25.53
2010-05-28,25.59
2010-06-01,25.33
2010-06-02,25.55
2010-06-03,25.9
2010-06-04,24.67
2010-06-07,23.9
2010-06-08,22.82
2010-06-09,23.78
2010-06-10,23.95
2010-06-11,24.04
2010-06-14,25.54
2010-06-15,25.58
2010-06-16,25.5
2010-06-17,25.31
2010-06-18,25.3
2010-06-21,25.8
2010-06-22,25.16
2010-06-23,24.9
2010-06-24,24.47
2010-06-25,24.17
2010-06-28,24.305
2010-06-29,23.22
2010-06-30,22.59
2010-07-01,22.39
2010-07-02,22.37
2010-07-06,22.8
2010-07-07,22.44
2010-07-08,22.84
2010-07-09,23.56
2010-07-12,23.52
2010-07-13,24.07
2010-07-14,23.68
2010-07-15,23.35
2010-07-16,22.6
2010-07-19,22.06
2010-07-20,22.19
2010-07-21,22.77
2010-07-22,23.08
2010-07-23,23.67
2010-07-26,23.78
2010-07-27,23.84
2010-07-28,23.18
2010-07-29,23.58
2010-07-30,23.585
2010-08-02,24.27
2010-08-03,24.12
2010-08-04,23.975
2010-08-05,23.08
2010-08-06,22.68
2010-08-09,23.01
2010-08-10,22.685
2010-08-11,21.99
2010-08-12,20.985
2010-08-13,21.1981
2010-08-16,20.67
2010-08-17,21.29
2010-08-18,21.28
2010-08-19,21.1
2010-08-20,20.25
2010-08-23,20.46
2010-08-24,19.86
2010-08-25,19.64
2010-08-26,19.97
2010-08-27,20.4
2010-08-30,20.19
2010-08-31,20.34
2010-09-01,21.45
2010-09-02,21.79
2010-09-03,22.52
2010-09-07,22.22
2010-09-08,22.32
2010-09-09,22.78
2010-09-10,22.99
2010-09-13,23.65
2010-09-14,23.45
2010-09-15,23.09
2010-09-16,22.96
2010-09-17,23.03
2010-09-20,23.03
2010-09-21,23.73
2010-09-22,22.7
2010-09-23,22.48
2010-09-24,22.695
2010-09-27,22.74
2010-09-28,23.5
2010-09-29,23.56
2010-09-30,23.66
2010-10-01,23.46
2010-10-04,23.41
2010-10-05,23.9
2010-10-06,23.95
2010-10-07,23.9
2010-10-08,24.1
2010-10-11,24.13
2010-10-12,24.43
2010-10-13,25.02
2010-10-14,24.81
2010-10-15,24.54
2010-10-18,24.43
2010-10-19,24.16
2010-10-20,23.86
2010-10-21,24.55
2010-10-22,24.32
2010-10-25,24.83
2010-10-26,25.03
2010-10-27,24.94
2010-10-28,24.985
2010-10-29,24.26
2010-11-01,24.23
2010-11-02,24.03
2010-11-03,25.77
2010-11-04,26.32
2010-11-05,26.78
2010-11-08,26.57
2010-11-09,26.49
2010-11-10,26.0
2010-11-11,25.74
2010-11-12,25.27
