dt,high
2010-01-04,43.17
2010-01-05,42.9
2010-01-06,42.69
2010-01-07,42.58
2010-01-08,42.59
2010-01-11,42.59
2010-01-12,42.58
2010-01-13,43.16
2010-01-14,43.22
2010-01-15,43.16
2010-01-19,43.16
2010-01-20,42.9
2010-01-21,42.75
2010-01-22,42.45
2010-01-25,42.79
2010-01-26,42.92
2010-01-27,43.73
2010-01-28,44.58
2010-01-29,44.62
2010-02-01,43.92
2010-02-02,44.4
2010-02-03,44.29
2010-02-04,43.9
2010-02-05,43.31
2010-02-08,43.62
2010-02-09,43.99
2010-02-10,43.83
2010-02-11,43.94
2010-02-12,43.88
2010-02-16,44.54
2010-02-17,45.01
2010-02-18,45.8
2010-02-19,46.16
2010-02-22,46.16
2010-02-23,46.04
2010-02-24,45.935
2010-02-25,45.78
2010-02-26,46.12
2010-03-01,46.11
2010-03-02,46.4
2010-03-03,46.46
2010-03-04,46.45
2010-03-05,46.425
2010-03-08,46.4
2010-03-09,46.45
2010-03-10,46.48
2010-03-11,46.38
2010-03-12,46.5
2010-03-15,46.77
2010-03-16,47.38
2010-03-17,47.57
2010-03-18,47.68
2010-03-19,47.8399
2010-03-22,47.05
2010-03-23,46.9
2010-03-24,47.29
2010-03-25,47.49
2010-03-26,46.6
2010-03-29,45.81
2010-03-30,45.98
2010-03-31,45.84
2010-04-01,46.03
2010-04-05,46.08
2010-04-06,45.88
2010-04-07,46.0
2010-04-08,45.8
2010-04-09,45.86
2010-04-12,46.57
2010-04-13,46.25
2010-04-14,46.26
2010-04-15,46.22
2010-04-16,46.37
2010-04-19,46.34
2010-04-20,46.63
2010-04-21,46.75
2010-04-22,46.72
2010-04-23,46.66
2010-04-26,46.69
2010-04-27,46.33
2010-04-28,45.9
2010-04-29,47.04
2010-04-30,47.12
2010-05-03,47.04
2010-05-04,46.86
2010-05-05,46.9
2010-05-06,46.71
2010-05-07,45.32
2010-05-10,46.63
2010-05-11,46.92
2010-05-12,47.14
2010-05-13,47.48
2010-05-14,46.92
2010-05-17,46.82
2010-05-18,47.12
2010-05-19,46.89
2010-05-20,46.28
2010-05-21,45.84
2010-05-24,46.13
2010-05-25,45.06
2010-05-26,44.86
2010-05-27,44.99
2010-05-28,44.81
2010-06-01,44.69
2010-06-02,44.95
2010-06-03,45.19
2010-06-04,44.52
2010-06-07,44.64
2010-06-08,44.86
2010-06-09,45.39
2010-06-10,45.76
2010-06-11,45.24
2010-06-14,45.84
2010-06-15,46.2
2010-06-16,46.31
2010-06-17,46.65
2010-06-18,46.61
2010-06-21,46.73
2010-06-22,45.82
2010-06-23,45.325
2010-06-24,45.08
2010-06-25,44.81
2010-06-28,45.0
2010-06-29,44.38
2010-06-30,43.71
2010-07-01,43.355
2010-07-02,43.51
2010-07-06,43.78
2010-07-07,44.44
2010-07-08,45.0
2010-07-09,45.03
2010-07-12,45.04
2010-07-13,45.32
2010-07-14,45.34
2010-07-15,45.35
2010-07-16,45.32
2010-07-19,45.05
2010-07-20,45.54
2010-07-21,45.68
2010-07-22,45.66
2010-07-23,45.81
2010-07-26,45.96
2010-07-27,46.13
2010-07-28,46.05
2010-07-29,45.58
2010-07-30,44.69
2010-08-02,44.97
2010-08-03,45.47
2010-08-04,45.99
2010-08-05,45.73
2010-08-06,45.495
2010-08-09,45.81
2010-08-10,45.96
2010-08-11,45.37
2010-08-12,45.41
2010-08-13,45.84
2010-08-16,45.785
2010-08-17,46.56
2010-08-18,47.08
2010-08-19,46.95
2010-08-20,47.2
2010-08-23,47.26
2010-08-24,46.73
2010-08-25,46.56
2010-08-26,46.62
2010-08-27,46.89
2010-08-30,46.94
2010-08-31,46.6413
2010-09-01,46.79
2010-09-02,46.71
2010-09-03,46.89
2010-09-07,46.545
2010-09-08,46.5802
2010-09-09,46.99
2010-09-10,46.99
2010-09-13,47.24
2010-09-14,46.905
2010-09-15,47.43
2010-09-16,47.5
2010-09-17,48.2
2010-09-20,48.05
2010-09-21,47.9
2010-09-22,47.81
2010-09-23,47.4
2010-09-24,47.75
2010-09-27,48.1325
2010-09-28,48.2
2010-09-29,47.97
2010-09-30,48.19
2010-10-01,47.64
2010-10-04,47.69
2010-10-05,47.84
2010-10-06,48.16
2010-10-07,48.25
2010-10-08,48.02
2010-10-11,48.095
2010-10-12,48.25
2010-10-13,49.1
2010-10-14,49.22
2010-10-15,49.43
2010-10-18,49.31
2010-10-19,48.94
2010-10-20,49.41
2010-10-21,49.8
2010-10-22,49.67
2010-10-25,49.95
2010-10-26,49.57
2010-10-27,49.005
2010-10-28,49.49
2010-10-29,49.58
2010-11-01,49.49
2010-11-02,49.58
2010-11-03,49.53
2010-11-04,50.24
2010-11-05,49.65
2010-11-08,49.17
2010-11-09,48.9
2010-11-10,48.63
2010-11-11,48.55
2010-11-12,48.33
2010-11-15,48.4
2010-11-16,48.01
2010-11-17,47.94
2010-11-18,48.33
2010-11-19,48.13
2010-11-22,48.65
2010-11-23,48.34
2010-11-24,48.59
2010-11-26,48.72
2010-11-29,48.48
2010-11-30,48.45
2010-12-01,48.87
2010-12-02,49.0
2010-12-03,48.88
2010-12-06,48.85
2010-12-07,49.22
2010-12-08,49.45
2010-12-09,49.67
2010-12-10,49.99
2010-12-13,50.0
2010-12-14,50.31
2010-12-15,50.48
2010-12-16,50.67
2010-12-17,50.77
2010-12-20,50.51
2010-12-21,50.11
2010-12-22,49.79
2010-12-23,49.89
2010-12-27,49.61
2010-12-28,49.66
2010-12-29,49.855
2010-12-30,49.6
2010-12-31,49.67
2011-01-03,49.835
2011-01-04,49.7
2011-01-05,49.365
2011-01-06,48.98
2011-01-07,48.6
2011-01-10,48.5328
2011-01-11,48.6
2011-01-12,48.75
2011-01-13,48.93
2011-01-14,48.85
2011-01-18,48.76
2011-01-19,48.83
2011-01-20,49.23
2011-01-21,49.5
2011-01-24,49.3
2011-01-25,49.38
2011-01-26,49.36
2011-01-27,48.74
2011-01-28,48.52
2011-01-31,47.833
2011-02-01,47.79
2011-02-02,47.52
2011-02-03,48.06
2011-02-04,48.31
2011-02-07,48.29
2011-02-08,48.5
2011-02-09,48.59
2011-02-10,48.46
2011-02-11,48.27
2011-02-14,48.22
2011-02-15,48.13
2011-02-16,48.71
2011-02-17,48.51
2011-02-18,48.28
2011-02-22,48.1
2011-02-23,48.94
2011-02-24,50.25
2011-02-25,50.23
2011-02-28,50.36
2011-03-01,50.34
2011-03-02,49.37
2011-03-03,49.93
2011-03-04,49.87
2011-03-07,49.37
2011-03-08,49.6101
2011-03-09,49.87
2011-03-10,50.1
2011-03-11,50.26
2011-03-14,49.77
2011-03-15,48.948
2011-03-16,48.76
2011-03-17,48.9
2011-03-18,49.4
2011-03-21,49.47
2011-03-22,48.68
2011-03-23,48.48
2011-03-24,48.62
2011-03-25,48.83
2011-03-28,48.94
2011-03-29,48.95
2011-03-30,49.06
2011-03-31,49.0
2011-04-01,49.12
2011-04-04,49.14
2011-04-05,49.3
2011-04-06,49.49
2011-04-07,49.28
2011-04-08,49.5775
2011-04-11,49.88
2011-04-12,50.08
2011-04-13,49.82
2011-04-14,50.31
2011-04-15,50.79
2011-04-18,50.76
2011-04-19,50.37
2011-04-20,50.855
2011-04-21,50.87
2011-04-25,50.67
2011-04-26,51.05
2011-04-27,51.38
2011-04-28,51.33
2011-04-29,51.36
2011-05-02,51.42
2011-05-03,51.64
2011-05-04,51.835
2011-05-05,51.58
2011-05-06,51.93
2011-05-09,51.35
2011-05-10,51.77
2011-05-11,51.81
2011-05-12,52.55
2011-05-13,52.6699
2011-05-16,52.57
2011-05-17,53.0
2011-05-18,53.39
2011-05-19,53.89
2011-05-20,54.21
2011-05-23,53.79
2011-05-24,53.62
2011-05-25,53.41
2011-05-26,54.1
2011-05-27,54.8
2011-05-31,55.0
2011-06-01,54.12
2011-06-02,54.9
2011-06-03,53.54
2011-06-06,53.3
2011-06-07,53.335
2011-06-08,53.26
2011-06-09,53.778999999999996
2011-06-10,53.55
2011-06-13,53.51
2011-06-14,53.87
2011-06-15,53.47
2011-06-16,53.41
2011-06-17,53.89
2011-06-20,54.22
2011-06-21,54.49
2011-06-22,53.88
2011-06-23,53.03
2011-06-24,53.11
2011-06-27,53.4
2011-06-28,53.36
2011-06-29,53.38
2011-06-30,53.39
2011-07-01,53.67
2011-07-05,53.62
2011-07-06,54.05
2011-07-07,54.3
2011-07-08,53.86
2011-07-11,53.565
2011-07-12,54.01
2011-07-13,53.8693
2011-07-14,53.63
2011-07-15,53.52
2011-07-18,53.53
2011-07-19,54.02
2011-07-20,53.98
2011-07-21,54.2
2011-07-22,54.31
2011-07-25,53.87
2011-07-26,53.61
2011-07-27,53.38
2011-07-28,53.08
2011-07-29,52.95
2011-08-01,53.13
2011-08-02,52.2
2011-08-03,51.74
2011-08-04,51.9499
2011-08-05,51.57
2011-08-08,51.28
2011-08-09,50.22
2011-08-10,50.06
2011-08-11,50.77
2011-08-12,51.17
2011-08-15,51.85
2011-08-16,51.98
2011-08-17,52.68
2011-08-18,52.16
2011-08-19,52.7
2011-08-22,52.51
2011-08-23,51.74
2011-08-24,51.57
2011-08-25,51.7
2011-08-26,51.41
2011-08-29,52.27
2011-08-30,52.59
2011-08-31,52.888999999999996
2011-09-01,52.9
2011-09-02,52.1408
2011-09-06,51.19
2011-09-07,52.9
2011-09-08,53.0
2011-09-09,51.96
2011-09-12,50.37
2011-09-13,50.29
2011-09-14,51.26
2011-09-15,51.33
2011-09-16,51.58
2011-09-19,51.27
2011-09-20,51.12
2011-09-21,50.89
2011-09-22,49.51
2011-09-23,49.92
2011-09-26,50.79
2011-09-27,52.09
2011-09-28,51.94
2011-09-29,52.02
2011-09-30,51.84
2011-10-03,50.72
2011-10-04,49.73
2011-10-05,50.08
2011-10-06,50.48
2011-10-07,50.81
2011-10-10,51.16
2011-10-11,51.34
2011-10-12,51.575
2011-10-13,51.95
2011-10-14,52.4
2011-10-17,52.43
2011-10-18,53.0
