dt,high
2010-01-04,64.52
2010-01-05,64.62
2010-01-06,64.35
2010-01-07,63.68
2010-01-08,62.96
2010-01-11,62.696000000000005
2010-01-12,63.41
2010-01-13,63.7
2010-01-14,63.68
2010-01-15,62.96
2010-01-19,63.25
2010-01-20,62.61
2010-01-21,62.52
2010-01-22,61.48
2010-01-25,60.8
2010-01-26,60.75
2010-01-27,60.45
2010-01-28,60.08
2010-01-29,60.18
2010-02-01,59.93
2010-02-02,60.87
2010-02-03,60.59
2010-02-04,60.25
2010-02-05,59.53
2010-02-08,59.58
2010-02-09,59.94
2010-02-10,59.61
2010-02-11,59.4
2010-02-12,59.15
2010-02-16,59.25
2010-02-17,59.64
2010-02-18,60.54
2010-02-19,60.59
2010-02-22,60.6301
2010-02-23,60.62
2010-02-24,60.63
2010-02-25,60.44
2010-02-26,61.05
2010-03-01,61.44
2010-03-02,60.6
2010-03-03,60.39
2010-03-04,60.45
2010-03-05,60.46
2010-03-08,60.26
2010-03-09,60.3199
2010-03-10,60.1
2010-03-11,59.75
2010-03-12,60.22
2010-03-15,60.35
2010-03-16,60.54
2010-03-17,61.02
2010-03-18,61.34
2010-03-19,61.65
2010-03-22,63.06
2010-03-23,63.6
2010-03-24,63.49
2010-03-25,63.35
2010-03-26,63.3
2010-03-29,63.42
2010-03-30,63.44
2010-03-31,63.13
2010-04-01,63.18
2010-04-05,62.87
2010-04-06,62.44
2010-04-07,61.98
2010-04-08,61.62
2010-04-09,61.68
2010-04-12,62.0
2010-04-13,61.42
2010-04-14,61.34
2010-04-15,61.9
2010-04-16,62.23
2010-04-19,62.19
2010-04-20,62.57
2010-04-21,63.04
2010-04-22,62.75
2010-04-23,62.28
2010-04-26,61.55
2010-04-27,61.47
2010-04-28,61.41
2010-04-29,61.619
2010-04-30,62.04
2010-05-03,61.48
2010-05-04,61.42
2010-05-05,62.02
2010-05-06,61.82
2010-05-07,61.26
2010-05-10,63.14
2010-05-11,63.24
2010-05-12,63.1
2010-05-13,62.91
2010-05-14,62.196000000000005
2010-05-17,62.45
2010-05-18,62.84
2010-05-19,62.41
2010-05-20,62.12
2010-05-21,61.645
2010-05-24,61.65
2010-05-25,60.98
2010-05-26,61.18
2010-05-27,61.19
2010-05-28,61.37
2010-06-01,61.88
2010-06-02,61.1
2010-06-03,61.45
2010-06-04,60.83
2010-06-07,61.25
2010-06-08,61.73
2010-06-09,62.16
2010-06-10,62.64
2010-06-11,62.2
2010-06-14,62.86
2010-06-15,63.06
2010-06-16,63.18
2010-06-17,63.24
2010-06-18,63.39
2010-06-21,63.49
2010-06-22,63.15
2010-06-23,62.53
2010-06-24,62.39
2010-06-25,62.1399
2010-06-28,62.02
2010-06-29,61.6795
2010-06-30,61.49
2010-07-01,60.72
2010-07-02,61.01
2010-07-06,61.15
2010-07-07,61.39
2010-07-08,61.89
2010-07-09,61.99
2010-07-12,61.98
2010-07-13,62.6
2010-07-14,62.46
2010-07-15,62.63
2010-07-16,62.55
2010-07-19,62.66
2010-07-20,63.47
2010-07-21,63.67
2010-07-22,63.42
2010-07-23,64.16
2010-07-26,64.19
2010-07-27,65.01
2010-07-28,65.0
2010-07-29,64.73
2010-07-30,64.33
2010-08-02,65.15
2010-08-03,65.05
2010-08-04,65.5
2010-08-05,65.415
2010-08-06,65.29
2010-08-09,65.96
2010-08-10,66.25
2010-08-11,65.71
2010-08-12,65.32
2010-08-13,65.18
2010-08-16,65.11
2010-08-17,65.49
2010-08-18,65.47
2010-08-19,65.26
2010-08-20,64.85
2010-08-23,65.36
2010-08-24,65.16
2010-08-25,64.895
2010-08-26,64.64
2010-08-27,64.49
2010-08-30,64.61
2010-08-31,64.59
2010-09-01,65.5
2010-09-02,65.9584
2010-09-03,66.17
2010-09-07,66.6
2010-09-08,66.51
2010-09-09,66.41
2010-09-10,66.39
2010-09-13,66.86
2010-09-14,66.67
2010-09-15,66.68
2010-09-16,66.72
2010-09-17,66.93
2010-09-20,67.2399
2010-09-21,66.88
2010-09-22,67.05
2010-09-23,66.81
2010-09-24,66.6
2010-09-27,66.08
2010-09-28,65.45
2010-09-29,65.17
2010-09-30,65.4
2010-10-01,65.53
2010-10-04,65.56
2010-10-05,65.77
2010-10-06,66.21
2010-10-07,66.34
2010-10-08,66.61
2010-10-11,66.74
2010-10-12,66.9
2010-10-13,67.23
2010-10-14,66.87
