dt,high
2010-01-04,31.17
2010-01-05,31.12
2010-01-06,31.21
2010-01-07,30.58
2010-01-08,31.01
2010-01-11,31.13
2010-01-12,30.47
2010-01-13,30.52
2010-01-14,30.04
2010-01-15,29.84
2010-01-19,29.2
2010-01-20,28.88
2010-01-21,29.05
2010-01-22,28.55
2010-01-25,27.8
2010-01-26,27.8
2010-01-27,27.5794
2010-01-28,27.48
2010-01-29,27.21
2010-02-01,27.05
2010-02-02,27.19
2010-02-03,27.15
2010-02-04,26.84
2010-02-05,26.73
2010-02-08,26.81
2010-02-09,27.0
2010-02-10,26.81
2010-02-11,27.26
2010-02-12,27.61
2010-02-16,27.55
2010-02-17,28.0
2010-02-18,27.8
2010-02-19,27.98
2010-02-22,27.8945
2010-02-23,27.7
2010-02-24,27.74
2010-02-25,27.43
2010-02-26,27.44
2010-03-01,27.69
2010-03-02,27.95
2010-03-03,27.76
2010-03-04,27.25
2010-03-05,27.56
2010-03-08,27.62
2010-03-09,27.31
2010-03-10,28.085
2010-03-11,28.08
2010-03-12,27.79
2010-03-15,27.72
2010-03-16,28.54
2010-03-17,29.13
2010-03-18,29.14
2010-03-19,28.91
2010-03-22,28.9
2010-03-23,28.99
2010-03-24,28.93
2010-03-25,28.47
2010-03-26,28.27
2010-03-29,28.49
2010-03-30,28.67
2010-03-31,28.77
2010-04-01,28.93
2010-04-05,29.05
2010-04-06,28.98
2010-04-07,29.08
2010-04-08,28.85
2010-04-09,29.13
2010-04-12,29.6
2010-04-13,29.77
2010-04-14,31.27
2010-04-15,31.84
2010-04-16,31.34
2010-04-19,31.29
2010-04-20,31.45
2010-04-21,31.48
2010-04-22,31.0
2010-04-23,31.06
2010-04-26,31.4
2010-04-27,31.33
2010-04-28,30.78
2010-04-29,30.94
2010-04-30,30.81
2010-05-03,30.71
2010-05-04,30.29
2010-05-05,29.72
2010-05-06,29.34
2010-05-07,28.89
2010-05-10,29.62
2010-05-11,29.82
2010-05-12,29.7
2010-05-13,29.7201
2010-05-14,28.86
2010-05-17,28.78
2010-05-18,28.98
2010-05-19,28.21
2010-05-20,27.76
2010-05-21,28.04
2010-05-24,27.805
2010-05-25,27.4125
2010-05-26,27.97
2010-05-27,28.52
2010-05-28,28.52
2010-06-01,28.27
2010-06-02,28.32
2010-06-03,28.86
2010-06-04,28.69
2010-06-07,28.04
2010-06-08,27.07
2010-06-09,27.42
2010-06-10,27.52
2010-06-11,27.87
2010-06-14,28.22
2010-06-15,29.24
2010-06-16,29.625
2010-06-17,29.61
2010-06-18,29.82
2010-06-21,29.97
2010-06-22,29.4
2010-06-23,29.41
2010-06-24,29.32
2010-06-25,28.98
2010-06-28,29.27
2010-06-29,28.7
2010-06-30,28.25
2010-07-01,28.145
2010-07-02,28.03
2010-07-06,28.82
2010-07-07,29.71
2010-07-08,29.79
2010-07-09,30.34
2010-07-12,30.79
2010-07-13,31.28
2010-07-14,31.49
2010-07-15,31.17
2010-07-16,31.11
2010-07-19,31.25
2010-07-20,31.48
2010-07-21,31.77
2010-07-22,31.96
2010-07-23,32.43
2010-07-26,32.83
2010-07-27,32.91
2010-07-28,33.06
2010-07-29,32.61
2010-07-30,32.02
2010-08-02,31.97
2010-08-03,31.87
2010-08-04,31.81
2010-08-05,32.05
2010-08-06,31.8
2010-08-09,32.08
2010-08-10,31.79
2010-08-11,31.03
2010-08-12,29.81
