dt,high
2016-11-01,34.0
2016-11-03,34.0
2016-11-04,34.0
2016-11-07,33.51
2016-11-08,34.0
2016-11-09,35.0
2016-11-10,32.35
2016-11-11,30.09
2016-11-14,30.43
2016-11-15,30.6995
2016-11-16,32.04
2016-11-17,33.065
2016-11-18,33.1
2016-11-21,32.5
2016-11-22,33.15
2016-11-23,33.47
2016-11-25,32.78
2016-11-28,33.5
2016-11-29,33.36
2016-11-30,34.3
2016-12-01,33.26
2016-12-02,33.21
2016-12-05,33.7595
2016-12-06,33.86
2016-12-07,34.98
2016-12-08,36.0
2016-12-09,36.51
2016-12-12,37.215
2016-12-13,37.09
2016-12-14,37.0
2016-12-15,35.18
2016-12-16,35.47
2016-12-19,35.84
2016-12-20,35.11
2016-12-21,35.22
2016-12-22,36.62
2016-12-23,37.07
2016-12-27,37.49
2016-12-28,37.66
2016-12-29,37.96
2016-12-30,38.52
2017-01-03,38.6
2017-01-04,38.41
2017-01-05,37.71
2017-01-06,36.96
2017-01-09,37.09
2017-01-10,38.96
2017-01-11,37.2
2017-01-12,37.01
2017-01-13,37.3
2017-01-17,37.22
2017-01-18,36.88
2017-01-19,37.0
2017-01-20,37.56
2017-01-23,37.42
2017-01-24,37.67
2017-01-25,37.7999
2017-01-26,36.87
2017-01-27,36.54
2017-01-30,36.93
2017-01-31,37.55
2017-02-01,37.97
2017-02-02,38.81
2017-02-03,39.47
2017-02-06,39.35
2017-02-07,39.8
2017-02-08,39.69
2017-02-09,39.52
2017-02-10,39.57
2017-02-13,39.71
2017-02-14,39.74
2017-02-15,39.75
2017-02-16,40.16
2017-02-17,39.95
2017-02-21,40.13
2017-02-22,40.0
2017-02-23,39.95
2017-02-24,39.66
2017-02-27,39.7
2017-02-28,39.79
2017-03-01,40.04
2017-03-02,40.39
2017-03-03,40.467
2017-03-06,40.61
2017-03-07,41.05
2017-03-08,41.08
2017-03-09,41.1
2017-03-10,41.6
2017-03-13,41.61
2017-03-14,42.25
