dt,high
2016-05-02,24.0
2016-05-03,25.67
2016-05-04,25.79
2016-05-05,28.16
2016-05-06,27.75
2016-05-09,27.0
2016-05-10,27.0
2016-05-11,28.0
2016-05-12,27.5
2016-05-13,27.96
2016-05-16,27.15
2016-05-17,26.92
2016-05-18,26.8166
2016-05-19,26.5
2016-05-20,26.05
2016-05-23,27.5
2016-05-24,27.56
2016-05-25,26.47
2016-05-26,26.93
2016-05-27,28.0
2016-05-31,29.31
2016-06-01,31.3
2016-06-02,32.05
2016-06-03,31.92
2016-06-06,32.25
2016-06-07,31.92
2016-06-08,32.5803
2016-06-09,32.635
2016-06-10,34.75
2016-06-13,34.53
2016-06-14,34.91
2016-06-15,35.05
2016-06-16,35.31
2016-06-17,34.99
2016-06-20,35.04
2016-06-21,34.72
2016-06-22,34.632
2016-06-23,34.88
2016-06-24,35.12
2016-06-27,34.54
2016-06-28,34.7
2016-06-29,35.27
2016-06-30,34.458
2016-07-01,34.41
2016-07-05,34.83
2016-07-06,35.62
2016-07-07,36.8899
2016-07-08,36.5
2016-07-11,38.59
2016-07-12,39.35
2016-07-13,39.51
2016-07-14,39.79
2016-07-15,38.985
2016-07-18,38.38
2016-07-19,38.37
2016-07-20,38.83
2016-07-21,39.38
2016-07-22,40.22
2016-07-25,40.41
2016-07-26,40.02
2016-07-27,41.13
2016-07-28,40.82
2016-07-29,38.67
2016-08-01,39.09
2016-08-02,39.1
2016-08-03,38.46
2016-08-04,44.21
2016-08-05,44.1
2016-08-08,43.98
2016-08-09,44.1
2016-08-10,43.81
2016-08-11,45.34
2016-08-12,45.0956
2016-08-15,45.22
2016-08-16,44.65
2016-08-17,44.55
2016-08-18,44.08
2016-08-19,43.04
2016-08-22,42.08
2016-08-23,42.35
2016-08-24,43.57
2016-08-25,43.58
2016-08-26,43.455
2016-08-29,45.03
2016-08-30,44.86
2016-08-31,44.58
2016-09-01,44.64
2016-09-02,44.72
2016-09-06,46.57
2016-09-07,45.42
2016-09-08,44.94
2016-09-09,44.11
2016-09-12,43.74
2016-09-13,42.91
2016-09-14,43.835
2016-09-15,46.71
2016-09-16,46.422
2016-09-19,46.58
2016-09-20,46.6
2016-09-21,46.87
2016-09-22,47.81
2016-09-23,48.0
2016-09-26,48.3
2016-09-27,47.62
2016-09-28,47.81
2016-09-29,48.26
2016-09-30,47.37
2016-10-03,46.38
2016-10-04,44.75
2016-10-05,43.96
2016-10-06,43.55
2016-10-07,44.03
2016-10-10,43.6
2016-10-11,43.605
2016-10-12,43.09
2016-10-13,42.92
2016-10-14,43.19
2016-10-17,42.65
2016-10-18,42.96
2016-10-19,42.89
2016-10-20,42.65
2016-10-21,42.5
2016-10-24,43.84
2016-10-25,43.865
2016-10-26,42.91
2016-10-27,42.69
2016-10-28,41.78
2016-10-31,41.5
2016-11-01,41.43
2016-11-02,41.135
2016-11-03,46.25
2016-11-04,45.99
2016-11-07,45.81
2016-11-08,45.185
2016-11-09,46.965
2016-11-10,47.42
2016-11-11,49.12
2016-11-14,50.2
2016-11-15,49.13
2016-11-16,50.505
2016-11-17,52.11
2016-11-18,51.01
2016-11-21,51.14
2016-11-22,52.94
2016-11-23,52.66
2016-11-25,53.59
2016-11-28,53.387
2016-11-29,52.23
2016-11-30,53.48
2016-12-01,53.37
2016-12-02,51.2
2016-12-05,50.58
2016-12-06,50.4
2016-12-07,51.44
2016-12-08,51.81
2016-12-09,51.92
2016-12-12,52.61
2016-12-13,53.57
2016-12-14,53.7899
2016-12-15,54.5
2016-12-16,55.15
2016-12-19,55.04
2016-12-20,55.43
2016-12-21,55.04
2016-12-22,53.71
2016-12-23,54.0
2016-12-27,55.12
2016-12-28,55.18
2016-12-29,54.73
2016-12-30,54.94
2017-01-03,55.4
2017-01-04,54.25
2017-01-05,55.765
2017-01-06,55.4
2017-01-09,54.85
2017-01-10,54.725
2017-01-11,54.119
2017-01-12,53.225
2017-01-13,53.18
2017-01-17,53.16
2017-01-18,53.05
2017-01-19,53.23
2017-01-20,52.88
2017-01-23,54.19
2017-01-24,54.77
2017-01-25,55.59
2017-01-26,55.49
2017-01-27,55.33
2017-01-30,54.77
2017-01-31,55.73
2017-02-01,56.43
2017-02-02,55.75
2017-02-03,56.36
2017-02-06,56.3
2017-02-07,56.33
2017-02-08,56.3799
2017-02-09,56.8
2017-02-10,56.465
2017-02-13,56.39
2017-02-14,56.04
2017-02-15,56.93
2017-02-16,57.8
2017-02-17,57.7
2017-02-21,57.04
2017-02-22,56.99
2017-02-23,57.0
2017-02-24,54.47
2017-02-27,54.0
2017-02-28,54.36
2017-03-01,57.18
2017-03-02,57.66
2017-03-03,60.02
2017-03-06,58.91
2017-03-07,58.71
2017-03-08,58.49
2017-03-09,58.72
2017-03-10,59.16
2017-03-13,59.74
2017-03-14,60.13
2017-03-15,60.28
2017-03-16,60.2
2017-03-17,60.99
2017-03-20,61.16
2017-03-21,61.56
2017-03-22,61.2
2017-03-23,61.65
2017-03-24,61.3
2017-03-27,61.23
2017-03-28,61.17
2017-03-29,61.84
2017-03-30,62.8
2017-03-31,61.66
2017-04-03,60.96
2017-04-04,58.91
2017-04-05,58.4
2017-04-06,58.49
2017-04-07,58.03
2017-04-10,58.045
2017-04-11,59.4
2017-04-12,59.78
2017-04-13,60.58
2017-04-17,59.68
2017-04-18,60.14
2017-04-19,59.94
2017-04-20,60.2999
2017-04-21,62.22
2017-04-24,63.22
2017-04-25,64.56
2017-04-26,64.51
2017-04-27,65.02
2017-04-28,64.93
2017-05-01,63.86
2017-05-02,63.66
2017-05-03,62.695
2017-05-04,63.92
2017-05-05,59.04
2017-05-08,58.63
2017-05-09,58.56
2017-05-10,60.41
2017-05-11,60.6
2017-05-12,59.9595
2017-05-15,60.0
2017-05-16,58.82
2017-05-17,58.24
2017-05-18,57.98
2017-05-19,58.56
2017-05-22,59.1
2017-05-23,59.77
2017-05-24,59.585
2017-05-25,60.07
2017-05-26,59.56
2017-05-30,59.63
2017-05-31,59.56
2017-06-01,59.16
2017-06-02,60.04
2017-06-05,59.31
2017-06-06,58.05
2017-06-07,57.77
2017-06-08,59.7199
2017-06-09,60.53
2017-06-12,60.28
2017-06-13,59.705
2017-06-14,58.93
2017-06-15,57.81
2017-06-16,57.5
2017-06-19,58.11
2017-06-20,57.12
2017-06-21,57.13
2017-06-22,55.77
2017-06-23,55.83
2017-06-26,55.565
2017-06-27,54.43
2017-06-28,56.76
2017-06-29,57.08
2017-06-30,57.77
2017-07-03,58.14
2017-07-05,57.5
2017-07-06,56.82
2017-07-07,57.39
2017-07-10,57.57
2017-07-11,58.53
2017-07-12,58.05
2017-07-13,57.8
2017-07-14,57.88
2017-07-17,59.0
2017-07-18,58.92
2017-07-19,58.415
2017-07-20,58.5558
2017-07-21,59.03
2017-07-24,57.61
2017-07-25,58.36
2017-07-26,58.44
2017-07-27,58.99
2017-07-28,59.6862
2017-07-31,59.2227
2017-08-01,59.87
2017-08-02,59.26
2017-08-03,59.7
2017-08-04,62.15
2017-08-07,61.8
2017-08-08,60.33
2017-08-09,59.24
2017-08-10,58.2
2017-08-11,57.37
2017-08-14,57.47
2017-08-15,57.23
2017-08-16,57.39
2017-08-17,57.285
2017-08-18,56.25
2017-08-21,56.28
2017-08-22,56.39
2017-08-23,62.01
2017-08-24,61.63
2017-08-25,62.17
2017-08-28,62.2696
2017-08-29,62.12
2017-08-30,62.22
2017-08-31,63.03
2017-09-01,64.0
2017-09-05,64.05
2017-09-06,63.17
2017-09-07,63.06
2017-09-08,62.15
2017-09-11,61.96
2017-09-12,61.77
2017-09-13,61.1
2017-09-14,59.97
2017-09-15,59.71
2017-09-18,60.14
2017-09-19,59.86
2017-09-20,60.49
2017-09-21,61.95
2017-09-22,62.0
2017-09-25,61.75
2017-09-26,60.26
2017-09-27,63.36
2017-09-28,63.77
2017-09-29,63.65
2017-10-02,64.89
2017-10-03,65.25
2017-10-04,64.98
2017-10-05,66.01
2017-10-06,65.86
2017-10-09,67.56
2017-10-10,67.86
2017-10-11,68.3
2017-10-12,68.57
2017-10-13,69.0
2017-10-16,69.4
2017-10-17,70.45
2017-10-18,70.71
2017-10-19,69.96
2017-10-20,69.97
2017-10-23,70.185
2017-10-24,70.46
2017-10-25,70.56
2017-10-26,70.86
2017-10-27,71.61
2017-10-30,71.455
2017-10-31,71.765
2017-11-01,72.43
2017-11-02,74.47
2017-11-03,75.6
2017-11-06,76.0
2017-11-07,75.555
2017-11-08,74.064
2017-11-09,73.95
2017-11-10,74.34
2017-11-13,75.13
2017-11-14,75.89
2017-11-15,75.0
2017-11-16,75.6
2017-11-17,74.64
2017-11-20,74.44
2017-11-21,76.62
2017-11-22,77.79
2017-11-24,76.41
2017-11-27,76.98
2017-11-28,78.21
2017-11-29,79.07
2017-11-30,79.87
2017-12-01,79.59
2017-12-04,80.18
2017-12-05,79.04
2017-12-06,77.98
2017-12-07,77.95
2017-12-08,77.505
2017-12-11,75.9
2017-12-12,74.1051
2017-12-13,72.808
2017-12-14,73.16
2017-12-15,71.78
2017-12-18,72.63
2017-12-19,72.3
2017-12-20,73.28
2017-12-21,72.9775
2017-12-22,72.08
2017-12-26,71.65
2017-12-27,71.68
2017-12-28,71.295
2017-12-29,71.515
2018-01-02,71.13
2018-01-03,71.1
2018-01-04,73.09
2018-01-05,73.9
2018-01-08,74.48
2018-01-09,74.59
2018-01-10,73.84
2018-01-11,75.49
2018-01-12,75.9
2018-01-16,75.35
2018-01-17,75.41
2018-01-18,75.18
2018-01-19,76.84
2018-01-22,76.19
2018-01-23,76.12
2018-01-24,76.56
2018-01-25,76.47
2018-01-26,76.99
2018-01-29,75.76
2018-01-30,75.3299
2018-01-31,75.3
2018-02-01,73.77
2018-02-02,74.65
2018-02-05,73.71
