dt,high
2010-01-04,37.82
2010-01-05,37.99
2010-01-06,38.09
2010-01-07,37.79
2010-01-08,37.64
2010-01-11,37.59
2010-01-12,37.89
2010-01-13,38.1201
2010-01-14,38.32
2010-01-15,38.33
2010-01-19,38.17
2010-01-20,38.05
2010-01-21,38.08
2010-01-22,37.8
2010-01-25,37.65
2010-01-26,37.56
2010-01-27,37.53
2010-01-28,37.57
2010-01-29,37.52
2010-02-01,37.66
2010-02-02,37.84
2010-02-03,37.91
2010-02-04,37.61
2010-02-05,37.42
2010-02-08,37.33
2010-02-09,37.59
2010-02-10,37.67
2010-02-11,38.02
2010-02-12,37.84
2010-02-16,37.93
2010-02-17,38.22
2010-02-18,38.39
2010-02-19,38.5
2010-02-22,38.45
2010-02-23,38.34
2010-02-24,38.24
2010-02-25,38.28
2010-02-26,38.37
