dt,high
2010-01-04,112.7
2010-01-05,114.67
2010-01-06,115.0
2010-01-07,115.76
2010-01-08,117.5
2010-01-11,118.62
2010-01-12,114.53
2010-01-13,115.1
2010-01-14,115.68
2010-01-15,116.53
2010-01-19,115.17
2010-01-20,113.61
2010-01-21,111.13
2010-01-22,108.11
2010-01-25,105.38
2010-01-26,106.51
2010-01-27,107.57
2010-01-28,107.39
2010-01-29,107.33
2010-02-01,107.57
2010-02-02,111.3
2010-02-03,111.73
2010-02-04,108.89
2010-02-05,107.71
2010-02-08,107.48
2010-02-09,108.73
2010-02-10,108.26
2010-02-11,109.93
2010-02-12,109.67
2010-02-16,110.71
2010-02-17,111.57
2010-02-18,113.0
2010-02-19,115.5
2010-02-22,114.98
2010-02-23,114.23
2010-02-24,113.495
2010-02-25,112.43
2010-02-26,113.23
2010-03-01,116.95
2010-03-02,118.23
2010-03-03,118.07
2010-03-04,117.81
2010-03-05,120.59
2010-03-08,120.25
2010-03-09,120.98
2010-03-10,123.19
2010-03-11,122.52
2010-03-12,122.79
2010-03-15,121.58
2010-03-16,121.08
2010-03-17,120.84
2010-03-18,119.94
2010-03-19,123.675
2010-03-22,122.65
2010-03-23,123.32
2010-03-24,123.41
2010-03-25,124.52
2010-03-26,124.97
2010-03-29,127.74
2010-03-30,128.065
2010-03-31,127.71
2010-04-01,128.63
2010-04-05,128.42
2010-04-06,127.2
2010-04-07,126.26
2010-04-08,126.09
2010-04-09,127.21
2010-04-12,127.18
2010-04-13,125.36
2010-04-14,124.66
2010-04-15,126.42
2010-04-16,125.86
2010-04-19,123.7101
2010-04-20,125.36
2010-04-21,130.26
2010-04-22,133.74
2010-04-23,134.78
2010-04-26,135.4
2010-04-27,133.45
2010-04-28,131.2
2010-04-29,134.57
2010-04-30,134.27
2010-05-03,130.49
2010-05-04,128.45
2010-05-05,123.33
2010-05-06,126.9
2010-05-07,120.77
2010-05-10,125.49
2010-05-11,125.29
2010-05-12,125.32
2010-05-13,126.03
2010-05-14,123.67
2010-05-17,121.2
2010-05-18,123.24
2010-05-19,119.68
2010-05-20,115.86
2010-05-21,118.42
2010-05-24,117.96
2010-05-25,115.47
2010-05-26,119.0399
2010-05-27,121.0
2010-05-28,120.96
2010-06-01,117.66
2010-06-02,115.85
2010-06-03,117.38
2010-06-04,114.402
2010-06-07,110.6
2010-06-08,106.97
2010-06-09,107.25
2010-06-10,108.65
2010-06-11,109.18
2010-06-14,111.21
2010-06-15,113.4
2010-06-16,113.9
2010-06-17,113.55
2010-06-18,114.77
2010-06-21,117.36
2010-06-22,115.7
2010-06-23,113.86
2010-06-24,113.1
2010-06-25,109.74
2010-06-28,109.87
2010-06-29,106.42
2010-06-30,104.67
2010-07-01,103.46
2010-07-02,103.45
2010-07-06,105.42
2010-07-07,106.98
2010-07-08,111.32
2010-07-09,110.48
2010-07-12,110.15
2010-07-13,110.38
2010-07-14,110.72
2010-07-15,111.89
2010-07-16,111.57
2010-07-19,108.795
2010-07-20,109.98
2010-07-21,112.54
2010-07-22,116.76
2010-07-23,119.31
2010-07-26,122.55
2010-07-27,123.78
2010-07-28,123.52
2010-07-29,124.12
2010-07-30,122.74
2010-08-02,125.05
2010-08-03,124.92
2010-08-04,125.64
2010-08-05,125.62
2010-08-06,125.44
2010-08-09,124.95
2010-08-10,123.565
2010-08-11,120.6
2010-08-12,118.365
2010-08-13,118.492
2010-08-16,118.3
2010-08-17,122.24
2010-08-18,122.64
2010-08-19,121.94
2010-08-20,119.72
2010-08-23,120.23
2010-08-24,115.26
2010-08-25,114.06
2010-08-26,116.03
2010-08-27,116.48
2010-08-30,116.26
2010-08-31,114.57
2010-09-01,120.11
2010-09-02,121.92
2010-09-03,124.78
2010-09-07,123.33
2010-09-08,125.0
2010-09-09,126.38
2010-09-10,124.03
2010-09-13,125.84
2010-09-14,124.59
2010-09-15,124.53
2010-09-16,124.4
2010-09-17,128.34
2010-09-20,129.28
2010-09-21,130.93
2010-09-22,131.745
2010-09-23,128.489
2010-09-24,131.5
2010-09-27,131.5
2010-09-28,130.39
2010-09-29,130.1399
2010-09-30,131.0
2010-10-01,129.96
2010-10-04,129.9
2010-10-05,131.6
2010-10-06,132.235
2010-10-07,132.79
2010-10-08,132.27
2010-10-11,132.29
2010-10-12,130.55
2010-10-13,132.9
2010-10-14,132.59
2010-10-15,133.96
2010-10-18,132.96
2010-10-19,129.43
2010-10-20,130.77
2010-10-21,138.9
2010-10-22,140.63
2010-10-25,141.21
2010-10-26,137.64
2010-10-27,137.39
2010-10-28,139.2
2010-10-29,137.84
2010-11-01,138.98
2010-11-02,140.89
2010-11-03,141.33
2010-11-04,143.52
2010-11-05,145.4
2010-11-08,143.43
2010-11-09,142.08
2010-11-10,139.23
2010-11-11,136.03
2010-11-12,133.97
2010-11-15,134.22
2010-11-16,132.95
2010-11-17,133.56
2010-11-18,135.0
2010-11-19,136.39
2010-11-22,135.295
2010-11-23,135.58
2010-11-24,139.87
2010-11-26,139.31
2010-11-29,137.8
2010-11-30,138.98
2010-12-01,141.96
2010-12-02,142.54
2010-12-03,143.01
2010-12-06,143.27
2010-12-07,143.79
2010-12-08,142.92
2010-12-09,142.49
2010-12-10,141.75
2010-12-13,143.45
2010-12-14,142.9
2010-12-15,140.445
2010-12-16,139.265
2010-12-17,140.89
2010-12-20,141.55
2010-12-21,142.93
2010-12-22,142.23
2010-12-23,142.66
2010-12-27,141.44
2010-12-28,140.82
2010-12-29,140.63
2010-12-30,140.24
2010-12-31,139.47
2011-01-03,141.1
2011-01-04,140.84
2011-01-05,144.3099
2011-01-06,143.74
2011-01-07,144.04
2011-01-10,142.97
2011-01-11,144.55
2011-01-12,143.42
2011-01-13,144.3
2011-01-14,144.85
2011-01-18,147.8
2011-01-19,148.36
2011-01-20,145.33
2011-01-21,144.93
2011-01-24,142.26
2011-01-25,144.0
2011-01-26,145.2
2011-01-27,146.16
2011-01-28,145.48
2011-01-31,143.175
2011-02-01,144.42
2011-02-02,143.92
2011-02-03,143.5
2011-02-04,145.18
2011-02-07,148.68
2011-02-08,148.0
2011-02-09,149.46
2011-02-10,149.94
2011-02-11,149.99
2011-02-14,151.96
2011-02-15,151.91
2011-02-16,151.88
2011-02-17,150.42
2011-02-18,150.08
2011-02-22,147.69
2011-02-23,144.08
2011-02-24,143.3399
2011-02-25,143.07
2011-02-28,143.07
2011-03-01,142.86
2011-03-02,139.49
2011-03-03,142.27
2011-03-04,141.33
2011-03-07,140.14
2011-03-08,140.86
2011-03-09,142.5
2011-03-10,141.35
2011-03-11,146.66
2011-03-14,144.8
2011-03-15,143.49
2011-03-16,141.74
2011-03-17,142.1
2011-03-18,141.98
2011-03-21,143.83
2011-03-22,142.635
2011-03-23,144.28
2011-03-24,145.12
2011-03-25,146.98
2011-03-28,146.67
2011-03-29,148.25
2011-03-30,149.35
2011-03-31,147.8
2011-04-01,151.0
2011-04-04,149.32
2011-04-05,148.9
2011-04-06,148.75
2011-04-07,148.55
2011-04-08,149.08
2011-04-11,147.15
2011-04-12,145.0
2011-04-13,145.75
2011-04-14,143.0
2011-04-15,144.46
2011-04-18,142.6
2011-04-19,143.85
2011-04-20,148.51
2011-04-21,150.42
2011-04-25,149.73
2011-04-26,151.61
2011-04-27,152.04
2011-04-28,153.83
2011-04-29,155.74
2011-05-02,155.78
2011-05-03,155.75
2011-05-04,155.66
2011-05-05,156.15
2011-05-06,158.13
2011-05-09,159.36
2011-05-10,158.95
2011-05-11,158.274
2011-05-12,158.0
2011-05-13,159.28
2011-05-16,156.66
2011-05-17,155.28
2011-05-18,154.93
2011-05-19,156.28
2011-05-20,154.81
2011-05-23,152.86
2011-05-24,152.808
2011-05-25,154.67
2011-05-26,157.92
2011-05-27,157.29
2011-05-31,158.51
2011-06-01,157.19
2011-06-02,155.51
2011-06-03,154.03
2011-06-06,155.09
2011-06-07,154.75
2011-06-08,152.99
2011-06-09,151.84
2011-06-10,150.65
2011-06-13,149.59
2011-06-14,153.71
2011-06-15,153.73
2011-06-16,152.73
2011-06-17,154.57
2011-06-20,155.54
2011-06-21,157.3
2011-06-22,159.35
2011-06-23,155.97
2011-06-24,155.5
2011-06-27,155.47
2011-06-28,159.865
2011-06-29,163.02
2011-06-30,165.12
2011-07-01,165.99
2011-07-05,167.64
2011-07-06,170.0
2011-07-07,171.43
2011-07-08,163.14
2011-07-11,164.78
2011-07-12,162.64
2011-07-13,163.11
2011-07-14,162.968
2011-07-15,162.53
2011-07-18,161.19
2011-07-19,162.74
2011-07-20,163.658
2011-07-21,167.88
2011-07-22,167.42
2011-07-25,164.97
2011-07-26,162.11
2011-07-27,159.74
2011-07-28,164.06
2011-07-29,163.28
2011-08-01,164.15
2011-08-02,161.29
2011-08-03,158.0
2011-08-04,155.08
2011-08-05,151.34
2011-08-08,148.68
2011-08-09,146.96
2011-08-10,146.55
2011-08-11,151.83
2011-08-12,153.58
2011-08-15,153.68
2011-08-16,152.49
2011-08-17,153.66
2011-08-18,147.62
2011-08-19,146.38
2011-08-22,146.28
2011-08-23,150.89
2011-08-24,155.58
2011-08-25,157.65
2011-08-26,159.85
2011-08-29,164.09
2011-08-30,166.68
2011-08-31,168.73
2011-09-01,165.55
2011-09-02,159.04
2011-09-06,156.48
2011-09-07,160.86
2011-09-08,162.88
2011-09-09,158.88
2011-09-12,158.93
2011-09-13,164.29
2011-09-14,169.43
2011-09-15,169.91
2011-09-16,172.0
2011-09-19,171.99
2011-09-20,173.46
2011-09-21,173.98
2011-09-22,159.27
2011-09-23,163.06
2011-09-26,164.78
2011-09-27,171.05
2011-09-28,169.95
2011-09-29,167.24
2011-09-30,158.2
2011-10-03,155.39
2011-10-04,146.85
