dt,high
2010-01-04,37.09
2010-01-05,37.02
2010-01-06,36.76
2010-01-07,36.71
2010-01-08,36.94
2010-01-11,37.53
2010-01-12,37.7
2010-01-13,37.74
2010-01-14,37.81
2010-01-15,37.63
2010-01-19,37.54
2010-01-20,37.44
2010-01-21,37.6999
2010-01-22,36.88
2010-01-25,36.53
2010-01-26,36.94
2010-01-27,36.97
2010-01-28,36.29
2010-01-29,36.341
2010-02-01,36.1
2010-02-02,36.32
2010-02-03,36.38
2010-02-04,36.1899
2010-02-05,35.48
2010-02-08,35.43
2010-02-09,35.46
2010-02-10,35.28
2010-02-11,35.35
2010-02-12,35.35
2010-02-16,36.37
2010-02-17,36.65
2010-02-18,36.93
2010-02-19,37.75
2010-02-22,37.85
2010-02-23,37.45
2010-02-24,37.71
2010-02-25,37.58
2010-02-26,37.69
2010-03-01,36.81
2010-03-02,37.56
2010-03-03,38.0
2010-03-04,37.785
2010-03-05,38.13
2010-03-08,38.03
2010-03-09,38.0
2010-03-10,37.7
2010-03-11,37.48
2010-03-12,37.67
2010-03-15,37.4
2010-03-16,37.77
2010-03-17,38.1525
2010-03-18,38.1
2010-03-19,38.23
2010-03-22,37.77
2010-03-23,37.98
2010-03-24,37.82
2010-03-25,37.72
2010-03-26,37.62
2010-03-29,38.22
2010-03-30,38.37
2010-03-31,38.1
2010-04-01,38.1
2010-04-05,38.46
2010-04-06,39.1
2010-04-07,38.96
2010-04-08,39.06
2010-04-09,38.52
2010-04-12,38.3
2010-04-13,38.2
2010-04-14,38.09
2010-04-15,38.08
2010-04-16,38.08
2010-04-19,37.63
2010-04-20,38.09
2010-04-21,38.35
2010-04-22,38.37
2010-04-23,38.43
2010-04-26,38.47
2010-04-27,38.17
2010-04-28,37.92
2010-04-29,37.72
2010-04-30,38.1
2010-05-03,38.19
2010-05-04,37.82
2010-05-05,37.68
2010-05-06,37.04
2010-05-07,36.18
2010-05-10,36.56
2010-05-11,36.09
2010-05-12,36.63
2010-05-13,36.86
2010-05-14,36.37
2010-05-17,36.54
2010-05-18,36.82
2010-05-19,36.73
2010-05-20,35.97
2010-05-21,35.21
2010-05-24,35.53
2010-05-25,34.55
2010-05-26,34.98
2010-05-27,35.25
2010-05-28,35.51
2010-06-01,35.3
2010-06-02,35.55
2010-06-03,36.035
2010-06-04,35.72
2010-06-07,35.3
2010-06-08,35.66
2010-06-09,35.83
2010-06-10,35.65
2010-06-11,35.66
2010-06-14,36.05
2010-06-15,36.42
2010-06-16,36.88
2010-06-17,37.33
2010-06-18,37.7
2010-06-21,37.9
2010-06-22,37.56
2010-06-23,36.71
2010-06-24,37.17
2010-06-25,36.92
2010-06-28,37.06
2010-06-29,36.89
2010-06-30,37.01
2010-07-01,36.43
2010-07-02,36.59
2010-07-06,36.97
2010-07-07,37.81
2010-07-08,38.22
2010-07-09,38.26
2010-07-12,38.48
2010-07-13,38.75
2010-07-14,38.67
2010-07-15,38.7
2010-07-16,38.64
2010-07-19,38.3
2010-07-20,38.29
2010-07-21,38.35
2010-07-22,38.86
2010-07-23,39.15
2010-07-26,39.66
2010-07-27,40.27
2010-07-28,40.34
2010-07-29,39.57
2010-07-30,38.28
2010-08-02,38.85
2010-08-03,39.14
2010-08-04,39.63
2010-08-05,39.67
2010-08-06,39.59
2010-08-09,39.74
2010-08-10,39.985
2010-08-11,39.38
2010-08-12,39.57
2010-08-13,39.84
2010-08-16,39.63
2010-08-17,40.33
2010-08-18,40.26
2010-08-19,39.74
2010-08-20,39.34
2010-08-23,40.0
2010-08-24,40.14
2010-08-25,39.99
2010-08-26,40.1
2010-08-27,40.44
2010-08-30,40.39
2010-08-31,40.04
2010-09-01,40.98
2010-09-02,41.0
2010-09-03,41.04
2010-09-07,41.14
2010-09-08,40.9
2010-09-09,40.79
2010-09-10,40.71
2010-09-13,41.22
2010-09-14,41.39
2010-09-15,41.37
2010-09-16,41.01
2010-09-17,40.72
2010-09-20,40.97
2010-09-21,41.09
2010-09-22,41.355
2010-09-23,40.88
2010-09-24,41.22
2010-09-27,41.66
2010-09-28,41.75
2010-09-29,41.63
2010-09-30,41.74
2010-10-01,41.71
2010-10-04,41.73
2010-10-05,41.67
2010-10-06,41.78
2010-10-07,41.6
2010-10-08,41.38
2010-10-11,41.38
2010-10-12,41.24
2010-10-13,41.388999999999996
2010-10-14,41.67
2010-10-15,41.8099
2010-10-18,41.88
2010-10-19,42.13
2010-10-20,42.54
2010-10-21,42.68
2010-10-22,42.41
2010-10-25,42.37
2010-10-26,42.12
2010-10-27,41.91
2010-10-28,41.63
2010-10-29,41.32
2010-11-01,41.63
2010-11-02,42.03
2010-11-03,42.15
2010-11-04,42.44
2010-11-05,42.37
2010-11-08,42.17
2010-11-09,42.03
2010-11-10,41.5
2010-11-11,41.43
2010-11-12,41.2
2010-11-15,41.56
2010-11-16,41.19
2010-11-17,40.96
2010-11-18,41.1
2010-11-19,41.13
2010-11-22,41.01
2010-11-23,40.72
2010-11-24,40.88
2010-11-26,40.8881
2010-11-29,40.48
2010-11-30,40.59
2010-12-01,41.14
2010-12-02,41.19
2010-12-03,41.12
2010-12-06,41.13
2010-12-07,41.15
2010-12-08,40.66
2010-12-09,40.58
2010-12-10,40.86
2010-12-13,41.12
2010-12-14,41.31
2010-12-15,41.33
2010-12-16,41.41
2010-12-17,41.52
2010-12-20,41.76
2010-12-21,41.54
2010-12-22,41.86
2010-12-23,41.99
2010-12-27,41.98
2010-12-28,41.91
2010-12-29,41.931000000000004
2010-12-30,41.79
2010-12-31,41.74
2011-01-03,41.68
2011-01-04,41.87
2011-01-05,41.6975
2011-01-06,41.53
2011-01-07,41.7
2011-01-10,41.54
2011-01-11,41.43
2011-01-12,41.53
2011-01-13,41.56
2011-01-14,41.595
2011-01-18,41.63
2011-01-19,41.6
2011-01-20,41.85
2011-01-21,41.78
2011-01-24,42.18
2011-01-25,42.19
2011-01-26,42.26
2011-01-27,42.23
2011-01-28,41.86
2011-01-31,41.22
2011-02-01,41.28
2011-02-02,41.26
2011-02-03,41.12
2011-02-04,41.13
2011-02-07,41.39
2011-02-08,41.505
2011-02-09,41.68
2011-02-10,41.94
2011-02-11,42.14
2011-02-14,41.94
2011-02-15,41.88
2011-02-16,41.89
2011-02-17,41.78
2011-02-18,41.88
2011-02-22,41.84
2011-02-23,42.1
2011-02-24,41.94
2011-02-25,41.79
2011-02-28,42.42
2011-03-01,43.2399
2011-03-02,43.12
2011-03-03,43.54
2011-03-04,43.49
2011-03-07,43.75
2011-03-08,43.84
2011-03-09,44.07
2011-03-10,43.75
2011-03-11,43.61
2011-03-14,43.62
2011-03-15,42.96
2011-03-16,42.41
2011-03-17,42.23
2011-03-18,41.97
2011-03-21,42.23
2011-03-22,42.09
2011-03-23,41.78
2011-03-24,42.25
2011-03-25,42.36
2011-03-28,42.52
2011-03-29,42.3
2011-03-30,42.95
2011-03-31,42.96
2011-04-01,43.36
2011-04-04,43.39
2011-04-05,43.23
2011-04-06,43.45
2011-04-07,43.23
2011-04-08,43.3
2011-04-11,43.05
2011-04-12,42.64
2011-04-13,42.52
2011-04-14,42.59
2011-04-15,43.09
2011-04-18,42.69
2011-04-19,42.59
2011-04-20,42.96
2011-04-21,42.92
2011-04-25,42.96
2011-04-26,43.08
2011-04-27,43.3
2011-04-28,43.01
2011-04-29,43.47
2011-05-02,43.88
2011-05-03,44.22
2011-05-04,44.24
2011-05-05,44.23
2011-05-06,44.48
2011-05-09,44.37
2011-05-10,45.13
2011-05-11,45.145
2011-05-12,45.64
2011-05-13,45.62
2011-05-16,45.43
2011-05-17,45.56
2011-05-18,45.57
2011-05-19,45.47
2011-05-20,45.64
2011-05-23,45.27
2011-05-24,45.08
2011-05-25,44.97
2011-05-26,45.06
2011-05-27,45.35
2011-05-31,45.27
2011-06-01,45.22
2011-06-02,44.61
2011-06-03,44.09
2011-06-06,43.63
2011-06-07,43.91
2011-06-08,43.72
2011-06-09,43.67
2011-06-10,43.34
2011-06-13,43.31
2011-06-14,43.79
2011-06-15,43.68
2011-06-16,43.7
2011-06-17,44.14
2011-06-20,44.17
2011-06-21,44.74
2011-06-22,44.46
2011-06-23,43.83
2011-06-24,44.16
2011-06-27,44.2
2011-06-28,44.6
2011-06-29,44.55
2011-06-30,44.61
2011-07-01,45.15
2011-07-05,45.11
2011-07-06,45.114
2011-07-07,45.14
2011-07-08,44.87
2011-07-11,44.46
2011-07-12,44.74
2011-07-13,44.83
2011-07-14,44.56
2011-07-15,44.03
2011-07-18,43.78
2011-07-19,43.92
2011-07-20,44.21
2011-07-21,44.78
2011-07-22,44.64
2011-07-25,44.36
2011-07-26,44.0988
2011-07-27,43.68
2011-07-28,42.89
2011-07-29,42.75
2011-08-01,42.77
2011-08-02,42.04
2011-08-03,41.74
2011-08-04,41.04
2011-08-05,40.2
2011-08-08,40.0
2011-08-09,39.66
2011-08-10,39.9
2011-08-11,41.975
2011-08-12,41.7
2011-08-15,42.32
2011-08-16,42.35
2011-08-17,42.93
2011-08-18,42.09
2011-08-19,42.05
2011-08-22,42.34
2011-08-23,42.53
2011-08-24,43.52
2011-08-25,43.55
2011-08-26,43.28
2011-08-29,44.04
2011-08-30,44.18
2011-08-31,44.49
2011-09-01,44.47
2011-09-02,43.64
2011-09-06,42.97
2011-09-07,43.41
2011-09-08,43.68
2011-09-09,42.795
2011-09-12,42.28
2011-09-13,42.81
2011-09-14,43.63
2011-09-15,43.8
2011-09-16,44.31
2011-09-19,43.97
2011-09-20,45.08
2011-09-21,44.68
2011-09-22,42.9
2011-09-23,43.28
2011-09-26,43.53
2011-09-27,44.0
2011-09-28,43.35
2011-09-29,43.32
2011-09-30,43.51
2011-10-03,43.29
2011-10-04,42.36
2011-10-05,42.59
2011-10-06,43.14
2011-10-07,43.68
2011-10-10,44.31
2011-10-11,44.19
2011-10-12,44.4801
2011-10-13,44.36
2011-10-14,44.81
2011-10-17,44.75
2011-10-18,45.28
2011-10-19,45.97
2011-10-20,45.71
2011-10-21,46.45
2011-10-24,46.38
2011-10-25,46.14
2011-10-26,46.03
2011-10-27,47.36
2011-10-28,46.5
2011-10-31,46.15
2011-11-01,45.46
2011-11-02,46.37
2011-11-03,46.74
2011-11-04,46.35
2011-11-07,46.37
2011-11-08,46.71
2011-11-09,46.24
2011-11-10,46.3
2011-11-11,46.92
2011-11-14,46.76
2011-11-15,46.56
2011-11-16,46.52
2011-11-17,46.3
2011-11-18,46.5
2011-11-21,46.23
2011-11-22,46.2
2011-11-23,45.1
2011-11-25,44.98
2011-11-28,45.77
2011-11-29,46.24
2011-11-30,47.79
2011-12-01,47.73
2011-12-02,47.5
2011-12-05,47.21
2011-12-06,46.83
2011-12-07,46.61
2011-12-08,46.2
2011-12-09,46.38
2011-12-12,46.36
2011-12-13,46.65
2011-12-14,45.98
2011-12-15,46.45
2011-12-16,46.9099
2011-12-19,46.83
2011-12-20,47.36
2011-12-21,47.935
2011-12-22,48.05
2011-12-23,48.65
2011-12-27,48.87
2011-12-28,48.78
2011-12-29,48.75
2011-12-30,48.75
2012-01-03,48.86
2012-01-04,48.05
2012-01-05,47.76
2012-01-06,47.71
2012-01-09,47.59
2012-01-10,48.12
2012-01-11,47.85
2012-01-12,47.79
2012-01-13,47.6601
2012-01-17,48.24
2012-01-18,47.84
2012-01-19,47.84
2012-01-20,47.78
2012-01-23,48.01
2012-01-24,47.51
2012-01-25,48.34
2012-01-26,48.86
2012-01-27,48.49
2012-01-30,47.928999999999995
2012-01-31,47.77
2012-02-01,47.78
2012-02-02,47.91
2012-02-03,48.06
2012-02-06,47.54
2012-02-07,48.38
2012-02-08,48.21
2012-02-09,48.17
2012-02-10,47.92
2012-02-13,47.83
2012-02-14,47.49
2012-02-15,47.755
2012-02-16,48.17
2012-02-17,48.21
2012-02-21,48.04
2012-02-22,47.73
2012-02-23,47.65
2012-02-24,47.99
2012-02-27,47.69
2012-02-28,47.605
2012-02-29,47.41
2012-03-01,47.14
2012-03-02,46.86
2012-03-05,46.59
2012-03-06,46.44
2012-03-07,46.84
2012-03-08,47.19
2012-03-09,47.54
2012-03-12,48.14
2012-03-13,48.22
2012-03-14,48.13
2012-03-15,47.3
2012-03-16,47.06
2012-03-19,47.32
2012-03-20,47.07
2012-03-21,47.26
2012-03-22,47.2
2012-03-23,47.28
2012-03-26,47.76
2012-03-27,47.99
2012-03-28,47.99
2012-03-29,47.69
