dt,high
2010-01-04,11.72
2010-01-05,11.73
2010-01-06,11.76
2010-01-07,12.19
2010-01-08,12.12
2010-01-11,11.74
2010-01-12,11.61
2010-01-13,11.57
2010-01-14,11.85
2010-01-15,11.38
2010-01-19,11.55
2010-01-20,12.27
2010-01-21,12.89
2010-01-22,12.1
2010-01-25,10.92
2010-01-26,10.755
2010-01-27,10.49
2010-01-28,10.66
2010-01-29,10.77
2010-02-01,10.7
2010-02-02,10.85
2010-02-03,10.81
2010-02-04,10.72
2010-02-05,10.5408
2010-02-08,10.77
2010-02-09,10.79
2010-02-10,10.8
2010-02-11,10.88
2010-02-12,10.97
2010-02-16,11.23
2010-02-17,11.3
2010-02-18,11.14
2010-02-19,11.27
2010-02-22,11.36
2010-02-23,11.3
2010-02-24,11.15
2010-02-25,11.11
2010-02-26,11.25
2010-03-01,11.24
2010-03-02,11.27
2010-03-03,11.46
2010-03-04,11.64
2010-03-05,12.0
2010-03-08,12.29
2010-03-09,12.4
2010-03-10,12.36
2010-03-11,12.575
2010-03-12,12.52
2010-03-15,12.38
2010-03-16,12.4
2010-03-17,12.68
2010-03-18,12.59
2010-03-19,12.46
2010-03-22,11.73
2010-03-23,11.76
2010-03-24,12.0299
2010-03-25,12.21
2010-03-26,13.32
2010-03-29,12.78
2010-03-30,12.75
2010-03-31,12.7
2010-04-01,12.8
2010-04-05,12.81
2010-04-06,12.78
2010-04-07,12.7
2010-04-08,13.25
2010-04-09,13.69
2010-04-12,13.5
2010-04-13,13.34
2010-04-14,13.57
2010-04-15,13.74
2010-04-16,13.55
2010-04-19,12.96
2010-04-20,12.82
2010-04-21,13.12
2010-04-22,13.96
2010-04-23,13.52
2010-04-26,13.24
2010-04-27,12.84
2010-04-28,12.43
2010-04-29,12.7
2010-04-30,13.185
2010-05-03,12.84
2010-05-04,12.69
2010-05-05,12.19
2010-05-06,11.98
2010-05-07,11.345
2010-05-10,12.08
2010-05-11,12.07
2010-05-12,12.02
2010-05-13,12.33
2010-05-14,12.02
2010-05-17,11.85
2010-05-18,11.9
2010-05-19,11.47
2010-05-20,11.05
2010-05-21,10.66
2010-05-24,10.61
2010-05-25,10.39
2010-05-26,11.57
2010-05-27,11.65
2010-05-28,11.51
2010-06-01,11.15
2010-06-02,11.34
2010-06-03,11.82
2010-06-04,11.2
2010-06-07,11.2
2010-06-08,10.79
2010-06-09,11.27
2010-06-10,11.56
2010-06-11,11.57
2010-06-14,11.71
2010-06-15,12.04
2010-06-16,11.95
2010-06-17,12.03
2010-06-18,12.1
2010-06-21,12.35
2010-06-22,12.15
2010-06-23,12.15
2010-06-24,12.03
2010-06-25,11.77
2010-06-28,11.83
2010-06-29,11.51
2010-06-30,10.93
2010-07-01,10.53
2010-07-02,10.49
2010-07-06,10.95
2010-07-07,10.94
2010-07-08,11.18
2010-07-09,11.37
2010-07-12,11.45
2010-07-13,11.75
2010-07-14,11.66
2010-07-15,11.54
2010-07-16,11.49
2010-07-19,11.375
2010-07-20,11.66
2010-07-21,11.8
2010-07-22,10.81
2010-07-23,10.98
2010-07-26,11.16
2010-07-27,11.365
2010-07-28,12.13
2010-07-29,11.91
2010-07-30,12.06
2010-08-02,12.28
2010-08-03,12.27
2010-08-04,11.97
2010-08-05,11.78
2010-08-06,12.13
2010-08-09,12.3
2010-08-10,12.22
2010-08-11,11.98
2010-08-12,11.65
2010-08-13,11.86
2010-08-16,12.06
2010-08-17,12.04
2010-08-18,11.955
2010-08-19,11.77
2010-08-20,11.53
2010-08-23,11.54
2010-08-24,11.4
2010-08-25,11.23
2010-08-26,11.31
2010-08-27,11.31
2010-08-30,11.37
2010-08-31,11.26
2010-09-01,11.47
2010-09-02,11.62
2010-09-03,11.8
2010-09-07,11.7
2010-09-08,12.095
2010-09-09,12.04
2010-09-10,11.96
2010-09-13,12.23
2010-09-14,12.23
2010-09-15,11.46
2010-09-16,11.35
2010-09-17,11.87
2010-09-20,12.06
2010-09-21,12.31
2010-09-22,12.4
2010-09-23,12.18
2010-09-24,12.26
2010-09-27,12.02
2010-09-28,12.0
2010-09-29,11.89
2010-09-30,11.98
2010-10-01,11.66
2010-10-04,11.45
2010-10-05,11.52
2010-10-06,11.485
2010-10-07,11.48
2010-10-08,11.34
2010-10-11,11.38
2010-10-12,11.28
2010-10-13,11.39
2010-10-14,11.36
2010-10-15,11.5
2010-10-18,11.29
2010-10-19,11.19
2010-10-20,11.49
2010-10-21,11.55
2010-10-22,11.58
2010-10-25,11.82
2010-10-26,11.84
2010-10-27,11.83
2010-10-28,11.98
2010-10-29,12.07
2010-11-01,12.06
2010-11-02,11.98
2010-11-03,11.92
2010-11-04,12.27
2010-11-05,12.7
2010-11-08,12.8
2010-11-09,12.62
2010-11-10,12.42
2010-11-11,12.34
2010-11-12,12.14
2010-11-15,11.955
2010-11-16,11.64
2010-11-17,11.75
2010-11-18,11.78
2010-11-19,11.73
2010-11-22,11.63
2010-11-23,11.52
2010-11-24,11.63
2010-11-26,11.48
2010-11-29,11.55
2010-11-30,11.71
2010-12-01,12.02
2010-12-02,12.21
2010-12-03,12.19
2010-12-06,12.1
2010-12-07,12.28
2010-12-08,12.33
2010-12-09,12.48
2010-12-10,12.5
2010-12-13,12.47
2010-12-14,12.42
2010-12-15,12.3
2010-12-16,12.26
2010-12-17,12.09
2010-12-20,13.14
2010-12-21,13.04
2010-12-22,13.06
2010-12-23,13.08
2010-12-27,12.87
2010-12-28,12.93
2010-12-29,12.87
2010-12-30,12.61
2010-12-31,12.62
2011-01-03,12.97
2011-01-04,12.97
2011-01-05,12.89
2011-01-06,13.46
2011-01-07,13.75
2011-01-10,13.53
2011-01-11,14.11
2011-01-12,14.23
2011-01-13,14.61
2011-01-14,14.33
2011-01-18,14.32
2011-01-19,14.3
2011-01-20,14.55
2011-01-21,14.47
2011-01-24,14.25
2011-01-25,14.25
2011-01-26,14.53
2011-01-27,14.62
2011-01-28,14.76
2011-01-31,14.64
2011-02-01,15.11
2011-02-02,14.98
2011-02-03,14.7
2011-02-04,14.72
2011-02-07,14.62
2011-02-08,14.86
2011-02-09,14.85
2011-02-10,14.92
2011-02-11,15.02
2011-02-14,15.31
2011-02-15,15.28
2011-02-16,15.24
2011-02-17,15.26
2011-02-18,15.22
2011-02-22,15.02
2011-02-23,14.65
2011-02-24,14.62
2011-02-25,14.96
2011-02-28,15.09
2011-03-01,14.94
2011-03-02,14.63
2011-03-03,15.17
2011-03-04,14.97
2011-03-07,14.95
2011-03-08,15.35
2011-03-09,15.34
2011-03-10,15.0
2011-03-11,14.995
2011-03-14,14.83
2011-03-15,14.43
2011-03-16,14.34
2011-03-17,14.48
2011-03-18,14.86
2011-03-21,14.97
2011-03-22,14.88
2011-03-23,14.7864
2011-03-24,14.83
2011-03-25,15.04
2011-03-28,15.19
2011-03-29,15.52
2011-03-30,15.6
2011-03-31,15.5
2011-04-01,15.73
2011-04-04,15.41
2011-04-05,15.53
2011-04-06,15.5825
2011-04-07,15.59
2011-04-08,15.6
2011-04-11,15.35
2011-04-12,15.14
2011-04-13,14.965
2011-04-14,14.67
2011-04-15,14.8
2011-04-18,14.6
2011-04-19,14.74
2011-04-20,15.05
2011-04-21,16.86
2011-04-25,16.32
2011-04-26,16.51
2011-04-27,16.54
2011-04-28,16.54
2011-04-29,16.64
2011-05-02,16.75
2011-05-03,16.78
