dt,high
2010-01-04,24.85
2010-01-05,24.57
2010-01-06,24.73
2010-01-07,24.93
2010-01-08,25.48
2010-01-11,25.46
2010-01-12,25.42
2010-01-13,25.46
2010-01-14,25.27
2010-01-15,26.0
2010-01-19,25.44
2010-01-20,25.26
2010-01-21,25.01
2010-01-22,24.78
2010-01-25,24.28
2010-01-26,24.12
2010-01-27,23.83
2010-01-28,23.92
2010-01-29,24.19
2010-02-01,23.625
2010-02-02,24.07
2010-02-03,23.99
2010-02-04,23.74
2010-02-05,23.575
2010-02-08,23.54
2010-02-09,24.03
2010-02-10,23.96
2010-02-11,24.16
2010-02-12,24.24
2010-02-16,24.82
2010-02-17,25.15
2010-02-18,25.35
2010-02-19,25.83
2010-02-22,25.75
2010-02-23,25.75
2010-02-24,25.755
2010-02-25,25.97
2010-02-26,25.92
2010-03-01,26.0
2010-03-02,24.26
2010-03-03,23.1
2010-03-04,23.07
2010-03-05,23.49
2010-03-08,23.33
2010-03-09,23.04
2010-03-10,23.08
2010-03-11,23.21
2010-03-12,23.52
2010-03-15,23.47
2010-03-16,23.66
2010-03-17,23.75
2010-03-18,23.9
2010-03-19,24.06
2010-03-22,24.22
2010-03-23,24.3
2010-03-24,24.0
2010-03-25,23.85
2010-03-26,23.8
2010-03-29,23.96
2010-03-30,23.92
2010-03-31,23.63
2010-04-01,23.75
2010-04-05,24.07
2010-04-06,24.1371
2010-04-07,24.46
2010-04-08,24.42
2010-04-09,24.33
2010-04-12,24.41
2010-04-13,24.24
2010-04-14,24.46
2010-04-15,24.52
2010-04-16,24.65
2010-04-19,24.43
2010-04-20,24.45
2010-04-21,24.36
2010-04-22,24.51
2010-04-23,24.68
2010-04-26,25.0
2010-04-27,24.68
2010-04-28,24.12
2010-04-29,24.02
2010-04-30,24.06
2010-05-03,23.97
2010-05-04,23.53
2010-05-05,23.49
2010-05-06,23.06
2010-05-07,22.48
2010-05-10,22.85
2010-05-11,22.74
2010-05-12,23.14
2010-05-13,22.9
2010-05-14,22.34
2010-05-17,22.4
2010-05-18,22.55
2010-05-19,22.0
2010-05-20,22.04
2010-05-21,21.95
2010-05-24,21.57
2010-05-25,21.46
2010-05-26,21.65
2010-05-27,21.81
2010-05-28,21.81
2010-06-01,21.72
2010-06-02,21.8
2010-06-03,22.06
2010-06-04,21.705
2010-06-07,21.42
2010-06-08,21.23
2010-06-09,21.38
2010-06-10,21.9
2010-06-11,21.9
2010-06-14,22.2
2010-06-15,22.18
2010-06-16,22.54
2010-06-17,22.67
2010-06-18,22.15
2010-06-21,22.29
2010-06-22,21.93
2010-06-23,21.0
2010-06-24,20.47
2010-06-25,20.28
2010-06-28,20.24
2010-06-29,19.68
2010-06-30,19.43
2010-07-01,19.42
2010-07-02,19.4725
2010-07-06,19.59
2010-07-07,19.46
2010-07-08,19.59
2010-07-09,19.68
2010-07-12,19.82
2010-07-13,20.32
2010-07-14,20.32
2010-07-15,20.37
2010-07-16,20.42
2010-07-19,19.71
2010-07-20,19.81
2010-07-21,19.94
2010-07-22,20.16
2010-07-23,20.06
2010-07-26,20.31
2010-07-27,20.66
2010-07-28,20.21
2010-07-29,20.28
2010-07-30,20.43
2010-08-02,20.97
2010-08-03,20.83
2010-08-04,20.35
2010-08-05,20.22
2010-08-06,20.19
2010-08-09,20.41
2010-08-10,20.21
2010-08-11,19.73
2010-08-12,19.52
2010-08-13,19.33
2010-08-16,19.35
2010-08-17,19.77
2010-08-18,19.81
2010-08-19,19.52
2010-08-20,19.04
2010-08-23,19.07
2010-08-24,18.42
2010-08-25,18.3
2010-08-26,18.37
2010-08-27,18.23
2010-08-30,18.02
2010-08-31,17.89
2010-09-01,18.49
2010-09-02,18.8
2010-09-03,19.44
2010-09-07,19.12
2010-09-08,19.34
2010-09-09,19.31
2010-09-10,19.49
2010-09-13,19.76
2010-09-14,19.88
2010-09-15,19.74
2010-09-16,19.75
2010-09-17,19.56
2010-09-20,19.86
2010-09-21,20.0
