dt,high
2010-01-04,43.26
2010-01-05,44.3
2010-01-06,44.95
2010-01-07,44.74
2010-01-08,44.11
2010-01-11,44.7
2010-01-12,43.9
2010-01-13,44.3
2010-01-14,44.92
2010-01-15,45.18
2010-01-19,45.76
2010-01-20,45.71
2010-01-21,46.19
2010-01-22,45.09
2010-01-25,44.91
2010-01-26,45.24
2010-01-27,44.81
2010-01-28,44.18
2010-01-29,42.96
2010-02-01,42.27
2010-02-02,43.16
2010-02-03,42.965
2010-02-04,42.22
2010-02-05,41.02
2010-02-08,40.63
2010-02-09,41.13
2010-02-10,40.77
2010-02-11,40.82
2010-02-12,41.25
2010-02-16,41.97
2010-02-17,42.75
2010-02-18,43.14
2010-02-19,43.25
2010-02-22,42.89
2010-02-23,42.08
2010-02-24,41.78
2010-02-25,42.1
2010-02-26,42.46
2010-03-01,42.8
2010-03-02,43.24
2010-03-03,43.21
2010-03-04,43.23
2010-03-05,44.335
2010-03-08,44.27
2010-03-09,44.09
2010-03-10,44.05
2010-03-11,43.805
2010-03-12,44.07
2010-03-15,43.67
2010-03-16,44.0
2010-03-17,44.79
2010-03-18,44.49
2010-03-19,43.48
2010-03-22,42.78
2010-03-23,43.33
2010-03-24,43.53
2010-03-25,43.98
2010-03-26,42.92
2010-03-29,43.29
2010-03-30,43.31
2010-03-31,43.44
2010-04-01,44.42
2010-04-05,45.29
2010-04-06,45.62
2010-04-07,45.48
2010-04-08,44.77
2010-04-09,45.31
2010-04-12,45.65
2010-04-13,45.58
2010-04-14,45.62
2010-04-15,46.07
2010-04-16,45.98
2010-04-19,45.56
2010-04-20,46.19
2010-04-21,46.11
2010-04-22,52.55
2010-04-23,50.73
2010-04-26,50.81
2010-04-27,49.88
2010-04-28,48.72
2010-04-29,48.993
2010-04-30,48.69
2010-05-03,49.11
2010-05-04,48.33
2010-05-05,47.18
2010-05-06,46.89
2010-05-07,45.53
2010-05-10,46.27
2010-05-11,47.45
2010-05-12,48.93
2010-05-13,48.99
2010-05-14,48.04
2010-05-17,47.9
2010-05-18,48.93
2010-05-19,46.6525
2010-05-20,44.65
2010-05-21,44.6054
2010-05-24,44.5
2010-05-25,43.8
2010-05-26,44.72
2010-05-27,44.96
2010-05-28,45.34
2010-06-01,44.88
2010-06-02,44.9
2010-06-03,45.64
2010-06-04,45.85
2010-06-07,45.3897
2010-06-08,45.06
2010-06-09,46.18
2010-06-10,47.33
2010-06-11,47.85
2010-06-14,48.81
2010-06-15,49.96
2010-06-16,50.4
2010-06-17,50.37
2010-06-18,50.01
2010-06-21,50.43
2010-06-22,49.05
2010-06-23,47.72
2010-06-24,47.93
2010-06-25,47.96
2010-06-28,47.75
2010-06-29,46.91
2010-06-30,46.12
2010-07-01,15.88
2010-07-02,15.345
2010-07-06,15.6
2010-07-07,16.18
2010-07-08,16.49
2010-07-09,16.26
2010-07-12,16.42
2010-07-13,16.65
2010-07-14,16.51
2010-07-15,16.32
2010-07-16,16.17
2010-07-19,16.29
2010-07-20,16.69
2010-07-21,16.87
2010-07-22,16.94
2010-07-23,16.95
2010-07-26,17.22
2010-07-27,17.38
2010-07-28,17.42
2010-07-29,16.76
2010-07-30,16.66
2010-08-02,16.87
2010-08-03,16.7
2010-08-04,16.93
2010-08-05,16.92
2010-08-06,17.05
2010-08-09,17.17
2010-08-10,17.05
2010-08-11,17.0
2010-08-12,16.91
2010-08-13,16.95
2010-08-16,17.01
2010-08-17,17.17
2010-08-18,17.05
2010-08-19,16.89
2010-08-20,16.49
2010-08-23,16.68
2010-08-24,16.61
2010-08-25,16.41
2010-08-26,16.49
2010-08-27,16.56
2010-08-30,16.6
2010-08-31,16.37
2010-09-01,16.75
2010-09-02,16.995
2010-09-03,17.17
2010-09-07,16.915
2010-09-08,17.07
2010-09-09,17.19
2010-09-10,17.26
2010-09-13,17.51
2010-09-14,17.46
2010-09-15,17.3
2010-09-16,17.18
2010-09-17,17.17
2010-09-20,17.4501
2010-09-21,17.38
2010-09-22,17.33
2010-09-23,17.11
2010-09-24,17.3193
2010-09-27,17.57
2010-09-28,17.5
2010-09-29,17.43
2010-09-30,17.62
2010-10-01,17.76
2010-10-04,17.44
2010-10-05,17.55
2010-10-06,17.58
2010-10-07,17.5
2010-10-08,17.44
2010-10-11,17.68
2010-10-12,17.58
2010-10-13,17.63
2010-10-14,17.56
2010-10-15,17.47
2010-10-18,17.33
2010-10-19,17.24
2010-10-20,17.36
2010-10-21,17.29
2010-10-22,17.23
2010-10-25,17.2
2010-10-26,16.84
2010-10-27,16.84
2010-10-28,17.02
2010-10-29,17.1
2010-11-01,17.19
2010-11-02,17.49
2010-11-03,17.48
2010-11-04,17.72
2010-11-05,17.721
2010-11-08,17.685
2010-11-09,17.88
2010-11-10,17.71
2010-11-11,17.66
2010-11-12,17.5
2010-11-15,17.57
2010-11-16,17.34
2010-11-17,17.18
2010-11-18,17.32
2010-11-19,17.18
2010-11-22,17.09
2010-11-23,16.955
2010-11-24,17.19
2010-11-26,17.08
2010-11-29,16.89
2010-11-30,16.8335
2010-12-01,16.91
2010-12-02,17.54
2010-12-03,17.9
2010-12-06,18.05
2010-12-07,18.3
2010-12-08,18.19
2010-12-09,17.9525
2010-12-10,17.83
2010-12-13,17.79
2010-12-14,17.5301
2010-12-15,17.36
2010-12-16,17.39
2010-12-17,17.43
2010-12-20,17.48
2010-12-21,17.58
2010-12-22,17.6
2010-12-23,17.54
2010-12-27,17.54
2010-12-28,17.48
2010-12-29,17.52
2010-12-30,17.53
2010-12-31,17.53
2011-01-03,17.52
2011-01-04,17.56
2011-01-05,17.54
2011-01-06,17.6599
2011-01-07,17.76
2011-01-10,17.73
2011-01-11,17.93
2011-01-12,18.0
2011-01-13,18.0
2011-01-14,18.01
2011-01-18,18.28
2011-01-19,18.26
2011-01-20,18.05
2011-01-21,18.1
2011-01-24,18.1
2011-01-25,17.8201
2011-01-26,17.66
2011-01-27,17.56
2011-01-28,17.53
2011-01-31,17.48
2011-02-01,17.69
2011-02-02,17.75
2011-02-03,17.82
2011-02-04,17.9
2011-02-07,17.86
2011-02-08,17.79
2011-02-09,17.79
2011-02-10,17.6725
2011-02-11,17.79
2011-02-14,17.95
2011-02-15,18.0
2011-02-16,18.0
2011-02-17,17.99
2011-02-18,18.01
2011-02-22,18.04
2011-02-23,18.0004
2011-02-24,17.67
2011-02-25,17.72
2011-02-28,17.87
2011-03-01,18.0
2011-03-02,17.63
2011-03-03,17.75
2011-03-04,17.75
2011-03-07,17.584
2011-03-08,17.42
2011-03-09,17.53
2011-03-10,17.39
2011-03-11,17.17
2011-03-14,17.12
2011-03-15,17.01
2011-03-16,16.99
2011-03-17,17.16
2011-03-18,17.16
2011-03-21,17.64
2011-03-22,17.505
2011-03-23,17.41
2011-03-24,17.37
2011-03-25,17.8
2011-03-28,17.54
2011-03-29,17.44
2011-03-30,17.58
2011-03-31,17.505
2011-04-01,17.68
2011-04-04,17.46
2011-04-05,17.58
2011-04-06,17.6
2011-04-07,17.51
2011-04-08,17.57
2011-04-11,17.55
2011-04-12,17.17
2011-04-13,16.91
2011-04-14,17.03
2011-04-15,17.17
2011-04-18,16.94
2011-04-19,16.91
2011-04-20,17.15
2011-04-21,17.18
2011-04-25,17.225
2011-04-26,17.43
2011-04-27,17.7
2011-04-28,17.53
2011-04-29,17.6
