dt,high
2010-01-04,44.78
2010-01-05,45.0
2010-01-06,44.67
2010-01-07,44.86
2010-01-08,45.88
2010-01-11,46.1
2010-01-12,44.85
2010-01-13,44.77
2010-01-14,44.42
2010-01-15,44.1
2010-01-19,43.33
2010-01-20,46.82
2010-01-21,46.9
2010-01-22,45.85
2010-01-25,44.424
2010-01-26,44.34
2010-01-27,44.61
2010-01-28,44.76
2010-01-29,44.9
2010-02-01,44.22
2010-02-02,44.76
2010-02-03,44.61
2010-02-04,44.35
2010-02-05,43.63
2010-02-08,44.31
2010-02-09,44.36
2010-02-10,45.33
2010-02-11,45.3
2010-02-12,44.91
2010-02-16,45.57
2010-02-17,45.45
2010-02-18,45.32
2010-02-19,47.55
2010-02-22,47.15
2010-02-23,46.96
2010-02-24,45.8
2010-02-25,45.03
2010-02-26,45.17
2010-03-01,45.22
2010-03-02,45.54
2010-03-03,45.6
2010-03-04,45.26
2010-03-05,45.92
2010-03-08,46.1
2010-03-09,46.25
2010-03-10,46.0
2010-03-11,45.33
2010-03-12,45.39
2010-03-15,44.78
2010-03-16,45.22
2010-03-17,46.72
2010-03-18,46.41
2010-03-19,46.59
2010-03-22,45.95
2010-03-23,46.18
2010-03-24,46.2
2010-03-25,47.41
2010-03-26,46.97
2010-03-29,47.11
2010-03-30,46.32
2010-03-31,45.69
2010-04-01,46.2
2010-04-05,46.43
2010-04-06,46.84
2010-04-07,46.72
2010-04-08,46.48
2010-04-09,47.32
2010-04-12,48.5
2010-04-13,48.8
2010-04-14,48.41
2010-04-15,48.33
2010-04-16,48.0
2010-04-19,47.66
2010-04-20,45.97
2010-04-21,45.05
2010-04-22,44.51
2010-04-23,44.73
2010-04-26,44.39
2010-04-27,44.11
2010-04-28,43.92
2010-04-29,44.45
2010-04-30,44.27
2010-05-03,43.85
2010-05-04,43.54
2010-05-05,43.91
2010-05-06,44.65
2010-05-07,42.95
2010-05-10,43.34
2010-05-11,43.49
2010-05-12,43.05
2010-05-13,42.9
2010-05-14,41.92
2010-05-17,41.94
2010-05-18,41.93
2010-05-19,41.18
2010-05-20,40.13
2010-05-21,39.92
2010-05-24,39.67
2010-05-25,38.94
2010-05-26,39.39
2010-05-27,39.32
2010-05-28,39.21
2010-06-01,38.19
2010-06-02,38.41
2010-06-03,39.09
2010-06-04,37.94
2010-06-07,37.02
2010-06-08,36.92
2010-06-09,37.6
2010-06-10,37.57
2010-06-11,37.7
2010-06-14,38.14
2010-06-15,38.54
2010-06-16,38.53
2010-06-17,38.32
2010-06-18,37.8
2010-06-21,37.82
2010-06-22,37.48
2010-06-23,36.57
2010-06-24,35.74
2010-06-25,36.34
2010-06-28,36.06
2010-06-29,34.89
2010-06-30,34.43
2010-07-01,33.99
2010-07-02,33.56
2010-07-06,33.915
2010-07-07,37.02
2010-07-08,37.24
2010-07-09,37.24
2010-07-12,37.28
2010-07-13,38.48
2010-07-14,38.29
2010-07-15,37.95
2010-07-16,37.735
2010-07-19,37.56
2010-07-20,39.78
2010-07-21,39.95
2010-07-22,39.17
2010-07-23,40.065
2010-07-26,39.91
2010-07-27,40.18
2010-07-28,39.47
2010-07-29,39.66
2010-07-30,39.18
2010-08-02,40.22
2010-08-03,40.25
2010-08-04,40.0
2010-08-05,40.0
2010-08-06,39.56
2010-08-09,39.75
2010-08-10,39.55
2010-08-11,38.65
2010-08-12,37.48
2010-08-13,37.77
2010-08-16,37.31
2010-08-17,38.71
2010-08-18,38.8525
2010-08-19,38.23
2010-08-20,37.05
2010-08-23,37.3
2010-08-24,36.19
2010-08-25,35.48
2010-08-26,35.63
2010-08-27,35.87
2010-08-30,35.85
2010-08-31,35.21
2010-09-01,36.54
2010-09-02,36.51
2010-09-03,37.99
2010-09-07,37.66
2010-09-08,37.67
2010-09-09,38.45
2010-09-10,38.64
2010-09-13,39.16
2010-09-14,38.7
2010-09-15,38.95
2010-09-16,38.75
2010-09-17,38.98
2010-09-20,39.68
2010-09-21,39.82
2010-09-22,38.77
2010-09-23,37.74
2010-09-24,38.42
2010-09-27,38.62
2010-09-28,38.31
2010-09-29,37.81
2010-09-30,38.78
2010-10-01,38.66
2010-10-04,38.35
2010-10-05,38.82
2010-10-06,39.06
2010-10-07,39.34
2010-10-08,39.11
2010-10-11,39.7
2010-10-12,39.73
2010-10-13,40.45
2010-10-14,40.22
2010-10-15,40.51
2010-10-18,41.21
2010-10-19,41.31
2010-10-20,40.72
2010-10-21,41.0
2010-10-22,40.87
2010-10-25,40.87
2010-10-26,41.0
2010-10-27,41.43
2010-10-28,41.75
2010-10-29,41.8
2010-11-01,42.05
2010-11-02,42.17
2010-11-03,42.28
2010-11-04,44.0
2010-11-05,45.97
2010-11-08,45.22
2010-11-09,44.93
2010-11-10,44.7
2010-11-11,45.12
2010-11-12,44.65
2010-11-15,44.82
2010-11-16,43.98
2010-11-17,43.14
2010-11-18,44.31
2010-11-19,43.81
2010-11-22,43.33
2010-11-23,42.53
2010-11-24,43.78
2010-11-26,44.13
2010-11-29,44.0
2010-11-30,43.57
