dt,high
2010-01-04,46.07
2010-01-05,45.89
2010-01-06,45.69
2010-01-07,45.2
2010-01-08,44.58
2010-01-11,45.155
2010-01-12,45.3
2010-01-13,45.58
2010-01-14,45.72
2010-01-15,45.88
2010-01-19,45.1
2010-01-20,44.36
2010-01-21,44.2
2010-01-22,43.69
2010-01-25,43.38
2010-01-26,43.1
2010-01-27,43.0
2010-01-28,43.03
2010-01-29,42.65
2010-02-01,42.705
2010-02-02,42.54
2010-02-03,42.72
2010-02-04,42.46
2010-02-05,41.38
2010-02-08,41.81
2010-02-09,41.63
2010-02-10,40.42
2010-02-11,39.51
2010-02-12,39.2
2010-02-16,39.96
2010-02-17,40.63
2010-02-18,40.84
2010-02-19,41.47
2010-02-22,41.58
2010-02-23,41.34
2010-02-24,41.09
2010-02-25,40.88
2010-02-26,40.9
2010-03-01,41.08
2010-03-02,41.49
2010-03-03,41.41
2010-03-04,42.22
2010-03-05,42.8
2010-03-08,42.92
2010-03-09,43.06
2010-03-10,43.12
2010-03-11,43.14
2010-03-12,43.23
2010-03-15,43.28
2010-03-16,43.41
2010-03-17,43.61
2010-03-18,43.75
2010-03-19,43.69
2010-03-22,43.365
2010-03-23,43.33
2010-03-24,42.97
2010-03-25,43.58
2010-03-26,42.9
2010-03-29,42.21
2010-03-30,42.43
2010-03-31,42.26
2010-04-01,43.15
2010-04-05,43.4
2010-04-06,43.02
2010-04-07,43.115
2010-04-08,43.11
2010-04-09,43.63
2010-04-12,44.14
2010-04-13,44.78
2010-04-14,44.74
2010-04-15,44.55
2010-04-16,44.48
2010-04-19,44.21
2010-04-20,44.14
2010-04-21,44.16
2010-04-22,44.08
2010-04-23,44.12
2010-04-26,44.5
2010-04-27,44.0
2010-04-28,43.12
2010-04-29,44.91
2010-04-30,45.0
2010-05-03,44.99
2010-05-04,44.55
2010-05-05,44.141999999999996
2010-05-06,43.44
2010-05-07,42.79
2010-05-10,43.56
2010-05-11,42.96
2010-05-12,42.63
2010-05-13,43.44
2010-05-14,43.44
2010-05-17,43.0895
2010-05-18,44.15
2010-05-19,43.63
2010-05-20,42.63
2010-05-21,41.89
2010-05-24,41.9
2010-05-25,41.53
2010-05-26,41.07
2010-05-27,40.97
2010-05-28,41.42
2010-06-01,41.21
2010-06-02,41.69
2010-06-03,42.12
2010-06-04,41.95
2010-06-07,42.66
2010-06-08,42.98
2010-06-09,43.7
2010-06-10,44.16
2010-06-11,43.68
2010-06-14,44.22
2010-06-15,44.35
2010-06-16,44.54
2010-06-17,44.45
2010-06-18,44.7
2010-06-21,44.95
2010-06-22,44.7
2010-06-23,44.25
2010-06-24,44.28
2010-06-25,43.89
2010-06-28,43.79
2010-06-29,43.66
2010-06-30,43.02
2010-07-01,42.82
2010-07-02,42.77
2010-07-06,43.0
2010-07-07,43.54
2010-07-08,44.01
2010-07-09,44.42
2010-07-12,44.47
2010-07-13,44.91
2010-07-14,45.0
2010-07-15,44.78
2010-07-16,44.69
2010-07-19,45.02
2010-07-20,44.86
2010-07-21,45.3
2010-07-22,46.02
2010-07-23,46.26
2010-07-26,46.53
2010-07-27,46.95
2010-07-28,46.44
2010-07-29,45.76
2010-07-30,45.238
2010-08-02,46.17
2010-08-03,46.89
2010-08-04,47.13
2010-08-05,46.98
2010-08-06,46.41
2010-08-09,46.12
2010-08-10,46.42
2010-08-11,45.87
2010-08-12,45.78
2010-08-13,45.89
2010-08-16,45.81
2010-08-17,46.88
2010-08-18,46.61
2010-08-19,46.43
2010-08-20,46.16
2010-08-23,46.18
2010-08-24,45.68
2010-08-25,44.95
2010-08-26,44.89
2010-08-27,44.29
2010-08-30,44.03
2010-08-31,43.79
2010-09-01,44.84
2010-09-02,44.82
2010-09-03,45.06
2010-09-07,44.6
2010-09-08,44.95
2010-09-09,45.21
2010-09-10,44.51
2010-09-13,44.42
2010-09-14,44.85
2010-09-15,45.15
2010-09-16,45.36
2010-09-17,45.57
2010-09-20,45.94
2010-09-21,46.16
2010-09-22,45.99
2010-09-23,46.13
2010-09-24,47.08
2010-09-27,46.95
2010-09-28,47.25
2010-09-29,47.55
2010-09-30,47.77
2010-10-01,47.86
2010-10-04,47.77
2010-10-05,48.37
2010-10-06,48.92
2010-10-07,48.97
2010-10-08,49.2381
2010-10-11,49.24
2010-10-12,49.16
2010-10-13,49.16
2010-10-14,49.45
2010-10-15,49.18
2010-10-18,48.84
2010-10-19,47.625
2010-10-20,47.28
2010-10-21,48.08
2010-10-22,48.98
2010-10-25,48.94
2010-10-26,48.44
2010-10-27,47.4699
2010-10-28,47.08
2010-10-29,47.25
2010-11-01,47.775
2010-11-02,48.25
2010-11-03,49.3
2010-11-04,49.87
2010-11-05,50.42
2010-11-08,50.45
2010-11-09,50.36
2010-11-10,49.85
2010-11-11,49.51
2010-11-12,49.21
2010-11-15,49.61
2010-11-16,48.93
2010-11-17,48.33
2010-11-18,49.48
2010-11-19,49.45
2010-11-22,49.36
2010-11-23,49.02
2010-11-24,49.7
2010-11-26,49.09
2010-11-29,48.35
2010-11-30,48.01
2010-12-01,48.51
2010-12-02,48.8725
2010-12-03,49.47
2010-12-06,49.31
2010-12-07,49.485
2010-12-08,49.71
2010-12-09,49.76
2010-12-10,49.33
2010-12-13,49.67
2010-12-14,49.77
2010-12-15,50.67
2010-12-16,50.87
2010-12-17,51.02
2010-12-20,50.99
2010-12-21,51.0
2010-12-22,50.89
2010-12-23,51.11
2010-12-27,50.74
2010-12-28,50.54
2010-12-29,50.51
2010-12-30,50.62
2010-12-31,50.44
2011-01-03,50.44
2011-01-04,50.05
2011-01-05,48.75
2011-01-06,48.48
2011-01-07,48.09
2011-01-10,47.45
2011-01-11,47.89
2011-01-12,48.13
