dt,high
2010-01-04,50.44
2010-01-05,49.69
2010-01-06,48.39
2010-01-07,48.85
2010-01-08,48.76
2010-01-11,48.84
2010-01-12,49.39
2010-01-13,49.33
2010-01-14,49.4
2010-01-15,49.46
2010-01-19,49.6
2010-01-20,49.7
2010-01-21,49.08
2010-01-22,49.64
2010-01-25,49.11
2010-01-26,51.13
2010-01-27,50.91
2010-01-28,51.07
2010-01-29,50.99
2010-02-01,50.95
2010-02-02,51.18
2010-02-03,50.95
2010-02-04,50.74
2010-02-05,50.5
2010-02-08,50.29
2010-02-09,49.75
2010-02-10,49.91
2010-02-11,50.27
2010-02-12,50.49
2010-02-16,51.59
2010-02-17,51.92
2010-02-18,52.88
2010-02-19,53.1287
2010-02-22,53.29
2010-02-23,53.42
2010-02-24,52.97
2010-02-25,52.88
2010-02-26,52.99
2010-03-01,53.42
2010-03-02,53.44
2010-03-03,53.72
2010-03-04,53.62
2010-03-05,53.97
2010-03-08,53.99
2010-03-09,54.2
2010-03-10,53.78
2010-03-11,53.66
2010-03-12,54.0
2010-03-15,53.06
2010-03-16,52.955
2010-03-17,53.54
2010-03-18,53.71
2010-03-19,53.6
2010-03-22,53.58
2010-03-23,53.89
2010-03-24,54.26
2010-03-25,54.5
2010-03-26,54.74
2010-03-29,54.82
2010-03-30,54.83
2010-03-31,54.15
2010-04-01,54.33
2010-04-05,54.15
2010-04-06,53.18
2010-04-07,53.19
2010-04-08,52.52
2010-04-09,52.46
2010-04-12,52.68
2010-04-13,52.42
2010-04-14,52.96
2010-04-15,52.97
2010-04-16,53.21
2010-04-19,53.19
2010-04-20,53.47
2010-04-21,53.12
2010-04-22,53.84
2010-04-23,53.66
2010-04-26,53.38
2010-04-27,51.83
2010-04-28,51.26
2010-04-29,51.42
2010-04-30,51.35
2010-05-03,51.28
2010-05-04,50.74
2010-05-05,51.05
2010-05-06,51.16
2010-05-07,50.23
2010-05-10,50.73
2010-05-11,50.2
2010-05-12,50.25
2010-05-13,50.82
2010-05-14,50.825
2010-05-17,50.48
2010-05-18,50.78
2010-05-19,50.37
2010-05-20,50.19
2010-05-21,49.26
2010-05-24,49.37
2010-05-25,48.72
2010-05-26,48.8
2010-05-27,49.77
2010-05-28,50.05
2010-06-01,49.64
2010-06-02,49.77
2010-06-03,49.99
2010-06-04,49.54
2010-06-07,48.82
2010-06-08,49.12
2010-06-09,49.54
2010-06-10,50.03
2010-06-11,50.42
2010-06-14,50.8
2010-06-15,51.29
2010-06-16,51.05
2010-06-17,51.73
2010-06-18,51.91
2010-06-21,52.0
2010-06-22,51.84
2010-06-23,51.4
2010-06-24,51.2
2010-06-25,51.27
2010-06-28,51.37
2010-06-29,50.92
2010-06-30,49.93
2010-07-01,49.49
2010-07-02,49.15
2010-07-06,49.1
2010-07-07,49.99
2010-07-08,50.15
2010-07-09,51.16
2010-07-12,51.43
2010-07-13,51.6425
2010-07-14,51.48
2010-07-15,51.35
2010-07-16,50.5
2010-07-19,49.9999
2010-07-20,50.39
2010-07-21,50.72
2010-07-22,50.19
2010-07-23,50.14
2010-07-26,50.47
2010-07-27,50.75
2010-07-28,50.81
2010-07-29,50.95
2010-07-30,50.605
2010-08-02,51.22
2010-08-03,50.83
2010-08-04,50.76
2010-08-05,50.71
2010-08-06,50.49
2010-08-09,50.7
2010-08-10,50.29
2010-08-11,49.56
2010-08-12,49.87
2010-08-13,50.58
2010-08-16,49.92
2010-08-17,50.47
2010-08-18,50.3
2010-08-19,50.07
2010-08-20,50.41
2010-08-23,50.19
2010-08-24,49.71
2010-08-25,49.73
2010-08-26,49.95
2010-08-27,49.87
2010-08-30,49.71
2010-08-31,49.29
2010-09-01,50.36
2010-09-02,50.48
2010-09-03,51.05
2010-09-07,50.99
2010-09-08,50.42
2010-09-09,50.56
2010-09-10,50.11
2010-09-13,50.64
2010-09-14,51.28
2010-09-15,52.63
2010-09-16,52.88
2010-09-17,52.95
2010-09-20,53.67
2010-09-21,53.4
2010-09-22,53.03
2010-09-23,53.06
2010-09-24,53.5
2010-09-27,53.0525
2010-09-28,52.9584
2010-09-29,52.62
2010-09-30,52.83
2010-10-01,52.69
2010-10-04,52.32
2010-10-05,53.02
2010-10-06,53.15
2010-10-07,53.35
