dt,high
2010-01-04,19.18
2010-01-05,19.3499
2010-01-06,19.42
2010-01-07,20.25
2010-01-08,20.42
2010-01-11,21.61
2010-01-12,21.56
2010-01-13,21.49
2010-01-14,23.06
2010-01-15,22.75
2010-01-19,23.46
2010-01-20,22.7
2010-01-21,22.425
2010-01-22,22.08
2010-01-25,21.84
2010-01-26,21.09
2010-01-27,21.15
2010-01-28,20.725
2010-01-29,19.96
2010-02-01,20.69
2010-02-02,21.26
2010-02-03,20.79
2010-02-04,20.21
2010-02-05,19.6
2010-02-08,19.24
2010-02-09,19.27
2010-02-10,19.034000000000002
2010-02-11,19.13
2010-02-12,18.67
2010-02-16,19.15
2010-02-17,19.28
2010-02-18,19.8
2010-02-19,19.94
2010-02-22,20.08
2010-02-23,20.17
2010-02-24,19.74
2010-02-25,19.495
2010-02-26,20.03
2010-03-01,20.31
2010-03-02,20.99
2010-03-03,21.45
2010-03-04,21.57
2010-03-05,21.84
2010-03-08,22.17
2010-03-09,21.96
2010-03-10,22.07
2010-03-11,22.34
2010-03-12,22.44
2010-03-15,22.2
2010-03-16,22.78
2010-03-17,22.78
2010-03-18,22.5
2010-03-19,22.97
2010-03-22,22.4
2010-03-23,22.47
2010-03-24,22.58
2010-03-25,22.56
2010-03-26,22.3
2010-03-29,21.95
2010-03-30,22.0
2010-03-31,21.59
2010-04-01,21.57
2010-04-05,21.61
2010-04-06,21.82
2010-04-07,22.27
2010-04-08,22.25
2010-04-09,22.3
2010-04-12,22.66
2010-04-13,22.66
2010-04-14,22.78
2010-04-15,22.71
2010-04-16,22.43
2010-04-19,21.89
2010-04-20,22.0
2010-04-21,22.17
2010-04-22,24.36
2010-04-23,24.33
2010-04-26,25.3
2010-04-27,24.45
2010-04-28,23.96
2010-04-29,24.2
2010-04-30,23.72
2010-05-03,23.55
2010-05-04,23.45
2010-05-05,23.36
2010-05-06,23.79
2010-05-07,22.49
2010-05-10,22.56
2010-05-11,23.0
2010-05-12,24.2
2010-05-13,24.08
2010-05-14,23.44
2010-05-17,22.9
2010-05-18,23.06
2010-05-19,21.59
2010-05-20,20.44
2010-05-21,20.76
2010-05-24,21.01
2010-05-25,19.76
2010-05-26,21.05
2010-05-27,21.28
2010-05-28,21.34
2010-06-01,20.68
2010-06-02,20.48
2010-06-03,20.85
2010-06-04,20.46
2010-06-07,19.04
2010-06-08,18.96
2010-06-09,19.34
2010-06-10,19.44
2010-06-11,19.51
2010-06-14,19.94
2010-06-15,20.28
2010-06-16,20.38
2010-06-17,20.16
2010-06-18,20.17
2010-06-21,20.65
2010-06-22,20.24
2010-06-23,19.38
2010-06-24,19.14
2010-06-25,19.31
2010-06-28,19.41
2010-06-29,18.28
2010-06-30,17.335
2010-07-01,17.0
2010-07-02,16.5
2010-07-06,16.74
2010-07-07,17.18
2010-07-08,17.3
2010-07-09,17.89
2010-07-12,18.03
2010-07-13,18.9
2010-07-14,18.5
2010-07-15,18.47
2010-07-16,18.14
2010-07-19,17.64
2010-07-20,18.19
2010-07-21,19.85
2010-07-22,20.37
2010-07-23,20.79
2010-07-26,21.21
2010-07-27,21.4
2010-07-28,20.97
2010-07-29,20.99
2010-07-30,20.86
2010-08-02,21.33
2010-08-03,21.32
2010-08-04,21.52
2010-08-05,21.46
2010-08-06,21.23
2010-08-09,21.1
2010-08-10,20.615
2010-08-11,19.59
2010-08-12,18.78
2010-08-13,18.7
2010-08-16,18.22
2010-08-17,18.73
2010-08-18,18.73
2010-08-19,18.8
2010-08-20,18.06
2010-08-23,18.05
2010-08-24,17.57
2010-08-25,17.47
2010-08-26,17.83
2010-08-27,17.9
2010-08-30,18.1
2010-08-31,17.74
2010-09-01,18.15
2010-09-02,18.44
2010-09-03,19.11
2010-09-07,18.8
2010-09-08,18.85
2010-09-09,18.99
2010-09-10,18.97
2010-09-13,19.3
2010-09-14,19.1565
2010-09-15,18.99
2010-09-16,19.26
2010-09-17,19.4
2010-09-20,20.25
2010-09-21,20.69
2010-09-22,20.66
2010-09-23,20.05
2010-09-24,20.75
2010-09-27,20.79
2010-09-28,20.905
2010-09-29,20.76
2010-09-30,20.9
2010-10-01,20.89
2010-10-04,21.19
2010-10-05,21.65
2010-10-06,21.75
2010-10-07,21.7
2010-10-08,21.75
2010-10-11,21.8
2010-10-12,21.57
2010-10-13,21.81
2010-10-14,21.73
2010-10-15,21.67
2010-10-18,21.4
2010-10-19,21.56
2010-10-20,21.02
2010-10-21,21.34
2010-10-22,20.99
2010-10-25,21.32
2010-10-26,20.95
2010-10-27,20.79
2010-10-28,21.0
2010-10-29,20.91
2010-11-01,21.25
2010-11-02,21.49
2010-11-03,21.89
2010-11-04,22.36
2010-11-05,22.9
2010-11-08,22.73
2010-11-09,22.805
2010-11-10,22.5
2010-11-11,22.11
2010-11-12,21.95
2010-11-15,21.53
2010-11-16,21.26
2010-11-17,21.2
2010-11-18,21.54
2010-11-19,21.62
2010-11-22,21.77
2010-11-23,21.72
2010-11-24,22.51
2010-11-26,22.38
2010-11-29,22.4
2010-11-30,22.47
2010-12-01,23.29
2010-12-02,23.64
2010-12-03,23.76
2010-12-06,23.59
2010-12-07,23.81
2010-12-08,23.37
2010-12-09,23.21
2010-12-10,23.6
2010-12-13,23.95
2010-12-14,24.18
2010-12-15,23.8799
2010-12-16,23.7
