dt,high
2010-01-04,35.84
2010-01-05,36.23
2010-01-06,35.56
2010-01-07,34.99
2010-01-08,34.39
2010-01-11,34.11
2010-01-12,33.75
2010-01-13,34.27
2010-01-14,34.27
2010-01-15,34.1
2010-01-19,32.91
2010-01-20,32.5
2010-01-21,32.12
2010-01-22,31.82
2010-01-25,31.415
2010-01-26,31.6
2010-01-27,31.7
2010-01-28,31.65
2010-01-29,32.84
2010-02-01,32.54
2010-02-02,32.91
2010-02-03,32.58
2010-02-04,31.18
2010-02-05,31.285
2010-02-08,31.3625
2010-02-09,31.97
2010-02-10,31.85
2010-02-11,31.67
2010-02-12,31.0
2010-02-16,31.26
2010-02-17,31.57
2010-02-18,32.13
2010-02-19,32.46
2010-02-22,32.36
2010-02-23,32.15
2010-02-24,31.97
2010-02-25,31.91
2010-02-26,32.23
2010-03-01,33.19
2010-03-02,33.65
2010-03-03,33.95
2010-03-04,34.75
2010-03-05,35.08
2010-03-08,35.42
2010-03-09,36.01
2010-03-10,36.57
2010-03-11,36.61
2010-03-12,36.66
2010-03-15,36.75
2010-03-16,36.91
2010-03-17,36.65
2010-03-18,36.41
2010-03-19,36.26
2010-03-22,36.75
2010-03-23,36.63
2010-03-24,36.39
2010-03-25,37.32
2010-03-26,38.74
2010-03-29,38.29
2010-03-30,38.29
2010-03-31,38.39
2010-04-01,38.835
2010-04-05,39.0
2010-04-06,39.21
2010-04-07,39.29
2010-04-08,38.52
2010-04-09,38.6
2010-04-12,38.7045
2010-04-13,38.39
2010-04-14,39.205
2010-04-15,39.44
2010-04-16,39.47
2010-04-19,38.56
2010-04-20,38.64
2010-04-21,38.62
2010-04-22,40.485
2010-04-23,40.58
2010-04-26,40.77
2010-04-27,40.84
2010-04-28,39.6
2010-04-29,38.56
2010-04-30,38.14
2010-05-03,38.805
2010-05-04,38.17
2010-05-05,38.5
2010-05-06,37.74
2010-05-07,36.66
2010-05-10,38.62
2010-05-11,39.12
2010-05-12,39.4
2010-05-13,38.59
2010-05-14,36.76
2010-05-17,36.13
2010-05-18,36.68
2010-05-19,35.97
2010-05-20,35.461
2010-05-21,35.87
2010-05-24,36.14
2010-05-25,36.5
2010-05-26,37.14
2010-05-27,36.58
2010-05-28,36.74
2010-06-01,37.25
2010-06-02,37.81
2010-06-03,39.18
2010-06-04,38.83
2010-06-07,37.27
2010-06-08,36.32
2010-06-09,37.1
2010-06-10,37.31
2010-06-11,37.625
2010-06-14,37.91
2010-06-15,38.1
2010-06-16,37.75
2010-06-17,37.09
2010-06-18,37.35
2010-06-21,37.34
2010-06-22,35.99
2010-06-23,35.28
2010-06-24,35.15
2010-06-25,36.565
2010-06-28,36.37
2010-06-29,35.21
2010-06-30,35.63
2010-07-01,35.42
2010-07-02,35.766999999999996
2010-07-06,35.6
2010-07-07,34.72
2010-07-08,34.79
2010-07-09,34.52
2010-07-12,34.24
2010-07-13,34.03
2010-07-14,34.0
2010-07-15,33.46
2010-07-16,33.54
2010-07-19,32.62
2010-07-20,33.74
2010-07-21,33.82
2010-07-22,34.1
2010-07-23,34.25
2010-07-26,34.64
2010-07-27,34.88
2010-07-28,33.29
2010-07-29,32.91
2010-07-30,32.28
2010-08-02,32.79
2010-08-03,32.21
2010-08-04,32.24
2010-08-05,33.28
2010-08-06,33.43
2010-08-09,33.86
2010-08-10,33.47
2010-08-11,32.305
2010-08-12,31.77
2010-08-13,31.61
2010-08-16,31.78
2010-08-17,33.9
2010-08-18,33.5
2010-08-19,33.67
2010-08-20,33.29
2010-08-23,33.37
2010-08-24,32.69
2010-08-25,32.49
2010-08-26,32.67
2010-08-27,31.59
2010-08-30,31.1
2010-08-31,31.26
2010-09-01,31.79
2010-09-02,32.74
2010-09-03,33.71
2010-09-07,32.92
2010-09-08,33.49
2010-09-09,34.33
2010-09-10,33.57
2010-09-13,33.76
2010-09-14,34.95
2010-09-15,34.99
2010-09-16,34.93
2010-09-17,34.99
2010-09-20,34.545
2010-09-21,34.48
2010-09-22,33.8
2010-09-23,33.9
2010-09-24,34.68
2010-09-27,34.68
2010-09-28,35.11
2010-09-29,34.7
2010-09-30,32.84
2010-10-01,31.94
2010-10-04,32.0
2010-10-05,32.21
2010-10-06,32.06
2010-10-07,32.55
2010-10-08,31.88
2010-10-11,31.46
2010-10-12,31.32
2010-10-13,32.41
2010-10-14,32.03
2010-10-15,31.44
2010-10-18,31.31
2010-10-19,30.8
2010-10-20,30.2
2010-10-21,30.15
2010-10-22,30.38
2010-10-25,31.16
2010-10-26,31.91
2010-10-27,31.57
2010-10-28,31.3
2010-10-29,30.87
2010-11-01,31.0
2010-11-02,30.65
2010-11-03,31.54
2010-11-04,32.31
2010-11-05,32.5
2010-11-08,33.6
2010-11-09,33.5
2010-11-10,33.5
2010-11-11,33.24
2010-11-12,33.31
2010-11-15,33.34
2010-11-16,36.66
2010-11-17,37.57
2010-11-18,37.69
2010-11-19,37.46
2010-11-22,37.92
2010-11-23,38.19
2010-11-24,38.6
2010-11-26,38.73
2010-11-29,38.49
2010-11-30,38.35
2010-12-01,38.49
2010-12-02,38.95
2010-12-03,38.32
2010-12-06,38.53
2010-12-07,38.39
2010-12-08,38.36
2010-12-09,38.47
2010-12-10,37.39
2010-12-13,37.5
2010-12-14,36.83
2010-12-15,36.99
2010-12-16,37.15
2010-12-17,36.95
2010-12-20,36.91
2010-12-21,36.97
2010-12-22,36.98
2010-12-23,36.15
2010-12-27,35.92
2010-12-28,36.16
2010-12-29,36.57
2010-12-30,36.45
2010-12-31,36.38
2011-01-03,35.79
2011-01-04,36.43
2011-01-05,36.23
2011-01-06,36.14
2011-01-07,36.19
2011-01-10,36.22
2011-01-11,36.25
2011-01-12,36.6
2011-01-13,36.67
2011-01-14,36.45
2011-01-18,36.23
2011-01-19,35.54
2011-01-20,35.31
2011-01-21,35.17
2011-01-24,35.03
2011-01-25,34.475
2011-01-26,34.46
2011-01-27,34.59
2011-01-28,34.41
2011-01-31,34.16
2011-02-01,34.36
2011-02-02,34.24
2011-02-03,35.11
2011-02-04,35.13
2011-02-07,35.4
2011-02-08,37.11
2011-02-09,37.97
2011-02-10,37.56
2011-02-11,37.62
2011-02-14,37.99
2011-02-15,37.96
2011-02-16,38.04
2011-02-17,38.09
2011-02-18,37.99
2011-02-22,38.2
2011-02-23,37.55
2011-02-24,37.47
2011-02-25,37.7
2011-02-28,38.41
2011-03-01,39.2
2011-03-02,38.335
2011-03-03,38.56
2011-03-04,38.54
2011-03-07,39.26
2011-03-08,32.84
2011-03-09,31.9
2011-03-10,31.77
2011-03-11,32.2
2011-03-14,32.25
2011-03-15,31.74
2011-03-16,31.58
2011-03-17,31.67
2011-03-18,31.32
2011-03-21,31.82
2011-03-22,31.76
2011-03-23,30.49
2011-03-24,30.7
2011-03-25,30.14
2011-03-28,30.2081
2011-03-29,29.96
2011-03-30,30.69
2011-03-31,30.43
2011-04-01,30.44
2011-04-04,30.48
2011-04-05,31.13
2011-04-06,31.6
2011-04-07,31.66
2011-04-08,31.25
2011-04-11,31.45
2011-04-12,31.79
2011-04-13,32.18
2011-04-14,31.6
2011-04-15,30.8
2011-04-18,30.52
2011-04-19,31.48
2011-04-20,32.0
2011-04-21,31.76
2011-04-25,31.97
2011-04-26,32.6695
2011-04-27,33.67
2011-04-28,32.5
2011-04-29,32.0
2011-05-02,32.01
2011-05-03,32.26
2011-05-04,32.625
2011-05-05,32.16
2011-05-06,31.97
2011-05-09,31.5
2011-05-10,32.98
2011-05-11,33.09
2011-05-12,33.3
2011-05-13,33.2
2011-05-16,32.89
2011-05-17,33.48
2011-05-18,32.98
2011-05-19,32.73
2011-05-20,32.22
2011-05-23,31.75
2011-05-24,31.68
2011-05-25,30.92
2011-05-26,30.36
2011-05-27,30.52
2011-05-31,30.72
2011-06-01,30.51
2011-06-02,30.32
2011-06-03,29.65
2011-06-06,29.43
2011-06-07,29.39
2011-06-08,29.05
2011-06-09,29.26
2011-06-10,29.33
2011-06-13,29.15
2011-06-14,29.58
2011-06-15,29.205
2011-06-16,29.0
2011-06-17,28.915
2011-06-20,29.16
2011-06-21,29.37
2011-06-22,29.28
2011-06-23,29.32
2011-06-24,29.29
2011-06-27,28.61
2011-06-28,28.81
2011-06-29,28.82
2011-06-30,28.54
2011-07-01,29.07
2011-07-05,29.185
2011-07-06,31.44
2011-07-07,33.56
2011-07-08,32.43
2011-07-11,32.1
2011-07-12,31.93
2011-07-13,32.46
2011-07-14,31.93
2011-07-15,31.6
2011-07-18,31.68
2011-07-19,31.83
2011-07-20,32.01
2011-07-21,32.62
2011-07-22,32.77
2011-07-25,32.77
2011-07-26,33.59
2011-07-27,33.9
2011-07-28,33.03
2011-07-29,32.97
2011-08-01,32.9
2011-08-02,32.0
2011-08-03,31.63
2011-08-04,31.05
2011-08-05,29.99
2011-08-08,28.96
2011-08-09,28.37
2011-08-10,28.28
2011-08-11,28.71
2011-08-12,30.39
2011-08-15,30.21
2011-08-16,28.05
2011-08-17,28.04
2011-08-18,26.71
2011-08-19,26.88
2011-08-22,27.26
2011-08-23,27.27
2011-08-24,26.45
2011-08-25,25.78
2011-08-26,25.0
2011-08-29,25.6
2011-08-30,26.05
2011-08-31,26.61
2011-09-01,26.52
2011-09-02,26.21
2011-09-06,26.02
2011-09-07,25.37
2011-09-08,25.64
2011-09-09,24.97
2011-09-12,25.015
2011-09-13,25.2
2011-09-14,25.62
2011-09-15,25.56
2011-09-16,25.6
2011-09-19,24.84
2011-09-20,24.93
2011-09-21,24.63
2011-09-22,23.3
2011-09-23,23.500999999999998
2011-09-26,24.25
2011-09-27,24.68
2011-09-28,24.18
2011-09-29,23.87
2011-09-30,23.21
2011-10-03,22.62
2011-10-04,22.7
2011-10-05,24.03
2011-10-06,24.13
2011-10-07,24.31
2011-10-10,24.01
2011-10-11,23.69
2011-10-12,24.89
2011-10-13,24.23
2011-10-14,24.26
2011-10-17,23.99
2011-10-18,23.7
2011-10-19,23.72
2011-10-20,23.785
2011-10-21,25.16
2011-10-24,26.775
2011-10-25,26.59
2011-10-26,26.5
2011-10-27,29.73
2011-10-28,28.2
2011-10-31,28.05
2011-11-01,27.17
2011-11-02,27.28
2011-11-03,26.9
2011-11-04,26.96
2011-11-07,27.28
2011-11-08,27.56
2011-11-09,26.43
2011-11-10,26.76
2011-11-11,26.91
2011-11-14,26.99
2011-11-15,27.37
2011-11-16,27.2601
2011-11-17,26.83
2011-11-18,26.38
2011-11-21,26.23
2011-11-22,26.26
2011-11-23,25.58
2011-11-25,25.5
2011-11-28,26.595
2011-11-29,26.34
2011-11-30,27.06
2011-12-01,27.7
2011-12-02,27.755
2011-12-05,27.72
2011-12-06,27.74
2011-12-07,27.34
2011-12-08,26.79
2011-12-09,26.6
