dt,high
2016-09-19,27.5
2016-09-20,25.05
2016-09-21,24.93
2016-09-22,24.0
2016-09-23,23.15
2016-09-26,23.0
2016-09-27,22.53
2016-09-28,22.75
2016-09-29,23.25
2016-09-30,23.25
2016-10-03,25.86
2016-10-04,25.77
2016-10-05,24.925
2016-10-06,24.0228
2016-10-07,23.48
2016-10-10,24.03
2016-10-11,23.66
2016-10-12,23.43
2016-10-13,23.39
2016-10-14,22.84
2016-10-17,22.59
2016-10-18,24.58
2016-10-19,24.2
2016-10-20,24.01
2016-10-21,24.02
2016-10-24,23.6
2016-10-25,23.2
2016-10-26,22.86
2016-10-27,23.89
2016-10-28,23.35
2016-10-31,22.98
2016-11-01,22.78
2016-11-02,22.98
2016-11-03,22.92
2016-11-04,22.91
2016-11-07,23.5
2016-11-08,23.24
2016-11-09,23.14
2016-11-10,23.77
2016-11-11,24.27
2016-11-14,24.2825
2016-11-15,24.01
2016-11-16,24.02
2016-11-17,24.4
2016-11-18,24.07
2016-11-21,24.66
2016-11-22,25.16
2016-11-23,25.581999999999997
2016-11-25,25.64
2016-11-28,25.41
2016-11-29,24.8
2016-11-30,24.79
2016-12-01,25.93
2016-12-02,24.86
2016-12-05,25.01
2016-12-06,25.25
2016-12-07,26.99
2016-12-08,27.48
2016-12-09,27.31
2016-12-12,27.39
2016-12-13,28.0
2016-12-14,28.42
2016-12-15,28.79
2016-12-16,28.95
2016-12-19,28.69
2016-12-20,29.14
2016-12-21,28.7399
2016-12-22,28.31
2016-12-23,28.35
2016-12-27,28.71
2016-12-28,28.32
2016-12-29,28.16
2016-12-30,28.09
2017-01-03,28.3127
2017-01-04,28.24
2017-01-05,28.34
2017-01-06,28.49
2017-01-09,28.3
2017-01-10,28.8
2017-01-11,29.09
2017-01-12,28.76
2017-01-13,28.04
2017-01-17,27.385
2017-01-18,28.05
2017-01-19,27.67
2017-01-20,27.83
2017-01-23,27.89
2017-01-24,28.2
2017-01-25,28.2892
2017-01-26,28.2699
2017-01-27,28.45
2017-01-30,28.26
2017-01-31,28.06
2017-02-01,28.2299
2017-02-02,29.0
2017-02-03,29.06
2017-02-06,29.67
2017-02-07,29.44
2017-02-08,29.25
2017-02-09,29.29
2017-02-10,28.76
2017-02-13,29.8
2017-02-14,29.59
2017-02-15,29.6
2017-02-16,29.98
2017-02-17,31.09
2017-02-21,31.26
2017-02-22,31.13
2017-02-23,30.74
2017-02-24,30.83
2017-02-27,30.99
2017-02-28,30.91
2017-03-01,31.31
2017-03-02,31.105
2017-03-03,30.98
2017-03-06,30.55
2017-03-07,30.32
2017-03-08,30.12
2017-03-09,29.89
2017-03-10,29.6434
2017-03-13,29.84
2017-03-14,29.91
2017-03-15,30.25
2017-03-16,30.21
2017-03-17,30.28
2017-03-20,30.05
2017-03-21,30.2337
2017-03-22,29.85
2017-03-23,30.23
2017-03-24,30.55
2017-03-27,30.04
2017-03-28,30.08
2017-03-29,30.14
2017-03-30,30.54
2017-03-31,30.75
2017-04-03,30.86
2017-04-04,30.38
2017-04-05,30.67
2017-04-06,30.74
2017-04-07,30.78
2017-04-10,30.8683
2017-04-11,30.51
2017-04-12,30.28
2017-04-13,29.96
2017-04-17,29.59
2017-04-18,29.83
2017-04-19,30.47
2017-04-20,31.3
2017-04-21,31.27
2017-04-24,31.74
2017-04-25,32.01
2017-04-26,32.62
2017-04-27,33.01
2017-04-28,32.79
2017-05-01,32.28
2017-05-02,31.67
2017-05-03,31.1
2017-05-04,30.75
2017-05-05,31.0
2017-05-08,30.79
2017-05-09,30.9787
2017-05-10,31.07
2017-05-11,31.22
2017-05-12,30.82
2017-05-15,30.65
2017-05-16,30.58
2017-05-17,30.25
2017-05-18,30.16
2017-05-19,30.52
2017-05-22,32.47
2017-05-23,32.0699
2017-05-24,31.68
2017-05-25,32.0
2017-05-26,31.45
2017-05-30,31.27
2017-05-31,31.245
2017-06-01,31.95
2017-06-02,32.43
2017-06-05,33.0
2017-06-06,32.89
2017-06-07,32.425
2017-06-08,32.5199
2017-06-09,32.603
2017-06-12,31.405
2017-06-13,31.58
2017-06-14,31.73
2017-06-15,30.99
2017-06-16,31.33
2017-06-19,31.95
2017-06-20,31.85
2017-06-21,31.86
2017-06-22,32.19
2017-06-23,33.79
2017-06-26,34.01
2017-06-27,32.635
2017-06-28,33.26
2017-06-29,32.92
2017-06-30,32.745
2017-07-03,32.84
2017-07-05,32.815
2017-07-06,32.4599
2017-07-07,31.78
2017-07-10,32.31
2017-07-11,32.4
2017-07-12,33.35
2017-07-13,33.4152
2017-07-14,33.82
2017-07-17,34.01
2017-07-18,34.08
2017-07-19,35.06
2017-07-20,35.56
2017-07-21,35.65
2017-07-24,35.84
2017-07-25,36.46
2017-07-26,36.31
2017-07-27,35.78
2017-07-28,35.39
2017-07-31,35.55
2017-08-01,37.4
2017-08-02,36.95
2017-08-03,36.32
2017-08-04,35.98
2017-08-07,36.42
2017-08-08,36.3
2017-08-09,35.94
2017-08-10,35.8
2017-08-11,35.5
2017-08-14,35.83
2017-08-15,35.465
2017-08-16,35.445
2017-08-17,35.34
2017-08-18,35.51
2017-08-21,35.215
2017-08-22,35.46
2017-08-23,35.82
2017-08-24,35.99
2017-08-25,35.96
2017-08-28,35.84
2017-08-29,35.86
2017-08-30,36.06
2017-08-31,37.23
2017-09-01,37.51
2017-09-05,37.49
2017-09-06,37.42
2017-09-07,37.37
2017-09-08,37.355
2017-09-11,37.88
2017-09-12,37.9
2017-09-13,38.0
2017-09-14,38.23
2017-09-15,38.24
2017-09-18,38.385
2017-09-19,38.33
2017-09-20,37.955999999999996
2017-09-21,37.98
2017-09-22,37.87
2017-09-25,38.01
2017-09-26,38.58
2017-09-27,38.07
2017-09-28,38.54
2017-09-29,39.19
2017-10-02,39.44
2017-10-03,39.67
2017-10-04,39.71
2017-10-05,38.88
2017-10-06,38.62
2017-10-09,38.8899
2017-10-10,39.16
2017-10-11,39.53
2017-10-12,39.51
2017-10-13,40.21
2017-10-16,40.46
2017-10-17,39.725
2017-10-18,39.81
2017-10-19,39.435
2017-10-20,39.71
2017-10-23,39.857
2017-10-24,40.27
2017-10-25,40.17
2017-10-26,41.0986
2017-10-27,41.31
2017-10-30,41.32
2017-10-31,42.09
2017-11-01,42.5
2017-11-02,41.14
