dt,high
2010-01-04,50.15
2010-01-05,50.0
2010-01-06,49.79
2010-01-07,49.61
2010-01-08,49.88
2010-01-11,50.62
2010-01-12,50.79
2010-01-13,50.78
2010-01-14,50.64
2010-01-15,50.67
2010-01-19,50.73
2010-01-20,50.53
2010-01-21,50.89
2010-01-22,50.09
2010-01-25,49.52
2010-01-26,49.33
2010-01-27,49.27
2010-01-28,49.19
2010-01-29,49.26
2010-02-01,49.24
2010-02-02,49.62
2010-02-03,49.59
2010-02-04,48.87
2010-02-05,48.77
2010-02-08,48.81
2010-02-09,48.645
2010-02-10,47.86
2010-02-11,48.3074
2010-02-12,48.06
2010-02-16,48.82
2010-02-17,49.01
2010-02-18,49.09
2010-02-19,49.98
2010-02-22,50.02
2010-02-23,49.85
2010-02-24,49.35
2010-02-25,48.7
2010-02-26,48.88
2010-03-01,49.36
2010-03-02,49.93
2010-03-03,50.26
2010-03-04,49.96
2010-03-05,50.02
2010-03-08,50.0901
2010-03-09,50.26
2010-03-10,49.96
2010-03-11,50.145
2010-03-12,50.31
2010-03-15,50.2
2010-03-16,50.79
2010-03-17,51.27
2010-03-18,51.31
2010-03-19,51.41
2010-03-22,50.39
2010-03-23,50.43
2010-03-24,50.445
2010-03-25,50.17
2010-03-26,50.09
2010-03-29,49.89
2010-03-30,49.95
2010-03-31,49.55
2010-04-01,49.94
2010-04-05,50.42
2010-04-06,50.98
2010-04-07,50.83
2010-04-08,50.28
2010-04-09,50.5
2010-04-12,50.86
2010-04-13,51.01
2010-04-14,51.4
2010-04-15,51.4
2010-04-16,51.11
2010-04-19,50.86
2010-04-20,51.38
2010-04-21,51.7
2010-04-22,51.83
2010-04-23,51.98
2010-04-26,52.0
2010-04-27,52.05
2010-04-28,51.13
2010-04-29,52.24
2010-04-30,53.21
2010-05-03,53.64
2010-05-04,53.8
2010-05-05,53.27
2010-05-06,52.35
2010-05-07,51.04
2010-05-10,51.89
2010-05-11,52.58
2010-05-12,52.05
2010-05-13,51.87
2010-05-14,51.22
2010-05-17,51.29
2010-05-18,51.77
2010-05-19,51.02
