dt,high
2010-01-04,18.75
2010-01-05,18.8405
2010-01-06,18.66
2010-01-07,18.47
2010-01-08,18.37
2010-01-11,18.42
2010-01-12,18.0
2010-01-13,17.74
2010-01-14,17.58
2010-01-15,17.38
2010-01-19,17.7
2010-01-20,17.61
2010-01-21,17.72
2010-01-22,17.39
2010-01-25,16.91
2010-01-26,17.34
2010-01-27,17.08
2010-01-28,17.08
2010-01-29,17.16
2010-02-01,17.09
2010-02-02,17.52
2010-02-03,17.34
2010-02-04,17.02
2010-02-05,16.55
2010-02-08,16.85
2010-02-09,17.05
2010-02-10,17.34
2010-02-11,17.72
2010-02-12,17.66
2010-02-16,18.1
2010-02-17,18.27
2010-02-18,18.39
2010-02-19,18.51
2010-02-22,18.5
2010-02-23,18.3
2010-02-24,18.41
2010-02-25,18.36
2010-02-26,18.36
2010-03-01,18.63
2010-03-02,18.92
2010-03-03,19.18
2010-03-04,19.27
2010-03-05,19.48
2010-03-08,19.44
2010-03-09,19.5
2010-03-10,19.07
2010-03-11,18.85
2010-03-12,19.08
2010-03-15,18.85
2010-03-16,19.19
2010-03-17,19.54
2010-03-18,19.52
2010-03-19,19.33
2010-03-22,18.79
2010-03-23,19.05
2010-03-24,19.12
2010-03-25,19.24
2010-03-26,19.1
2010-03-29,19.0
2010-03-30,18.97
2010-03-31,19.08
2010-04-01,19.32
2010-04-05,19.39
2010-04-06,19.63
2010-04-07,19.715
2010-04-08,19.54
2010-04-09,19.38
2010-04-12,19.28
2010-04-13,20.05
2010-04-14,20.32
2010-04-15,20.39
2010-04-16,20.31
2010-04-19,19.76
2010-04-20,20.01
2010-04-21,20.09
2010-04-22,19.97
2010-04-23,20.07
2010-04-26,19.96
2010-04-27,19.59
2010-04-28,19.08
2010-04-29,18.58
2010-04-30,18.29
2010-05-03,17.88
2010-05-04,17.67
2010-05-05,18.39
2010-05-06,18.28
2010-05-07,17.98
2010-05-10,18.56
2010-05-11,18.33
2010-05-12,19.92
2010-05-13,19.75
2010-05-14,19.19
2010-05-17,18.86
2010-05-18,18.84
2010-05-19,18.23
2010-05-20,17.83
2010-05-21,17.38
2010-05-24,17.54
2010-05-25,17.3
2010-05-26,17.9
2010-05-27,18.23
2010-05-28,18.13
2010-06-01,17.49
2010-06-02,17.38
2010-06-03,17.54
2010-06-04,17.045
2010-06-07,16.615
2010-06-08,16.32
2010-06-09,17.02
2010-06-10,17.2
2010-06-11,17.39
2010-06-14,17.78
2010-06-15,17.9
2010-06-16,17.99
2010-06-17,17.99
