dt,low
2010-01-04,9.68
2010-01-05,9.68
2010-01-06,9.55
2010-01-07,9.18
2010-01-08,9.29
2010-01-11,9.08
2010-01-12,8.52
2010-01-13,8.55
2010-01-14,8.92
2010-01-15,8.8
2010-01-19,8.84
2010-01-20,8.755
2010-01-21,8.7701
2010-01-22,7.82
2010-01-25,7.93
2010-01-26,7.93
2010-01-27,7.91
2010-01-28,7.71
2010-01-29,7.3
2010-02-01,7.53
2010-02-02,7.72
2010-02-03,7.76
2010-02-04,7.1
2010-02-05,6.98
2010-02-08,7.28
2010-02-09,7.42
2010-02-10,7.45
2010-02-11,7.6
2010-02-12,7.66
2010-02-16,7.87
2010-02-17,7.94
2010-02-18,7.87
2010-02-19,7.82
2010-02-22,7.83
2010-02-23,7.69
2010-02-24,7.77
2010-02-25,7.62
2010-02-26,7.68
2010-03-01,7.94
2010-03-02,8.29
2010-03-03,8.28
2010-03-04,8.28
2010-03-05,8.48
2010-03-08,8.51
2010-03-09,8.43
2010-03-10,8.59
2010-03-11,8.74
2010-03-12,8.9
2010-03-15,8.8
2010-03-16,8.94
2010-03-17,9.42
2010-03-18,9.26
2010-03-19,9.1
2010-03-22,8.79
2010-03-23,9.26
2010-03-24,9.2
2010-03-25,9.02
2010-03-26,8.91
2010-03-29,9.06
2010-03-30,9.09
2010-03-31,9.13
2010-04-01,9.22
2010-04-05,9.42
2010-04-06,9.18
2010-04-07,9.25
2010-04-08,9.33
2010-04-09,9.28
2010-04-12,9.35
2010-04-13,9.35
2010-04-14,9.71
2010-04-15,9.9
2010-04-16,9.37
2010-04-19,9.29
2010-04-20,9.63
2010-04-21,9.49
2010-04-22,9.45
2010-04-23,9.61
2010-04-26,9.7
2010-04-27,9.53
2010-04-28,9.35
2010-04-29,9.59
2010-04-30,9.06
2010-05-03,9.02
2010-05-04,8.54
2010-05-05,8.35
2010-05-06,7.81
2010-05-07,7.92
2010-05-10,8.31
2010-05-11,8.75
2010-05-12,9.15
2010-05-13,9.32
2010-05-14,8.57
2010-05-17,8.47
2010-05-18,8.37
2010-05-19,8.2
2010-05-20,8.0
2010-05-21,7.75
2010-05-24,8.07
2010-05-25,7.68
2010-05-26,8.18
2010-05-27,8.4
2010-05-28,8.45
2010-06-01,8.15
2010-06-02,8.11
2010-06-03,8.36
2010-06-04,8.01
2010-06-07,7.64
2010-06-08,7.42
2010-06-09,7.58
2010-06-10,7.74
2010-06-11,7.81
2010-06-14,8.24
2010-06-15,8.34
2010-06-16,8.65
2010-06-17,8.71
2010-06-18,8.77
2010-06-21,8.71
2010-06-22,8.54
2010-06-23,8.48
2010-06-24,8.05
2010-06-25,7.93
2010-06-28,7.96
2010-06-29,7.41
2010-06-30,7.3
2010-07-01,7.1
2010-07-02,7.02
2010-07-06,6.96
2010-07-07,7.04
2010-07-08,7.215
2010-07-09,7.14
2010-07-12,7.32
2010-07-13,7.4287
2010-07-14,7.33
2010-07-15,7.18
2010-07-16,7.11
2010-07-19,7.22
2010-07-20,7.15
2010-07-21,7.35
2010-07-22,7.36
2010-07-23,7.46
2010-07-26,7.68
2010-07-27,8.03
2010-07-28,7.875
2010-07-29,7.58
2010-07-30,7.41
2010-08-02,7.47
2010-08-03,7.41
2010-08-04,7.44
2010-08-05,7.45
2010-08-06,7.43
2010-08-09,7.38
2010-08-10,6.75
2010-08-11,6.41
2010-08-12,6.26
2010-08-13,6.47
2010-08-16,6.43
2010-08-17,6.62
2010-08-18,6.51
2010-08-19,6.28
2010-08-20,6.19
2010-08-23,6.11
2010-08-24,5.94
2010-08-25,5.85
2010-08-26,5.83
2010-08-27,5.53
2010-08-30,5.77
2010-08-31,5.57
2010-09-01,5.68
2010-09-02,5.7
2010-09-03,5.89
2010-09-07,5.95
2010-09-08,5.79
2010-09-09,5.82
2010-09-10,5.67
2010-09-13,5.89
2010-09-14,6.08
2010-09-15,6.13
2010-09-16,6.1
2010-09-17,6.09
2010-09-20,6.02
2010-09-21,6.06
2010-09-22,6.06
2010-09-23,6.14
2010-09-24,6.6
2010-09-27,6.84
2010-09-28,6.87
2010-09-29,6.85
2010-09-30,6.99
2010-10-01,7.01
2010-10-04,6.84
2010-10-05,6.89
2010-10-06,6.78
2010-10-07,6.77
2010-10-08,6.79
2010-10-11,7.08
2010-10-12,7.16
2010-10-13,7.22
2010-10-14,7.0
2010-10-15,7.01
2010-10-18,6.89
2010-10-19,6.8
2010-10-20,6.8
2010-10-21,6.79
2010-10-22,6.86
2010-10-25,6.94
2010-10-26,7.14
2010-10-27,7.16
2010-10-28,7.34
2010-10-29,7.31
2010-11-01,7.3
2010-11-02,7.4
2010-11-03,7.47
2010-11-04,7.67
2010-11-05,7.97
2010-11-08,8.03
2010-11-09,7.85
2010-11-10,7.7
2010-11-11,7.46
2010-11-12,7.5
