dt,low
2010-01-04,43.28
2010-01-05,43.4
2010-01-06,43.77
2010-01-07,44.01
2010-01-08,44.01
2010-01-11,43.66
2010-01-12,43.01
2010-01-13,43.61
2010-01-14,44.04
2010-01-15,43.8
2010-01-19,43.77
2010-01-20,43.78
2010-01-21,43.78
2010-01-22,42.07
2010-01-25,42.56
2010-01-26,42.15
2010-01-27,41.81
2010-01-28,41.87
2010-01-29,42.24
2010-02-01,42.28
2010-02-02,42.28
2010-02-03,42.66
2010-02-04,41.0
2010-02-05,39.46
2010-02-08,40.0
2010-02-09,40.83
2010-02-10,41.25
2010-02-11,41.26
2010-02-12,42.03
2010-02-16,42.92
2010-02-17,43.315
2010-02-18,43.2
2010-02-19,43.11
2010-02-22,43.3501
2010-02-23,42.48
2010-02-24,41.65
2010-02-25,41.8
2010-02-26,42.17
2010-03-01,42.77
2010-03-02,42.7
2010-03-03,42.57
2010-03-04,42.53
2010-03-05,43.05
2010-03-08,42.38
2010-03-09,42.13
2010-03-10,42.74
2010-03-11,42.8
2010-03-12,43.33
2010-03-15,42.93
2010-03-16,43.3
2010-03-17,43.96
2010-03-18,43.74
2010-03-19,43.99
2010-03-22,43.81
2010-03-23,44.2
2010-03-24,43.95
2010-03-25,42.33
2010-03-26,41.36
2010-03-29,41.89
2010-03-30,42.5
2010-03-31,42.41
2010-04-01,42.37
2010-04-05,42.69
2010-04-06,42.755
2010-04-07,41.6
2010-04-08,41.52
2010-04-09,42.02
2010-04-12,42.2
2010-04-13,41.62
2010-04-14,41.6
2010-04-15,41.63
2010-04-16,41.2
2010-04-19,41.21
2010-04-20,41.67
2010-04-21,41.8
2010-04-22,41.44
2010-04-23,41.75
2010-04-26,41.78
2010-04-27,41.09
2010-04-28,40.55
2010-04-29,40.8
2010-04-30,40.81
2010-05-03,40.93
2010-05-04,40.0
2010-05-05,40.51
2010-05-06,38.1
2010-05-07,38.31
2010-05-10,39.85
2010-05-11,40.65
2010-05-12,41.07
2010-05-13,41.58
2010-05-14,40.9
2010-05-17,40.88
2010-05-18,40.97
2010-05-19,39.86
2010-05-20,38.77
2010-05-21,38.09
2010-05-24,39.48
2010-05-25,38.4
2010-05-26,39.6
2010-05-27,40.018
2010-05-28,40.33
2010-06-01,39.82
2010-06-02,40.14
2010-06-03,41.5705
2010-06-04,41.26
2010-06-07,41.48
2010-06-08,41.59
2010-06-09,41.81
2010-06-10,42.36
2010-06-11,42.72
2010-06-14,43.57
2010-06-15,43.77
2010-06-16,43.95
2010-06-17,44.51
2010-06-18,44.87
2010-06-21,44.91
2010-06-22,44.29
2010-06-23,43.85
2010-06-24,43.5
2010-06-25,43.51
2010-06-28,44.19
2010-06-29,44.13
2010-06-30,44.23
2010-07-01,43.26
2010-07-02,43.37
2010-07-06,44.1
2010-07-07,45.18
2010-07-08,45.99
2010-07-09,45.81
2010-07-12,45.08
2010-07-13,45.24
2010-07-14,45.25
2010-07-15,45.07
2010-07-16,44.02
2010-07-19,43.74
2010-07-20,44.62
2010-07-21,45.19
2010-07-22,45.84
2010-07-23,45.72
2010-07-26,45.97
2010-07-27,45.25
2010-07-28,45.41
2010-07-29,45.33
2010-07-30,44.73
2010-08-02,46.1
2010-08-03,45.96
2010-08-04,46.4
2010-08-05,46.42
2010-08-06,46.13
2010-08-09,46.52
2010-08-10,46.07
2010-08-11,45.17
2010-08-12,44.27
2010-08-13,45.53
2010-08-16,45.14
2010-08-17,46.0
2010-08-18,47.01
2010-08-19,47.162
2010-08-20,46.74
2010-08-23,46.91
2010-08-24,46.02
2010-08-25,45.78
2010-08-26,46.95
2010-08-27,46.54
2010-08-30,46.46
