dt,low
2010-01-04,133.14
2010-01-05,131.81
2010-01-06,131.65
2010-01-07,128.8
2010-01-08,129.03
2010-01-11,129.21
2010-01-12,126.55
2010-01-13,125.75
2010-01-14,126.4
2010-01-15,127.06
2010-01-19,124.33
2010-01-20,125.08
2010-01-21,125.0
2010-01-22,120.76
2010-01-25,118.12
2010-01-26,119.061
2010-01-27,118.8
2010-01-28,122.8
2010-01-29,124.14
2010-02-01,113.82
2010-02-02,114.4
2010-02-03,116.56
2010-02-04,115.74
2010-02-05,114.1
2010-02-08,116.56
2010-02-09,117.0
2010-02-10,116.0
2010-02-11,116.5
2010-02-12,117.5
2010-02-16,117.18
2010-02-17,115.55
2010-02-18,114.82
2010-02-19,117.0
2010-02-22,116.18
2010-02-23,116.51
2010-02-24,117.15
2010-02-25,115.85
2010-02-26,117.0
2010-03-01,117.53
2010-03-02,124.8
2010-03-03,124.43
2010-03-04,125.57
2010-03-05,127.07
2010-03-08,127.71
2010-03-09,127.97
2010-03-10,128.48
2010-03-11,130.36
2010-03-12,131.18
2010-03-15,128.63
2010-03-16,130.5
2010-03-17,131.22
2010-03-18,130.44
2010-03-19,129.66
2010-03-22,128.64
2010-03-23,128.07
2010-03-24,127.2
2010-03-25,129.14
2010-03-26,133.76
2010-03-29,134.33
2010-03-30,135.36
2010-03-31,134.48
2010-04-01,131.18
2010-04-05,130.78
2010-04-06,131.11
2010-04-07,133.86
2010-04-08,134.71
2010-04-09,139.07
2010-04-12,139.68
2010-04-13,139.12
2010-04-14,139.2
2010-04-15,144.0
2010-04-16,141.45
2010-04-19,139.13
2010-04-20,142.1
2010-04-21,143.5219
2010-04-22,145.88
2010-04-23,142.42
2010-04-26,142.9
2010-04-27,141.11
2010-04-28,138.69
2010-04-29,139.79
2010-04-30,136.91
2010-05-03,136.11
2010-05-04,128.38
2010-05-05,127.55
2010-05-06,120.6
2010-05-07,123.76
2010-05-10,129.26
2010-05-11,128.47
2010-05-12,129.68
2010-05-13,131.0
2010-05-14,126.76
2010-05-17,125.8
2010-05-18,125.51
2010-05-19,123.8
2010-05-20,118.78
2010-05-21,117.52
2010-05-24,120.65
2010-05-25,118.5
2010-05-26,122.3
2010-05-27,120.6
2010-05-28,124.01
2010-06-01,123.02
2010-06-02,121.65
2010-06-03,124.85
2010-06-04,122.18
2010-06-07,121.6744
2010-06-08,115.8
2010-06-09,117.36
2010-06-10,119.2
2010-06-11,120.29
2010-06-14,123.5
2010-06-15,122.5
2010-06-16,125.365
2010-06-17,124.69
2010-06-18,125.07
2010-06-21,121.41
2010-06-22,121.55
2010-06-23,120.04
2010-06-24,116.8
2010-06-25,117.626
2010-06-28,117.1
2010-06-29,106.01
2010-06-30,108.11
2010-07-01,106.7
2010-07-02,108.56
2010-07-06,109.0
2010-07-07,109.81
2010-07-08,114.07
2010-07-09,114.65
2010-07-12,117.32
2010-07-13,120.3
2010-07-14,121.4749
2010-07-15,119.26
2010-07-16,118.01
2010-07-19,117.0
2010-07-20,117.51
2010-07-21,117.26
2010-07-22,118.02
2010-07-23,105.8
2010-07-26,114.88
2010-07-27,115.0658
2010-07-28,116.4
2010-07-29,115.52
2010-07-30,114.51
2010-08-02,117.57
2010-08-03,119.68
2010-08-04,123.0
2010-08-05,125.82
2010-08-06,125.9
2010-08-09,127.8501
2010-08-10,127.38
2010-08-11,125.2
2010-08-12,123.55
2010-08-13,124.26
2010-08-16,123.04
2010-08-17,126.79
2010-08-18,128.26
2010-08-19,126.82
2010-08-20,126.02
2010-08-23,126.5
2010-08-24,123.18
2010-08-25,123.83
2010-08-26,124.82
2010-08-27,122.25
2010-08-30,123.69
2010-08-31,122.5
2010-09-01,126.17
2010-09-02,132.05
2010-09-03,136.625
2010-09-07,136.89
2010-09-08,136.45
2010-09-09,139.26
2010-09-10,140.04
2010-09-13,143.76
2010-09-14,143.832
2010-09-15,143.56
2010-09-16,145.16
2010-09-17,146.5
2010-09-20,147.35
2010-09-21,149.6
2010-09-22,149.1
2010-09-23,150.97
2010-09-24,155.42
2010-09-27,157.88
2010-09-28,154.89
2010-09-29,157.75
2010-09-30,155.6
2010-10-01,152.2
2010-10-04,152.79
2010-10-05,157.0145
2010-10-06,154.6
2010-10-07,153.39
2010-10-08,152.78
2010-10-11,152.34
2010-10-12,151.4
2010-10-13,153.85
2010-10-14,154.23
2010-10-15,156.75
2010-10-18,161.82
2010-10-19,157.0
2010-10-20,156.57
2010-10-21,161.29
2010-10-22,162.27
2010-10-25,168.32
2010-10-26,167.5
2010-10-27,166.54
2010-10-28,165.05
2010-10-29,164.81
2010-11-01,161.52
2010-11-02,163.36
2010-11-03,162.29
2010-11-04,168.4
2010-11-05,168.59
2010-11-08,168.78
2010-11-09,169.06
2010-11-10,169.41
2010-11-11,169.4201
2010-11-12,165.05
2010-11-15,158.56
2010-11-16,156.77
2010-11-17,157.55
2010-11-18,160.7401
2010-11-19,162.84
2010-11-22,165.0
2010-11-23,164.62
2010-11-24,171.49
2010-11-26,176.16
2010-11-29,177.57
2010-11-30,174.9
2010-12-01,176.0
2010-12-02,173.92
2010-12-03,174.05
2010-12-06,174.6
2010-12-07,176.57
2010-12-08,175.2
2010-12-09,173.8
2010-12-10,173.36
2010-12-13,173.73
2010-12-14,173.09
2010-12-15,173.5909
2010-12-16,175.04
2010-12-17,177.02
2010-12-20,178.04
2010-12-21,182.6001
2010-12-22,184.11
2010-12-23,181.8905
2010-12-27,180.45
2010-12-28,181.05
2010-12-29,180.41
2010-12-30,182.76
2010-12-31,179.51
2011-01-03,181.21
2011-01-04,183.78
2011-01-05,184.07
2011-01-06,185.25
2011-01-07,183.74
2011-01-10,182.51
2011-01-11,183.21
2011-01-12,183.3
2011-01-13,183.51
2011-01-14,184.92
2011-01-18,188.25
2011-01-19,186.21
2011-01-20,181.0
2011-01-21,176.84
2011-01-24,174.1475
2011-01-25,174.28
2011-01-26,174.63
2011-01-27,177.31
2011-01-28,166.9
2011-01-31,167.41
2011-02-01,169.51
2011-02-02,170.87
2011-02-03,171.95
2011-02-04,173.75
2011-02-07,174.77
2011-02-08,176.59
2011-02-09,182.26
2011-02-10,183.6
2011-02-11,185.37
2011-02-14,188.35
2011-02-15,188.25
2011-02-16,186.35
2011-02-17,185.31
2011-02-18,185.13
2011-02-22,179.32
2011-02-23,174.39
2011-02-24,174.56
2011-02-25,177.1
2011-02-28,172.15
2011-03-01,168.67
2011-03-02,168.35
2011-03-03,172.05
2011-03-04,169.51
2011-03-07,166.24
2011-03-08,166.72
2011-03-09,163.9
2011-03-10,164.82
2011-03-11,164.12
2011-03-14,164.57
2011-03-15,160.76
2011-03-16,162.8701
2011-03-17,160.78
2011-03-18,160.59
2011-03-21,161.72
