dt,low
2015-07-17,0.065
2015-07-20,0.0651
2015-07-21,0.0725
2015-07-22,0.0826
2015-07-23,0.069
2015-07-24,0.0643
2015-07-27,0.063
2015-07-28,0.052000000000000005
2015-07-29,0.0561
2015-07-30,0.046
2015-07-31,0.0431
2015-08-03,0.0321
2015-08-04,0.025
2015-08-05,0.026000000000000002
2015-08-06,0.0326
2015-08-07,0.032
2015-08-10,0.0282
2015-08-11,0.026000000000000002
2015-08-12,0.022000000000000002
2015-08-13,0.0265
2015-08-14,0.0276
2015-08-17,0.0265
2015-08-18,0.0293
2015-08-19,0.0293
2015-08-20,0.037000000000000005
2015-08-21,0.0365
2015-08-24,0.033
2015-08-25,0.031
2015-08-26,0.032
2015-08-27,0.032
2015-08-28,0.034
2015-08-31,0.0459
2015-09-01,0.045
2015-09-02,0.04
2015-09-03,0.044000000000000004
2015-09-04,0.0454
2015-09-08,0.0412
2015-09-09,0.038
2015-09-10,0.0381
2015-09-11,0.0356
2015-09-14,0.0361
2015-09-15,0.0371
2015-09-16,0.035
2015-09-17,0.0382
2015-09-18,0.0356
2015-09-21,0.035
2015-09-22,0.033
2015-09-23,0.032
2015-09-24,0.032
2015-09-25,0.032
2015-09-28,0.0306
2015-09-29,0.0306
2015-09-30,0.0301
2015-10-01,0.0305
2015-10-02,0.0306
2015-10-05,0.0303
2015-10-06,0.0304
2015-10-07,0.0375
2015-10-08,0.0344
2015-10-09,0.0351
2015-10-12,0.0352
2015-10-13,0.0352
2015-10-14,0.0344
2015-10-15,0.035
2015-10-16,0.0345
2015-10-19,0.031
2015-10-20,0.0315
2015-10-21,0.03
2015-10-22,0.0281
2015-10-23,0.0275
2015-10-26,0.0261
2015-10-27,0.0254
2015-10-28,0.021
2015-10-29,0.02
2015-10-30,0.0195
2015-11-02,0.021
2015-11-03,0.0207
2015-11-04,0.021
2015-11-05,0.024
2015-11-06,0.0255
2015-11-09,0.025
2015-11-10,0.018000000000000002
2015-11-11,0.021
2015-11-12,0.02
2015-11-13,0.02
2015-11-16,0.0202
2015-11-17,0.0196
2015-11-18,0.0176
2015-11-19,0.018000000000000002
2015-11-20,0.0195
2015-11-23,0.019
2015-11-24,0.018000000000000002
2015-11-25,0.0181
2015-11-27,0.019
2015-11-30,0.0161
2015-12-01,0.018000000000000002
2015-12-02,0.019
2015-12-03,0.018000000000000002
2015-12-04,0.0175
2015-12-07,0.0175
2015-12-08,0.0175
2015-12-09,0.016
2015-12-10,0.015
2015-12-11,0.0155
2015-12-14,0.015
2015-12-15,0.0151
2015-12-16,0.0133
2015-12-17,0.0111
2015-12-18,0.0101
2015-12-21,0.0098
2015-12-22,0.0101
2015-12-23,0.0104
2015-12-24,0.01
2015-12-28,0.0101
2015-12-29,0.0101
2015-12-30,0.0103
2015-12-31,0.0103
2016-01-04,0.011000000000000001
2016-01-05,0.0126
2016-01-06,0.0131
2016-01-07,0.0136
2016-01-08,0.013999999999999999
2016-01-11,0.015
2016-01-12,0.016
2016-01-13,0.0155
2016-01-14,0.0126
2016-01-15,0.0134
2016-01-19,0.0112
2016-01-20,0.0112
2016-01-21,0.0112
2016-01-22,0.0111
2016-01-25,0.018000000000000002
2016-01-26,0.0125
2016-01-27,0.0131
2016-01-28,0.0143
2016-01-29,0.0155
2016-02-01,0.0152
2016-02-02,0.0143
2016-02-03,0.013000000000000001
2016-02-04,0.015
2016-02-05,0.015
2016-02-08,0.015
2016-02-09,0.015
2016-02-10,0.0146
2016-02-11,0.0148
2016-02-12,0.0155
2016-02-16,0.013999999999999999
2016-02-17,0.0145
2016-02-18,0.013000000000000001
2016-02-19,0.0125
2016-02-22,0.0125
2016-02-23,0.015
2016-02-24,0.015
2016-02-25,0.013000000000000001
2016-02-26,0.0136
2016-02-29,0.0139
2016-03-01,0.0141
2016-03-02,0.0145
2016-03-03,0.013999999999999999
2016-03-04,0.013999999999999999
2016-03-07,0.013999999999999999
2016-03-08,0.0144
2016-03-09,0.0146
2016-03-10,0.0189
2016-03-11,0.0189
2016-03-14,0.0189
2016-03-15,0.0247
2016-03-16,0.025
2016-03-17,0.02
2016-03-18,0.0203
2016-03-21,0.02
2016-03-22,0.0204
2016-03-23,0.0175
2016-03-24,0.0172
2016-03-28,0.0176
2016-03-29,0.018000000000000002
2016-03-30,0.015
2016-03-31,0.017
2016-04-01,0.017
2016-04-04,0.0172
2016-04-05,0.0175
2016-04-06,0.0175
2016-04-07,0.018000000000000002
2016-04-08,0.0175
2016-04-11,0.0175
2016-04-12,0.018000000000000002
2016-04-13,0.018000000000000002
2016-04-14,0.017
2016-04-15,0.0166
2016-04-18,0.017
2016-04-19,0.0177
2016-04-20,0.0179
2016-04-21,0.0171
2016-04-22,0.0167
2016-04-25,0.017
2016-04-26,0.0166
2016-04-27,0.0166
2016-04-28,0.0166
2016-04-29,0.017
2016-05-02,0.0166
2016-05-03,0.0165
2016-05-04,0.0163
2016-05-05,0.016
2016-05-06,0.0153
2016-05-09,0.0136
2016-05-10,0.0112
2016-05-11,0.011000000000000001
2016-05-12,0.012
2016-05-13,0.0111
2016-05-16,0.0112
2016-05-17,0.0128
2016-05-18,0.0131
2016-05-19,0.0132
2016-05-20,0.0134
2016-05-23,0.0138
2016-05-24,0.0135
2016-05-25,0.0135
2016-05-26,0.0135
2016-05-27,0.015
2016-05-31,0.015
2016-06-01,0.013999999999999999
2016-06-02,0.0134
2016-06-03,0.0136
2016-06-06,0.0141
2016-06-07,0.015
2016-06-08,0.0155
2016-06-09,0.0155
2016-06-10,0.0156
2016-06-13,0.0156
2016-06-14,0.0157
2016-06-15,0.0156
2016-06-16,0.0155
2016-06-17,0.015
2016-06-20,0.015
2016-06-21,0.015
2016-06-22,0.012
2016-06-23,0.0132
2016-06-24,0.0131
2016-06-27,0.0122
2016-06-28,0.013000000000000001
2016-06-29,0.0149
2016-06-30,0.016
2016-07-01,0.0146
2016-07-05,0.0146
2016-07-06,0.016
2016-07-07,0.0164
2016-07-08,0.0125
2016-07-11,0.0061
2016-07-12,0.0065
2016-07-13,0.01
2016-07-14,0.012
2016-07-15,0.0085
2016-07-18,0.01
2016-07-19,0.0067
2016-07-20,0.0045
2016-07-21,0.0054
2016-07-22,0.0057
2016-07-25,0.0047
2016-07-26,0.0047
2016-07-27,0.004
