dt,low
2010-01-04,37.81
2010-01-05,37.51
2010-01-06,37.5
2010-01-07,37.46
2010-01-08,37.35
2010-01-11,37.88
2010-01-12,37.85
2010-01-13,37.75
2010-01-14,37.5
2010-01-15,37.39
2010-01-19,37.33
2010-01-20,37.4
2010-01-21,37.9
2010-01-22,38.25
2010-01-25,38.68
2010-01-26,38.79
2010-01-27,38.78
2010-01-28,38.865
2010-01-29,38.8
2010-02-01,38.6
2010-02-02,38.61
2010-02-03,39.14
2010-02-04,38.45
2010-02-05,38.72
2010-02-08,39.48
2010-02-09,39.61
2010-02-10,39.42
2010-02-11,39.18
2010-02-12,39.16
2010-02-16,39.44
2010-02-17,39.49
2010-02-18,40.06
2010-02-19,40.0
2010-02-22,40.35
2010-02-23,40.25
2010-02-24,40.37
2010-02-25,40.29
2010-02-26,40.87
2010-03-01,40.74
2010-03-02,40.71
2010-03-03,40.76
2010-03-04,40.63
2010-03-05,40.65
2010-03-08,41.29
2010-03-09,41.16
2010-03-10,40.78
2010-03-11,40.83
2010-03-12,41.31
2010-03-15,41.28
2010-03-16,41.6
2010-03-17,41.8
2010-03-18,42.0
2010-03-19,42.34
2010-03-22,41.62
2010-03-23,42.48
2010-03-24,42.36
2010-03-25,42.44
2010-03-26,42.39
2010-03-29,42.47
2010-03-30,42.83
2010-03-31,42.57
2010-04-01,42.6125
2010-04-05,42.81
2010-04-06,42.83
2010-04-07,42.84
2010-04-08,42.98
2010-04-09,43.06
2010-04-12,42.99
2010-04-13,43.18
2010-04-14,43.13
2010-04-15,42.99
2010-04-16,43.08
2010-04-19,42.25
2010-04-20,43.34
2010-04-21,43.755
2010-04-22,43.52
2010-04-23,43.87
2010-04-26,43.81
2010-04-27,42.95
2010-04-28,43.06
2010-04-29,43.35
2010-04-30,42.09
2010-05-03,41.9
2010-05-04,41.54
2010-05-05,41.78
2010-05-06,40.11
2010-05-07,40.01
2010-05-10,41.6
2010-05-11,41.93
2010-05-12,42.51
2010-05-13,42.42
2010-05-14,41.41
2010-05-17,41.29
2010-05-18,40.58
2010-05-19,40.14
2010-05-20,38.88
2010-05-21,38.35
2010-05-24,38.94
2010-05-25,38.11
2010-05-26,38.43
2010-05-27,38.7
2010-05-28,39.11
2010-06-01,38.63
2010-06-02,38.74
2010-06-03,39.58
