dt,low
2010-01-04,60.47
2010-01-05,61.36
2010-01-06,61.75
2010-01-07,63.69
2010-01-08,58.38
2010-01-11,58.8
2010-01-12,59.05
2010-01-13,58.8
2010-01-14,59.03
2010-01-15,59.67
2010-01-19,59.07
2010-01-20,58.31
2010-01-21,59.82
2010-01-22,60.05
2010-01-25,60.42
2010-01-26,60.0
2010-01-27,61.57
2010-01-28,62.3
2010-01-29,60.41
2010-02-01,59.77
2010-02-02,59.8999
2010-02-03,59.99
2010-02-04,60.41
2010-02-05,59.4
2010-02-08,59.27
2010-02-09,58.7
2010-02-10,58.43
2010-02-11,57.32
2010-02-12,57.73
2010-02-16,59.31
2010-02-17,60.1
2010-02-18,60.4
2010-02-19,55.2
2010-02-22,56.92
2010-02-23,57.64
2010-02-24,58.83
2010-02-25,58.44
2010-02-26,59.32
2010-03-01,59.62
2010-03-02,59.21
2010-03-03,58.76
2010-03-04,60.95
2010-03-05,60.98
2010-03-08,62.08
2010-03-09,61.65
2010-03-10,61.85
2010-03-11,62.89
2010-03-12,62.53
2010-03-15,62.6
2010-03-16,63.22
2010-03-17,63.69
2010-03-18,63.91
2010-03-19,63.98
2010-03-22,63.95
2010-03-23,63.75
2010-03-24,62.95
2010-03-25,62.26
2010-03-26,60.8
2010-03-29,62.55
2010-03-30,61.61
2010-03-31,61.15
2010-04-01,61.01
2010-04-05,61.45
2010-04-06,62.08
2010-04-07,63.39
2010-04-08,62.8
2010-04-09,62.31
2010-04-12,62.28
2010-04-13,62.77
2010-04-14,62.9
2010-04-15,63.41
2010-04-16,63.66
2010-04-19,63.81
2010-04-20,63.4
2010-04-21,64.75
2010-04-22,64.34
2010-04-23,62.64
2010-04-26,61.7081
2010-04-27,61.8
2010-04-28,61.26
2010-04-29,57.38
2010-04-30,57.37
2010-05-03,57.08
2010-05-04,55.67
2010-05-05,55.81
2010-05-06,54.0
2010-05-07,54.0
2010-05-10,54.65
2010-05-11,53.63
2010-05-12,54.0
2010-05-13,54.54
2010-05-14,52.2
2010-05-17,52.45
2010-05-18,53.71
2010-05-19,54.1
2010-05-20,55.39
2010-05-21,54.8001
2010-05-24,54.86
2010-05-25,53.385
2010-05-26,52.84
2010-05-27,52.3
2010-05-28,52.8502
2010-06-01,51.36
2010-06-02,51.07
2010-06-03,51.45
2010-06-04,51.39
2010-06-07,49.75
2010-06-08,49.66
