dt,low
2010-01-04,28.6
2010-01-05,28.64
2010-01-06,28.64
2010-01-07,29.2
2010-01-08,29.49
2010-01-11,29.54
2010-01-12,29.180999999999997
2010-01-13,30.37
2010-01-14,30.5
2010-01-15,30.79
2010-01-19,30.79
2010-01-20,29.5
2010-01-21,29.92
2010-01-22,29.5
2010-01-25,29.53
2010-01-26,29.35
2010-01-27,28.8
2010-01-28,28.78
2010-01-29,28.39
2010-02-01,28.51
2010-02-02,28.87
2010-02-03,29.02
2010-02-04,29.0
2010-02-05,29.02
2010-02-08,29.19
2010-02-09,29.24
2010-02-10,29.53
2010-02-11,29.4
2010-02-12,29.84
2010-02-16,30.66
2010-02-17,30.86
2010-02-18,30.9
2010-02-19,31.09
2010-02-22,31.08
2010-02-23,30.88
2010-02-24,31.3
2010-02-25,31.4
2010-02-26,32.9
2010-03-01,33.75
2010-03-02,33.71
2010-03-03,34.38
2010-03-04,34.42
2010-03-05,35.49
2010-03-08,35.83
2010-03-09,35.68
2010-03-10,35.69
2010-03-11,35.09
2010-03-12,35.49
2010-03-15,35.51
2010-03-16,35.81
2010-03-17,36.2
2010-03-18,36.65
2010-03-19,36.21
2010-03-22,35.81
2010-03-23,37.3106
2010-03-24,37.1
2010-03-25,37.33
2010-03-26,37.37
2010-03-29,36.8352
2010-03-30,36.93
2010-03-31,36.35
2010-04-01,36.4
2010-04-05,36.74
2010-04-06,37.2
2010-04-07,37.51
2010-04-08,38.32
2010-04-09,38.4
2010-04-12,38.64
2010-04-13,38.39
2010-04-14,39.04
2010-04-15,39.48
2010-04-16,39.26
2010-04-19,38.2
2010-04-20,39.04
2010-04-21,38.75
2010-04-22,38.77
2010-04-23,40.25
2010-04-26,40.78
2010-04-27,39.4732
2010-04-28,38.54
2010-04-29,38.79
2010-04-30,38.03
2010-05-03,37.93
2010-05-04,36.85
2010-05-05,37.15
2010-05-06,34.0
2010-05-07,34.49
2010-05-10,36.38
2010-05-11,36.13
2010-05-12,36.66
2010-05-13,36.25
2010-05-14,35.86
2010-05-17,35.77
2010-05-18,35.89
2010-05-19,35.38
2010-05-20,34.7101
2010-05-21,34.03
2010-05-24,35.94
2010-05-25,34.89
2010-05-26,35.75
2010-05-27,34.42
2010-05-28,35.0
2010-06-01,34.76
2010-06-02,34.64
2010-06-03,34.76
2010-06-04,34.09
2010-06-07,32.7
2010-06-08,32.16
2010-06-09,32.64
2010-06-10,33.09
2010-06-11,33.23
2010-06-14,33.74
2010-06-15,34.32
2010-06-16,34.57
2010-06-17,34.45
2010-06-18,34.3
2010-06-21,34.05
2010-06-22,31.27
2010-06-23,31.71
2010-06-24,32.06
2010-06-25,31.9
2010-06-28,32.12
2010-06-29,32.13
2010-06-30,32.01
2010-07-01,31.72
2010-07-02,32.48
2010-07-06,32.3142
2010-07-07,32.51
2010-07-08,32.68
2010-07-09,32.86
2010-07-12,33.03
2010-07-13,33.39
2010-07-14,33.59
2010-07-15,33.65
2010-07-16,33.38
2010-07-19,33.17
2010-07-20,33.01
2010-07-21,33.46
2010-07-22,33.98
2010-07-23,34.28
2010-07-26,35.46
2010-07-27,35.47
2010-07-28,34.87
2010-07-29,33.97
2010-07-30,33.55
2010-08-02,34.58
2010-08-03,33.87
2010-08-04,33.79
2010-08-05,31.28
2010-08-06,31.44
2010-08-09,32.09
2010-08-10,31.05
2010-08-11,30.52
2010-08-12,30.02
2010-08-13,30.39
2010-08-16,30.04
2010-08-17,30.54
2010-08-18,30.8
2010-08-19,30.7
2010-08-20,30.81
2010-08-23,31.6606
2010-08-24,30.5
2010-08-25,30.04
2010-08-26,30.3
2010-08-27,30.34
2010-08-30,31.01
2010-08-31,30.65
2010-09-01,31.49
2010-09-02,32.23
2010-09-03,32.87
2010-09-07,32.66
2010-09-08,32.74
2010-09-09,32.73
2010-09-10,32.91
2010-09-13,33.03
2010-09-14,33.19
2010-09-15,33.11
2010-09-16,33.24
2010-09-17,33.17
2010-09-20,33.46
2010-09-21,33.5226
2010-09-22,33.23
2010-09-23,33.2
2010-09-24,33.84
2010-09-27,34.02
2010-09-28,33.67
2010-09-29,33.97
2010-09-30,32.67
2010-10-01,33.28
2010-10-04,32.95
2010-10-05,32.93
2010-10-06,32.5
2010-10-07,32.47
2010-10-08,32.71
2010-10-11,33.0
2010-10-12,33.3115
2010-10-13,32.64
2010-10-14,32.51
2010-10-15,32.74
2010-10-18,33.01
2010-10-19,32.91
2010-10-20,33.14
2010-10-21,33.18
2010-10-22,33.3
2010-10-25,33.54
2010-10-26,33.23
2010-10-27,32.67
2010-10-28,32.33
2010-10-29,31.0
2010-11-01,30.82
2010-11-02,30.9502
2010-11-03,31.01
2010-11-04,28.84
2010-11-05,29.02
2010-11-08,29.7
2010-11-09,29.88
2010-11-10,29.57
2010-11-11,29.78
2010-11-12,29.79
2010-11-15,29.56
2010-11-16,29.58
2010-11-17,29.75
2010-11-18,29.43
2010-11-19,29.26
2010-11-22,29.03
2010-11-23,29.35
2010-11-24,30.41
2010-11-26,30.73
2010-11-29,30.2
2010-11-30,30.13
2010-12-01,30.7
2010-12-02,30.72
2010-12-03,29.18
2010-12-06,28.51
2010-12-07,28.44
2010-12-08,28.26
2010-12-09,28.23
2010-12-10,28.22
2010-12-13,27.9
2010-12-14,27.82
2010-12-15,27.88
2010-12-16,28.27
2010-12-17,28.63
2010-12-20,29.02
2010-12-21,29.12
2010-12-22,29.38
2010-12-23,29.96
2010-12-27,29.82
2010-12-28,29.92
2010-12-29,30.12
2010-12-30,30.39
2010-12-31,30.43
2011-01-03,30.4
2011-01-04,30.32
2011-01-05,30.25
2011-01-06,30.36
2011-01-07,30.26
2011-01-10,30.36
2011-01-11,30.95
2011-01-12,31.1
2011-01-13,31.75
2011-01-14,31.85
2011-01-18,32.0
2011-01-19,32.01
2011-01-20,32.16
2011-01-21,32.33
2011-01-24,32.27
2011-01-25,32.13
2011-01-26,32.0
2011-01-27,32.28
2011-01-28,31.69
2011-01-31,31.59
2011-02-01,31.6
2011-02-02,31.57
2011-02-03,31.7
2011-02-04,32.75
2011-02-07,33.8
2011-02-08,37.88
2011-02-09,38.75
2011-02-10,39.62
2011-02-11,40.69
2011-02-14,40.91
2011-02-15,40.74
2011-02-16,40.69
2011-02-17,40.66
2011-02-18,40.73
2011-02-22,40.75
2011-02-23,39.41
2011-02-24,39.46
2011-02-25,39.74
2011-02-28,40.34
2011-03-01,40.59
2011-03-02,39.77
2011-03-03,40.32
2011-03-04,40.8
2011-03-07,40.98
2011-03-08,41.11
2011-03-09,41.63
2011-03-10,41.4
2011-03-11,42.4
2011-03-14,41.98
2011-03-15,41.46
2011-03-16,41.67
2011-03-17,41.66
2011-03-18,41.11
2011-03-21,41.3801
2011-03-22,41.27
2011-03-23,41.95
2011-03-24,42.95
2011-03-25,43.21
2011-03-28,42.96
2011-03-29,42.58
2011-03-30,43.11
2011-03-31,43.0
2011-04-01,43.1701
2011-04-04,43.48
2011-04-05,43.65
2011-04-06,43.56
2011-04-07,43.48
2011-04-08,43.42
2011-04-11,43.44
2011-04-12,42.99
2011-04-13,42.81
2011-04-14,43.135
2011-04-15,43.38
2011-04-18,42.62
2011-04-19,41.64
2011-04-20,41.91
2011-04-21,41.47
2011-04-25,40.88
2011-04-26,40.72
2011-04-27,40.64
2011-04-28,40.57
2011-04-29,40.7801
2011-05-02,40.434
2011-05-03,40.86
2011-05-04,40.08
2011-05-05,38.83
2011-05-06,38.93
2011-05-09,38.77
2011-05-10,39.01
2011-05-11,38.68
2011-05-12,37.21
2011-05-13,38.12
2011-05-16,38.0
2011-05-17,37.82
2011-05-18,37.27
2011-05-19,33.3
2011-05-20,33.35
2011-05-23,33.26
2011-05-24,33.0
2011-05-25,32.27
2011-05-26,30.83
2011-05-27,31.42
2011-05-31,32.91
2011-06-01,32.96
2011-06-02,32.53
2011-06-03,32.13
2011-06-06,31.32
2011-06-07,31.61
2011-06-08,31.58
2011-06-09,32.04
2011-06-10,32.16
2011-06-13,31.97
2011-06-14,32.38
2011-06-15,32.02
2011-06-16,31.81
2011-06-17,32.21
2011-06-20,32.22
2011-06-21,32.72
2011-06-22,32.73
2011-06-23,32.37
2011-06-24,32.32
2011-06-27,32.12
2011-06-28,32.62
2011-06-29,32.74
2011-06-30,32.55
2011-07-01,33.11
2011-07-05,33.105
2011-07-06,33.0802
2011-07-07,33.54
2011-07-08,34.08
2011-07-11,33.73
2011-07-12,33.69
