dt,low
2010-01-04,3296.2
2010-01-05,3307.5
2010-01-06,3309.73
2010-01-07,3307.12
2010-01-08,3315.1
2010-01-11,3308.0
2010-01-12,3299.8
2010-01-13,3299.68
2010-01-14,3292.5
2010-01-15,3236.04
2010-01-19,3262.25
2010-01-20,3340.0
2010-01-21,70.51
2010-01-22,69.36
2010-01-25,68.22
2010-01-26,67.87
2010-01-27,69.91
2010-01-28,71.79
2010-01-29,74.42
2010-02-01,74.62
2010-02-02,74.91
2010-02-03,74.15
2010-02-04,72.05
2010-02-05,71.61
2010-02-08,72.93
2010-02-09,73.9
2010-02-10,74.25
2010-02-11,74.15
2010-02-12,74.57
2010-02-16,75.65
2010-02-17,75.44
2010-02-18,75.86
2010-02-19,76.5
2010-02-22,78.32
2010-02-23,78.98
2010-02-24,78.81
2010-02-25,78.63
2010-02-26,79.1
2010-03-01,79.14
2010-03-02,80.75
2010-03-03,80.75
2010-03-04,82.42
2010-03-05,82.82
2010-03-08,82.65
2010-03-09,82.02
2010-03-10,81.65
2010-03-11,81.41
2010-03-12,81.69
2010-03-15,81.8195
2010-03-16,81.74
2010-03-17,82.01
2010-03-18,82.0
2010-03-19,81.8
2010-03-22,81.2
2010-03-23,81.7
2010-03-24,81.0
2010-03-25,81.3601
2010-03-26,80.95
2010-03-29,81.53
2010-03-30,81.43
2010-03-31,80.81
2010-04-01,81.03
2010-04-05,81.0
2010-04-06,80.52
2010-04-07,79.51
2010-04-08,79.11
2010-04-09,79.51
2010-04-12,80.131
2010-04-13,79.7
2010-04-14,80.27
2010-04-15,79.8
2010-04-16,75.52
2010-04-19,77.58
2010-04-20,79.32
2010-04-21,78.11
2010-04-22,77.35
2010-04-23,77.95
2010-04-26,78.95
2010-04-27,76.57
2010-04-28,76.9
2010-04-29,77.64
2010-04-30,77.0
2010-05-03,77.46
2010-05-04,76.29
2010-05-05,75.51
2010-05-06,71.5
2010-05-07,72.73
2010-05-10,76.63
2010-05-11,76.86
2010-05-12,77.21
2010-05-13,77.17
2010-05-14,75.31
2010-05-17,75.02
2010-05-18,75.25
2010-05-19,74.26
2010-05-20,72.32
2010-05-21,70.0
2010-05-24,70.7
2010-05-25,68.48
2010-05-26,70.16
2010-05-27,71.09
2010-05-28,70.64
2010-06-01,69.95
2010-06-02,70.17
2010-06-03,71.3
2010-06-04,69.78
2010-06-07,69.8
2010-06-08,69.61
2010-06-09,71.36
2010-06-10,72.3
2010-06-11,73.25
2010-06-14,74.59
2010-06-15,74.8
2010-06-16,76.49
2010-06-17,77.56
2010-06-18,79.16
2010-06-21,79.15
2010-06-22,79.11
2010-06-23,77.81
2010-06-24,78.0
2010-06-25,79.25
2010-06-28,80.89
2010-06-29,79.55
2010-06-30,79.38
2010-07-01,77.93
2010-07-02,76.67
2010-07-06,76.72
2010-07-07,77.16
2010-07-08,78.73
2010-07-09,78.89
2010-07-12,78.66
2010-07-13,79.1
2010-07-14,79.05
2010-07-15,78.47
2010-07-16,77.0
2010-07-19,76.4375
2010-07-20,76.3
2010-07-21,76.21
2010-07-22,77.25
2010-07-23,77.82
2010-07-26,78.28
2010-07-27,78.3
2010-07-28,77.55
2010-07-29,77.25
2010-07-30,77.29
2010-08-02,78.56
2010-08-03,79.57
2010-08-04,79.8
2010-08-05,79.895
2010-08-06,78.81
2010-08-09,79.84
2010-08-10,79.08
2010-08-11,77.41
2010-08-12,76.64
2010-08-13,76.74
2010-08-16,76.04
2010-08-17,77.0
2010-08-18,77.44
2010-08-19,77.36
2010-08-20,76.85
2010-08-23,77.21
2010-08-24,76.32
2010-08-25,75.62
2010-08-26,76.0
2010-08-27,76.67
2010-08-30,77.87
2010-08-31,77.48
2010-09-01,78.99
2010-09-02,80.22
2010-09-03,80.44
2010-09-07,80.71
2010-09-08,81.09
2010-09-09,81.65
2010-09-10,82.06
2010-09-13,82.74
2010-09-14,82.9
2010-09-15,82.34
2010-09-16,82.93
2010-09-17,82.86
2010-09-20,82.82
2010-09-21,82.82
2010-09-22,82.36
2010-09-23,80.98
2010-09-24,82.0
2010-09-27,82.8
2010-09-28,82.11
2010-09-29,82.2
2010-09-30,82.51
2010-10-01,82.33
2010-10-04,81.48
2010-10-05,81.75
2010-10-06,82.82
2010-10-07,82.58
2010-10-08,82.63
2010-10-11,82.58
2010-10-12,82.3
2010-10-13,83.21
2010-10-14,83.1904
2010-10-15,82.97
2010-10-18,83.11
2010-10-19,82.01
2010-10-20,82.25
2010-10-21,82.5
2010-10-22,82.58
2010-10-25,83.28
2010-10-26,81.25
2010-10-27,80.13
2010-10-28,80.07
2010-10-29,78.72
2010-11-01,79.58
2010-11-02,80.0
2010-11-03,80.24
2010-11-04,81.69
2010-11-05,82.46
2010-11-08,81.89
2010-11-09,80.6
2010-11-10,80.64
2010-11-11,80.9
2010-11-12,80.16
2010-11-15,80.07
2010-11-16,79.65
2010-11-17,79.52
2010-11-18,80.03
2010-11-19,80.3
2010-11-22,79.7
2010-11-23,79.02
2010-11-24,79.43
2010-11-26,79.39
2010-11-29,78.82
2010-11-30,78.99
2010-12-01,80.25
2010-12-02,80.76
2010-12-03,80.2
2010-12-06,80.21
2010-12-07,79.79
2010-12-08,79.5
2010-12-09,79.85
2010-12-10,79.84
2010-12-13,80.16
2010-12-14,79.91
2010-12-15,79.48
2010-12-16,79.2
2010-12-17,79.32
2010-12-20,79.3
2010-12-21,79.59
2010-12-22,79.8
2010-12-23,79.67
2010-12-27,79.58
2010-12-28,79.87
2010-12-29,79.75
2010-12-30,79.29
2010-12-31,79.2
2011-01-03,80.22
2011-01-04,79.72
2011-01-05,79.8
2011-01-06,80.37
2011-01-07,79.5
2011-01-10,79.14
2011-01-11,79.21
2011-01-12,79.71
2011-01-13,80.29
2011-01-14,80.58
2011-01-18,81.5
2011-01-19,80.5
2011-01-20,80.5
2011-01-21,80.22
2011-01-24,81.29
2011-01-25,82.17
2011-01-26,82.91
2011-01-27,82.65
2011-01-28,81.47
2011-01-31,81.52
2011-02-01,82.06
2011-02-02,82.4
2011-02-03,82.21
2011-02-04,82.48
2011-02-07,83.28
2011-02-08,83.71
2011-02-09,83.35
2011-02-10,83.4
2011-02-11,83.67
2011-02-14,84.84
2011-02-15,84.52
2011-02-16,84.61
2011-02-17,84.6
2011-02-18,84.71
2011-02-22,83.01
2011-02-23,82.1
2011-02-24,82.47
2011-02-25,83.41
2011-02-28,85.55
2011-03-01,85.13
2011-03-02,84.62
2011-03-03,85.53
2011-03-04,85.01
2011-03-07,85.0
2011-03-08,85.25
2011-03-09,85.43
2011-03-10,85.0
2011-03-11,84.0
2011-03-14,83.8
2011-03-15,81.66
2011-03-16,80.91
2011-03-17,81.611
2011-03-18,82.92
2011-03-21,83.75
2011-03-22,84.9
2011-03-23,83.85
2011-03-24,84.73
2011-03-25,84.82
2011-03-28,84.34
2011-03-29,83.75
2011-03-30,84.715
2011-03-31,83.41
2011-04-01,83.27
2011-04-04,82.63
2011-04-05,81.85
2011-04-06,81.62
2011-04-07,81.51
2011-04-08,81.59
2011-04-11,81.8
2011-04-12,81.5
2011-04-13,80.76
2011-04-14,80.39
2011-04-15,80.75
2011-04-18,79.78
2011-04-19,80.0
2011-04-20,81.11
2011-04-21,81.69
2011-04-25,81.92
2011-04-26,82.36
2011-04-27,82.32
2011-04-28,82.62
2011-04-29,83.05
2011-05-02,81.52
2011-05-03,81.42
2011-05-04,81.26
2011-05-05,79.5
2011-05-06,80.13
2011-05-09,80.12
2011-05-10,80.6
2011-05-11,79.94
2011-05-12,79.75
2011-05-13,79.54
2011-05-16,79.11
2011-05-17,78.57
2011-05-18,78.9
2011-05-19,78.91
2011-05-20,78.64
2011-05-23,77.62
2011-05-24,77.6
2011-05-25,77.23
