dt,low
2010-01-04,35.18
2010-01-05,35.99
2010-01-06,36.54
2010-01-07,36.0
2010-01-08,37.51
2010-01-11,37.13
2010-01-12,36.14
2010-01-13,35.63
2010-01-14,35.87
2010-01-15,35.82
2010-01-19,37.01
2010-01-20,37.9301
2010-01-21,36.95
2010-01-22,36.53
2010-01-25,36.3
2010-01-26,33.98
2010-01-27,33.75
2010-01-28,34.48
2010-01-29,33.71
2010-02-01,33.12
2010-02-02,33.64
2010-02-03,34.0
2010-02-04,33.09
2010-02-05,32.7
2010-02-08,32.7299
2010-02-09,32.68
2010-02-10,32.57
2010-02-11,32.59
2010-02-12,32.27
2010-02-16,32.0
2010-02-17,32.63
2010-02-18,32.62
2010-02-19,32.5
2010-02-22,32.64
2010-02-23,32.62
2010-02-24,32.54
2010-02-25,32.99
2010-02-26,33.91
2010-03-01,34.03
2010-03-02,34.29
2010-03-03,34.21
2010-03-04,33.58
2010-03-05,33.98
2010-03-08,34.37
2010-03-09,33.78
2010-03-10,33.74
2010-03-11,33.88
2010-03-12,34.29
2010-03-15,33.45
2010-03-16,33.93
2010-03-17,34.421
2010-03-18,34.0
2010-03-19,35.99
2010-03-22,36.81
2010-03-23,36.67
2010-03-24,36.25
2010-03-25,36.03
2010-03-26,35.6
2010-03-29,35.78
2010-03-30,36.17
2010-03-31,36.06
2010-04-01,36.64
2010-04-05,36.97
2010-04-06,36.77
2010-04-07,35.89
2010-04-08,35.5
2010-04-09,36.15
2010-04-12,36.31
2010-04-13,35.22
2010-04-14,34.64
2010-04-15,34.06
2010-04-16,34.0
2010-04-19,34.28
2010-04-20,34.37
2010-04-21,33.81
2010-04-22,33.14
2010-04-23,33.28
2010-04-26,32.85
2010-04-27,32.17
2010-04-28,32.22
2010-04-29,33.18
2010-04-30,32.0
2010-05-03,31.9
2010-05-04,31.15
2010-05-05,30.78
2010-05-06,30.78
2010-05-07,30.97
2010-05-10,32.1
2010-05-11,32.17
2010-05-12,33.07
2010-05-13,33.5
2010-05-14,32.82
2010-05-17,32.87
2010-05-18,33.63
2010-05-19,33.44
2010-05-20,32.33
2010-05-21,31.88
2010-05-24,32.26
2010-05-25,31.22
2010-05-26,32.34
2010-05-27,32.72
2010-05-28,33.25
2010-06-01,32.82
2010-06-02,32.95
2010-06-03,33.7
2010-06-04,33.97
2010-06-07,33.22
2010-06-08,33.01
2010-06-09,33.13
2010-06-10,33.38
2010-06-11,33.54
2010-06-14,34.53
2010-06-15,34.74
2010-06-16,34.75
2010-06-17,34.95
2010-06-18,35.07
2010-06-21,35.08
2010-06-22,34.11
2010-06-23,33.72
2010-06-24,33.28
2010-06-25,32.93
2010-06-28,33.09
2010-06-29,31.65
2010-06-30,30.95
2010-07-01,29.12
2010-07-02,29.58
2010-07-06,29.83
2010-07-07,30.17
2010-07-08,30.625
2010-07-09,30.88
2010-07-12,30.89
2010-07-13,31.24
2010-07-14,31.06
2010-07-15,30.865
2010-07-16,30.3
2010-07-19,30.46
2010-07-20,30.42
2010-07-21,30.51
2010-07-22,30.9
2010-07-23,30.82
2010-07-26,30.95
2010-07-27,31.46
2010-07-28,30.23
2010-07-29,30.23
2010-07-30,30.06
2010-08-02,30.99
2010-08-03,31.32
2010-08-04,31.72
2010-08-05,32.66
2010-08-06,33.52
2010-08-09,34.38
2010-08-10,34.14
2010-08-11,32.84
2010-08-12,32.78
2010-08-13,32.94
2010-08-16,32.55
2010-08-17,33.355
2010-08-18,33.32
2010-08-19,32.61
2010-08-20,32.1
2010-08-23,32.48
2010-08-24,31.77
2010-08-25,31.39
2010-08-26,31.905
2010-08-27,31.57
2010-08-30,31.91
2010-08-31,31.5
2010-09-01,32.39
2010-09-02,32.74
2010-09-03,33.28
2010-09-07,33.16
2010-09-08,33.35
2010-09-09,33.9
2010-09-10,34.195
2010-09-13,34.79
2010-09-14,34.91
2010-09-15,34.4
2010-09-16,34.25
2010-09-17,34.33
2010-09-20,34.43
2010-09-21,34.8
2010-09-22,35.08
2010-09-23,35.015
2010-09-24,35.57
2010-09-27,35.63
2010-09-28,35.34
2010-09-29,34.95
2010-09-30,35.4
2010-10-01,35.37
2010-10-04,34.95
