dt,low
2010-01-04,78.16
2010-01-05,78.72
2010-01-06,79.19
2010-01-07,78.97
2010-01-08,78.89
2010-01-11,80.06
2010-01-12,79.47
2010-01-13,79.09
2010-01-14,79.15
2010-01-15,78.28
2010-01-19,78.57
2010-01-20,77.65
2010-01-21,76.06
2010-01-22,74.43
2010-01-25,74.09
2010-01-26,73.7
2010-01-27,73.13
2010-01-28,72.32
2010-01-29,71.75
2010-02-01,72.14
2010-02-02,73.0
2010-02-03,73.05
2010-02-04,71.06
2010-02-05,69.55
2010-02-08,70.14
2010-02-09,70.82
2010-02-10,70.0
2010-02-11,70.31
2010-02-12,70.17
2010-02-16,71.93
2010-02-17,72.46
2010-02-18,72.34
2010-02-19,73.21
2010-02-22,72.79
2010-02-23,71.77
2010-02-24,71.61
2010-02-25,70.78
2010-02-26,71.82
2010-03-01,72.39
2010-03-02,73.01
2010-03-03,73.06
2010-03-04,72.71
2010-03-05,73.51
2010-03-08,74.15
2010-03-09,74.0
2010-03-10,73.25
2010-03-11,73.55
2010-03-12,73.51
2010-03-15,72.85
2010-03-16,73.41
2010-03-17,74.16
2010-03-18,74.24
2010-03-19,73.89
2010-03-22,74.0
2010-03-23,74.03
2010-03-24,73.78
2010-03-25,73.69
2010-03-26,73.82
2010-03-29,74.49
2010-03-30,74.96
2010-03-31,75.08
2010-04-01,76.34
2010-04-05,76.73
2010-04-06,77.2
2010-04-07,76.96
2010-04-08,76.63
2010-04-09,78.0
2010-04-12,79.37
2010-04-13,79.27
2010-04-14,80.03
2010-04-15,80.51
2010-04-16,80.28
2010-04-19,80.05
2010-04-20,81.66
2010-04-21,81.24
2010-04-22,80.64
2010-04-23,80.95
2010-04-26,82.34
2010-04-27,80.07
2010-04-28,79.85
2010-04-29,81.19
2010-04-30,81.29
2010-05-03,81.33
2010-05-04,79.63
2010-05-05,79.45
2010-05-06,71.5
2010-05-07,76.41
2010-05-10,78.53
2010-05-11,79.49
2010-05-12,79.36
2010-05-13,78.75
2010-05-14,76.98
2010-05-17,75.95
2010-05-18,76.39
2010-05-19,75.54
2010-05-20,73.53
2010-05-21,72.0
2010-05-24,73.31
2010-05-25,70.8
2010-05-26,71.44
2010-05-27,72.3
2010-05-28,73.04
2010-06-01,72.29
2010-06-02,72.12
2010-06-03,73.14
2010-06-04,70.8
2010-06-07,71.19
2010-06-08,69.82
2010-06-09,70.6
2010-06-10,72.69
2010-06-11,72.79
2010-06-14,74.16
2010-06-15,74.18
2010-06-16,74.45
2010-06-17,74.2
2010-06-18,74.9
2010-06-21,75.29
2010-06-22,73.88
2010-06-23,72.15
2010-06-24,70.7
2010-06-25,69.88
2010-06-28,69.63
2010-06-29,68.0
2010-06-30,67.8
2010-07-01,66.83
2010-07-02,66.87
2010-07-06,66.86
2010-07-07,67.49
2010-07-08,69.21
2010-07-09,70.05
2010-07-12,71.35
2010-07-13,72.5
2010-07-14,72.35
2010-07-15,72.16
2010-07-16,71.25
2010-07-19,71.49
2010-07-20,70.96
2010-07-21,71.57
2010-07-22,72.58
2010-07-23,72.67
2010-07-26,73.41
2010-07-27,74.5
2010-07-28,75.01
2010-07-29,75.28
2010-07-30,74.89
