dt,low
2010-01-04,43.44
2010-01-05,42.745
2010-01-06,43.02
2010-01-07,42.61
2010-01-08,42.45
2010-01-11,43.04
2010-01-12,43.31
2010-01-13,43.79
2010-01-14,43.83
2010-01-15,43.43
2010-01-19,43.94
2010-01-20,43.34
2010-01-21,42.68
2010-01-22,42.01
2010-01-25,41.906000000000006
2010-01-26,42.41
2010-01-27,42.25
2010-01-28,42.25
2010-01-29,42.03
2010-02-01,41.82
2010-02-02,42.0802
2010-02-03,42.51
2010-02-04,41.75
2010-02-05,41.25
2010-02-08,41.43
2010-02-09,41.585
2010-02-10,41.63
2010-02-11,41.31
2010-02-12,41.6
2010-02-16,42.23
2010-02-17,42.75
2010-02-18,42.72
2010-02-19,43.43
2010-02-22,44.472
2010-02-23,43.885
2010-02-24,43.57
2010-02-25,43.19
2010-02-26,43.345
2010-03-01,43.66
2010-03-02,44.46
2010-03-03,44.55
2010-03-04,44.32
2010-03-05,44.675
2010-03-08,44.78
2010-03-09,44.51
2010-03-10,44.38
2010-03-11,44.57
2010-03-12,44.52
2010-03-15,44.72
2010-03-16,44.97
2010-03-17,45.43
2010-03-18,45.03
2010-03-19,44.76
2010-03-22,44.74
2010-03-23,44.77
2010-03-24,44.97
2010-03-25,44.63
2010-03-26,44.41
2010-03-29,44.8
2010-03-30,45.12
2010-03-31,44.42
2010-04-01,44.7
2010-04-05,45.28
2010-04-06,45.01
2010-04-07,45.87
2010-04-08,45.7
2010-04-09,45.51
2010-04-12,46.14
2010-04-13,45.7
2010-04-14,45.58
2010-04-15,45.62
2010-04-16,45.2
2010-04-19,45.49
2010-04-20,45.96
2010-04-21,46.185
2010-04-22,46.44
2010-04-23,47.01
2010-04-26,47.51
2010-04-27,46.72
2010-04-28,47.01
2010-04-29,48.01
2010-04-30,48.0
2010-05-03,48.14
2010-05-04,47.93
2010-05-05,47.41
2010-05-06,43.0
2010-05-07,45.49
2010-05-10,46.65
2010-05-11,46.83
2010-05-12,47.47
2010-05-13,47.6
2010-05-14,47.06
2010-05-17,46.76
2010-05-18,47.1
2010-05-19,46.15
2010-05-20,45.0
2010-05-21,44.19
2010-05-24,44.76
2010-05-25,43.29
2010-05-26,44.42
2010-05-27,44.87
2010-05-28,45.4
2010-06-01,44.91
2010-06-02,44.71
2010-06-03,45.37
2010-06-04,44.25
2010-06-07,43.99
2010-06-08,44.16
2010-06-09,44.92
2010-06-10,45.57
2010-06-11,45.37
2010-06-14,46.41
2010-06-15,46.78
2010-06-16,47.54
2010-06-17,47.44
2010-06-18,48.09
2010-06-21,47.77
2010-06-22,46.85
2010-06-23,46.3
2010-06-24,46.31
2010-06-25,45.9361
2010-06-28,46.19
2010-06-29,45.45
2010-06-30,45.36
2010-07-01,44.93
2010-07-02,45.06
2010-07-06,45.49
2010-07-07,45.86
2010-07-08,47.22
2010-07-09,47.09
2010-07-12,47.31
2010-07-13,47.77
2010-07-14,47.48
2010-07-15,47.61
2010-07-16,47.04
2010-07-19,46.87
2010-07-20,46.61
2010-07-21,46.53
2010-07-22,47.02
2010-07-23,47.34
2010-07-26,47.91
2010-07-27,48.27
2010-07-28,48.45
2010-07-29,47.84
2010-07-30,45.6
2010-08-02,46.0
2010-08-03,46.13
2010-08-04,45.99
2010-08-05,46.17
2010-08-06,46.21
2010-08-09,46.9
2010-08-10,46.63
2010-08-11,46.17
2010-08-12,45.17
2010-08-13,45.8901
2010-08-16,45.599
2010-08-17,46.46
2010-08-18,46.08
2010-08-19,45.5
2010-08-20,45.29
2010-08-23,45.94
2010-08-24,45.64
2010-08-25,45.51
2010-08-26,46.01
2010-08-27,45.96
2010-08-30,46.57
2010-08-31,46.15
2010-09-01,47.09
2010-09-02,47.17
2010-09-03,47.2
2010-09-07,46.9
2010-09-08,46.78
2010-09-09,46.98
2010-09-10,46.67
2010-09-13,47.38
2010-09-14,47.61
2010-09-15,47.89
2010-09-16,46.51
2010-09-17,46.23
2010-09-20,46.27
2010-09-21,45.76
2010-09-22,45.8
2010-09-23,45.41
2010-09-24,45.68
2010-09-27,45.58
2010-09-28,45.5
2010-09-29,45.74
2010-09-30,45.771
2010-10-01,45.92
2010-10-04,46.16
2010-10-05,46.47
2010-10-06,46.69
2010-10-07,46.72
2010-10-08,46.836000000000006
2010-10-11,47.19
2010-10-12,46.84
2010-10-13,47.02
2010-10-14,46.72
2010-10-15,46.79
2010-10-18,47.03
2010-10-19,46.7
2010-10-20,46.8
2010-10-21,46.71
2010-10-22,46.5962
2010-10-25,46.78
2010-10-26,46.58
2010-10-27,46.48
2010-10-28,46.83
2010-10-29,46.51
2010-11-01,45.38
2010-11-02,45.89
2010-11-03,45.97
2010-11-04,46.59
2010-11-05,46.755
2010-11-08,46.01
2010-11-09,46.12
2010-11-10,45.84
2010-11-11,45.76
2010-11-12,45.51
2010-11-15,45.72
2010-11-16,44.79
2010-11-17,44.9
2010-11-18,45.0
2010-11-19,45.26
2010-11-22,45.39
2010-11-23,45.04
2010-11-24,45.14
2010-11-26,44.82
2010-11-29,44.27
2010-11-30,44.35
2010-12-01,44.94
2010-12-02,45.01
2010-12-03,45.09
2010-12-06,45.3
2010-12-07,45.36
2010-12-08,45.21
2010-12-09,45.28
2010-12-10,45.75
2010-12-13,45.76
2010-12-14,46.11
2010-12-15,45.36
2010-12-16,45.24
2010-12-17,44.94
2010-12-20,45.29
2010-12-21,45.44
2010-12-22,44.94
2010-12-23,45.32
2010-12-27,45.06
2010-12-28,44.95
2010-12-29,45.04
2010-12-30,45.14
2010-12-31,45.18
2011-01-03,45.32
2011-01-04,45.34
2011-01-05,45.59
2011-01-06,45.165
2011-01-07,45.61
2011-01-10,45.82
2011-01-11,46.16
2011-01-12,46.49
2011-01-13,46.52
2011-01-14,46.58
2011-01-18,46.61
2011-01-19,46.46
2011-01-20,46.53
2011-01-21,46.51
2011-01-24,46.505
2011-01-25,46.58
2011-01-26,46.49
2011-01-27,46.49
2011-01-28,46.145
2011-01-31,46.23
2011-02-01,46.34
2011-02-02,46.14
2011-02-03,46.02
2011-02-04,46.06
2011-02-07,46.21
2011-02-08,46.32
2011-02-09,46.29
2011-02-10,46.68
2011-02-11,46.581
2011-02-14,46.4
2011-02-15,46.435
2011-02-16,46.55
2011-02-17,46.6
2011-02-18,46.85
2011-02-22,46.4
2011-02-23,46.46
2011-02-24,46.485
2011-02-25,46.52
2011-02-28,46.86
2011-03-01,46.57
2011-03-02,46.43
2011-03-03,46.97
2011-03-04,47.16
2011-03-07,47.78
2011-03-08,48.14
2011-03-09,48.5
2011-03-10,48.51
2011-03-11,48.49
