dt,low
2016-09-07,45.02
2016-09-08,48.41
2016-09-09,48.1305
2016-09-12,47.71
2016-09-13,48.01
2016-09-14,48.0
2016-09-15,48.02
2016-09-16,48.115
2016-09-19,48.16
2016-09-20,48.17
2016-09-21,48.27
2016-09-22,47.91
2016-09-23,47.82
2016-09-26,47.68
2016-09-27,47.645
2016-09-28,47.53
2016-09-29,47.51
2016-09-30,47.56
2016-10-03,47.59
2016-10-04,47.62
2016-10-05,47.5
2016-10-06,47.97
2016-10-07,47.94
2016-10-10,47.35
2016-10-11,46.96
2016-10-12,46.76
2016-10-13,46.635
2016-10-14,46.99
2016-10-17,47.03
2016-10-18,47.0
2016-10-19,47.52
2016-10-20,47.43
2016-10-21,47.08
2016-10-24,47.47
2016-10-25,46.83
2016-10-26,46.64
2016-10-27,48.04
2016-10-28,47.99
2016-10-31,48.815
2016-11-01,48.25
2016-11-02,48.19
2016-11-03,48.48
2016-11-04,48.5
2016-11-07,48.89
2016-11-08,49.48
2016-11-09,48.46
2016-11-10,48.59
2016-11-11,48.83
2016-11-14,48.37
2016-11-15,48.82
2016-11-16,49.72
2016-11-17,50.5
2016-11-18,51.7
2016-11-21,51.9
2016-11-22,51.55
2016-11-23,51.38
2016-11-25,51.35
2016-11-28,51.8
2016-11-29,52.02
2016-11-30,53.18
2016-12-01,51.26
2016-12-02,51.02
2016-12-05,52.53
2016-12-06,52.71
2016-12-07,52.87
2016-12-08,53.3001
2016-12-09,53.58
2016-12-12,53.075
2016-12-13,53.69
2016-12-14,53.53
2016-12-15,54.37
2016-12-16,55.77
2016-12-19,55.83
2016-12-20,56.5
2016-12-21,56.46
2016-12-22,55.47
2016-12-23,55.5
2016-12-27,55.91
2016-12-28,55.0701
2016-12-29,54.64
2016-12-30,54.75
2017-01-03,54.135
2017-01-04,54.72
2017-01-05,54.8
2017-01-06,55.36
2017-01-09,55.65
2017-01-10,56.33
2017-01-11,57.03
2017-01-12,56.7801
2017-01-13,57.5
2017-01-17,57.66
2017-01-18,57.64
2017-01-19,58.09
2017-01-20,58.7601
2017-01-23,57.64
2017-01-24,58.38
2017-01-25,59.54
2017-01-26,59.495
2017-01-27,61.2
2017-01-30,61.67
2017-01-31,61.9
2017-02-01,62.2
2017-02-02,62.535
2017-02-03,63.55
2017-02-06,64.0
2017-02-07,64.45
2017-02-08,64.5
2017-02-09,64.61
2017-02-10,64.63
2017-02-13,64.78
2017-02-14,64.57
2017-02-15,64.68
2017-02-16,64.7
2017-02-17,64.57
2017-02-21,64.55
2017-02-22,64.65
2017-02-23,63.9
2017-02-24,63.5
2017-02-27,63.75
2017-02-28,63.3
2017-03-01,63.35
2017-03-02,63.4
2017-03-03,62.75
2017-03-06,62.4554
2017-03-07,62.68
2017-03-08,62.95
2017-03-09,62.69
2017-03-10,62.91
2017-03-13,63.13
2017-03-14,62.84
2017-03-15,63.29
2017-03-16,63.36
2017-03-17,63.98
2017-03-20,63.66
2017-03-21,62.24
2017-03-22,62.34
2017-03-23,62.53
2017-03-24,62.94
2017-03-27,62.33
2017-03-28,63.21
2017-03-29,63.265
2017-03-30,63.7
2017-03-31,63.73
2017-04-03,63.54
2017-04-04,63.69
2017-04-05,63.84
2017-04-06,63.85
2017-04-07,64.2
2017-04-10,64.65
2017-04-11,64.34
2017-04-12,63.72
2017-04-13,63.71
2017-04-17,63.96
2017-04-18,63.76
2017-04-19,64.41
2017-04-20,64.13
2017-04-21,64.22
2017-04-24,64.92
2017-04-25,66.26
2017-04-26,66.35
2017-04-27,67.06
2017-04-28,66.63
2017-05-01,67.04
2017-05-02,66.69
2017-05-03,66.0
2017-05-04,65.88
2017-05-05,66.27
2017-05-08,67.06
2017-05-09,67.05
2017-05-10,66.57
2017-05-11,65.9
2017-05-12,64.96
2017-05-15,64.86
2017-05-16,66.38
2017-05-17,64.86
2017-05-18,63.961000000000006
2017-05-19,64.79
2017-05-22,65.265
2017-05-23,67.0
2017-05-24,67.37
2017-05-25,68.18
2017-05-26,68.31
2017-05-30,68.56
2017-05-31,67.78
2017-06-01,68.72
2017-06-02,66.66
2017-06-05,66.42
2017-06-06,66.26
2017-06-07,67.0
2017-06-08,63.7
2017-06-09,61.86
2017-06-12,61.57
2017-06-13,61.93
2017-06-14,61.68
2017-06-15,60.77
2017-06-16,61.85
2017-06-19,62.3
2017-06-20,62.12
2017-06-21,62.68
2017-06-22,63.32
2017-06-23,63.33
2017-06-26,63.3001
2017-06-27,61.94
2017-06-28,61.93
2017-06-29,60.27
2017-06-30,60.79
2017-07-03,60.36
2017-07-05,59.925
2017-07-06,60.17
2017-07-07,60.86
2017-07-10,61.05
2017-07-11,61.12
2017-07-12,61.3
2017-07-13,61.1
2017-07-14,61.1
2017-07-17,60.98
2017-07-18,62.38
2017-07-19,62.6978
2017-07-20,63.5201
2017-07-21,63.37
2017-07-24,63.41
2017-07-25,63.3
2017-07-26,63.71
2017-07-27,63.01
2017-07-28,63.04
2017-07-31,63.895
2017-08-01,63.96
2017-08-02,63.43
2017-08-03,63.46
2017-08-04,64.06
2017-08-07,63.96
2017-08-08,63.925
2017-08-09,63.6
2017-08-10,63.114
2017-08-11,62.73
2017-08-14,64.9
2017-08-15,66.18
2017-08-16,66.17
2017-08-17,66.38
2017-08-18,65.93
2017-08-21,66.08
2017-08-22,67.83
2017-08-23,68.14
2017-08-24,69.23
2017-08-25,70.85
2017-08-28,71.49
2017-08-29,71.39
2017-08-30,72.99
2017-08-31,74.29
2017-09-01,74.45
2017-09-05,73.91
2017-09-06,74.66
2017-09-07,74.28
2017-09-08,74.2
2017-09-11,74.86
2017-09-12,75.28
2017-09-13,76.14
2017-09-14,76.58
2017-09-15,76.84
2017-09-18,76.59
2017-09-19,76.39
2017-09-20,76.53
2017-09-21,75.69800000000001
2017-09-22,76.44
2017-09-25,75.58
2017-09-26,75.93
2017-09-27,76.51
2017-09-28,76.57
2017-09-29,77.06
2017-10-02,77.23
2017-10-03,77.895
2017-10-04,77.72
2017-10-05,78.25
2017-10-06,78.34
2017-10-09,79.0
2017-10-10,78.87
2017-10-11,78.87
2017-10-12,79.44
2017-10-13,80.3
2017-10-16,80.69
2017-10-17,80.81
2017-10-18,81.1
2017-10-19,80.92
2017-10-20,81.82
2017-10-23,82.4
2017-10-24,82.53
2017-10-25,82.11
2017-10-26,82.6201
2017-10-27,82.86
2017-10-30,82.91
2017-10-31,82.42
2017-11-01,82.04
2017-11-02,81.22
2017-11-03,80.46
2017-11-06,80.9
2017-11-07,81.73
2017-11-08,81.87
2017-11-09,80.66
2017-11-10,81.62
2017-11-13,81.44
2017-11-14,81.3
2017-11-15,79.68
2017-11-16,80.68
2017-11-17,80.89
2017-11-20,81.21
2017-11-21,80.99
2017-11-22,80.68
2017-11-24,79.91
2017-11-27,80.95
2017-11-28,81.98
2017-11-29,76.84
2017-11-30,76.6
2017-12-01,77.3
2017-12-04,74.66
2017-12-05,73.56
2017-12-06,73.75
2017-12-07,75.56
2017-12-08,75.94
2017-12-11,77.1
2017-12-12,78.37
2017-12-13,79.2
2017-12-14,79.725
2017-12-15,79.37
2017-12-18,81.17
2017-12-19,82.83
2017-12-20,82.7
2017-12-21,82.4
2017-12-22,81.79
2017-12-26,81.117
2017-12-27,80.89
2017-12-28,80.6
2017-12-29,80.74
2018-01-02,81.5
2018-01-03,82.46
2018-01-04,83.2731
2018-01-05,84.8
2018-01-08,84.75
2018-01-09,84.23
2018-01-10,83.39
2018-01-11,85.3
2018-01-12,86.18
2018-01-16,85.94
2018-01-17,86.085
2018-01-18,87.63
2018-01-19,88.1
2018-01-22,87.74
2018-01-23,88.53
2018-01-24,87.7565
2018-01-25,87.77
