dt,low
2010-01-04,44.86
2010-01-05,44.31
2010-01-06,44.15
2010-01-07,44.03
2010-01-08,44.62
2010-01-11,45.43
2010-01-12,45.79
2010-01-13,46.31
2010-01-14,46.19
2010-01-15,45.87
2010-01-19,46.14
2010-01-20,46.46
2010-01-21,45.78
2010-01-22,44.84
2010-01-25,45.01
2010-01-26,44.4
2010-01-27,44.16
2010-01-28,43.89
2010-01-29,43.86
2010-02-01,43.84
2010-02-02,44.08
2010-02-03,44.22
2010-02-04,43.14
2010-02-05,42.151
2010-02-08,43.01
2010-02-09,43.68
2010-02-10,43.57
2010-02-11,41.14
2010-02-12,40.66
2010-02-16,41.66
2010-02-17,42.09
2010-02-18,42.29
2010-02-19,42.335
2010-02-22,42.05
2010-02-23,41.49
2010-02-24,41.57
2010-02-25,41.02
2010-02-26,41.98
2010-03-01,41.87
2010-03-02,42.06
2010-03-03,42.21
2010-03-04,42.52
2010-03-05,42.57
2010-03-08,42.6
2010-03-09,42.36
2010-03-10,42.06
2010-03-11,42.11
2010-03-12,42.78
2010-03-15,43.17
2010-03-16,43.29
2010-03-17,43.4
2010-03-18,43.14
2010-03-19,43.0
2010-03-22,43.03
2010-03-23,43.02
2010-03-24,43.14
2010-03-25,43.08
2010-03-26,43.08
2010-03-29,43.37
2010-03-30,43.65
2010-03-31,43.61
2010-04-01,44.1
2010-04-05,44.29
2010-04-06,44.16
2010-04-07,44.36
2010-04-08,44.325
2010-04-09,44.44
2010-04-12,44.818999999999996
2010-04-13,45.0
2010-04-14,45.0
2010-04-15,45.02
2010-04-16,44.83
2010-04-19,44.87
2010-04-20,45.52
2010-04-21,45.8
2010-04-22,46.28
2010-04-23,46.63
2010-04-26,47.52
2010-04-27,46.82
2010-04-28,47.06
2010-04-29,47.69
2010-04-30,48.8
2010-05-03,48.97
2010-05-04,48.23
2010-05-05,47.94
2010-05-06,46.31
2010-05-07,47.12
2010-05-10,48.42
2010-05-11,48.24
2010-05-12,48.28
2010-05-13,48.04
2010-05-14,47.24
2010-05-17,47.1
2010-05-18,47.64
2010-05-19,47.0
2010-05-20,45.55
2010-05-21,45.0
2010-05-24,46.05
2010-05-25,44.94
2010-05-26,46.07
2010-05-27,46.63
2010-05-28,46.99
2010-06-01,46.65
2010-06-02,46.6
2010-06-03,47.2
2010-06-04,46.11
2010-06-07,45.4
2010-06-08,45.19
2010-06-09,45.36
2010-06-10,45.93
2010-06-11,45.1
2010-06-14,45.92
2010-06-15,46.0
2010-06-16,46.92
2010-06-17,46.63
2010-06-18,46.92
2010-06-21,46.51
2010-06-22,46.6
2010-06-23,46.28
2010-06-24,45.61
2010-06-25,45.37
2010-06-28,45.18
2010-06-29,44.52
2010-06-30,44.87
2010-07-01,44.69
2010-07-02,44.66
2010-07-06,44.87
2010-07-07,45.32
2010-07-08,46.94
2010-07-09,47.45
2010-07-12,47.22
2010-07-13,47.44
2010-07-14,47.81
2010-07-15,47.842
2010-07-16,47.47
2010-07-19,47.39
2010-07-20,47.69
2010-07-21,47.77
2010-07-22,48.21
2010-07-23,48.34
2010-07-26,49.32
2010-07-27,46.05
2010-07-28,48.04
2010-07-29,48.5
2010-07-30,48.52
2010-08-02,48.89
2010-08-03,48.75
2010-08-04,48.8
2010-08-05,49.1
2010-08-06,48.64
2010-08-09,49.13
2010-08-10,48.52
2010-08-11,47.86
2010-08-12,47.45
2010-08-13,47.59
2010-08-16,47.32
2010-08-17,47.88
2010-08-18,47.89
2010-08-19,46.99
2010-08-20,46.7
2010-08-23,46.71
2010-08-24,46.07
2010-08-25,46.17
2010-08-26,46.38
2010-08-27,46.36
2010-08-30,47.05
2010-08-31,46.63
2010-09-01,47.8
2010-09-02,48.51
2010-09-03,49.01
2010-09-07,48.66
2010-09-08,48.7
2010-09-09,49.04
2010-09-10,48.72
2010-09-13,48.94
2010-09-14,49.03
2010-09-15,49.25
2010-09-16,49.5
2010-09-17,49.69
2010-09-20,50.11
2010-09-21,50.34
2010-09-22,50.37
2010-09-23,49.98
2010-09-24,50.4401
2010-09-27,50.53
2010-09-28,49.9
2010-09-29,50.24
2010-09-30,50.49
2010-10-01,50.91
2010-10-04,50.54
2010-10-05,51.17
2010-10-06,51.83
2010-10-07,51.39
2010-10-08,51.5
2010-10-11,51.48
2010-10-12,51.11
2010-10-13,51.74
2010-10-14,51.59
2010-10-15,51.67
2010-10-18,51.65
2010-10-19,50.62
2010-10-20,50.74
2010-10-21,51.282
2010-10-22,51.29
2010-10-25,51.61
2010-10-26,48.65
2010-10-27,48.65
2010-10-28,48.94
2010-10-29,48.86
2010-11-01,49.1
2010-11-02,49.38
2010-11-03,48.91
2010-11-04,49.14
2010-11-05,49.31
2010-11-08,49.34
2010-11-09,48.6
2010-11-10,48.602
2010-11-11,48.81
2010-11-12,48.7
2010-11-15,48.21
2010-11-16,47.26
2010-11-17,47.5
2010-11-18,48.02
2010-11-19,48.66
2010-11-22,48.19
2010-11-23,48.08
2010-11-24,48.66
2010-11-26,48.45
2010-11-29,48.03
2010-11-30,47.795
2010-12-01,47.55
2010-12-02,47.76
2010-12-03,47.42
2010-12-06,46.64
2010-12-07,46.8
2010-12-08,47.43
2010-12-09,47.56
2010-12-10,47.93
2010-12-13,48.1
2010-12-14,49.05
2010-12-15,49.01
2010-12-16,49.153999999999996
2010-12-17,49.39
2010-12-20,50.1
2010-12-21,50.2214
2010-12-22,50.0
2010-12-23,50.1401
2010-12-27,49.9
2010-12-28,49.9
2010-12-29,50.2
2010-12-30,50.21
2010-12-31,50.37
2011-01-03,50.47
2011-01-04,49.27
2011-01-05,49.47
2011-01-06,49.4
2011-01-07,49.07
2011-01-10,48.8
2011-01-11,48.92
2011-01-12,48.97
2011-01-13,48.87
2011-01-14,48.52
2011-01-18,48.49
2011-01-19,48.99
2011-01-20,49.39
2011-01-21,49.88
2011-01-24,49.84
2011-01-25,49.61
2011-01-26,50.01
2011-01-27,49.915
2011-01-28,49.24
2011-01-31,49.36
2011-02-01,49.74
2011-02-02,49.95
2011-02-03,49.77
2011-02-04,49.96
2011-02-07,50.23
2011-02-08,49.97
2011-02-09,49.59
2011-02-10,49.6
2011-02-11,49.42
2011-02-14,49.38
2011-02-15,49.18
2011-02-16,49.205
2011-02-17,47.0
2011-02-18,47.34
2011-02-22,48.03
2011-02-23,47.65
2011-02-24,47.16
2011-02-25,47.23
2011-02-28,47.73
2011-03-01,48.43
2011-03-02,48.05
2011-03-03,48.47
2011-03-04,48.0
2011-03-07,47.39
2011-03-08,47.32
2011-03-09,47.29
2011-03-10,46.8
2011-03-11,47.59
2011-03-14,48.29
2011-03-15,47.81
2011-03-16,47.85
2011-03-17,47.784
2011-03-18,47.57
2011-03-21,48.13
2011-03-22,48.59
2011-03-23,48.36
2011-03-24,49.0
2011-03-25,49.49
2011-03-28,49.55
2011-03-29,49.46
2011-03-30,49.92
2011-03-31,50.25
2011-04-01,51.05
2011-04-04,51.4
2011-04-05,51.47
2011-04-06,51.5
2011-04-07,51.26
2011-04-08,51.13
2011-04-11,51.03
2011-04-12,50.55
2011-04-13,49.97
2011-04-14,50.13
2011-04-15,50.37
2011-04-18,50.31
2011-04-19,50.7701
2011-04-20,51.17
2011-04-21,51.38
2011-04-25,51.5
2011-04-26,51.25
2011-04-27,51.55
2011-04-28,52.45
2011-04-29,52.45
2011-05-02,52.49
2011-05-03,51.92
2011-05-04,51.74
2011-05-05,51.25
2011-05-06,51.75
2011-05-09,51.84
2011-05-10,52.51
2011-05-11,51.74
2011-05-12,51.58
2011-05-13,51.85
2011-05-16,51.69
2011-05-17,51.24
2011-05-18,51.28
2011-05-19,52.52
2011-05-20,51.91
2011-05-23,51.88
2011-05-24,52.58
2011-05-25,52.42
2011-05-26,52.56
2011-05-27,53.15
2011-05-31,54.0
2011-06-01,54.23
2011-06-02,54.015
2011-06-03,53.7
2011-06-06,53.69
2011-06-07,53.88
2011-06-08,53.54
2011-06-09,53.7
2011-06-10,53.71
2011-06-13,53.71
2011-06-14,54.41
2011-06-15,54.57
2011-06-16,53.81
2011-06-17,53.83
2011-06-20,53.75
2011-06-21,54.37
2011-06-22,54.47
2011-06-23,53.4
2011-06-24,54.28
2011-06-27,53.75
2011-06-28,54.62
2011-06-29,54.85
2011-06-30,55.3
2011-07-01,56.14
2011-07-05,56.22
2011-07-06,56.36
2011-07-07,56.5
2011-07-08,55.93
2011-07-11,55.79
2011-07-12,55.62
2011-07-13,55.93
2011-07-14,55.32
2011-07-15,55.17
2011-07-18,54.8
2011-07-19,55.11
2011-07-20,50.0255
2011-07-21,51.11
2011-07-22,52.57
2011-07-25,51.98
2011-07-26,50.81
2011-07-27,50.09
2011-07-28,50.07
2011-07-29,49.49
2011-08-01,49.69
2011-08-02,48.52
2011-08-03,48.0
2011-08-04,48.08
2011-08-05,46.97
2011-08-08,44.92
2011-08-09,43.81
2011-08-10,44.56
2011-08-11,44.9
2011-08-12,46.17
2011-08-15,46.7
2011-08-16,46.42
2011-08-17,46.35
2011-08-18,43.99
2011-08-19,44.16
2011-08-22,45.25
2011-08-23,45.86
2011-08-24,48.72
2011-08-25,49.36
2011-08-26,49.46
2011-08-29,51.1004
2011-08-30,51.49
2011-08-31,53.14
2011-09-01,52.35
2011-09-02,51.05
2011-09-06,50.1
2011-09-07,52.1409
2011-09-08,52.24
2011-09-09,49.78
2011-09-12,48.86
2011-09-13,49.59
2011-09-14,49.93
2011-09-15,50.99
2011-09-16,51.49
2011-09-19,50.48
2011-09-20,50.86
2011-09-21,50.19
2011-09-22,48.49
2011-09-23,48.65
2011-09-26,48.83
2011-09-27,50.54
2011-09-28,49.11
2011-09-29,48.67
2011-09-30,48.4
2011-10-03,47.96
2011-10-04,47.27
2011-10-05,49.25
2011-10-06,49.6
2011-10-07,49.49
2011-10-10,50.79
2011-10-11,51.51
2011-10-12,52.25
2011-10-13,51.41
2011-10-14,52.16
2011-10-17,51.95
2011-10-18,51.74
2011-10-19,52.81
2011-10-20,52.38
2011-10-21,53.21
2011-10-24,53.61
2011-10-25,52.62
2011-10-26,52.39
2011-10-27,53.97
2011-10-28,54.75
2011-10-31,53.83
2011-11-01,52.21
2011-11-02,53.5
2011-11-03,54.31
2011-11-04,54.1
2011-11-07,54.74
2011-11-08,55.18
2011-11-09,53.65
2011-11-10,53.85
2011-11-11,55.04
2011-11-14,55.53
2011-11-15,55.24
2011-11-16,54.84
2011-11-17,53.83
2011-11-18,53.94
2011-11-21,53.01
2011-11-22,52.71
2011-11-23,52.27
2011-11-25,52.35
2011-11-28,54.58
2011-11-29,55.06
2011-11-30,56.75
2011-12-01,54.68
2011-12-02,55.7419
2011-12-05,54.99
2011-12-06,55.05
2011-12-07,55.25
2011-12-08,55.35
2011-12-09,55.0
2011-12-12,55.12
2011-12-13,54.41
2011-12-14,54.0
2011-12-15,54.06
2011-12-16,54.5
2011-12-19,54.03
2011-12-20,54.3
2011-12-21,55.66
2011-12-22,55.785
2011-12-23,56.165
2011-12-27,56.82
2011-12-28,56.41
2011-12-29,56.5801
2011-12-30,57.46
2012-01-03,57.71
2012-01-04,57.77
2012-01-05,57.44
2012-01-06,57.86
2012-01-09,57.98
2012-01-10,58.71
2012-01-11,58.44
2012-01-12,59.23
2012-01-13,59.38
2012-01-17,59.461000000000006
2012-01-18,59.5
2012-01-19,60.06
2012-01-20,60.16
2012-01-23,60.23
2012-01-24,60.28
2012-01-25,60.46
2012-01-26,60.53
2012-01-27,60.39
2012-01-30,59.55
2012-01-31,60.06
2012-02-01,60.445
2012-02-02,60.49
2012-02-03,60.86
2012-02-06,61.2
2012-02-07,61.07
2012-02-08,61.46
2012-02-09,61.18
2012-02-10,60.57
2012-02-13,60.81
2012-02-14,61.04
2012-02-15,61.28
2012-02-16,61.47
2012-02-17,61.76
2012-02-21,61.35
2012-02-22,61.4
2012-02-23,61.79
2012-02-24,62.13
2012-02-27,61.9
2012-02-28,60.56
2012-02-29,59.88
2012-03-01,59.71
2012-03-02,59.35
2012-03-05,58.98
2012-03-06,58.78
2012-03-07,59.08
2012-03-08,59.22
2012-03-09,59.15
2012-03-12,59.21
2012-03-13,59.37
2012-03-14,59.49
2012-03-15,59.45
2012-03-16,59.84
2012-03-19,59.84
2012-03-20,59.92
2012-03-21,60.1
2012-03-22,59.23
2012-03-23,59.63
2012-03-26,60.5
2012-03-27,61.23
2012-03-28,60.91
2012-03-29,60.97
2012-03-30,61.61
2012-04-02,61.46
2012-04-03,61.74
2012-04-04,61.33
2012-04-05,61.25
2012-04-09,60.46
2012-04-10,59.81
2012-04-11,60.17
2012-04-12,60.39
2012-04-13,61.51
2012-04-16,61.52
2012-04-17,61.93
2012-04-18,62.11
2012-04-19,61.98
2012-04-20,62.1
2012-04-23,61.21
2012-04-24,61.57
2012-04-25,62.29
2012-04-26,62.38
2012-04-27,63.032
2012-04-30,63.07
2012-05-01,63.0
2012-05-02,63.19
2012-05-03,63.69
2012-05-04,63.34
2012-05-07,63.01
2012-05-08,64.03
2012-05-09,64.12
2012-05-10,64.63
2012-05-11,64.52
2012-05-14,63.89
2012-05-15,63.92
2012-05-16,64.26
2012-05-17,62.7299
2012-05-18,62.61
2012-05-21,62.86
2012-05-22,64.49
2012-05-23,63.44
2012-05-24,64.78
2012-05-25,64.2
2012-05-29,64.26
2012-05-30,63.84
2012-05-31,63.01
2012-06-01,61.71
2012-06-04,61.45
2012-06-05,61.84
2012-06-06,62.9
2012-06-07,65.16
2012-06-08,65.13
2012-06-11,65.52
2012-06-12,65.38
2012-06-13,66.07
2012-06-14,66.06
2012-06-15,66.88
2012-06-18,66.59
2012-06-19,67.06
2012-06-20,66.08
2012-06-21,64.97
2012-06-22,65.31
2012-06-25,65.64
2012-06-26,65.68
2012-06-27,66.7
2012-06-28,65.94
2012-06-29,67.32
2012-07-02,68.01
2012-07-03,68.22
2012-07-05,68.25
2012-07-06,67.59
2012-07-09,67.64
2012-07-10,67.28
2012-07-11,66.76
2012-07-12,66.21
2012-07-13,67.24
2012-07-16,67.15
2012-07-17,67.29
2012-07-18,67.37
2012-07-19,67.36
2012-07-20,67.13
2012-07-23,66.29
2012-07-24,65.06
2012-07-25,65.3
2012-07-26,65.67
2012-07-27,66.24
2012-07-30,67.14
2012-07-31,61.66
2012-08-01,65.16
2012-08-02,63.33
2012-08-03,63.76
2012-08-06,64.21
2012-08-07,63.87
2012-08-08,64.12
2012-08-09,64.06
2012-08-10,64.45
2012-08-13,64.54
2012-08-14,64.61
2012-08-15,64.5
2012-08-16,65.08
2012-08-17,66.24
2012-08-20,65.98
2012-08-21,65.71
2012-08-22,65.27
2012-08-23,66.605
2012-08-24,66.33
2012-08-27,66.09
2012-08-28,64.77
2012-08-29,64.65
2012-08-30,63.9393
2012-08-31,63.73
2012-09-04,63.23
2012-09-05,62.98
2012-09-06,64.24
2012-09-07,64.8645
2012-09-10,64.555
2012-09-11,64.15
2012-09-12,63.76
2012-09-13,63.92
2012-09-14,64.11
2012-09-17,63.78
2012-09-18,63.54
2012-09-19,63.55
2012-09-20,63.13
2012-09-21,63.25
2012-09-24,63.8
2012-09-25,63.72
2012-09-26,63.78
2012-09-27,63.98
2012-09-28,64.46
2012-10-01,64.64
2012-10-02,64.39
2012-10-03,64.27
2012-10-04,64.69
2012-10-05,64.7
2012-10-08,64.57
2012-10-09,64.1309
2012-10-10,63.42
2012-10-11,63.67
2012-10-12,63.44
2012-10-15,66.74
2012-10-16,68.0796
2012-10-17,68.56
2012-10-18,69.17
2012-10-19,68.51
2012-10-22,68.9
2012-10-23,68.514
2012-10-24,68.83
2012-10-25,68.82
2012-10-26,68.72
2012-10-31,68.5
2012-11-01,68.92
2012-11-02,70.46
2012-11-05,70.07
2012-11-06,70.64
2012-11-07,70.1
2012-11-08,70.01
2012-11-09,69.55
2012-11-12,69.38
2012-11-13,69.1
2012-11-14,68.2
