dt,low
2010-01-04,82.15
2010-01-05,81.29
2010-01-06,83.12
2010-01-07,83.0
2010-01-08,82.93
2010-01-11,83.62
2010-01-12,82.07
2010-01-13,82.64
2010-01-14,83.39
2010-01-15,84.0
2010-01-19,84.15
2010-01-20,84.32
2010-01-21,83.41
2010-01-22,80.68
2010-01-25,80.23
2010-01-26,80.55
2010-01-27,79.45
2010-01-28,80.55
2010-01-29,79.55
2010-02-01,79.37
2010-02-02,80.48
2010-02-03,79.59
2010-02-04,77.27
2010-02-05,76.35
2010-02-08,77.81
2010-02-09,77.26
2010-02-10,76.48
2010-02-11,77.75
2010-02-12,78.38
2010-02-16,80.65
2010-02-17,82.23
2010-02-18,82.85
2010-02-19,83.63
2010-02-22,83.58
2010-02-23,83.67
2010-02-24,84.31
2010-02-25,83.75
2010-02-26,85.04
2010-03-01,85.48
2010-03-02,86.48
2010-03-03,86.6
2010-03-04,87.14
2010-03-05,88.2
2010-03-08,89.5
2010-03-09,89.41
2010-03-10,88.86
2010-03-11,89.07
2010-03-12,90.18
2010-03-15,89.98
2010-03-16,90.59
2010-03-17,92.09
2010-03-18,92.8
2010-03-19,91.99
2010-03-22,91.55
2010-03-23,90.55
2010-03-24,91.43
2010-03-25,90.92
2010-03-26,89.55
2010-03-29,88.42
2010-03-30,88.42
2010-03-31,88.54
2010-04-01,89.23
2010-04-05,90.97
2010-04-06,92.86
2010-04-07,94.48
2010-04-08,94.42
2010-04-09,95.64
2010-04-12,97.25
2010-04-13,97.71
2010-04-14,99.11
2010-04-15,97.35
2010-04-16,96.28
2010-04-19,95.27
2010-04-20,95.35
2010-04-21,98.16
2010-04-22,99.335
2010-04-23,100.43
2010-04-26,104.25
2010-04-27,102.7
2010-04-28,103.2
2010-04-29,104.85
2010-04-30,105.61
2010-05-03,106.4
2010-05-04,108.51
2010-05-05,109.1
2010-05-06,91.55
2010-05-07,102.07
2010-05-10,104.32
2010-05-11,106.67
2010-05-12,109.77
2010-05-13,108.76
2010-05-14,106.18
2010-05-17,105.11
2010-05-18,107.08
2010-05-19,104.81
2010-05-20,101.31
2010-05-21,98.68
2010-05-24,102.85
2010-05-25,99.79
2010-05-26,102.64
2010-05-27,104.32
2010-05-28,105.22
2010-06-01,101.88
2010-06-02,100.18
2010-06-03,101.9
2010-06-04,96.37
2010-06-07,97.02
2010-06-08,95.49
2010-06-09,100.27
2010-06-10,102.55
2010-06-11,103.895
2010-06-14,105.41
2010-06-15,106.52
2010-06-16,107.1
2010-06-17,106.93
2010-06-18,107.32
2010-06-21,106.89
2010-06-22,103.2
2010-06-23,101.73
2010-06-24,100.79
2010-06-25,101.04
2010-06-28,103.09
2010-06-29,99.56
2010-06-30,97.47
2010-07-01,94.79
2010-07-02,94.51
2010-07-06,92.62
2010-07-07,93.48
2010-07-08,99.91
2010-07-09,101.425
2010-07-12,102.04
2010-07-13,103.99
2010-07-14,103.29
2010-07-15,101.57
2010-07-16,100.48
2010-07-19,99.7
2010-07-20,100.0
2010-07-21,100.55
2010-07-22,102.1
2010-07-23,102.04
2010-07-26,104.01
2010-07-27,105.91
2010-07-28,105.92
2010-07-29,103.53
2010-07-30,103.11
2010-08-02,106.34
2010-08-03,106.5
2010-08-04,104.96
2010-08-05,106.23
2010-08-06,103.9605
2010-08-09,105.79
2010-08-10,105.9
2010-08-11,103.03
2010-08-12,101.8004
2010-08-13,102.01
2010-08-16,100.57
2010-08-17,102.36
2010-08-18,103.31
2010-08-19,101.97
2010-08-20,101.46
2010-08-23,101.95
2010-08-24,100.27
2010-08-25,101.16
2010-08-26,102.99
2010-08-27,102.09
2010-08-30,103.24
2010-08-31,102.61
2010-09-01,106.86
2010-09-02,108.51
2010-09-03,109.6
2010-09-07,109.66
2010-09-08,108.77
2010-09-09,108.01
2010-09-10,108.31
2010-09-13,109.93
2010-09-14,109.68
2010-09-15,109.16
2010-09-16,109.49
2010-09-17,109.37
2010-09-20,110.89
2010-09-21,111.9
2010-09-22,110.38
2010-09-23,107.75
2010-09-24,109.06
2010-09-27,107.79
2010-09-28,106.38
2010-09-29,107.0
2010-09-30,108.9
2010-10-01,107.5975
2010-10-04,108.56
2010-10-05,109.1
2010-10-06,108.81
2010-10-07,109.42
2010-10-08,109.13
2010-10-11,109.7
2010-10-12,109.97
2010-10-13,111.43
2010-10-14,111.0
2010-10-15,111.28
2010-10-18,111.32
2010-10-19,110.96
2010-10-20,113.1
2010-10-21,114.99
2010-10-22,114.63
2010-10-25,115.74
2010-10-26,114.4
2010-10-27,113.43
2010-10-28,111.86
2010-10-29,112.28
2010-11-01,113.06
2010-11-02,113.04
2010-11-03,112.75
2010-11-04,112.36
2010-11-05,114.36
2010-11-08,114.26
2010-11-09,109.38
2010-11-10,110.31
2010-11-11,110.84
2010-11-12,110.91
2010-11-15,110.88
2010-11-16,105.6
2010-11-17,106.08
2010-11-18,108.13
2010-11-19,107.34
2010-11-22,108.2
2010-11-23,107.7601
2010-11-24,109.37
2010-11-26,109.4
2010-11-29,108.99
2010-11-30,109.33
2010-12-01,111.71
2010-12-02,113.45
2010-12-03,113.02
2010-12-06,113.32
2010-12-07,114.62
2010-12-08,112.13
2010-12-09,110.12
2010-12-10,110.6
2010-12-13,112.39
2010-12-14,111.72
2010-12-15,110.58
2010-12-16,109.83
2010-12-17,109.98
2010-12-20,110.1505
2010-12-21,111.4
2010-12-22,112.7
2010-12-23,113.49
