dt,low
2010-01-04,7.86
2010-01-05,7.86
2010-01-06,7.79
2010-01-07,7.76
2010-01-08,7.62
2010-01-11,7.65
2010-01-12,7.55
2010-01-13,7.56
2010-01-14,7.6
2010-01-15,7.46
2010-01-19,7.49
2010-01-20,7.55
2010-01-21,7.53
2010-01-22,7.51
2010-01-25,7.55
2010-01-26,7.55
2010-01-27,7.54
2010-01-28,7.55
2010-01-29,7.6
2010-02-01,7.58
2010-02-02,7.6
2010-02-03,7.63
2010-02-04,7.61
2010-02-05,7.54
2010-02-08,7.56
2010-02-09,7.51
2010-02-10,7.49
2010-02-11,7.53
2010-02-12,7.53
2010-02-16,7.535
2010-02-17,7.6
2010-02-18,7.66
2010-02-19,7.6
2010-02-22,7.65
2010-02-23,7.68
2010-02-24,7.58
2010-02-25,7.54
2010-02-26,7.62
2010-03-01,7.7
2010-03-02,7.61
2010-03-03,7.6
2010-03-04,7.57
2010-03-05,7.23
2010-03-08,7.29
2010-03-09,7.43
2010-03-10,7.45
2010-03-11,7.46
2010-03-12,7.47
2010-03-15,7.43
2010-03-16,7.41
2010-03-17,7.42
2010-03-18,7.51
2010-03-19,7.42
2010-03-22,7.4
2010-03-23,7.43
2010-03-24,7.4
2010-03-25,7.37
2010-03-26,7.35
2010-03-29,7.3
2010-03-30,7.38
2010-03-31,7.41
2010-04-01,7.41
2010-04-05,7.46
2010-04-06,7.46
2010-04-07,7.43
2010-04-08,7.38
2010-04-09,7.4
2010-04-12,7.41
2010-04-13,7.5
2010-04-14,7.74
2010-04-15,7.75
2010-04-16,7.72
2010-04-19,7.68
2010-04-20,7.68
2010-04-21,7.78
2010-04-22,7.7
2010-04-23,7.72
2010-04-26,7.7
2010-04-27,7.76
2010-04-28,7.8
2010-04-29,7.91
2010-04-30,7.96
2010-05-03,7.86
2010-05-04,7.82
2010-05-05,7.8
2010-05-06,7.25
2010-05-07,7.42
2010-05-10,7.66
2010-05-11,7.67
2010-05-12,7.75
2010-05-13,7.87
2010-05-14,7.77
2010-05-17,7.71
2010-05-18,7.82
2010-05-19,7.82
2010-05-20,7.72
2010-05-21,7.57
2010-05-24,7.71
2010-05-25,7.5
2010-05-26,7.76
2010-05-27,7.83
2010-05-28,7.85
2010-06-01,7.9
2010-06-02,7.88
2010-06-03,8.12
2010-06-04,8.16
2010-06-07,7.78
2010-06-08,7.6175
2010-06-09,7.71
2010-06-10,7.74
2010-06-11,7.7298
2010-06-14,7.8
2010-06-15,7.94
2010-06-16,7.88
2010-06-17,7.76
2010-06-18,7.82
2010-06-21,7.85
2010-06-22,7.65
2010-06-23,7.56
2010-06-24,7.55
2010-06-25,7.55
2010-06-28,7.49
2010-06-29,7.16
2010-06-30,7.07
2010-07-01,6.96
2010-07-02,7.15
2010-07-06,6.99
2010-07-07,7.04
2010-07-08,7.15
2010-07-09,7.25
2010-07-12,7.17
2010-07-13,7.12
2010-07-14,7.13
2010-07-15,7.3
2010-07-16,7.3
2010-07-19,7.26
2010-07-20,7.25
2010-07-21,7.31
2010-07-22,7.32
2010-07-23,7.3
2010-07-26,7.39
2010-07-27,7.58
2010-07-28,7.675
2010-07-29,7.64
2010-07-30,7.58
2010-08-02,7.65
2010-08-03,7.61
2010-08-04,7.52
2010-08-05,7.5
2010-08-06,7.5
2010-08-09,7.63
2010-08-10,7.69
2010-08-11,7.61
2010-08-12,7.56
2010-08-13,7.54
2010-08-16,7.52
2010-08-17,7.6124
2010-08-18,7.64
2010-08-19,7.77
2010-08-20,7.65
2010-08-23,7.69
2010-08-24,7.6
2010-08-25,7.52
2010-08-26,7.61
