dt,low
2010-01-04,48.8
2010-01-05,48.18
2010-01-06,48.19
2010-01-07,48.83
2010-01-08,51.13
2010-01-11,53.17
2010-01-12,52.63
2010-01-13,52.94
2010-01-14,51.59
2010-01-15,53.02
2010-01-19,53.51
2010-01-20,53.78
2010-01-21,53.5
2010-01-22,54.05
2010-01-25,54.17
2010-01-26,53.64
2010-01-27,53.12
2010-01-28,53.56
2010-01-29,53.68
2010-02-01,53.99
2010-02-02,54.2
2010-02-03,56.0
2010-02-04,54.02
2010-02-05,53.88
2010-02-08,54.24
2010-02-09,54.27
2010-02-10,53.88
2010-02-11,53.94
2010-02-12,55.08
2010-02-16,54.99
2010-02-17,54.615
2010-02-18,55.1
2010-02-19,54.89
2010-02-22,55.25
2010-02-23,55.5
2010-02-24,55.89
2010-02-25,55.64
2010-02-26,56.32
2010-03-01,57.22
2010-03-02,56.68
2010-03-03,56.65
2010-03-04,56.39
2010-03-05,56.71
2010-03-08,57.1
2010-03-09,57.0
2010-03-10,57.02
2010-03-11,56.59
2010-03-12,56.73
2010-03-15,56.78
2010-03-16,56.85
2010-03-17,56.84
2010-03-18,56.872
2010-03-19,56.75
2010-03-22,59.06
2010-03-23,58.72
2010-03-24,54.61
2010-03-25,51.0
2010-03-26,52.27
2010-03-29,52.77
2010-03-30,51.64
2010-03-31,51.78
2010-04-01,51.93
2010-04-05,52.23
2010-04-06,51.97
2010-04-07,51.61
2010-04-08,50.94
2010-04-09,52.255
2010-04-12,52.63
2010-04-13,52.26
2010-04-14,52.05
2010-04-15,52.315
2010-04-16,52.78
2010-04-19,53.26
2010-04-20,53.05
2010-04-21,52.5
2010-04-22,53.231
2010-04-23,53.06
2010-04-26,52.96
2010-04-27,52.9
2010-04-28,52.9611
2010-04-29,53.05
2010-04-30,53.21
2010-05-03,52.93
2010-05-04,52.12
2010-05-05,52.27
2010-05-06,50.93
2010-05-07,51.33
2010-05-10,51.19
2010-05-11,51.5413
2010-05-12,51.52
2010-05-13,51.44
2010-05-14,50.24
2010-05-17,50.02
2010-05-18,51.06
2010-05-19,50.94
2010-05-20,49.44
2010-05-21,48.33
2010-05-24,48.42
2010-05-25,45.39
2010-05-26,49.81
2010-05-27,49.21
2010-05-28,48.54
2010-06-01,48.07
2010-06-02,48.2
2010-06-03,49.0
2010-06-04,47.62
2010-06-07,47.97
2010-06-08,47.145
2010-06-09,47.12
2010-06-10,47.3
2010-06-11,48.147
2010-06-14,48.59
2010-06-15,49.395
2010-06-16,49.88
2010-06-17,51.06
2010-06-18,51.69
2010-06-21,52.98
2010-06-22,52.9
2010-06-23,53.32
2010-06-24,52.42
2010-06-25,53.02
2010-06-28,53.01
2010-06-29,51.05
2010-06-30,50.74
2010-07-01,49.12
2010-07-02,50.65
2010-07-06,50.68
2010-07-07,50.68
2010-07-08,51.85
2010-07-09,51.94
2010-07-12,53.2901
2010-07-13,53.0
2010-07-14,52.7
2010-07-15,53.2
2010-07-16,51.73
2010-07-19,51.31
2010-07-20,50.68
2010-07-21,52.0
2010-07-22,52.65
2010-07-23,53.43
2010-07-26,64.8
2010-07-27,66.54
2010-07-28,67.0
2010-07-29,69.68
2010-07-30,69.25
2010-08-02,69.51
2010-08-03,70.0
2010-08-04,68.87
2010-08-05,68.94
2010-08-06,68.81
2010-08-09,67.28
2010-08-10,66.64
2010-08-11,66.27
2010-08-12,64.37
2010-08-13,65.74
2010-08-16,65.8
2010-08-17,66.16
2010-08-18,66.26
2010-08-19,65.844
2010-08-20,65.5
2010-08-23,66.575
2010-08-24,67.03
2010-08-25,65.51
2010-08-26,66.37
2010-08-27,66.26
2010-08-30,68.19
2010-08-31,69.56
2010-09-01,70.0
2010-09-02,70.03
2010-09-03,70.29
2010-09-07,70.4
2010-09-08,70.35
2010-09-09,70.21
2010-09-10,70.24
2010-09-13,70.21
2010-09-14,70.03
2010-09-15,70.09
2010-09-16,70.05
2010-09-17,70.09
2010-09-20,70.1
2010-09-21,70.33
2010-09-22,70.27
2010-09-23,70.75
2010-09-24,71.19
2010-09-27,71.2
2010-09-28,70.97
2010-09-29,70.985
2010-09-30,70.81
