dt,low
2010-01-04,70.63
2010-01-05,69.61
2010-01-06,69.94
2010-01-07,69.95
2010-01-08,70.26
2010-01-11,70.3
2010-01-12,70.55
2010-01-13,70.86
2010-01-14,71.19
2010-01-15,71.11
2010-01-19,71.44
2010-01-20,71.06
2010-01-21,70.86
2010-01-22,70.86
2010-01-25,70.64
2010-01-26,69.95
2010-01-27,70.61
2010-01-28,71.69
2010-01-29,71.27
2010-02-01,70.74
2010-02-02,70.69
2010-02-03,70.2
2010-02-04,68.98
2010-02-05,68.07
2010-02-08,68.52
2010-02-09,68.87
2010-02-10,68.94
2010-02-11,68.7
2010-02-12,68.5
2010-02-16,69.15
2010-02-17,70.58
2010-02-18,70.95
2010-02-19,71.7
2010-02-22,71.96
2010-02-23,71.68
2010-02-24,71.68
2010-02-25,70.88
2010-02-26,71.13
2010-03-01,71.99
2010-03-02,72.51
2010-03-03,72.615
2010-03-04,71.7
2010-03-05,72.3
2010-03-08,71.83
2010-03-09,72.0
2010-03-10,71.89
2010-03-11,71.8
2010-03-12,72.05
2010-03-15,72.27
2010-03-16,72.47
2010-03-17,72.75
2010-03-18,72.99
2010-03-19,73.24
2010-03-22,72.67
2010-03-23,73.02
2010-03-24,72.05
2010-03-25,71.0
2010-03-26,70.27
2010-03-29,70.3
2010-03-30,70.87
2010-03-31,70.6
2010-04-01,71.09
2010-04-05,70.485
2010-04-06,70.41
2010-04-07,69.91
2010-04-08,69.345
2010-04-09,70.21
2010-04-12,70.13
2010-04-13,69.75
2010-04-14,70.17
2010-04-15,70.13
2010-04-16,69.97
2010-04-19,69.86
2010-04-20,70.02
2010-04-21,70.42
2010-04-22,69.94
2010-04-23,69.84
2010-04-26,70.42
2010-04-27,69.41
2010-04-28,68.54
2010-04-29,70.31
2010-04-30,71.1401
2010-05-03,70.88
2010-05-04,71.11
2010-05-05,71.33
2010-05-06,69.5
2010-05-07,69.41
2010-05-10,70.89
2010-05-11,71.3603
2010-05-12,72.15
2010-05-13,73.0
2010-05-14,72.36
2010-05-17,72.62
2010-05-18,73.68
2010-05-19,73.05
2010-05-20,71.46
2010-05-21,70.06
2010-05-24,71.05
2010-05-25,69.92
2010-05-26,70.43
2010-05-27,70.79
2010-05-28,71.19
2010-06-01,71.01
2010-06-02,72.08
2010-06-03,74.41
2010-06-04,73.04
2010-06-07,73.25
2010-06-08,74.355
2010-06-09,37.33
2010-06-10,37.56
2010-06-11,37.46
2010-06-14,37.76
2010-06-15,37.96
2010-06-16,37.83
2010-06-17,38.37
2010-06-18,38.44
2010-06-21,37.82
2010-06-22,37.66
2010-06-23,37.5
2010-06-24,37.5
2010-06-25,37.29
2010-06-28,37.09
2010-06-29,36.69
2010-06-30,34.95
2010-07-01,35.13
2010-07-02,35.2
2010-07-06,35.55
2010-07-07,35.68
2010-07-08,36.23
2010-07-09,36.15
2010-07-12,35.8
2010-07-13,36.27
2010-07-14,36.02
2010-07-15,35.86
2010-07-16,35.43
2010-07-19,35.26
2010-07-20,35.0
2010-07-21,34.94
2010-07-22,35.09
2010-07-23,35.22
2010-07-26,35.36
2010-07-27,35.3
2010-07-28,35.38
2010-07-29,34.13
2010-07-30,33.84
2010-08-02,34.31
2010-08-03,33.97
2010-08-04,34.0
2010-08-05,33.53
2010-08-06,33.11
2010-08-09,33.52
2010-08-10,33.42
2010-08-11,33.48
2010-08-12,33.51
2010-08-13,34.24
2010-08-16,34.5
2010-08-17,34.94
2010-08-18,35.14
2010-08-19,34.912
2010-08-20,34.87
2010-08-23,35.03
2010-08-24,35.16
2010-08-25,35.19
2010-08-26,34.94
2010-08-27,35.31
2010-08-30,35.67
2010-08-31,35.54
2010-09-01,35.99
2010-09-02,36.0
2010-09-03,35.82
2010-09-07,35.84
2010-09-08,36.04
2010-09-09,36.39
2010-09-10,36.34
2010-09-13,36.31
2010-09-14,36.31
2010-09-15,36.32
2010-09-16,36.51
2010-09-17,36.16
2010-09-20,36.1
2010-09-21,35.52
2010-09-22,35.97
2010-09-23,36.1
2010-09-24,36.5
2010-09-27,36.58
2010-09-28,36.31
2010-09-29,36.59
2010-09-30,36.28
2010-10-01,36.52
2010-10-04,36.73
2010-10-05,37.12
2010-10-06,36.8615
2010-10-07,37.06
2010-10-08,36.64
2010-10-11,36.45
2010-10-12,36.48
2010-10-13,37.0
2010-10-14,37.03
2010-10-15,37.1
2010-10-18,37.07
2010-10-19,36.9
2010-10-20,37.13
2010-10-21,36.95
2010-10-22,37.12
2010-10-25,37.31
2010-10-26,37.17
2010-10-27,36.84
2010-10-28,37.07
2010-10-29,37.39
2010-11-01,36.89
2010-11-02,36.77
2010-11-03,36.52
2010-11-04,36.33
