dt,low
2010-01-04,624.24
2010-01-05,621.54
2010-01-06,606.36
2010-01-07,592.65
2010-01-08,589.11
2010-01-11,594.04
2010-01-12,588.0
2010-01-13,573.9
2010-01-14,582.81
2010-01-15,578.04
2010-01-19,576.29
2010-01-20,575.29
2010-01-21,572.251
2010-01-22,534.86
2010-01-25,535.51
2010-01-26,536.29
2010-01-27,535.31
2010-01-28,530.6
2010-01-29,525.61
2010-02-01,530.3
2010-02-02,527.61
2010-02-03,528.23
2010-02-04,525.56
2010-02-05,522.46
2010-02-08,531.5301
2010-02-09,535.07
2010-02-10,527.69
2010-02-11,529.5
2010-02-12,530.5
2010-02-16,534.3
2010-02-17,537.61
2010-02-18,536.14
2010-02-19,539.7
2010-02-22,541.0
2010-02-23,532.29
2010-02-24,530.51
2010-02-25,520.0
2010-02-26,523.48
2010-03-01,527.74
2010-03-02,535.01
2010-03-03,539.25
2010-03-04,546.2
2010-03-05,559.9
2010-03-08,561.01
2010-03-09,556.5
2010-03-10,562.21
2010-03-11,574.2
2010-03-12,579.16
2010-03-15,556.0
2010-03-16,560.76
2010-03-17,564.2501
2010-03-18,562.96
2010-03-19,557.28
2010-03-22,554.28
2010-03-23,542.0
2010-03-24,539.7
2010-03-25,558.66
2010-03-26,560.0201
2010-03-29,560.57
2010-03-30,560.28
2010-03-31,562.81
2010-04-01,565.55
2010-04-05,569.0
2010-04-06,565.4
2010-04-07,561.86
2010-04-08,560.05
2010-04-09,564.0
2010-04-12,566.75
2010-04-13,571.13
2010-04-14,584.01
2010-04-15,588.2869999999999
2010-04-16,549.63
2010-04-19,545.0
2010-04-20,551.06
2010-04-21,552.16
2010-04-22,543.35
2010-04-23,542.27
2010-04-26,529.21
2010-04-27,527.235
2010-04-28,521.03
2010-04-29,526.67
2010-04-30,525.49
2010-05-03,525.08
2010-05-04,504.21
2010-05-05,500.4701
2010-05-06,460.0
2010-05-07,481.33
2010-05-10,512.6
2010-05-11,508.22
2010-05-12,502.0
2010-05-13,510.37
2010-05-14,496.25
2010-05-17,498.35
2010-05-18,497.07
2010-05-19,487.74
2010-05-20,473.8015
2010-05-21,464.4
2010-05-24,476.8
2010-05-25,464.01
2010-05-26,475.0
2010-05-27,481.05
2010-05-28,483.0
2010-06-01,480.12
2010-06-02,481.46
2010-06-03,494.7
2010-06-04,496.7
2010-06-07,483.15
2010-06-08,477.54
2010-06-09,472.0
2010-06-10,475.84
2010-06-11,481.62
2010-06-14,483.21
2010-06-15,482.18
2010-06-16,496.11
2010-06-17,496.69
2010-06-18,498.13
2010-06-21,484.89
2010-06-22,485.73
2010-06-23,478.16
2010-06-24,473.26099999999997
2010-06-25,470.56
2010-06-28,469.01
2010-06-29,451.12
2010-06-30,444.72
2010-07-01,433.63
2010-07-02,436.0
2010-07-06,433.63
2010-07-07,435.38
2010-07-08,449.66
2010-07-09,462.78
2010-07-12,471.08
2010-07-13,480.28
2010-07-14,486.46
2010-07-15,482.68
2010-07-16,459.52
2010-07-19,457.52
2010-07-20,460.6
2010-07-21,475.4301
2010-07-22,482.48
2010-07-23,480.01
