dt,low
2010-01-04,169.51
2010-01-05,172.57
2010-01-06,173.76
2010-01-07,173.95
2010-01-08,173.95
2010-01-11,170.52
2010-01-12,167.03
2010-01-13,166.12
2010-01-14,167.2125
2010-01-15,164.58
2010-01-19,163.9
2010-01-20,164.32
2010-01-21,156.77
2010-01-22,152.25
2010-01-25,154.5
2010-01-26,150.7
2010-01-27,148.27
2010-01-28,149.95
2010-01-29,147.81
2010-02-01,149.21
2010-02-02,153.65
2010-02-03,157.11
2010-02-04,150.46
2010-02-05,148.87
2010-02-08,150.82
2010-02-09,149.65
2010-02-10,151.76
2010-02-11,152.25
2010-02-12,151.14
2010-02-16,154.6
2010-02-17,155.81
2010-02-18,154.88
2010-02-19,154.49
2010-02-22,156.03
2010-02-23,155.91
2010-02-24,156.87
2010-02-25,154.32
2010-02-26,155.26
2010-03-01,156.17
2010-03-02,156.91
2010-03-03,157.23
2010-03-04,158.11
2010-03-05,165.0
2010-03-08,167.46
2010-03-09,168.0
2010-03-10,168.87
2010-03-11,171.1
2010-03-12,174.0
2010-03-15,170.38
2010-03-16,173.56
2010-03-17,175.57
2010-03-18,175.66
2010-03-19,175.95
2010-03-22,175.23
2010-03-23,173.29
2010-03-24,173.64
2010-03-25,174.78
2010-03-26,171.91
2010-03-29,171.64
2010-03-30,170.7
2010-03-31,169.85
2010-04-01,169.5
2010-04-05,169.77
2010-04-06,172.15
2010-04-07,172.81
2010-04-08,175.28
2010-04-09,177.5
2010-04-12,177.84
2010-04-13,177.11
2010-04-14,183.07
2010-04-15,183.66
2010-04-16,155.55
2010-04-19,155.0
2010-04-20,158.0
2010-04-21,157.0
2010-04-22,156.29
2010-04-23,157.0
2010-04-26,151.52
2010-04-27,150.15
2010-04-28,154.69
2010-04-29,158.34
2010-04-30,143.3
2010-05-03,146.5346
2010-05-04,147.83
2010-05-05,147.2
2010-05-06,139.06
2010-05-07,141.5
2010-05-10,141.2
2010-05-11,141.55
2010-05-12,142.28
2010-05-13,144.42
2010-05-14,141.9
2010-05-17,138.53
2010-05-18,136.6
2010-05-19,136.1
2010-05-20,135.75
2010-05-21,136.25
2010-05-24,136.51
2010-05-25,134.2
2010-05-26,139.69
2010-05-27,141.04
2010-05-28,143.1
2010-06-01,141.7
2010-06-02,141.14
2010-06-03,142.5
2010-06-04,141.71
2010-06-07,137.85
2010-06-08,135.05
2010-06-09,136.2201
2010-06-10,131.3001
2010-06-11,133.0
2010-06-14,133.4
2010-06-15,133.3
2010-06-16,135.71
2010-06-17,135.2184
2010-06-18,137.52
2010-06-21,137.31
2010-06-22,134.59
2010-06-23,132.73
2010-06-24,133.11
2010-06-25,135.425
2010-06-28,136.53
2010-06-29,133.17
2010-06-30,131.0218
2010-07-01,129.5
2010-07-02,129.69
2010-07-06,131.07
2010-07-07,132.07
2010-07-08,133.56
2010-07-09,134.59
2010-07-12,136.03
2010-07-13,138.11
2010-07-14,137.655
2010-07-15,137.82
2010-07-16,146.05
2010-07-19,144.1
2010-07-20,141.55
2010-07-21,146.86
2010-07-22,144.16
2010-07-23,144.57
2010-07-26,145.21
2010-07-27,147.0
2010-07-28,146.78
2010-07-29,147.63
2010-07-30,150.8
2010-08-02,151.61
2010-08-03,151.41
2010-08-04,153.0
2010-08-05,154.4
2010-08-06,153.77
2010-08-09,154.59
2010-08-10,153.18
2010-08-11,148.91
2010-08-12,147.81
2010-08-13,148.12
2010-08-16,147.0
2010-08-17,148.14
2010-08-18,147.73
2010-08-19,146.28
2010-08-20,147.25
2010-08-23,146.6
2010-08-24,143.82
2010-08-25,142.75
2010-08-26,141.66
2010-08-27,138.25
2010-08-30,136.65
2010-08-31,135.79
2010-09-01,137.8
2010-09-02,138.45
2010-09-03,141.33
2010-09-07,144.15
2010-09-08,145.36
2010-09-09,148.5
2010-09-10,148.81
2010-09-13,152.3
2010-09-14,152.23
2010-09-15,150.67
2010-09-16,151.16
2010-09-17,150.56
2010-09-20,149.89
2010-09-21,151.09
2010-09-22,147.69
2010-09-23,143.98
2010-09-24,145.82
2010-09-27,145.78
2010-09-28,144.06
2010-09-29,142.54
2010-09-30,144.3
2010-10-01,144.82
2010-10-04,144.7
2010-10-05,146.07
2010-10-06,149.1325
2010-10-07,150.03
2010-10-08,150.62
2010-10-11,151.27
2010-10-12,151.01
2010-10-13,154.39
2010-10-14,150.55
2010-10-15,150.66
2010-10-18,150.85
2010-10-19,153.84
2010-10-20,154.86
2010-10-21,158.1
2010-10-22,157.5
2010-10-25,156.27
2010-10-26,156.53
2010-10-27,157.0
2010-10-28,160.44
2010-10-29,161.01
2010-11-01,160.17
2010-11-02,161.8
2010-11-03,160.57
2010-11-04,162.69
2010-11-05,165.97
2010-11-08,169.1
2010-11-09,166.0
2010-11-10,165.57
2010-11-11,165.79
2010-11-12,164.65
2010-11-15,165.01
2010-11-16,164.66
2010-11-17,164.0
2010-11-18,165.59
2010-11-19,165.7
2010-11-22,158.451
2010-11-23,157.66
2010-11-24,158.55
2010-11-26,158.07
2010-11-29,157.0
2010-11-30,156.15
2010-12-01,157.0
2010-12-02,158.84
2010-12-03,160.95
2010-12-06,161.49
2010-12-07,161.44
2010-12-08,161.89
2010-12-09,165.75
2010-12-10,165.9
2010-12-13,167.9
2010-12-14,166.84
2010-12-15,165.11
2010-12-16,163.21
2010-12-17,163.12
2010-12-20,163.65
2010-12-21,166.5
2010-12-22,167.9
2010-12-23,167.17
2010-12-27,166.41
2010-12-28,168.83
2010-12-29,166.57
2010-12-30,166.9901
2010-12-31,167.01
2011-01-03,169.85
2011-01-04,172.0
2011-01-05,172.0
2011-01-06,171.98
2011-01-07,169.3609
2011-01-10,169.2
2011-01-11,168.32
2011-01-12,169.18
2011-01-13,171.0
2011-01-14,171.19
2011-01-18,173.05
2011-01-19,165.86
2011-01-20,164.01
2011-01-21,165.12
2011-01-24,165.75
2011-01-25,160.12
2011-01-26,161.04
2011-01-27,161.11
2011-01-28,161.42
2011-01-31,161.23
2011-02-01,163.61
2011-02-02,164.2
2011-02-03,161.84
2011-02-04,162.76
2011-02-07,164.6
2011-02-08,166.26
2011-02-09,164.66
2011-02-10,164.68
2011-02-11,164.81
2011-02-14,165.51
2011-02-15,166.82
2011-02-16,168.0
2011-02-17,167.0
2011-02-18,166.85
2011-02-22,162.35
2011-02-23,161.77
2011-02-24,161.31799999999998
2011-02-25,163.52
2011-02-28,163.1101
2011-03-01,161.3
2011-03-02,161.11
2011-03-03,162.69
2011-03-04,160.36
2011-03-07,158.5
2011-03-08,159.04
2011-03-09,161.58
2011-03-10,159.99
2011-03-11,159.84
2011-03-14,158.02
2011-03-15,154.85
2011-03-16,153.26
2011-03-17,153.95
2011-03-18,155.24
2011-03-21,159.9
2011-03-22,160.12
2011-03-23,158.24
2011-03-24,158.83100000000002
2011-03-25,157.7
2011-03-28,156.41
2011-03-29,155.5313
2011-03-30,157.47
2011-03-31,157.32
2011-04-01,159.66
2011-04-04,158.6
2011-04-05,157.62
2011-04-06,158.855
2011-04-07,161.57
2011-04-08,160.82
2011-04-11,160.54
2011-04-12,159.4475
2011-04-13,159.83
2011-04-14,155.25
2011-04-15,154.63
2011-04-18,151.52
2011-04-19,149.55
2011-04-20,151.5
2011-04-21,152.7
2011-04-25,151.18
2011-04-26,151.78
2011-04-27,152.0
2011-04-28,150.2
2011-04-29,149.6418
2011-05-02,151.07
2011-05-03,150.68
2011-05-04,150.95
2011-05-05,149.95
2011-05-06,149.53
2011-05-09,148.8
2011-05-10,148.52
2011-05-11,147.65
2011-05-12,140.66
2011-05-13,139.25
2011-05-16,140.26
2011-05-17,139.08
2011-05-18,140.21
2011-05-19,138.4324
2011-05-20,134.79
2011-05-23,133.64
2011-05-24,135.03
2011-05-25,135.51
2011-05-26,135.34
2011-05-27,136.23
2011-05-31,139.88
2011-06-01,136.1
2011-06-02,131.5
2011-06-03,132.89
2011-06-06,133.14
2011-06-07,133.0
2011-06-08,131.5
2011-06-09,131.83
2011-06-10,132.515
2011-06-13,135.92
2011-06-14,136.54
2011-06-15,134.01
2011-06-16,134.15
2011-06-17,137.21
2011-06-20,134.3607
2011-06-21,134.3
2011-06-22,134.43
2011-06-23,131.64
2011-06-24,130.82
2011-06-27,129.8
2011-06-28,128.3
2011-06-29,129.5
2011-06-30,131.5
2011-07-01,133.25
2011-07-05,133.0
2011-07-06,132.82
2011-07-07,134.72
2011-07-08,133.17
2011-07-11,131.07
2011-07-12,130.1
2011-07-13,129.7
2011-07-14,129.7499
2011-07-15,129.18
2011-07-18,127.5
2011-07-19,125.5
2011-07-20,127.5805
2011-07-21,133.25
2011-07-22,134.44
2011-07-25,133.5
2011-07-26,136.02
2011-07-27,134.44
2011-07-28,134.65
2011-07-29,133.13
2011-08-01,133.75
2011-08-02,131.18
2011-08-03,130.71
2011-08-04,126.21
2011-08-05,122.35
2011-08-08,112.11
2011-08-09,111.6
2011-08-10,110.04
2011-08-11,112.25
2011-08-12,115.29
2011-08-15,116.0
2011-08-16,115.5
2011-08-17,116.55
2011-08-18,112.035
2011-08-19,111.11
2011-08-22,105.1
2011-08-23,103.16
2011-08-24,106.39
2011-08-25,108.11
2011-08-26,107.72
2011-08-29,112.33
2011-08-30,113.25
2011-08-31,114.67
2011-09-01,111.6
2011-09-02,105.8
2011-09-06,103.43
2011-09-07,105.0
2011-09-08,104.74
2011-09-09,102.22
2011-09-12,99.78
2011-09-13,101.5
2011-09-14,103.53
2011-09-15,105.1
2011-09-16,105.91
2011-09-19,103.25
2011-09-20,102.53
2011-09-21,97.72
2011-09-22,91.4
2011-09-23,92.8
2011-09-26,95.0
2011-09-27,98.78
2011-09-28,96.21
2011-09-29,97.2
2011-09-30,94.46
2011-10-03,89.88
2011-10-04,84.27
2011-10-05,90.82
2011-10-06,91.76
2011-10-07,92.2476
2011-10-10,93.95
2011-10-11,94.0
2011-10-12,96.39
2011-10-13,94.52
2011-10-14,94.65
2011-10-17,95.17
2011-10-18,96.55
2011-10-19,100.32
2011-10-20,98.28
2011-10-21,100.59
2011-10-24,102.58
2011-10-25,100.08
2011-10-26,101.36
2011-10-27,110.0
2011-10-28,114.0
2011-10-31,109.48
2011-11-01,102.71
2011-11-02,104.75
2011-11-03,102.09
2011-11-04,103.81
2011-11-07,103.75
2011-11-08,106.2
2011-11-09,98.83
2011-11-10,98.14
2011-11-11,100.26
2011-11-14,98.38
2011-11-15,98.06
2011-11-16,95.25
2011-11-17,91.82
2011-11-18,91.31
2011-11-21,88.9
2011-11-22,88.61
2011-11-23,87.6
2011-11-25,87.71
2011-11-28,89.37
2011-11-29,88.65
2011-11-30,91.37
2011-12-01,93.2
