dt,low
2010-01-04,32.32
2010-01-05,31.845
2010-01-06,31.7
2010-01-07,31.37
2010-01-08,31.47
2010-01-11,31.5
2010-01-12,31.04
2010-01-13,31.2
2010-01-14,31.51
2010-01-15,31.7
2010-01-19,31.98
2010-01-20,31.8
2010-01-21,32.0
2010-01-22,31.23
2010-01-25,31.21
2010-01-26,31.25
2010-01-27,31.01
2010-01-28,31.22
2010-01-29,30.53
2010-02-01,30.55
2010-02-02,31.07
2010-02-03,31.69
2010-02-04,31.224
2010-02-05,30.2
2010-02-08,33.53
2010-02-09,34.47
2010-02-10,34.89
2010-02-11,35.0601
2010-02-12,35.47
2010-02-16,34.76
2010-02-17,35.02
2010-02-18,35.1802
2010-02-19,35.37
2010-02-22,35.42
2010-02-23,35.05
2010-02-24,35.11
2010-02-25,34.65
2010-02-26,35.41
2010-03-01,35.5
2010-03-02,36.05
2010-03-03,36.3
2010-03-04,36.31
2010-03-05,36.61
2010-03-08,37.29
2010-03-09,37.4
2010-03-10,37.43
2010-03-11,37.65
2010-03-12,37.75
2010-03-15,37.39
2010-03-16,37.64
2010-03-17,37.77
2010-03-18,37.92
2010-03-19,37.85
2010-03-22,37.801
2010-03-23,37.9
2010-03-24,37.79
2010-03-25,38.07
2010-03-26,38.11
2010-03-29,38.56
2010-03-30,39.03
2010-03-31,38.25
2010-04-01,38.12
2010-04-05,38.29
2010-04-06,38.49
2010-04-07,38.13
2010-04-08,38.0
2010-04-09,38.44
2010-04-12,38.82
2010-04-13,39.07
2010-04-14,39.22
2010-04-15,39.39
2010-04-16,39.78
2010-04-19,39.92
2010-04-20,40.73
2010-04-21,39.81
2010-04-22,39.67
2010-04-23,40.1
2010-04-26,40.39
2010-04-27,39.31
2010-04-28,38.75
2010-04-29,38.67
2010-04-30,38.32
2010-05-03,38.455
2010-05-04,38.78
2010-05-05,38.44
2010-05-06,36.0
2010-05-07,38.31
2010-05-10,39.9
2010-05-11,40.3501
2010-05-12,41.48
2010-05-13,40.75
2010-05-14,39.6
2010-05-17,40.1
2010-05-18,41.11
2010-05-19,40.67
2010-05-20,39.5
2010-05-21,38.75
2010-05-24,39.27
2010-05-25,36.5
2010-05-26,39.31
2010-05-27,40.07
2010-05-28,39.92
2010-06-01,39.33
2010-06-02,39.23
2010-06-03,39.55
2010-06-04,38.6
2010-06-07,38.33
2010-06-08,37.39
2010-06-09,38.17
2010-06-10,39.0
2010-06-11,39.55
2010-06-14,40.48
2010-06-15,41.0
2010-06-16,41.41
2010-06-17,42.54
2010-06-18,42.74
2010-06-21,42.0
2010-06-22,41.17
2010-06-23,40.62
2010-06-24,41.55
2010-06-25,41.79
2010-06-28,42.56
2010-06-29,41.73
2010-06-30,41.04
2010-07-01,40.57
2010-07-02,40.19
2010-07-06,39.72
2010-07-07,39.92
2010-07-08,40.67
2010-07-09,40.91
2010-07-12,41.5
2010-07-13,41.81
2010-07-14,41.39
2010-07-15,40.7
2010-07-16,39.28
2010-07-19,37.65
2010-07-20,38.93
2010-07-21,39.26
2010-07-22,39.73
2010-07-23,40.1
2010-07-26,40.8
2010-07-27,41.88
2010-07-28,41.27
2010-07-29,41.02
2010-07-30,41.42
2010-08-02,42.69
2010-08-03,42.343999999999994
2010-08-04,42.35
2010-08-05,43.23
2010-08-06,42.42
2010-08-09,43.55
2010-08-10,42.948
2010-08-11,42.4
2010-08-12,41.79
2010-08-13,42.3
2010-08-16,42.18
2010-08-17,42.97
2010-08-18,43.71
2010-08-19,42.53
2010-08-20,41.93
2010-08-23,42.19
2010-08-24,41.08
2010-08-25,40.14
2010-08-26,40.3701
2010-08-27,40.02
2010-08-30,40.11
2010-08-31,39.57
2010-09-01,40.64
2010-09-02,41.69
2010-09-03,42.913000000000004
2010-09-07,43.01
2010-09-08,42.94
2010-09-09,43.03
2010-09-10,42.96
2010-09-13,43.6
2010-09-14,43.75
2010-09-15,43.52
2010-09-16,43.9
2010-09-17,44.49
2010-09-20,44.65
2010-09-21,44.86
2010-09-22,43.68
2010-09-23,43.22
2010-09-24,44.2
2010-09-27,44.22
2010-09-28,44.2495
2010-09-29,44.35
2010-09-30,44.33
2010-10-01,44.24
2010-10-04,44.25
2010-10-05,44.84
2010-10-06,45.52
2010-10-07,45.07
2010-10-08,45.09
2010-10-11,45.61
2010-10-12,45.2
2010-10-13,45.89
2010-10-14,45.69
2010-10-15,44.45
2010-10-18,46.7
2010-10-19,45.52
2010-10-20,45.87
2010-10-21,45.52
2010-10-22,45.7
2010-10-25,45.82
2010-10-26,45.55
2010-10-27,45.26
2010-10-28,45.3
2010-10-29,45.48
2010-11-01,46.25
2010-11-02,46.72
2010-11-03,46.82
2010-11-04,46.8
2010-11-05,46.84
2010-11-08,46.8
2010-11-09,46.48
2010-11-10,46.4
2010-11-11,46.27
2010-11-12,46.5
2010-11-15,46.62
2010-11-16,45.71
2010-11-17,45.68
2010-11-18,46.9203
2010-11-19,47.07
2010-11-22,46.97
2010-11-23,46.55
2010-11-24,47.41
2010-11-26,47.01
2010-11-29,46.5
2010-11-30,46.6375
2010-12-01,47.74
