dt,low
2014-06-19,26.06
2014-06-20,26.7
2014-06-23,26.52
2014-06-24,26.45
2014-06-25,26.51
2014-06-26,26.77
2014-06-27,26.7
2014-06-30,26.67
2014-07-01,26.71
2014-07-02,26.62
2014-07-03,26.66
2014-07-07,26.66
2014-07-08,26.625999999999998
2014-07-09,26.73
2014-07-10,26.14
2014-07-11,26.55
2014-07-14,25.5
2014-07-15,25.75
2014-07-16,26.0
2014-07-17,25.95
2014-07-18,25.8
2014-07-21,25.44
2014-07-22,25.29
2014-07-23,25.134
2014-07-24,25.291999999999998
2014-07-25,25.21
2014-07-28,25.53
2014-07-29,25.95
2014-07-30,25.51
2014-07-31,25.18
2014-08-01,24.83
2014-08-04,24.93
2014-08-05,24.96
2014-08-06,24.73
2014-08-07,25.06
2014-08-08,24.06
2014-08-11,24.06
2014-08-12,25.68
2014-08-13,25.28
2014-08-14,25.41
2014-08-15,25.25
2014-08-18,25.0601
2014-08-19,25.11
2014-08-20,25.5
2014-08-21,25.33
2014-08-22,25.29
2014-08-25,25.1
2014-08-26,24.85
2014-08-27,25.06
2014-08-28,24.07
2014-08-29,24.51
2014-09-02,24.99
2014-09-03,24.83
2014-09-04,24.8
2014-09-05,24.76
2014-09-08,24.5705
2014-09-09,23.99
2014-09-10,24.13
2014-09-11,24.3401
2014-09-12,24.35
2014-09-15,24.25
2014-09-16,24.3
2014-09-17,24.13
2014-09-18,24.04
2014-09-19,24.0601
2014-09-22,23.84
2014-09-23,23.7
2014-09-24,23.72
2014-09-25,23.4
2014-09-26,23.56
2014-09-29,23.46
2014-09-30,23.08
2014-10-01,23.01
2014-10-02,22.78
2014-10-03,22.88
2014-10-06,22.12
2014-10-07,20.99
2014-10-08,21.05
2014-10-09,21.84
2014-10-10,21.471999999999998
2014-10-13,22.09
2014-10-14,22.62
2014-10-15,22.5
2014-10-16,22.58
2014-10-17,22.89
2014-10-20,22.51
2014-10-21,22.79
2014-10-22,22.87
2014-10-23,22.94
2014-10-24,23.34
2014-10-27,22.68
2014-10-28,22.5
2014-10-29,23.01
2014-10-30,23.7
2014-10-31,24.5
2014-11-03,24.4
2014-11-04,23.766
2014-11-05,24.03
2014-11-06,23.665
2014-11-07,23.64
2014-11-10,23.64
2014-11-11,23.57
2014-11-12,23.97
2014-11-13,24.6701
2014-11-14,24.4
2014-11-17,24.5
2014-11-18,24.846
2014-11-19,24.96
2014-11-20,25.3
2014-11-21,25.65
2014-11-24,25.09
2014-11-25,25.195999999999998
2014-11-26,25.33
2014-11-28,25.38
2014-12-01,25.0
2014-12-02,25.04
2014-12-03,24.95
2014-12-04,24.28
2014-12-05,24.52
2014-12-08,25.02
2014-12-09,25.41
2014-12-10,26.02
2014-12-11,26.0
2014-12-12,25.51
2014-12-15,25.3
2014-12-16,24.7
2014-12-17,24.75
2014-12-18,25.0
2014-12-19,24.99
2014-12-22,25.05
2014-12-23,25.95
2014-12-24,26.46
2014-12-26,26.21
2014-12-29,26.26
2014-12-30,26.26
2014-12-31,26.35
2015-01-02,26.33
2015-01-05,25.77
2015-01-06,24.93
2015-01-07,25.475
2015-01-08,26.23
2015-01-09,26.58
2015-01-12,26.37
2015-01-13,26.09
2015-01-14,26.06
2015-01-15,25.39
2015-01-16,25.51
2015-01-20,25.53
2015-01-21,25.4
2015-01-22,25.37
2015-01-23,25.51
2015-01-26,25.48
2015-01-27,25.61
2015-01-28,26.27
2015-01-29,25.29
2015-01-30,25.955
2015-02-02,25.85
2015-02-03,26.33
2015-02-04,25.96
2015-02-05,26.1
2015-02-06,26.345
2015-02-09,26.325
2015-02-10,26.32
2015-02-11,26.17
2015-02-12,26.42
2015-02-13,25.67
2015-02-17,25.69
2015-02-18,25.94
2015-02-19,25.97
2015-02-20,26.0001
2015-02-23,26.03
2015-02-24,26.29
2015-02-25,26.164
2015-02-26,26.44
2015-02-27,26.34
2015-03-02,26.59
2015-03-03,26.51
2015-03-04,26.28
2015-03-05,26.12
2015-03-06,25.705
2015-03-09,25.71
2015-03-10,25.68
2015-03-11,25.26
2015-03-12,25.63
2015-03-13,25.49
2015-03-16,25.63
2015-03-17,26.1
2015-03-18,26.2332
2015-03-19,26.645
2015-03-20,26.9
2015-03-23,27.15
2015-03-24,26.94
2015-03-25,26.68
2015-03-26,26.63
2015-03-27,26.55
2015-03-30,26.87
2015-03-31,26.51
2015-04-01,26.51
2015-04-02,27.18
2015-04-06,26.87
2015-04-07,26.96
2015-04-08,27.0
2015-04-09,26.91
2015-04-10,26.92
2015-04-13,27.0
2015-04-14,26.56
2015-04-15,26.55
2015-04-16,26.27
2015-04-17,25.94
2015-04-20,25.83
2015-04-21,25.73
2015-04-22,25.72
2015-04-23,25.84
2015-04-24,25.87
2015-04-27,25.732
2015-04-28,25.5
2015-04-29,25.6
2015-04-30,25.41
2015-05-01,25.7
2015-05-04,25.94
2015-05-05,25.71
2015-05-06,25.531999999999996
2015-05-07,25.41
2015-05-08,25.5
2015-05-11,25.71
2015-05-12,25.63
2015-05-13,24.96
2015-05-14,25.73
2015-05-15,25.98
2015-05-18,25.83
2015-05-19,26.01
2015-05-20,25.97
2015-05-21,26.07
2015-05-22,26.06
2015-05-26,25.71
2015-05-27,25.88
2015-05-28,26.01
2015-05-29,26.43
2015-06-01,26.5
2015-06-02,26.6
2015-06-03,26.59
2015-06-04,25.875
2015-06-05,26.25
2015-06-08,26.36
2015-06-09,26.22
2015-06-10,26.41
2015-06-11,26.41
2015-06-12,26.7
2015-06-15,26.53
2015-06-16,26.5
2015-06-17,26.53
2015-06-18,26.34
2015-06-19,26.4
2015-06-22,26.486
2015-06-23,26.58
2015-06-24,26.565
2015-06-25,26.5
2015-06-26,26.35
2015-06-29,25.6
2015-06-30,25.36
2015-07-01,25.616
2015-07-02,26.26
2015-07-06,26.28
2015-07-07,25.94
2015-07-08,26.13
2015-07-09,26.21
2015-07-10,26.15
2015-07-13,25.78
2015-07-14,26.255
2015-07-15,26.27
2015-07-16,26.23
2015-07-17,26.4
2015-07-20,26.22
2015-07-21,26.09
2015-07-22,26.13
2015-07-23,26.31
2015-07-24,26.31
2015-07-27,26.06
2015-07-28,26.06
2015-07-29,26.29
2015-07-30,26.12
2015-07-31,26.37
2015-08-03,26.44
2015-08-04,26.26
2015-08-05,26.23
2015-08-06,26.48
2015-08-07,26.52
2015-08-10,26.65
2015-08-11,27.0
2015-08-12,26.88
2015-08-13,28.38
2015-08-14,28.12
2015-08-17,28.79
2015-08-18,28.75
2015-08-19,29.07
2015-08-20,28.96
2015-08-21,28.75
2015-08-24,26.63
2015-08-25,27.86
2015-08-26,27.8205
2015-08-27,28.05
2015-08-28,27.89
2015-08-31,28.3
2015-09-01,27.99
2015-09-02,28.25
2015-09-03,28.75
2015-09-04,28.67
2015-09-08,28.75
2015-09-09,28.57
2015-09-10,28.38
2015-09-11,28.46
2015-09-14,28.46
2015-09-15,28.660999999999998
2015-09-16,29.22
2015-09-17,29.2
2015-09-18,29.17
2015-09-21,29.19
2015-09-22,29.03
2015-09-23,29.16
2015-09-24,28.94
2015-09-25,28.84
2015-09-28,28.17
2015-09-29,28.05
2015-09-30,28.5
2015-10-01,28.75
2015-10-02,28.42
2015-10-05,29.75
2015-10-06,29.4
2015-10-07,29.41
2015-10-08,29.32
2015-10-09,29.55
2015-10-12,29.901
2015-10-13,29.61
2015-10-14,29.605
2015-10-15,29.71
2015-10-16,30.39
2015-10-19,30.38
2015-10-20,30.3
2015-10-21,30.23
2015-10-22,30.25
2015-10-23,30.4
2015-10-26,29.93
2015-10-27,30.12
2015-10-28,30.24
2015-10-29,30.14
2015-10-30,30.3
2015-11-02,30.48
2015-11-03,30.51
2015-11-04,30.4
2015-11-05,29.81
2015-11-06,29.01
2015-11-09,29.45
2015-11-10,29.19
2015-11-11,29.54
2015-11-12,28.79
2015-11-13,28.18
2015-11-16,28.39
2015-11-17,28.14
2015-11-18,28.73
2015-11-19,29.0
2015-11-20,29.05
2015-11-23,29.11
2015-11-24,28.59
