dt,low
2010-01-04,20.73
2010-01-05,20.6
2010-01-06,20.67
2010-01-07,20.34
2010-01-08,20.4
2010-01-11,20.82
2010-01-12,20.38
2010-01-13,20.44
2010-01-14,21.05
2010-01-15,20.77
2010-01-19,20.85
2010-01-20,20.85
2010-01-21,20.68
2010-01-22,19.81
2010-01-25,20.14
2010-01-26,19.95
2010-01-27,19.82
2010-01-28,19.68
2010-01-29,19.3
2010-02-01,19.44
2010-02-02,19.56
2010-02-03,19.47
2010-02-04,18.95
2010-02-05,19.0
2010-02-08,19.3
2010-02-09,19.44
2010-02-10,19.45
2010-02-11,19.55
2010-02-12,19.785
2010-02-16,20.55
2010-02-17,20.53
2010-02-18,20.545
2010-02-19,20.58
2010-02-22,20.65
2010-02-23,20.29
2010-02-24,20.5
2010-02-25,20.22
2010-02-26,20.43
2010-03-01,20.62
2010-03-02,20.58
2010-03-03,20.44
2010-03-04,20.26
2010-03-05,20.45
2010-03-08,20.7
2010-03-09,20.66
2010-03-10,20.91
2010-03-11,20.99
2010-03-12,21.18
2010-03-15,21.05
2010-03-16,21.2
2010-03-17,21.91
2010-03-18,22.01
2010-03-19,21.81
2010-03-22,21.84
2010-03-23,22.36
2010-03-24,22.32
2010-03-25,22.31
2010-03-26,22.07
2010-03-29,22.26
2010-03-30,22.18
2010-03-31,22.203000000000003
2010-04-01,22.2
2010-04-05,22.34
2010-04-06,22.26
2010-04-07,22.25
2010-04-08,22.16
2010-04-09,22.36
2010-04-12,22.44
2010-04-13,22.47
2010-04-14,23.27
2010-04-15,23.8
2010-04-16,23.77
2010-04-19,23.54
2010-04-20,23.9
2010-04-21,23.54
2010-04-22,23.315
2010-04-23,23.73
2010-04-26,23.81
2010-04-27,23.3
2010-04-28,22.91
2010-04-29,23.3
2010-04-30,22.81
2010-05-03,22.9
2010-05-04,22.4
2010-05-05,21.9
2010-05-06,19.9
2010-05-07,20.46
2010-05-10,22.16
2010-05-11,22.1
2010-05-12,22.49
2010-05-13,22.36
2010-05-14,21.53
2010-05-17,21.41
2010-05-18,21.33
2010-05-19,21.0
2010-05-20,20.63
2010-05-21,20.18
2010-05-24,20.61
2010-05-25,20.03
2010-05-26,20.7
2010-05-27,21.12
2010-05-28,21.23
2010-06-01,21.13
2010-06-02,21.16
2010-06-03,21.471999999999998
2010-06-04,20.79
2010-06-07,20.24
2010-06-08,19.74
2010-06-09,19.86
2010-06-10,20.25
2010-06-11,20.28
2010-06-14,20.82
2010-06-15,21.01
2010-06-16,21.21
2010-06-17,21.2
2010-06-18,21.18
2010-06-21,21.06
2010-06-22,20.86
2010-06-23,20.66
2010-06-24,20.2
2010-06-25,19.89
2010-06-28,19.91
2010-06-29,19.65
2010-06-30,19.4
2010-07-01,19.0
2010-07-02,18.96
2010-07-06,19.25
2010-07-07,19.39
2010-07-08,19.83
2010-07-09,19.96
2010-07-12,20.3
2010-07-13,20.82
2010-07-14,21.28
2010-07-15,21.01
2010-07-16,21.01
2010-07-19,21.1595
2010-07-20,21.1
2010-07-21,21.18
2010-07-22,21.34
2010-07-23,21.33
2010-07-26,21.41
2010-07-27,21.39
2010-07-28,21.29
2010-07-29,20.76
2010-07-30,20.58
2010-08-02,20.73
2010-08-03,20.71
2010-08-04,20.45
2010-08-05,20.46
2010-08-06,20.41
2010-08-09,20.41
2010-08-10,19.7
2010-08-11,19.3
2010-08-12,19.08
2010-08-13,19.15
2010-08-16,19.11
2010-08-17,19.5
2010-08-18,19.47
2010-08-19,18.81
2010-08-20,18.76
2010-08-23,18.6
2010-08-24,18.39
2010-08-25,18.18
2010-08-26,18.12
2010-08-27,17.81
2010-08-30,17.94
2010-08-31,17.6
2010-09-01,17.89
2010-09-02,18.08
2010-09-03,18.2
2010-09-07,18.05
2010-09-08,17.75
2010-09-09,17.93
2010-09-10,17.84
2010-09-13,18.2
2010-09-14,18.34
2010-09-15,18.54
2010-09-16,18.58
2010-09-17,18.67
2010-09-20,18.69
2010-09-21,18.84
2010-09-22,18.89
2010-09-23,18.75
2010-09-24,19.18
2010-09-27,19.18
2010-09-28,19.1
2010-09-29,19.12
2010-09-30,19.11
2010-10-01,18.8833
2010-10-04,18.77
2010-10-05,19.03
2010-10-06,19.13
2010-10-07,19.21
2010-10-08,19.21
2010-10-11,19.53
2010-10-12,19.44
2010-10-13,19.16
2010-10-14,19.2
2010-10-15,19.2
2010-10-18,18.97
2010-10-19,18.9
2010-10-20,19.29
2010-10-21,19.57
2010-10-22,19.75
2010-10-25,19.8
2010-10-26,19.73
2010-10-27,19.81
2010-10-28,20.02
2010-10-29,20.01
2010-11-01,20.34
2010-11-02,20.29
2010-11-03,20.22
2010-11-04,20.56
2010-11-05,20.97
2010-11-08,21.17
2010-11-09,21.03
2010-11-10,20.82
2010-11-11,20.55
2010-11-12,21.33
2010-11-15,21.26
2010-11-16,20.88
2010-11-17,20.93
2010-11-18,20.92
2010-11-19,20.88
2010-11-22,20.88
2010-11-23,20.81
2010-11-24,21.17
2010-11-26,21.1
2010-11-29,21.12
2010-11-30,21.07
2010-12-01,21.42
2010-12-02,21.48
2010-12-03,21.62
2010-12-06,21.55
2010-12-07,21.58
2010-12-08,21.66
2010-12-09,21.72
2010-12-10,21.8
2010-12-13,21.34
2010-12-14,21.3
2010-12-15,21.28
2010-12-16,21.25
2010-12-17,21.27
2010-12-20,21.2
2010-12-21,21.08
2010-12-22,20.81
2010-12-23,20.7
2010-12-27,20.65
2010-12-28,20.76
2010-12-29,20.88
2010-12-30,20.93
2010-12-31,20.94
2011-01-03,20.78
2011-01-04,21.05
2011-01-05,20.9
2011-01-06,20.55
2011-01-07,20.27
2011-01-10,20.57
2011-01-11,20.74
2011-01-12,21.07
2011-01-13,21.08
2011-01-14,20.97
2011-01-18,20.94
2011-01-19,20.95
2011-01-20,20.62
2011-01-21,20.81
2011-01-24,20.93
2011-01-25,21.17
2011-01-26,21.66
2011-01-27,21.65
2011-01-28,21.35
2011-01-31,21.03
2011-02-01,21.28
2011-02-02,21.47
2011-02-03,21.3
2011-02-04,21.43
2011-02-07,21.63
2011-02-08,21.4
2011-02-09,21.42
2011-02-10,21.35
2011-02-11,21.52
2011-02-14,21.5
2011-02-15,21.28
2011-02-16,21.43
2011-02-17,21.67
2011-02-18,22.01
2011-02-22,21.73
2011-02-23,21.01
2011-02-24,21.03
2011-02-25,21.46
2011-02-28,21.37
2011-03-01,21.35
2011-03-02,21.4
2011-03-03,21.65
2011-03-04,21.4
2011-03-07,21.08
2011-03-08,21.02
2011-03-09,20.94
2011-03-10,20.72
2011-03-11,20.61
2011-03-14,20.62
2011-03-15,20.01
2011-03-16,19.71
2011-03-17,19.8
2011-03-18,19.88
2011-03-21,19.87
2011-03-22,19.98
2011-03-23,20.01
2011-03-24,20.28
2011-03-25,20.21
2011-03-28,20.33
2011-03-29,19.98
2011-03-30,20.17
2011-03-31,19.94
2011-04-01,19.56
2011-04-04,19.36
2011-04-05,19.55
2011-04-06,19.71
2011-04-07,19.82
2011-04-08,19.95
2011-04-11,20.01
2011-04-12,19.69
2011-04-13,19.72
2011-04-14,19.41
2011-04-15,19.53
2011-04-18,19.45
2011-04-19,19.62
2011-04-20,20.94
2011-04-21,21.19
2011-04-25,21.33
2011-04-26,21.81
2011-04-27,22.33
2011-04-28,22.45
2011-04-29,22.63
2011-05-02,22.81
2011-05-03,22.67
2011-05-04,22.72
2011-05-05,23.17
2011-05-06,23.13
2011-05-09,22.65
2011-05-10,22.82
2011-05-11,23.2
2011-05-12,23.23
2011-05-13,23.36
2011-05-16,23.267
2011-05-17,23.08
2011-05-18,23.52
2011-05-19,23.2
2011-05-20,23.15
2011-05-23,22.76
2011-05-24,22.59
2011-05-25,22.41
2011-05-26,22.45
2011-05-27,22.11
2011-05-31,22.32
2011-06-01,21.98
2011-06-02,21.86
2011-06-03,21.67
2011-06-06,21.66
2011-06-07,22.0
2011-06-08,21.73
2011-06-09,21.7
2011-06-10,21.26
2011-06-13,21.28
2011-06-14,21.55
2011-06-15,21.4
2011-06-16,21.27
2011-06-17,21.07
2011-06-20,21.16
2011-06-21,21.22
2011-06-22,21.38
2011-06-23,21.06
2011-06-24,21.2
2011-06-27,21.0
2011-06-28,21.26
2011-06-29,21.31
2011-06-30,21.48
2011-07-01,22.1
2011-07-05,22.36
2011-07-06,22.44
2011-07-07,22.86
2011-07-08,22.81
2011-07-11,22.73
2011-07-12,22.24
2011-07-13,22.32
2011-07-14,22.21
2011-07-15,22.2
2011-07-18,22.08
2011-07-19,22.44
2011-07-20,22.9
2011-07-21,22.17
2011-07-22,22.78
2011-07-25,22.8
2011-07-26,22.83
2011-07-27,22.35
2011-07-28,22.33
2011-07-29,22.22
2011-08-01,21.9
2011-08-02,21.71
2011-08-03,21.35
2011-08-04,20.84
2011-08-05,20.21
2011-08-08,20.08
2011-08-09,19.52
2011-08-10,19.77
2011-08-11,20.07
2011-08-12,20.56
2011-08-15,20.63
2011-08-16,20.5
2011-08-17,20.4
2011-08-18,19.55
2011-08-19,19.16
2011-08-22,19.26
2011-08-23,19.3
2011-08-24,19.37
2011-08-25,19.4
2011-08-26,19.27
2011-08-29,19.83
2011-08-30,19.9199
2011-08-31,20.02
2011-09-01,19.99
2011-09-02,19.57
2011-09-06,19.16
2011-09-07,19.86
2011-09-08,19.81
2011-09-09,19.66
2011-09-12,19.52
2011-09-13,20.21
2011-09-14,20.71
2011-09-15,21.2201
2011-09-16,21.43
2011-09-19,21.63
2011-09-20,21.86
2011-09-21,21.9
2011-09-22,21.34
2011-09-23,21.22
2011-09-26,21.79
2011-09-27,22.37
2011-09-28,22.3
2011-09-29,21.87
2011-09-30,21.33
2011-10-03,20.57
2011-10-04,20.4
2011-10-05,21.06
2011-10-06,21.67
2011-10-07,21.91
2011-10-10,22.47
2011-10-11,22.61
2011-10-12,22.98
2011-10-13,22.96
2011-10-14,23.25
2011-10-17,23.14
2011-10-18,23.065
2011-10-19,23.86
2011-10-20,23.35
2011-10-21,23.8
2011-10-24,24.02
2011-10-25,24.39
2011-10-26,24.34
2011-10-27,24.851
2011-10-28,24.73
2011-10-31,24.49
2011-11-01,23.82
2011-11-02,23.55
2011-11-03,23.28
2011-11-04,23.66
2011-11-07,23.63
2011-11-08,24.26
2011-11-09,23.8
2011-11-10,23.74
2011-11-11,24.29
2011-11-14,24.48
2011-11-15,24.62
2011-11-16,24.88
2011-11-17,24.12
2011-11-18,24.02
2011-11-21,23.35
2011-11-22,23.09
2011-11-23,22.69
2011-11-25,22.51
2011-11-28,23.25
2011-11-29,23.42
2011-11-30,24.23
2011-12-01,24.4
2011-12-02,24.6
2011-12-05,24.79
2011-12-06,25.0
2011-12-07,25.13
2011-12-08,24.63
2011-12-09,24.38
2011-12-12,23.61
2011-12-13,23.42
2011-12-14,23.14
2011-12-15,23.25
2011-12-16,23.23
2011-12-19,23.05
2011-12-20,23.44
2011-12-21,23.43
2011-12-22,23.76
2011-12-23,24.04
2011-12-27,24.4
2011-12-28,24.18
2011-12-29,24.28
2011-12-30,24.25
2012-01-03,24.39
2012-01-04,24.53
2012-01-05,24.98
2012-01-06,25.01
2012-01-09,25.22
2012-01-10,25.51
2012-01-11,25.34
2012-01-12,25.54
2012-01-13,25.1
2012-01-17,24.97
2012-01-18,25.01
2012-01-19,25.37
2012-01-20,25.5
2012-01-23,26.34
2012-01-24,26.61
2012-01-25,26.5
2012-01-26,26.6
2012-01-27,26.59
2012-01-30,26.27
2012-01-31,26.28
2012-02-01,26.51
2012-02-02,26.46
2012-02-03,26.58
2012-02-06,26.36
2012-02-07,26.425
2012-02-08,26.61
2012-02-09,26.785
2012-02-10,26.45
2012-02-13,26.52
2012-02-14,26.5
2012-02-15,26.5
2012-02-16,26.35
2012-02-17,26.82
2012-02-21,27.01
2012-02-22,26.51
2012-02-23,26.35
2012-02-24,26.45
2012-02-27,26.45
2012-02-28,26.82
2012-02-29,26.84
2012-03-01,26.71
2012-03-02,26.77
2012-03-05,26.36
2012-03-06,26.2
2012-03-07,26.52
2012-03-08,26.75
2012-03-09,26.87
2012-03-12,26.91
2012-03-13,27.09
2012-03-14,27.34
2012-03-15,27.43
2012-03-16,27.7
2012-03-19,27.54
2012-03-20,27.56
2012-03-21,27.7
2012-03-22,27.61
2012-03-23,27.68
2012-03-26,27.96
2012-03-27,28.07
2012-03-28,27.8
2012-03-29,27.67
2012-03-30,28.02
2012-04-02,27.99
2012-04-03,27.945
2012-04-04,27.6
2012-04-05,27.8
2012-04-09,27.59
2012-04-10,27.41
2012-04-11,27.63
2012-04-12,27.93
2012-04-13,28.08
2012-04-16,28.14
2012-04-17,28.41
2012-04-18,27.46
2012-04-19,27.44
2012-04-20,27.57
2012-04-23,27.26
2012-04-24,27.24
2012-04-25,27.35
2012-04-26,27.75
2012-04-27,28.1
2012-04-30,28.29
2012-05-01,28.37
2012-05-02,28.72
2012-05-03,28.42
2012-05-04,27.84
2012-05-07,27.65
2012-05-08,27.01
2012-05-09,26.75
2012-05-10,26.955
2012-05-11,27.2
2012-05-14,26.88
2012-05-15,26.82
2012-05-16,26.49
2012-05-17,26.19
2012-05-18,26.05
2012-05-21,25.68
2012-05-22,25.775
2012-05-23,24.92
2012-05-24,25.31
2012-05-25,25.57
2012-05-29,25.86
2012-05-30,25.8
2012-05-31,25.7
2012-06-01,25.12
2012-06-04,24.84
2012-06-05,25.0
2012-06-06,25.43
2012-06-07,25.89
2012-06-08,25.85
2012-06-11,25.96
2012-06-12,26.05
2012-06-13,26.34
2012-06-14,26.42
2012-06-15,26.88
2012-06-18,27.22
2012-06-19,27.25
2012-06-20,27.38
2012-06-21,26.61
2012-06-22,26.67
2012-06-25,25.88
2012-06-26,25.74
2012-06-27,26.06
2012-06-28,25.45
2012-06-29,26.21
2012-07-02,26.39
2012-07-03,26.56
2012-07-05,26.37
2012-07-06,25.93
2012-07-09,25.81
2012-07-10,25.44
2012-07-11,25.22
2012-07-12,24.68
2012-07-13,24.76
2012-07-16,25.0
2012-07-17,24.85
2012-07-18,25.05
2012-07-19,25.82
2012-07-20,25.5
2012-07-23,24.8
2012-07-24,24.79
2012-07-25,25.0
2012-07-26,25.34
2012-07-27,25.47
2012-07-30,25.68
2012-07-31,25.7
2012-08-01,25.67
2012-08-02,25.68
2012-08-03,25.98
2012-08-06,26.2
2012-08-07,26.35
2012-08-08,26.3
2012-08-09,26.57
2012-08-10,26.5312
2012-08-13,26.41
2012-08-14,26.38
2012-08-15,26.19
2012-08-16,26.34
2012-08-17,26.21
2012-08-20,26.1
2012-08-21,25.99
2012-08-22,25.66
2012-08-23,24.93
2012-08-24,24.7
2012-08-27,24.75
2012-08-28,24.68
2012-08-29,24.54
2012-08-30,24.15
2012-08-31,24.48
2012-09-04,24.27
2012-09-05,24.19
2012-09-06,24.46
2012-09-07,24.01
2012-09-10,23.17
2012-09-11,23.2
2012-09-12,23.06
2012-09-13,22.83
2012-09-14,23.23
2012-09-17,23.16
2012-09-18,23.14
2012-09-19,23.14
2012-09-20,22.99
2012-09-21,23.01
2012-09-24,22.52
2012-09-25,22.51
2012-09-26,22.48
2012-09-27,22.65
2012-09-28,22.59
2012-10-01,22.68
2012-10-02,22.66
2012-10-03,22.49
2012-10-04,22.27
2012-10-05,22.58
2012-10-08,22.4
2012-10-09,21.85
2012-10-10,21.7
2012-10-11,21.52
2012-10-12,21.4
2012-10-15,21.5
2012-10-16,21.95
2012-10-17,21.265
2012-10-18,21.6
2012-10-19,21.22
2012-10-22,21.3
2012-10-23,21.3
2012-10-24,21.41
2012-10-25,21.51
2012-10-26,21.6
2012-10-31,21.59
2012-11-01,21.72
2012-11-02,22.02
2012-11-05,21.72
2012-11-06,21.63
2012-11-07,20.9
2012-11-08,20.82
2012-11-09,20.8
2012-11-12,20.65
2012-11-13,20.18
2012-11-14,19.95
2012-11-15,19.98
2012-11-16,19.77
2012-11-19,19.73
2012-11-20,19.35
2012-11-21,19.23
2012-11-23,19.36
2012-11-26,19.62
2012-11-27,19.92
2012-11-28,19.64
2012-11-29,19.46
2012-11-30,19.42
2012-12-03,19.5
2012-12-04,19.61
2012-12-05,19.74
2012-12-06,19.96
2012-12-07,20.03
2012-12-10,19.98
2012-12-11,20.15
2012-12-12,20.54
2012-12-13,20.44
2012-12-14,20.35
2012-12-17,20.36
2012-12-18,20.57
