dt,low
2010-01-04,13.46
2010-01-05,13.62
2010-01-06,14.2
2010-01-07,13.88
2010-01-08,13.86
2010-01-11,14.36
2010-01-12,14.45
2010-01-13,14.51
2010-01-14,14.27
2010-01-15,14.42
2010-01-19,14.26
2010-01-20,14.2
2010-01-21,13.79
2010-01-22,12.99
2010-01-25,13.18
2010-01-26,12.97
2010-01-27,12.37
2010-01-28,12.22
2010-01-29,12.15
2010-02-01,12.19
2010-02-02,12.14
2010-02-03,12.0
2010-02-04,11.49
2010-02-05,11.52
2010-02-08,11.65
2010-02-09,11.61
2010-02-10,11.76
2010-02-11,11.73
2010-02-12,11.77
2010-02-16,12.06
2010-02-17,12.28
2010-02-18,12.17
2010-02-19,12.34
2010-02-22,12.3
2010-02-23,11.98
2010-02-24,12.11
2010-02-25,11.78
2010-02-26,11.97
2010-03-01,12.5
2010-03-02,12.85
2010-03-03,13.08
2010-03-04,13.15
2010-03-05,13.36
2010-03-08,13.58
2010-03-09,13.4
2010-03-10,13.76
2010-03-11,13.54
2010-03-12,13.68
2010-03-15,13.75
2010-03-16,13.87
2010-03-17,14.07
2010-03-18,14.23
2010-03-19,14.01
2010-03-22,13.79
2010-03-23,13.99
2010-03-24,13.95
2010-03-25,14.21
2010-03-26,14.12
2010-03-29,14.35
2010-03-30,14.26
2010-03-31,14.21
2010-04-01,14.63
2010-04-05,14.74
2010-04-06,14.92
2010-04-07,14.82
2010-04-08,14.61
2010-04-09,14.52
2010-04-12,14.59
2010-04-13,14.57
2010-04-14,14.91
2010-04-15,15.25
2010-04-16,14.84
2010-04-19,14.5
2010-04-20,14.83
2010-04-21,14.935
2010-04-22,13.95
2010-04-23,14.0
2010-04-26,14.22
2010-04-27,13.66
2010-04-28,13.52
2010-04-29,13.91
2010-04-30,14.08
2010-05-03,14.07
2010-05-04,13.38
2010-05-05,13.03
2010-05-06,11.6
2010-05-07,11.82
2010-05-10,12.33
2010-05-11,12.56
2010-05-12,12.7
2010-05-13,12.79
2010-05-14,12.1
2010-05-17,11.66
2010-05-18,11.75
2010-05-19,11.43
2010-05-20,11.03
2010-05-21,10.51
2010-05-24,10.51
2010-05-25,10.0
2010-05-26,10.23
2010-05-27,10.36
2010-05-28,10.52
2010-06-01,10.07
2010-06-02,9.93
2010-06-03,10.27
2010-06-04,9.87
2010-06-07,9.62
2010-06-08,9.37
2010-06-09,9.55
2010-06-10,9.72
2010-06-11,10.2
2010-06-14,10.39
2010-06-15,10.39
2010-06-16,10.19
2010-06-17,10.08
2010-06-18,10.17
2010-06-21,10.11
2010-06-22,9.99
2010-06-23,9.77
2010-06-24,9.42
2010-06-25,9.44
2010-06-28,9.62
2010-06-29,8.92
2010-06-30,8.84
2010-07-01,8.63
2010-07-02,8.76
2010-07-06,8.73
2010-07-07,8.82
2010-07-08,9.52
2010-07-09,9.86
2010-07-12,9.83
2010-07-13,10.0
2010-07-14,9.87
2010-07-15,9.72
2010-07-16,9.39
2010-07-19,9.23
2010-07-20,9.18
2010-07-21,9.45
2010-07-22,9.75
2010-07-23,10.39
2010-07-26,10.6
2010-07-27,10.66
2010-07-28,10.5
2010-07-29,10.38
2010-07-30,10.35
2010-08-02,10.49
2010-08-03,10.6675
2010-08-04,10.625
2010-08-05,10.68
2010-08-06,10.51
2010-08-09,10.67
2010-08-10,10.28
2010-08-11,9.88
2010-08-12,9.64
2010-08-13,9.6
2010-08-16,9.53
2010-08-17,9.85
2010-08-18,9.99
2010-08-19,9.9
2010-08-20,9.83
2010-08-23,9.81
2010-08-24,9.6
2010-08-25,9.4
2010-08-26,9.39
2010-08-27,9.29
2010-08-30,9.09
2010-08-31,8.96
2010-09-01,9.17
2010-09-02,9.35
2010-09-03,9.63
2010-09-07,9.84
2010-09-08,9.97
2010-09-09,10.25
2010-09-10,10.19
2010-09-13,10.42
2010-09-14,10.365
2010-09-15,10.18
2010-09-16,10.33
2010-09-17,10.35
2010-09-20,10.49
2010-09-21,10.71
2010-09-22,10.38
2010-09-23,10.27
2010-09-24,10.46
2010-09-27,10.79
2010-09-28,10.695
2010-09-29,10.82
2010-09-30,10.9
2010-10-01,10.93
2010-10-04,10.81
2010-10-05,10.93
2010-10-06,11.21
2010-10-07,11.24
2010-10-08,11.04
2010-10-11,11.52
2010-10-12,11.3
2010-10-13,11.42
2010-10-14,11.4
2010-10-15,11.2003
2010-10-18,11.22
