dt,low
2010-01-04,37.55
2010-01-05,37.201
2010-01-06,37.19
2010-01-07,37.18
2010-01-08,37.65
2010-01-11,37.66
2010-01-12,36.75
2010-01-13,36.7
2010-01-14,36.62
2010-01-15,35.91
2010-01-19,35.8001
2010-01-20,35.3
2010-01-21,34.63
2010-01-22,34.07
2010-01-25,34.02
2010-01-26,34.09
2010-01-27,34.33
2010-01-28,34.46
2010-01-29,34.52
2010-02-01,34.42
2010-02-02,35.09
2010-02-03,35.445
2010-02-04,35.06
2010-02-05,32.781
2010-02-08,33.7
2010-02-09,33.99
2010-02-10,33.42
2010-02-11,33.28
2010-02-12,33.29
2010-02-16,34.43
2010-02-17,35.0
2010-02-18,34.62
2010-02-19,35.17
2010-02-22,35.91
2010-02-23,35.1
2010-02-24,36.07
2010-02-25,35.75
2010-02-26,36.62
2010-03-01,36.7
2010-03-02,37.58
2010-03-03,37.4
2010-03-04,37.89
2010-03-05,38.36
2010-03-08,38.83
2010-03-09,38.9
2010-03-10,39.0
2010-03-11,38.62
2010-03-12,39.02
2010-03-15,39.35
2010-03-16,39.42
2010-03-17,39.34
2010-03-18,39.66
2010-03-19,40.11
2010-03-22,40.0
2010-03-23,40.78
2010-03-24,40.65
2010-03-25,41.01
2010-03-26,41.32
2010-03-29,41.44
2010-03-30,41.0
2010-03-31,40.7
2010-04-01,41.11
2010-04-05,41.33
2010-04-06,42.15
2010-04-07,41.88
2010-04-08,41.35
2010-04-09,41.44
2010-04-12,41.95
2010-04-13,41.6
2010-04-14,41.86
2010-04-15,42.52
2010-04-16,42.57
2010-04-19,41.03
2010-04-20,42.02
2010-04-21,42.58
2010-04-22,43.23
2010-04-23,45.05
2010-04-26,44.58
2010-04-27,42.69
2010-04-28,42.04
2010-04-29,42.66
2010-04-30,41.2
2010-05-03,41.42
2010-05-04,41.45
2010-05-05,40.74
2010-05-06,38.63
2010-05-07,39.7
2010-05-10,41.63
2010-05-11,41.99
2010-05-12,41.65
2010-05-13,41.04
2010-05-14,39.28
2010-05-17,38.25
2010-05-18,37.9
2010-05-19,37.5
2010-05-20,36.78
2010-05-21,36.29
2010-05-24,37.53
2010-05-25,36.2
2010-05-26,37.39
2010-05-27,38.54
2010-05-28,39.03
2010-06-01,38.94
2010-06-02,39.17
2010-06-03,38.08
2010-06-04,36.13
2010-06-07,35.73
2010-06-08,35.27
2010-06-09,36.06
2010-06-10,36.72
2010-06-11,37.07
2010-06-14,38.27
2010-06-15,39.12
2010-06-16,39.39
2010-06-17,38.75
2010-06-18,38.53
2010-06-21,37.41
2010-06-22,36.83
2010-06-23,36.0
2010-06-24,35.18
2010-06-25,34.85
2010-06-28,34.91
2010-06-29,32.3
2010-06-30,32.04
2010-07-01,31.47
2010-07-02,32.06
2010-07-06,31.53
2010-07-07,31.73
2010-07-08,32.54
2010-07-09,33.49
2010-07-12,33.6525
2010-07-13,34.155
2010-07-14,33.67
2010-07-15,33.47
2010-07-16,32.19
2010-07-19,30.75
2010-07-20,30.9
2010-07-21,31.92
2010-07-22,32.56
2010-07-23,32.6
2010-07-26,33.55
2010-07-27,34.34
2010-07-28,33.44
2010-07-29,32.64
2010-07-30,32.69
2010-08-02,34.16
2010-08-03,33.8801
2010-08-04,33.91
2010-08-05,33.0
2010-08-06,33.03
2010-08-09,34.25
2010-08-10,34.14
2010-08-11,33.33
2010-08-12,31.92
2010-08-13,30.85
2010-08-16,29.97
2010-08-17,30.17
2010-08-18,30.66
2010-08-19,30.820999999999998
2010-08-20,30.97
2010-08-23,31.15
2010-08-24,30.09
2010-08-25,29.9
2010-08-26,30.17
2010-08-27,29.6
2010-08-30,28.72
2010-08-31,28.44
2010-09-01,29.13
2010-09-02,31.38
2010-09-03,32.92
2010-09-07,32.5
2010-09-08,32.54
2010-09-09,32.88
2010-09-10,32.95
2010-09-13,33.54
2010-09-14,34.19
2010-09-15,34.96
2010-09-16,35.62
2010-09-17,35.89
2010-09-20,35.83
2010-09-21,35.71
2010-09-22,35.07
2010-09-23,34.95
2010-09-24,35.87
2010-09-27,36.1
2010-09-28,36.78
2010-09-29,37.47
2010-09-30,36.63
2010-10-01,36.8
2010-10-04,36.6
