dt,low
2010-01-04,1.51
2010-01-05,1.6
2010-01-06,1.6
2010-01-07,1.56
2010-01-08,1.56
2010-01-11,1.52
2010-01-12,1.44
2010-01-13,1.39
2010-01-14,1.42
2010-01-15,1.4
2010-01-19,1.39
2010-01-20,1.36
2010-01-21,1.38
2010-01-22,1.405
2010-01-25,1.42
2010-01-26,1.41
2010-01-27,1.38
2010-01-28,1.36
2010-01-29,1.37
2010-02-01,1.37
2010-02-02,1.37
2010-02-03,1.37
2010-02-04,1.36
2010-02-05,1.28
2010-02-08,1.3
2010-02-09,1.31
2010-02-10,1.24
2010-02-11,1.25
2010-02-12,1.26
2010-02-16,1.28
2010-02-17,1.31
2010-02-18,1.31
2010-02-19,1.4
2010-02-22,1.51
2010-02-23,1.47
2010-02-24,1.5
2010-02-25,1.49
2010-02-26,1.52
2010-03-01,1.57
2010-03-02,1.54
2010-03-03,1.58
2010-03-04,1.58
2010-03-05,1.53
2010-03-08,1.51
2010-03-09,1.52
2010-03-10,1.54
2010-03-11,1.61
2010-03-12,1.57
2010-03-15,1.55
2010-03-16,1.58
2010-03-17,1.6
2010-03-18,1.67
2010-03-19,1.66
2010-03-22,1.66
2010-03-23,1.71
2010-03-24,1.66
2010-03-25,1.6
2010-03-26,1.59
2010-03-29,1.57
2010-03-30,1.56
2010-03-31,1.55
2010-04-01,1.59
2010-04-05,1.58
2010-04-06,1.61
2010-04-07,1.62
2010-04-08,1.61
2010-04-09,1.64
2010-04-12,1.67
2010-04-13,1.69
2010-04-14,1.7
2010-04-15,1.69
2010-04-16,1.63
2010-04-19,1.62
2010-04-20,1.61
2010-04-21,1.58
2010-04-22,1.57
2010-04-23,1.55
2010-04-26,1.55
2010-04-27,1.48
2010-04-28,1.52
2010-04-29,1.51
2010-04-30,1.52
2010-05-03,1.52
2010-05-04,1.43
2010-05-05,1.4
2010-05-06,1.22
2010-05-07,1.22
2010-05-10,1.24
2010-05-11,1.25
2010-05-12,1.26
2010-05-13,1.3
2010-05-14,1.24
2010-05-17,1.255
2010-05-18,1.23
2010-05-19,1.23
2010-05-20,1.2
2010-05-21,1.22
2010-05-24,1.26
2010-05-25,1.18
2010-05-26,1.24
2010-05-27,1.25
2010-05-28,1.28
2010-06-01,1.25
2010-06-02,1.26
2010-06-03,1.26
2010-06-04,1.26
2010-06-07,1.19
2010-06-08,1.155
2010-06-09,1.12
2010-06-10,1.12
2010-06-11,1.11
2010-06-14,1.19
2010-06-15,1.19
2010-06-16,1.19
2010-06-17,1.22
2010-06-18,1.21
2010-06-21,1.17
2010-06-22,1.16
2010-06-23,1.17
2010-06-24,1.15
2010-06-25,1.11
2010-06-28,1.13
2010-06-29,1.09
2010-06-30,1.07
2010-07-01,0.98
2010-07-02,0.9491
2010-07-06,0.98
2010-07-07,0.97
2010-07-08,1.01
2010-07-09,1.01
2010-07-12,1.01
2010-07-13,1.04
2010-07-14,1.1
2010-07-15,1.069
2010-07-16,1.05
2010-07-19,1.0475
2010-07-20,1.04
2010-07-21,1.03
2010-07-22,1.05
2010-07-23,1.08
2010-07-26,1.11
2010-07-27,1.07
2010-07-28,1.1
2010-07-29,1.1
2010-07-30,1.07
2010-08-02,1.13
2010-08-03,1.1
2010-08-04,1.08
2010-08-05,1.1
2010-08-06,1.12
2010-08-09,1.12
2010-08-10,1.11
2010-08-11,1.1
2010-08-12,1.1
2010-08-13,1.1
2010-08-16,1.1
2010-08-17,1.11
2010-08-18,1.06
2010-08-19,1.04
2010-08-20,1.05
2010-08-23,1.04
2010-08-24,1.01
2010-08-25,1.02
2010-08-26,1.01
2010-08-27,1.01
2010-08-30,1.01
2010-08-31,1.01
2010-09-01,1.04
2010-09-02,1.06
2010-09-03,1.09
2010-09-07,1.08
2010-09-08,1.09
2010-09-09,1.1
2010-09-10,1.1
2010-09-13,1.11
2010-09-14,0.95
2010-09-15,0.966
2010-09-16,1.0
2010-09-17,1.0
2010-09-20,1.01
2010-09-21,1.01
2010-09-22,0.9670000000000001
2010-09-23,0.93
2010-09-24,0.95
2010-09-27,0.93
2010-09-28,0.94
2010-09-29,0.943
2010-09-30,0.9309999999999999
2010-10-01,0.93
2010-10-04,0.93
2010-10-05,0.932
2010-10-06,0.9249
2010-10-07,0.91
2010-10-08,0.83
2010-10-11,0.85
2010-10-12,0.8440000000000001
2010-10-13,0.8656
2010-10-14,0.8713
2010-10-15,0.8733
2010-10-18,0.8604
2010-10-19,0.8595
2010-10-20,0.86
2010-10-21,0.84
2010-10-22,0.85
2010-10-25,0.89
2010-10-26,0.9021
2010-10-27,0.9212
2010-10-28,0.94
2010-10-29,0.96
2010-11-01,0.92
2010-11-02,0.91
2010-11-03,0.865
2010-11-04,0.87
2010-11-05,0.88
2010-11-08,0.885
2010-11-09,0.9751
2010-11-10,0.99
2010-11-11,1.1
2010-11-12,1.1
2010-11-15,1.14
2010-11-16,1.11
2010-11-17,1.11
2010-11-18,1.08
2010-11-19,0.99
2010-11-22,1.01
2010-11-23,1.01
2010-11-24,1.01
2010-11-26,0.97
2010-11-29,0.98
2010-11-30,0.9718
2010-12-01,0.97
2010-12-02,0.9618
2010-12-03,0.97
2010-12-06,0.9672
2010-12-07,0.975
2010-12-08,0.965
2010-12-09,0.9502
2010-12-10,0.9651
2010-12-13,0.95
2010-12-14,0.92
2010-12-15,0.94
2010-12-16,0.94
2010-12-17,0.94
2010-12-20,0.9325
2010-12-21,0.9552
2010-12-22,0.96
2010-12-23,0.963
2010-12-27,0.96
2010-12-28,0.95
2010-12-29,0.9503
2010-12-30,0.96
2010-12-31,0.9699
2011-01-03,0.98
2011-01-04,1.02
2011-01-05,1.03
2011-01-06,1.12
2011-01-07,1.07
2011-01-10,1.09
2011-01-11,1.12
2011-01-12,1.21
2011-01-13,1.24
2011-01-14,1.26
2011-01-18,1.2
2011-01-19,1.15
2011-01-20,1.1
2011-01-21,1.11
2011-01-24,1.14
2011-01-25,1.2
2011-01-26,1.2
2011-01-27,1.25
2011-01-28,1.16
2011-01-31,1.18
2011-02-01,1.23
2011-02-02,1.16
2011-02-03,1.2
2011-02-04,1.2
2011-02-07,1.2
2011-02-08,1.21
2011-02-09,1.21
2011-02-10,1.23
2011-02-11,1.22
2011-02-14,1.23
2011-02-15,1.25
2011-02-16,1.3
2011-02-17,1.41
2011-02-18,1.42
2011-02-22,1.37
2011-02-23,1.33
2011-02-24,1.3
2011-02-25,1.34
2011-02-28,1.38
2011-03-01,1.34
2011-03-02,1.3
2011-03-03,1.35
2011-03-04,1.33
2011-03-07,1.33
2011-03-08,1.35
2011-03-09,1.34
2011-03-10,1.34
2011-03-11,1.34
2011-03-14,1.33
2011-03-15,1.25
2011-03-16,1.24
2011-03-17,1.26
2011-03-18,1.27
2011-03-21,1.28
2011-03-22,1.29
2011-03-23,1.33
2011-03-24,1.41
2011-03-25,1.39
2011-03-28,1.45
2011-03-29,1.43
2011-03-30,1.45
2011-03-31,1.44
2011-04-01,1.46
2011-04-04,1.4
2011-04-05,1.41
2011-04-06,1.44
2011-04-07,1.42
2011-04-08,1.43
2011-04-11,1.55
2011-04-12,1.65
2011-04-13,1.66
2011-04-14,1.63
2011-04-15,1.71
2011-04-18,1.6
2011-04-19,1.61
2011-04-20,1.59
2011-04-21,1.6
2011-04-25,1.62
2011-04-26,1.61
2011-04-27,1.61
2011-04-28,1.6
2011-04-29,1.54
2011-05-02,1.57
2011-05-03,1.64
2011-05-04,1.62
2011-05-05,1.57
2011-05-06,1.59
2011-05-09,1.63
2011-05-10,1.69
2011-05-11,1.81
2011-05-12,1.88
2011-05-13,1.87
2011-05-16,1.84
2011-05-17,1.79
2011-05-18,1.83
2011-05-19,1.825
2011-05-20,1.83
2011-05-23,1.91
2011-05-24,2.05
2011-05-25,2.11
2011-05-26,2.17
2011-05-27,2.205
2011-05-31,2.25
2011-06-01,2.14
2011-06-02,2.15
2011-06-03,2.14
2011-06-06,2.18
2011-06-07,2.15
2011-06-08,2.09
2011-06-09,2.14
2011-06-10,2.16
2011-06-13,2.14
2011-06-14,2.21
2011-06-15,2.18
2011-06-16,2.14
2011-06-17,2.11
2011-06-20,1.94
2011-06-21,2.165
2011-06-22,2.26
2011-06-23,2.21
2011-06-24,2.27
2011-06-27,2.25
2011-06-28,2.29
2011-06-29,2.35
2011-06-30,2.35
2011-07-01,2.42
2011-07-05,2.44
2011-07-06,2.43
2011-07-07,2.56
2011-07-08,2.54
2011-07-11,2.48
2011-07-12,2.43
2011-07-13,2.41
2011-07-14,2.3
2011-07-15,2.19
2011-07-18,2.2
2011-07-19,2.26
2011-07-20,2.3
2011-07-21,2.32
2011-07-22,2.3
2011-07-25,2.35
2011-07-26,2.22
2011-07-27,2.1
2011-07-28,2.15
2011-07-29,2.1
2011-08-01,2.14
2011-08-02,2.13
2011-08-03,2.14
2011-08-04,2.12
2011-08-05,1.84
2011-08-08,1.69
2011-08-09,1.71
2011-08-10,1.77
2011-08-11,1.76
2011-08-12,1.88
