dt,low
2010-01-04,62.5
2010-01-05,63.24
2010-01-06,60.77
2010-01-07,60.4
2010-01-08,60.25
2010-01-11,60.73
2010-01-12,60.95
2010-01-13,61.92
2010-01-14,61.93
2010-01-15,61.47
2010-01-19,61.79
2010-01-20,62.06
2010-01-21,60.93
2010-01-22,60.54
2010-01-25,60.39
2010-01-26,60.91
2010-01-27,58.3
2010-01-28,59.61
2010-01-29,58.71
2010-02-01,58.16
2010-02-02,59.34
2010-02-03,59.92
2010-02-04,58.49
2010-02-05,57.23
2010-02-08,57.56
2010-02-09,58.37
2010-02-10,57.8
2010-02-11,58.06
2010-02-12,58.0
2010-02-16,59.04
2010-02-17,59.3
2010-02-18,60.04
2010-02-19,59.95
2010-02-22,59.85
2010-02-23,58.14
2010-02-24,58.29
2010-02-25,58.31
2010-02-26,59.0
2010-03-01,59.36
2010-03-02,60.6
2010-03-03,60.57
2010-03-04,60.83
2010-03-05,61.42
2010-03-08,60.98
2010-03-09,60.25
2010-03-10,60.08
2010-03-11,59.63
2010-03-12,60.71
2010-03-15,60.55
2010-03-16,60.62
2010-03-17,61.21
2010-03-18,62.29
2010-03-19,63.07
2010-03-22,63.77
2010-03-23,63.95
2010-03-24,63.87
2010-03-25,63.98
2010-03-26,63.33
2010-03-29,63.48
2010-03-30,64.86
2010-03-31,65.4
2010-04-01,65.77
2010-04-05,66.21
2010-04-06,66.095
2010-04-07,65.88
2010-04-08,65.8
2010-04-09,66.09
2010-04-12,65.28
2010-04-13,64.45
2010-04-14,64.53
2010-04-15,64.54
2010-04-16,63.77
2010-04-19,63.8
2010-04-20,64.59
2010-04-21,65.13
2010-04-22,65.33
2010-04-23,66.33
2010-04-26,66.93
2010-04-27,65.89
2010-04-28,65.72
2010-04-29,66.35
2010-04-30,64.79
2010-05-03,64.05
2010-05-04,66.25
2010-05-05,66.59
2010-05-06,62.94
2010-05-07,63.09
2010-05-10,65.3639
2010-05-11,65.72
2010-05-12,66.62
2010-05-13,68.41
2010-05-14,66.69
2010-05-17,67.06
2010-05-18,69.29
2010-05-19,68.37
2010-05-20,67.65
2010-05-21,66.02
2010-05-24,67.21
2010-05-25,66.21
2010-05-26,67.73
2010-05-27,68.62
2010-05-28,69.42
2010-06-01,68.65
2010-06-02,68.83
2010-06-03,70.5
2010-06-04,68.22
2010-06-07,68.38
2010-06-08,67.5
