dt,low
2010-01-04,30.84
2010-01-05,31.29
2010-01-06,31.56
2010-01-07,32.79
2010-01-08,32.63
2010-01-11,33.59
2010-01-12,32.58
2010-01-13,32.9
2010-01-14,33.18
2010-01-15,32.785
2010-01-19,32.92
2010-01-20,32.48
2010-01-21,31.67
2010-01-22,31.33
2010-01-25,30.6
2010-01-26,31.06
2010-01-27,30.75
2010-01-28,30.46
2010-01-29,30.95
2010-02-01,31.1075
2010-02-02,30.91
2010-02-03,31.11
2010-02-04,30.1
2010-02-05,29.0
2010-02-08,29.195
2010-02-09,29.53
2010-02-10,29.55
2010-02-11,29.45
2010-02-12,29.55
2010-02-16,29.66
2010-02-17,30.87
2010-02-18,30.99
2010-02-19,31.76
2010-02-22,31.74
2010-02-23,31.06
2010-02-24,30.9
2010-02-25,30.19
2010-02-26,30.18
2010-03-01,29.69
2010-03-02,31.43
2010-03-03,31.37
2010-03-04,32.35
2010-03-05,32.74
2010-03-08,33.22
2010-03-09,32.91
2010-03-10,32.9
2010-03-11,32.95
2010-03-12,33.16
2010-03-15,33.07
2010-03-16,33.16
2010-03-17,32.9
2010-03-18,33.27
2010-03-19,34.0
2010-03-22,33.84
2010-03-23,34.44
2010-03-24,33.98
2010-03-25,34.44
2010-03-26,34.2
2010-03-29,34.21
2010-03-30,34.24
2010-03-31,34.38
2010-04-01,34.31
2010-04-05,34.86
2010-04-06,34.7499
2010-04-07,34.34
2010-04-08,34.21
2010-04-09,34.34
2010-04-12,34.68
2010-04-13,34.8
2010-04-14,35.24
2010-04-15,35.85
2010-04-16,35.86
2010-04-19,35.29
2010-04-20,35.93
2010-04-21,36.54
2010-04-22,36.32
2010-04-23,36.57
2010-04-26,37.18
2010-04-27,36.93
2010-04-28,35.01
2010-04-29,36.44
2010-04-30,35.92
2010-05-03,35.91
2010-05-04,35.12
2010-05-05,34.75
2010-05-06,32.22
2010-05-07,32.53
2010-05-10,34.28
2010-05-11,34.57
2010-05-12,34.68
2010-05-13,34.71
2010-05-14,33.76
2010-05-17,33.93
2010-05-18,34.12
2010-05-19,33.74
2010-05-20,32.48
2010-05-21,32.17
2010-05-24,33.12
2010-05-25,32.4
2010-05-26,32.77
2010-05-27,33.425
2010-05-28,33.27
2010-06-01,32.83
2010-06-02,32.55
2010-06-03,33.96
2010-06-04,33.42
2010-06-07,32.71
2010-06-08,32.26
2010-06-09,32.75
2010-06-10,33.34
2010-06-11,33.55
2010-06-14,34.43
2010-06-15,34.56
2010-06-16,34.91
2010-06-17,35.05
2010-06-18,35.02
2010-06-21,34.75
2010-06-22,33.96
2010-06-23,33.35
2010-06-24,32.61
2010-06-25,32.48
2010-06-28,32.97
2010-06-29,31.71
2010-06-30,31.02
2010-07-01,30.6
2010-07-02,30.74
2010-07-06,30.05
2010-07-07,30.04
2010-07-08,30.91
2010-07-09,31.37
2010-07-12,31.17
2010-07-13,31.57
2010-07-14,31.69
2010-07-15,31.72
2010-07-16,30.49
2010-07-19,30.31
2010-07-20,29.91
2010-07-21,30.04
2010-07-22,30.4
2010-07-23,30.67
2010-07-26,31.26
2010-07-27,31.86
2010-07-28,31.37
2010-07-29,31.53
2010-07-30,30.925
2010-08-02,31.92
2010-08-03,32.85
2010-08-04,32.93
2010-08-05,32.7
2010-08-06,31.81
2010-08-09,32.39
2010-08-10,32.53
2010-08-11,31.57
2010-08-12,31.23
2010-08-13,31.04
2010-08-16,31.03
2010-08-17,31.4
2010-08-18,31.15
2010-08-19,30.43
2010-08-20,29.86
2010-08-23,29.78
2010-08-24,28.92
2010-08-25,28.99
2010-08-26,29.66
2010-08-27,29.27
2010-08-30,29.57
2010-08-31,29.21
2010-09-01,29.66
2010-09-02,30.46
2010-09-03,31.46
2010-09-07,31.63
2010-09-08,31.2
2010-09-09,31.05
2010-09-10,31.35
2010-09-13,32.03
2010-09-14,31.97
2010-09-15,31.66
2010-09-16,31.54
2010-09-17,32.0
2010-09-20,32.31
2010-09-21,32.77
2010-09-22,32.1
2010-09-23,31.91
2010-09-24,32.36
2010-09-27,32.8
2010-09-28,32.26
2010-09-29,32.98
2010-09-30,32.98
2010-10-01,32.92
2010-10-04,32.61
2010-10-05,32.71
2010-10-06,32.79
2010-10-07,32.81
2010-10-08,33.32
2010-10-11,34.21
2010-10-12,34.18
2010-10-13,34.31
2010-10-14,34.6
2010-10-15,34.28
2010-10-18,34.47
2010-10-19,34.14
2010-10-20,34.46
2010-10-21,34.66
2010-10-22,34.84
2010-10-25,35.01
2010-10-26,34.28
2010-10-27,33.83
2010-10-28,34.11
2010-10-29,33.86
2010-11-01,33.6
2010-11-02,33.87
2010-11-03,33.56
2010-11-04,34.228
2010-11-05,34.55
2010-11-08,34.36
2010-11-09,34.09
2010-11-10,33.98
2010-11-11,33.91
2010-11-12,33.55
2010-11-15,33.5
2010-11-16,32.92
2010-11-17,32.66
2010-11-18,33.01
2010-11-19,33.01
2010-11-22,33.05
