dt,low
2010-01-04,36.55
2010-01-05,36.93
2010-01-06,36.9
2010-01-07,37.4
2010-01-08,37.43
2010-01-11,37.5
2010-01-12,37.32
2010-01-13,38.1
2010-01-14,39.1
2010-01-15,39.01
2010-01-19,39.44
2010-01-20,39.97
2010-01-21,40.05
2010-01-22,38.77
2010-01-25,38.72
2010-01-26,38.16
2010-01-27,37.96
2010-01-28,37.94
2010-01-29,37.66
2010-02-01,38.07
2010-02-02,38.1
2010-02-03,38.47
2010-02-04,36.82
2010-02-05,35.82
2010-02-08,36.22
2010-02-09,36.32
2010-02-10,35.76
2010-02-11,35.87
2010-02-12,36.09
2010-02-16,37.26
2010-02-17,37.16
2010-02-18,37.03
2010-02-19,37.15
2010-02-22,36.6
2010-02-23,36.4
2010-02-24,36.27
2010-02-25,36.05
2010-02-26,36.44
2010-03-01,37.03
2010-03-02,37.32
2010-03-03,37.1
2010-03-04,36.88
2010-03-05,36.93
2010-03-08,37.11
2010-03-09,36.83
2010-03-10,36.5
2010-03-11,36.1
2010-03-12,36.73
2010-03-15,36.95
2010-03-16,37.4
2010-03-17,37.57
2010-03-18,37.88
2010-03-19,37.85
2010-03-22,38.03
2010-03-23,38.25
2010-03-24,37.98
2010-03-25,37.76
2010-03-26,37.35
2010-03-29,37.58
2010-03-30,37.51
2010-03-31,37.06
2010-04-01,37.5
2010-04-05,37.325
2010-04-06,37.17
2010-04-07,36.56
2010-04-08,36.62
2010-04-09,36.78
2010-04-12,36.8
2010-04-13,36.58
2010-04-14,36.01
2010-04-15,35.96
2010-04-16,35.37
2010-04-19,35.29
2010-04-20,35.87
2010-04-21,34.7
2010-04-22,33.76
2010-04-23,33.54
2010-04-26,34.9
2010-04-27,34.4075
2010-04-28,34.2
2010-04-29,34.97
2010-04-30,35.03
2010-05-03,35.05
2010-05-04,35.58
2010-05-05,34.9
2010-05-06,30.7
2010-05-07,32.95
2010-05-10,33.89
2010-05-11,33.03
2010-05-12,33.43
2010-05-13,33.11
2010-05-14,32.68
2010-05-17,32.18
2010-05-18,32.3
2010-05-19,32.07
2010-05-20,31.75
2010-05-21,31.04
2010-05-24,31.61
2010-05-25,31.1
2010-05-26,31.8425
2010-05-27,32.78
2010-05-28,33.5
2010-06-01,33.31
2010-06-02,33.525
2010-06-03,33.99
2010-06-04,32.99
2010-06-07,33.1
2010-06-08,33.1
2010-06-09,33.485
2010-06-10,33.99
2010-06-11,34.23
2010-06-14,34.95
2010-06-15,35.03
2010-06-16,35.7
2010-06-17,35.3
2010-06-18,35.48
2010-06-21,34.91
2010-06-22,35.07
2010-06-23,34.93
2010-06-24,35.17
2010-06-25,35.28
2010-06-28,35.57
2010-06-29,35.0
2010-06-30,34.75
2010-07-01,33.65
2010-07-02,33.65
2010-07-06,34.05
2010-07-07,34.42
2010-07-08,35.33
2010-07-09,35.72
2010-07-12,35.84
2010-07-13,36.03
2010-07-14,35.83
2010-07-15,35.9
2010-07-16,35.88
2010-07-19,35.69
2010-07-20,35.2
2010-07-21,34.98
2010-07-22,35.0
2010-07-23,34.41
2010-07-26,34.81
2010-07-27,35.0
2010-07-28,34.62
2010-07-29,34.6
2010-07-30,33.82
2010-08-02,34.55
2010-08-03,34.48
2010-08-04,34.55
2010-08-05,34.7
2010-08-06,34.5
2010-08-09,35.06
2010-08-10,34.82
2010-08-11,34.82
