dt,low
2010-01-04,66.32
2010-01-05,66.7
2010-01-06,68.15
2010-01-07,70.13
2010-01-08,72.43
2010-01-11,72.97
2010-01-12,71.3
2010-01-13,70.89
2010-01-14,73.47
2010-01-15,72.94
2010-01-19,72.46
2010-01-20,73.65
2010-01-21,77.8
2010-01-22,75.27
2010-01-25,73.78
2010-01-26,73.27
2010-01-27,73.52
2010-01-28,75.25
2010-01-29,73.5
2010-02-01,74.23
2010-02-02,74.45
2010-02-03,72.08
2010-02-04,69.91
2010-02-05,70.09
2010-02-08,71.08
2010-02-09,71.37
2010-02-10,71.71
2010-02-11,71.89
2010-02-12,70.89
2010-02-16,72.77
2010-02-17,73.8
2010-02-18,74.41
2010-02-19,75.23
2010-02-22,76.99
2010-02-23,75.91
2010-02-24,76.81
2010-02-25,75.55
2010-02-26,75.76
2010-03-01,77.0
2010-03-02,77.86
2010-03-03,76.14
2010-03-04,75.27
2010-03-05,76.68
2010-03-08,78.0
2010-03-09,77.59
2010-03-10,78.44
2010-03-11,79.13
2010-03-12,79.78
2010-03-15,79.72
2010-03-16,80.15
2010-03-17,81.52
2010-03-18,82.49
2010-03-19,83.021
2010-03-22,81.76
2010-03-23,81.85
2010-03-24,82.77
2010-03-25,82.35
2010-03-26,80.34
2010-03-29,79.72
2010-03-30,78.7
2010-03-31,78.75
2010-04-01,78.74
2010-04-05,79.41
2010-04-06,81.62
2010-04-07,82.71
2010-04-08,82.89
2010-04-09,83.95
2010-04-12,84.41
2010-04-13,83.91
2010-04-14,85.35
2010-04-15,86.05
2010-04-16,82.3
2010-04-19,82.72
2010-04-20,83.89
2010-04-21,85.0905
2010-04-22,85.31
2010-04-23,86.88
2010-04-26,85.25
2010-04-27,83.52
2010-04-28,84.65
2010-04-29,86.59
2010-04-30,87.17
2010-05-03,88.0
2010-05-04,86.64
2010-05-05,85.65
2010-05-06,80.611
2010-05-07,83.6
2010-05-10,86.36
2010-05-11,86.81
2010-05-12,88.81
2010-05-13,89.93
2010-05-14,86.13
2010-05-17,85.77
2010-05-18,83.14
2010-05-19,81.9
2010-05-20,79.7
2010-05-21,77.86
2010-05-24,81.26
2010-05-25,78.84
2010-05-26,80.11
2010-05-27,79.75
2010-05-28,78.87
2010-06-01,76.97
2010-06-02,77.65
2010-06-03,77.95
2010-06-04,75.14
2010-06-07,74.2
2010-06-08,74.11
2010-06-09,75.6
2010-06-10,76.85
2010-06-11,76.66
2010-06-14,77.21
2010-06-15,77.73
2010-06-16,79.05
2010-06-17,82.77
2010-06-18,86.62
2010-06-21,90.04
2010-06-22,93.03
2010-06-23,90.5
2010-06-24,86.32
2010-06-25,87.25
2010-06-28,87.5
2010-06-29,85.89
2010-06-30,84.79
2010-07-01,84.2
