dt,low
2010-01-04,41.36
2010-01-05,42.38
2010-01-06,42.93
2010-01-07,43.49
2010-01-08,43.58
2010-01-11,43.74
2010-01-12,42.8001
2010-01-13,43.09
2010-01-14,43.98
2010-01-15,43.36
2010-01-19,43.55
2010-01-20,43.06
2010-01-21,42.89
2010-01-22,41.38
2010-01-25,41.77
2010-01-26,41.66
2010-01-27,41.16
2010-01-28,39.28
2010-01-29,39.94
2010-02-01,40.79
2010-02-02,41.8
2010-02-03,42.01
2010-02-04,40.03
2010-02-05,38.5
2010-02-08,38.93
2010-02-09,39.71
2010-02-10,39.39
2010-02-11,39.64
2010-02-12,39.82
2010-02-16,40.9
2010-02-17,41.31
2010-02-18,41.61
2010-02-19,42.3
2010-02-22,42.5
2010-02-23,41.95
2010-02-24,41.85
2010-02-25,40.85
2010-02-26,41.72
2010-03-01,42.52
2010-03-02,43.11
2010-03-03,44.01
2010-03-04,43.35
2010-03-05,43.97
2010-03-08,43.9225
2010-03-09,43.45
2010-03-10,43.34
2010-03-11,43.08
2010-03-12,43.27
2010-03-15,42.5
2010-03-16,42.58
2010-03-17,43.45
2010-03-18,42.08
2010-03-19,40.86
2010-03-22,40.53
2010-03-23,40.24
2010-03-24,39.9
2010-03-25,39.5
2010-03-26,39.23
2010-03-29,39.92
2010-03-30,40.37
2010-03-31,41.19
2010-04-01,42.12
2010-04-05,42.41
2010-04-06,42.71
2010-04-07,42.09
2010-04-08,40.85
2010-04-09,41.09
2010-04-12,41.45
2010-04-13,40.7
2010-04-14,41.14
2010-04-15,41.46
2010-04-16,39.89
2010-04-19,39.8
2010-04-20,40.45
2010-04-21,41.1
2010-04-22,41.0
2010-04-23,42.6
2010-04-26,43.32
2010-04-27,41.695
2010-04-28,41.5
2010-04-29,40.77
2010-04-30,38.04
2010-05-03,37.76
2010-05-04,37.85
2010-05-05,36.96
2010-05-06,35.31
2010-05-07,35.4
2010-05-10,36.04
2010-05-11,36.1
2010-05-12,36.31
2010-05-13,35.55
2010-05-14,34.25
2010-05-17,33.63
2010-05-18,33.64
2010-05-19,32.33
2010-05-20,31.33
2010-05-21,30.84
2010-05-24,31.19
2010-05-25,29.7
2010-05-26,30.43
2010-05-27,29.78
2010-05-28,27.52
2010-06-01,26.95
2010-06-02,27.21
2010-06-03,27.08
2010-06-04,27.15
2010-06-07,27.35
2010-06-08,26.23
2010-06-09,27.34
2010-06-10,28.2
2010-06-11,29.14
2010-06-14,29.9
2010-06-15,29.92
2010-06-16,30.55
2010-06-17,30.75
2010-06-18,30.855
2010-06-21,31.16
2010-06-22,29.9101
2010-06-23,29.03
2010-06-24,28.21
2010-06-25,28.58
