dt,low
2016-05-02,22.0
2016-05-03,23.0
2016-05-04,25.0
2016-05-05,26.0
2016-05-06,25.25
2016-05-09,26.36
2016-05-10,25.5
2016-05-11,26.0
2016-05-12,26.3
2016-05-13,24.25
2016-05-16,24.5
2016-05-17,25.81
2016-05-18,26.17
2016-05-19,25.45
2016-05-20,24.905
2016-05-23,24.71
2016-05-24,25.98
2016-05-25,25.76
2016-05-26,26.09
2016-05-27,26.76
2016-05-31,27.7991
2016-06-01,29.48
2016-06-02,30.03
2016-06-03,31.35
2016-06-06,31.615
2016-06-07,31.42
2016-06-08,31.33
2016-06-09,32.26
2016-06-10,32.44
2016-06-13,33.33
2016-06-14,33.7501
2016-06-15,33.82
2016-06-16,33.69
2016-06-17,34.204
2016-06-20,34.11
2016-06-21,34.08
2016-06-22,34.328
2016-06-23,34.56
2016-06-24,33.68
2016-06-27,33.5
2016-06-28,33.02
2016-06-29,33.49
2016-06-30,33.77
2016-07-01,33.91
2016-07-05,33.9001
2016-07-06,34.67
2016-07-07,35.14
2016-07-08,35.84
2016-07-11,36.42
2016-07-12,37.98
2016-07-13,38.86
2016-07-14,38.54
2016-07-15,38.22
2016-07-18,37.59
2016-07-19,37.555
2016-07-20,38.11
2016-07-21,38.65
2016-07-22,39.04
2016-07-25,39.68
2016-07-26,39.52
2016-07-27,39.94
2016-07-28,38.24
2016-07-29,37.96
2016-08-01,38.03
2016-08-02,37.32
2016-08-03,37.53
2016-08-04,39.81
2016-08-05,43.31
2016-08-08,42.7
2016-08-09,43.285
2016-08-10,43.2401
2016-08-11,43.465
2016-08-12,43.86
2016-08-15,44.07
2016-08-16,43.92
2016-08-17,43.72
2016-08-18,42.72
2016-08-19,41.21
2016-08-22,41.05
2016-08-23,41.84
2016-08-24,41.95
2016-08-25,42.9
2016-08-26,42.93
2016-08-29,43.25
2016-08-30,43.4
2016-08-31,43.34
2016-09-01,43.69
2016-09-02,43.94
2016-09-06,44.29
2016-09-07,44.26
2016-09-08,44.1205
2016-09-09,42.74
2016-09-12,42.81
2016-09-13,41.82
2016-09-14,41.86
2016-09-15,43.76
2016-09-16,45.39
2016-09-19,45.58
2016-09-20,45.6
2016-09-21,45.6
2016-09-22,46.85
2016-09-23,47.15
2016-09-26,47.19
2016-09-27,46.14
2016-09-28,46.43
2016-09-29,46.83
2016-09-30,46.07
2016-10-03,43.87
2016-10-04,42.92
2016-10-05,42.79
2016-10-06,42.63
2016-10-07,42.97
2016-10-10,42.01
2016-10-11,42.47
2016-10-12,42.66
2016-10-13,42.221000000000004
2016-10-14,42.12
2016-10-17,42.13
2016-10-18,42.5
2016-10-19,42.245
2016-10-20,41.87
2016-10-21,41.5701
2016-10-24,42.34
2016-10-25,42.68
2016-10-26,42.175
2016-10-27,41.44
2016-10-28,40.53
2016-10-31,40.24
2016-11-01,40.76
2016-11-02,40.41
2016-11-03,42.0
2016-11-04,43.77
2016-11-07,44.51
2016-11-08,43.7848
2016-11-09,44.1245
2016-11-10,45.33
2016-11-11,46.66
2016-11-14,48.69
2016-11-15,47.9929
2016-11-16,48.94
2016-11-17,49.47
2016-11-18,50.08
2016-11-21,50.23
2016-11-22,51.09
2016-11-23,50.98
2016-11-25,52.23
2016-11-28,51.58
2016-11-29,51.0
2016-11-30,50.75
2016-12-01,49.7
2016-12-02,49.34
2016-12-05,49.53
2016-12-06,48.74
2016-12-07,49.55
2016-12-08,50.18
2016-12-09,49.87
2016-12-12,50.07
2016-12-13,51.81
2016-12-14,52.22
2016-12-15,51.89
2016-12-16,53.83
2016-12-19,53.88
2016-12-20,54.53
2016-12-21,53.36
2016-12-22,52.54
2016-12-23,52.73
2016-12-27,53.74
2016-12-28,54.02
2016-12-29,53.99
2016-12-30,53.9
2017-01-03,52.74
2017-01-04,53.12
2017-01-05,54.23
2017-01-06,54.49
2017-01-09,52.7301
2017-01-10,52.4
2017-01-11,53.0
2017-01-12,51.43
2017-01-13,51.011
2017-01-17,52.17
2017-01-18,51.83
2017-01-19,51.9
2017-01-20,52.29
2017-01-23,52.25
2017-01-24,53.87
2017-01-25,54.0
2017-01-26,54.18
2017-01-27,54.59
2017-01-30,53.62
2017-01-31,53.545
2017-02-01,55.36
2017-02-02,54.72
2017-02-03,54.715
2017-02-06,54.99
2017-02-07,55.4
2017-02-08,54.961000000000006
2017-02-09,55.76
2017-02-10,55.1
2017-02-13,55.25
2017-02-14,54.38
2017-02-15,55.51
2017-02-16,56.31
2017-02-17,55.415
2017-02-21,55.68
2017-02-22,55.615
2017-02-23,53.67
2017-02-24,53.02
2017-02-27,52.95
2017-02-28,52.79
2017-03-01,54.16
2017-03-02,56.65
2017-03-03,56.41
2017-03-06,57.245
2017-03-07,57.63
2017-03-08,57.93
2017-03-09,57.79
2017-03-10,58.07
2017-03-13,58.76
2017-03-14,58.72
2017-03-15,59.26
2017-03-16,58.7
2017-03-17,60.01
2017-03-20,60.48
2017-03-21,59.94
2017-03-22,59.99
2017-03-23,60.36
2017-03-24,60.56
2017-03-27,60.13
2017-03-28,59.79
2017-03-29,60.38399999999999
2017-03-30,60.91
2017-03-31,60.81
2017-04-03,57.86
2017-04-04,56.98
2017-04-05,56.92
2017-04-06,56.96
2017-04-07,57.0401
2017-04-10,57.0
2017-04-11,57.2
2017-04-12,58.7501
2017-04-13,58.83
2017-04-17,58.76
2017-04-18,59.0
2017-04-19,59.08
2017-04-20,59.59
2017-04-21,60.19
2017-04-24,62.23
2017-04-25,63.56
2017-04-26,63.44
2017-04-27,64.12
2017-04-28,63.19
2017-05-01,62.64
2017-05-02,62.25
2017-05-03,61.42
2017-05-04,58.305
2017-05-05,56.645
2017-05-08,57.65
2017-05-09,57.1
2017-05-10,58.38
2017-05-11,59.85
2017-05-12,59.1
2017-05-15,58.11
2017-05-16,57.79
2017-05-17,56.98
2017-05-18,56.16
2017-05-19,56.84
2017-05-22,57.87
2017-05-23,58.86
2017-05-24,58.83
2017-05-25,58.665
2017-05-26,58.91
2017-05-30,59.16
2017-05-31,57.54
2017-06-01,57.96
2017-06-02,58.43
2017-06-05,57.73
2017-06-06,57.015
2017-06-07,56.84
2017-06-08,57.39
2017-06-09,59.37
2017-06-12,58.55
2017-06-13,58.48
2017-06-14,57.23
2017-06-15,56.92
2017-06-16,56.36
2017-06-19,56.69
2017-06-20,55.7
2017-06-21,55.23
2017-06-22,54.6
2017-06-23,54.62
2017-06-26,53.9
2017-06-27,53.62
2017-06-28,54.01
2017-06-29,55.4
2017-06-30,56.0021
2017-07-03,56.36
2017-07-05,56.16
2017-07-06,55.63
2017-07-07,55.8
2017-07-10,56.53
2017-07-11,56.4
2017-07-12,57.27
2017-07-13,56.3
2017-07-14,57.2237
2017-07-17,57.72
2017-07-18,57.83
2017-07-19,57.87
2017-07-20,57.65
2017-07-21,57.35
2017-07-24,56.74
2017-07-25,56.71
2017-07-26,56.96
2017-07-27,58.09
2017-07-28,58.03
2017-07-31,57.95
2017-08-01,58.63
2017-08-02,58.23
2017-08-03,57.42
2017-08-04,58.78
2017-08-07,59.6725
2017-08-08,59.0
2017-08-09,57.9
2017-08-10,56.54
2017-08-11,55.25
2017-08-14,56.88
2017-08-15,56.7
2017-08-16,56.64
2017-08-17,55.2
2017-08-18,55.07
2017-08-21,55.41
2017-08-22,55.8376
2017-08-23,59.5
2017-08-24,60.16
2017-08-25,61.16
2017-08-28,60.76
2017-08-29,60.75
2017-08-30,61.03
2017-08-31,61.81
2017-09-01,62.75
2017-09-05,62.86
2017-09-06,62.03
2017-09-07,60.9
2017-09-08,61.01
2017-09-11,60.92
2017-09-12,59.82
2017-09-13,59.66
2017-09-14,59.36
2017-09-15,58.79
2017-09-18,59.16
2017-09-19,58.81
2017-09-20,59.22
2017-09-21,60.22
2017-09-22,60.76
2017-09-25,59.93
2017-09-26,59.63
2017-09-27,59.78
2017-09-28,62.09
2017-09-29,62.1601
2017-10-02,62.86
2017-10-03,63.9
2017-10-04,64.25
2017-10-05,63.72
2017-10-06,64.065
2017-10-09,65.8
2017-10-10,66.86
2017-10-11,67.055
2017-10-12,67.56
2017-10-13,67.941
2017-10-16,68.65
2017-10-17,69.07
