dt,low
2010-01-04,25.41
2010-01-05,25.35
2010-01-06,25.41
2010-01-07,25.72
2010-01-08,25.96
2010-01-11,26.18
2010-01-12,25.86
2010-01-13,26.06
2010-01-14,26.1
2010-01-15,25.81
2010-01-19,25.68
2010-01-20,25.42
2010-01-21,24.6
2010-01-22,23.59
2010-01-25,23.28
2010-01-26,23.54
2010-01-27,23.27
2010-01-28,23.29
2010-01-29,23.33
2010-02-01,23.3
2010-02-02,23.46
2010-02-03,23.77
2010-02-04,22.93
2010-02-05,22.3
2010-02-08,22.5
2010-02-09,23.17
2010-02-10,23.97
2010-02-11,24.09
2010-02-12,24.37
2010-02-16,24.97
2010-02-17,25.36
2010-02-18,25.24
2010-02-19,25.15
2010-02-22,25.43
2010-02-23,25.24
2010-02-24,25.53
2010-02-25,25.27
2010-02-26,26.1
2010-03-01,26.44
2010-03-02,26.96
2010-03-03,26.85
2010-03-04,27.29
2010-03-05,28.27
2010-03-08,28.2
2010-03-09,28.2
2010-03-10,28.15
2010-03-11,27.99
2010-03-12,28.5
2010-03-15,28.5
2010-03-16,28.69
2010-03-17,28.91
2010-03-18,29.2
2010-03-19,29.14
2010-03-22,28.7
2010-03-23,29.11
2010-03-24,28.89
2010-03-25,28.94
2010-03-26,28.87
2010-03-29,29.17
2010-03-30,29.42
2010-03-31,29.25
2010-04-01,29.61
2010-04-05,29.85
2010-04-06,30.42
2010-04-07,30.7609
2010-04-08,30.33
2010-04-09,30.151
2010-04-12,30.57
2010-04-13,31.96
2010-04-14,32.25
2010-04-15,32.53
2010-04-16,31.66
2010-04-19,31.37
2010-04-20,31.75
2010-04-21,32.12
2010-04-22,32.0
2010-04-23,33.21
2010-04-26,33.36
2010-04-27,32.6
2010-04-28,32.29
2010-04-29,32.73
2010-04-30,32.61
2010-05-03,32.4
2010-05-04,31.14
2010-05-05,29.77
2010-05-06,28.19
2010-05-07,28.65
2010-05-10,30.33
2010-05-11,30.04
2010-05-12,30.89
2010-05-13,31.15
2010-05-14,29.9
2010-05-17,29.5299
2010-05-18,28.56
2010-05-19,28.06
2010-05-20,27.41
2010-05-21,26.92
2010-05-24,27.75
2010-05-25,26.79
2010-05-26,27.36
2010-05-27,27.92
2010-05-28,28.49
2010-06-01,27.63
2010-06-02,27.45
2010-06-03,28.08
2010-06-04,27.29
2010-06-07,27.1
2010-06-08,26.42
2010-06-09,26.8
2010-06-10,27.32
2010-06-11,27.67
2010-06-14,28.81
2010-06-15,29.0875
2010-06-16,29.105
2010-06-17,29.04
2010-06-18,29.45
2010-06-21,29.5
2010-06-22,28.98
2010-06-23,28.64
