dt,low
2010-01-04,6.43
2010-01-05,6.49
2010-01-06,6.6
2010-01-07,6.62
2010-01-08,6.77
2010-01-11,6.82
2010-01-12,6.44
2010-01-13,6.46
2010-01-14,6.55
2010-01-15,6.57
2010-01-19,6.59
2010-01-20,6.33
2010-01-21,6.15
2010-01-22,5.94
2010-01-25,5.82
2010-01-26,5.81
2010-01-27,5.66
2010-01-28,5.58
2010-01-29,5.64
2010-02-01,5.54
2010-02-02,5.86
2010-02-03,5.98
2010-02-04,5.45
2010-02-05,5.19
2010-02-08,5.36
2010-02-09,5.35
2010-02-10,5.5
2010-02-11,5.52
2010-02-12,5.7
2010-02-16,6.21
2010-02-17,6.4
2010-02-18,6.37
2010-02-19,6.43
2010-02-22,6.55
2010-02-23,6.74
2010-02-24,6.72
2010-02-25,6.65
2010-02-26,6.83
2010-03-01,7.14
2010-03-02,7.295
2010-03-03,7.19
2010-03-04,7.22
2010-03-05,7.35
2010-03-08,7.34
2010-03-09,7.5
2010-03-10,7.88
2010-03-11,7.84
2010-03-12,7.9
2010-03-15,7.8499
2010-03-16,7.93
2010-03-17,8.1
2010-03-18,8.04
2010-03-19,7.78
2010-03-22,7.54
2010-03-23,7.95
2010-03-24,7.925
2010-03-25,8.01
2010-03-26,8.08
2010-03-29,8.12
2010-03-30,8.1075
2010-03-31,7.93
2010-04-01,7.97
2010-04-05,8.04
2010-04-06,8.1
2010-04-07,8.07
2010-04-08,7.96
2010-04-09,7.97
2010-04-12,7.97
2010-04-13,7.81
2010-04-14,8.0
2010-04-15,8.19
2010-04-16,7.98
2010-04-19,7.73
2010-04-20,7.87
2010-04-21,7.87
2010-04-22,7.91
2010-04-23,8.18
2010-04-26,8.69
2010-04-27,7.04
2010-04-28,6.77
2010-04-29,6.9
2010-04-30,6.81
2010-05-03,6.82
2010-05-04,6.52
2010-05-05,6.26
2010-05-06,5.47
2010-05-07,5.78
2010-05-10,6.28
2010-05-11,6.58
2010-05-12,6.77
2010-05-13,6.53
2010-05-14,6.3
2010-05-17,6.05
2010-05-18,6.23
2010-05-19,5.95
2010-05-20,5.7
2010-05-21,5.55
2010-05-24,5.83
2010-05-25,5.5
2010-05-26,5.67
2010-05-27,5.8206
2010-05-28,5.68
2010-06-01,5.41
2010-06-02,5.42
2010-06-03,5.515
2010-06-04,5.26
2010-06-07,5.08
2010-06-08,4.91
2010-06-09,5.1
2010-06-10,5.22
2010-06-11,5.18
2010-06-14,5.43
2010-06-15,5.45
2010-06-16,5.48
2010-06-17,5.3
2010-06-18,5.16
2010-06-21,4.98
2010-06-22,4.78
2010-06-23,4.69
2010-06-24,4.62
2010-06-25,4.49
2010-06-28,4.22
